time, කාලය, time, 
year, වර්ෂය, the year, වසර, year, 
people, මහජන, people, 
way, ආකාරය, way, 
day, දවස, day, 
man, මිනිසා, man, 
thing, දෙයක්, something, යමක්, something, 
woman, කාන්තාවක්, a woman, කාන්තාවක්, 
life, ජීවිතය, life, 
child, ළමා, child, 
world, ලෝකය, world, 
school, පාසලේ, school, 
state, රජයේ, government, ආණ්ඩුව, the government, ආණ්ඩුව, 
family, පවුලක්, family, 
student, ශිෂ්යයෙකි, student, 
group, සමූහය, group, 
country, රට, country, 
problem, ගැටලුව, problem, 
hand, අත, community, ප්රජාව, community, 
part, කොටස, part, 
place, තැනක්, a place, තැනක්, 
case, නඩුව, case, 
week, සතියේ, week, 
company, සමාගම, company, 
system, පද්ධති, system, 
program, වැඩසටහන, program, 
question, ප්රශ්නයක්, a problem, ප්රශ්නයක්, 
work, කාර්යය, work, 
government, ආණ්ඩුව, the government, ආණ්ඩුව, 
number, අංකය, the number, අංකයයි, telephone, දුරකථන, phones, දුරකථන, 
night, රෑ, night, 
mr, මහතා, mr., මහතා., said., ප්රකාශ කළා., speaking., කතා කරමින්., speaking., 
point, ලක්ෂ්යය, point, 
home, ගෙදර, home, 
water, ජලය, water, 
room, කාමරය, the room, කාමරය, 
mother, මව, mother, 
area, ප්රදේශයකි, area, 
money, මුදල, money, 
story, කතාව, the story, කතාව, 
fact, ඇත්ත, the truth, සත්යය, truth, සත්යය, 
month, මස, on, මත, on a, මත, 
lot, ගොඩක්, so many, බොහෝ අය, many people, බොහෝ අය, 
right, හරි, right, 
study, අධ්යයනයකි, study, 
book, පොත, book, 
eye, ඇස, eye, 
job, රැකියා, employment, රැකියා, 
word, වචනය, the word, වචනය, 
business, ව්යාපාරික, business, 
issue, නිකුත් කිරීම, release, මුදා හැරීම, release, 
side, පැත්ත, side, 
kind, කරුණාවන්තයි, kind, 
head, හිස, head, 
house, නිවස, house, 
service, සේවාව, service, 
friend, මිතුරිය, friend, 
father, පියා, father, 
power, බලය, power, 
hour, පැය, hours, පැය, 
game, ක්රීඩාවයි, sports, ක්රීඩා, sports, 
line, රේඛාවයි, line, 
end, අවසානය, end, 
member, සාමාජිකයෙකි, member, 
law, නීතිය, law, 
car, මෝටර් රථ, cars, මෝටර් රථ, 
city, නගරය, city, 
community, ප්රජාව, community, 
name, නාමය, name, 
president, සභාපති, chairman, සභාපති, 
team, කණ්ඩායම, group, සමූහය, group, 
minute, විනාඩියක්, one minute, විනාඩියක්, 
idea, අදහස, idea, 
kid, ළමයා, boy, පිරිමි ළමයා, the boy, පිරිමි ළමයා, 
body, සිරුර, body, 
information, විස්තර, details, විස්තර, 
back, ආපසු, return, ආපසු, 
parent, දෙමව්පියන්, parents, දෙමාපියන්, parents, 
face, මුහුණ, face, 
others, අන් අය, others, 
level, මට්ටමින්, level, 
office, කාර්යාල, offices, කාර්යාල, 
door, දොර, house, හවුස්, house, 
health, සෞඛ්යය, health, 
person, පුද්ගලයා, the person, පුද්ගලයාය, individual, තනි, the exclusive, සුවිශේෂී වේ, is special, විශේෂයි, special, විශේෂ, special, 
art, කලාව, art, 
war, යුද්ධය, war, 
history, ඉතිහාසය, history, 
party, පක්ෂය, party, 
result, ප්රතිඵලය, results, ප්රතිපල, results, 
change, වෙනස්, change, 
morning, උදෑසන, morning, 
reason, හේතුව, reason, 
research, පර්යේෂණ, research, 
girl, ගැහැණු ළමයා, the girl, කෙල්ල, girl, 
guy, මිනිහා, the man, මිනිසා, man, මිනිසා, 
food, ආහාර, foods, ආහාර, 
moment, මොහොත, moment, 
air, ගුවන්, air, 
teacher, ගුරු, teacher, 
force, බලවේගය, force, 
education, අධ්යාපන, educational, අධ්යාපනික, education, 
foot, පාදය, leg, පාදය, 
boy, ළමයා, boy, 
age, වයස, age, 
policy, ප්රතිපත්ති, policy, 
process, ක්රියාවලිය, the process, ක්රියාවලිය, 
music, සංගීත, music, 
market, වෙලඳපොල, market, 
sense, හැඟීමක්, feeling, හැඟීම, feeling, 
nation, ජාතිය, nation, 
plan, සැලැස්ම, plan, 
college, විදුහල, college, 
interest, උනන්දුවයි, interest, 
death, මරණ, deaths, මරණ, 
experience, අත්දැකීමක්, an experience, අත්දැකීමක්, 
effect, බලපෑමක් ඇත, there is an impact, බලපෑමක් ඇත, 
use, භාවිත, use, 
class, පන්තිය, class, 
control, පාලනය කිරීම, control, 
care, රැකබලා ගනී, take care of, බලාගන්න, take care, ප්රවේසම් වන්න, beware, පරෙස්සම් වන්න, beware, 
field, ක්ෂේත්රයයි, industry, කර්මාන්ත, industries, කර්මාන්ත, 
development, වර්ධනය, development, 
role, කාර්යභාරය, functions, කාර්යයන්, tasks, කාර්යයන්, 
effort, ප්රයත්නයකි, attempt, උත්සාහය, efforts, ප්රයත්න, efforts, 
rate, අනුපාතිකය, rate, 
heart, හදවත, the heart, හදවත, 
drug, මත්ද්රව්ය, drugs, ඖෂධ, pharmaceuticals, ඖෂධ, 
show, පෙන්වන්න, show, 
leader, නායක, leader, 
light, ආලෝකය, lighting, ආලෝකය සපයන, lighting, 
voice, හඬ, voice, 
wife, බිරිඳ, wife, 
police, පොලිසිය, the police, පොලිසිය, 
mind, මනස, mind, 
price, මිල, price, 
report, වාර්තාව, report, 
decision, තීරණ, decisions, තීරණ, 
son, පුතා, son, 
view, දැක්ම, view, 
relationship, සම්බන්ධතාවය, relationship, 
town, නගරය, city, නගරය, 
road, මාර්ග, road, 
arm, අත, community, ප්රජාව, community, 
difference, වෙනස, difference, 
value, අගය, value, 
building, ගොඩනැගිල්ල, the building, ගොඩනැගිල්ල, 
action, කටයුතු, affairs, කටයුතු, 
model, ආකෘතිය, format, ආකෘතිය, 
season, කන්නයයි, season, 
society, සමාජය, club, සමාජය, 
tax, බද්ද, tax, 
director, අධ්යක්ෂක, director, 
position, තත්ත්වය, situation, තත්ත්වය, 
player, ක්රීඩකයෙකි, player, 
record, වාර්තාව, report, වාර්තාව, 
paper, කඩදාසි, paper, 
space, අවකාශය, space, 
ground, බිම, on the floor, බිම මත, on the floor, 
form, ආකෘතිය, format, ආකෘතිය, 
event, සිදුවීමයි, incident, සිද්ධිය, incident, 
official, නිල, official, 
matter, කාරණයකි, it's good, එය හොඳයි, it's good, 
center, මධ්යස්ථානයයි, center, 
couple, යුවලක්, couple, 
site, අඩවිය, site, 
project, ව්යාපෘතියකි, project, 
activity, ක්රියාකාරිත්වය, activity, 
star, තරුව, star, 
table, වගුව, table, 
need, අවශ්යයි, need, 
court, අධිකරණය, court, 
american, ඇමෙරිකානු, us, එක්සත් ජනපදය, united states, එක්සත් ජනපදය, 
oil, තෙල්, oil, 
situation, තත්ත්වය, situation, 
cost, පිරිවැය, cost, 
industry, කර්මාන්ත, industries, කර්මාන්ත, 
figure, චරිතය, character, ස්වභාවය, nature, ස්වභාවය, 
street, වීදිය, street, 
image, රූප, image, 
phone, දුරකථන, phones, දුරකථන, 
data, දත්ත, data, 
picture, පින්තූරය, picture, 
practice, පුරුද්දකි, practice, 
piece, කෑල්ලක්, piece, 
land, ඉඞම්, lands, ඉඩම්, land, 
product, නිෂ්පාදන, product, 
doctor, වෛද්යවරිය, doctor, 
wall, බිත්තියක්, a wall, බිත්තියක්, 
patient, රෝගියා, patient, 
worker, කම්කරුවා, employee, සේවකයා, employee, 
news, පුවත්, news, 
test, පරීක්ෂණය, examination, විභාගය, examination, 
movie, සිනමා පටය, the movie, චිත්රපටිය, film, චිත්රපටය, movie, 
north, උතුරු, north, 
love, ආදරය, love, 
support, සහාය, support, 
technology, තාක්ෂණ, technology, 
step, පියවර, step, 
baby, ළදරු, baby, 
computer, පරිගණක, computers, පරිගණක, 
type, වර්ගයකි, type, 
attention, අවධානය, focus, අවධානය යොමු කරන්න, attention, 
film, චිත්රපටයකි, film, 
republican, රිපබ්ලිකන්, republican, 
tree, ගස, tree, 
source, මූලාශ්රය, source, 
organization, ආයතනය, institution, ආයතනය, 
hair, හිසකෙස්, hair, 
look, පෙනුම, the appearance, පෙනුම, 
century, සියවස, century, 
evidence, සාක්ෂි, evidence, 
window, කවුළුව, window, 
culture, සංස්කෘතිය, culture, 
chance, අවස්ථාවක්, opportunity, අවස්ථාවක්, 
brother, සහෝදරයා, brother, 
energy, බලශක්ති, energy, 
period, කාලය, time, කාලය, 
course, පාඨමාලාව, course, 
summer, ගිම්හානය, summer, 
plant, ශාකයකි, plant, 
opportunity, අවස්ථාවක්, opportunity, 
term, වාරයයි, turn, හැරෙන්න, turn, 
letter, ලිපිය, the letter, ලිපිය, 
condition, තත්වය, situation, තත්ත්වය, situation, 
choice, තේරීම, selection, තෝරා ගැනීම, selection, 
rule, නීතිය, law, නීති, law, 
daughter, දියණිය, daughter, 
administration, පරිපාලනය, administration, 
south, දකුණු, southern, දක්ෂිණ, southern, 
husband, ස්වාමිපුරුෂයා, husband, 
congress, සම්මේලනය, federation, සම්මේලනය, 
floor, මහල, floor, 
campaign, උද්ඝෝෂනය, campaign, 
material, ද්රව්යය, substance, සංයෝගය, synthesis, සංශ්ලේෂණය, synthesis, 
population, ජනගහනය, population, 
call, අමතන්න, contact, අමතන්න, 
economy, ආර්ථිකය, economy, 
hospital, රෝහල, hospital, 
church, පල්ලිය, the church, පල්ලිය, 
risk, අවදානම්, risk, 
fire, ගිනි, fire, 
future, අනාගතය, the future, අනාගතය, 
defense, ආරක්ෂක, security, ආරක්ෂක, 
security, ආරක්ෂක, security, 
bank, බැංකුව, bank, 
west, බටහිර, west, 
sport, ක්රීඩා, sports, ක්රීඩා, 
board, මණ්ඩලය, board, 
subject, විෂය, subject, 
officer, නිලධාරී, officer, 
rest, විවේක ගන්න, take rest, විවේක ගන්න, 
behavior, හැසිරීම, behavior, 
performance, කාර්ය සාධනය, performance, 
top, ඉහල, high, අධි, high, 
goal, ඉලක්කය, target, ඉලක්කය, 
second, දෙවැනි, second, 
bed, ඇඳක්, bed, 
order, නියෝග, orders, නියෝග, 
author, කර්තෘ, author, 
blood, ලේ, blood, 
agency, නියෝජිතායතනය, agency, 
nature, ස්වභාවය, nature, 
color, වර්ණ, colours, වර්ණ, 
store, ගබඩාවකි, storehouse, ගබඩාව, store, 
sound, ශබ්දය, sound, 
movement, ව්යාපාරය, business, ව්යාපාරික, business, 
page, පිටුව, page, 
race, ජාතියයි, race, 
concern, කනස්සල්ලෙනි, worried, කනස්සල්ලට පත්ව ඇත, frustrated, කලකිරී, depressed, මානසික අවපීඩනය, depression, අවපාතය, depression, 
series, මාලාවක්, series, 
language, භාෂාව, language, 
response, ප්රතිචාරය, reaction, ප්රතික්රියාව, reaction, 
animal, සත්ව, animal, 
factor, සාධකය, factor, 
decade, දශකය, decade, 
article, ලිපිය, the letter, ලිපිය, 
east, නැගෙනහිර, east, 
artist, කලාකරු, artist, 
scene, දර්ශනයකි, sight, ඇස්, eyes, ඇස්, 
stock, කොටස්, parts, කොටස්, 
career, වෘත්තිය, profession, වෘත්තිය, 
treatment, ප්රතිකාරය, treatment, 
approach, ප්රවේශය, access to, ප්රවේශය, 
size, ප්රමාණය, size, 
dog, බල්ලා, dog, 
fund, අරමුදල, fund, 
media, මාධ්ය, the media, මාධ්යය, media, 
sign, සංඥාවක්, signal, සිග්නල්, signal, 
thought, කල්පනා කළා, i thought, මම හිතුවා, i thought, 
list, ලැයිස්තුව, list, 
individual, තනි, the exclusive, සුවිශේෂී වේ, is special, විශේෂයි, special, විශේෂ, special, 
quality, ගුණාත්මක, quality, 
pressure, පීඩනය, pressure, 
answer, පිළිතුර, answer, 
resource, සම්පත, resource, 
meeting, රැස්වීම, meeting, 
disease, රෝගය, disease, 
success, සාර්ථකත්වය, success, 
cup, කුසලාන, cup, 
amount, ප්රමාණය, size, ප්රමාණය, 
ability, හැකියාව, ability, 
staff, කාර්ය මණ්ඩලය, staff, 
character, ස්වභාවය, nature, ස්වභාවය, 
growth, වර්ධනය, development, වර්ධනය, 
loss, අලාභය, loss, 
degree, උපාධිය, bachelor, උපාධිය, 
attack, ප්රහාරය, attack, 
region, කලාපයේ, region, 
television, රූපවාහිනිය, the television, රූපවාහිනිය, 
box, පෙට්ටියක්, box, 
tv, රෑපවාහිණි, tv, 
training, පුහුණුව, training, 
trade, වෙළඳ, trade, 
deal, ගනුදෙනුවක්, deal, 
election, මැතිවරණ, election, 
feeling, හැඟීමයි, feeling, 
standard, සම්මත, passed, සම්මත විය, it was passed, එය සම්මත විය, it was passed, 
bill, පනතක්, bill, 
message, පණිවුඩය, message, 
analysis, විශ්ලේෂණය, analysis, 
benefit, ප්රතිලාභය, return, ආපසු, return, 
sex, ලිංගික කාරණා, sex, 
lawyer, නීතිඥයා, lawyer, 
section, කොටස, part, කොටස, 
glass, වීදුරු, the glasses, වීදුරු, 
skill, කුසලතා, skills, නිපුණතා, skills, 
sister, සහෝදරිය, sister, 
professor, මහාචාර්ය, professor, 
operation, මෙහෙයුම්, operations, මෙහෙයුම්, 
crime, අපරාධය, crime, 
stage, අදියර, phase, අදියර, 
authority, අධිකාරිය, authority, 
design, නිර්මාණ, design, 
sort, වර්ග කිරීම, sort by, අනුව තෝරන්න, sort by, 
one, එක, one, 
knowledge, දැනුම, knowledge, 
gun, තුවක්කුව, gun, 
station, ස්ථානය, location, ස්ථානය, 
strategy, උපාය මාර්ගයකි, a strategy, ක්රමෝපායක්, strategy, 
truth, සත්යය, truth, 
song, සිංදුව, song, 
example, උදාහරණයක්, example, 
environment, පරිසරය, environment, 
leg, කකුල, leg, 
public, පොදු, general, ජනරාල්, general, 
executive, විධායක, executive, 
set, සකසා ඇත, set, 
rock, ගල්, stone, ගල්, 
note, සටහන, note, 
manager, කළමනාකරු, manager, 
help, උදව්, help, 
network, ජාල, network, 
science, විද්යාව, science, 
memory, මතකය, memory, 
card, කාඩ්පත, card, 
seat, ආසනයයි, seat, 
cell, සෛලය, cell, 
trial, නඩු විභාගය, the trial, නඩු විභාගය, 
expert, විශේෂඥයෙක්, expert, 
spring, වසන්තය, the spring, වසන්තය, 
firm, ස්ථීරයි, sure,, සැබැවින්ම,, of course,, ඇත්ත වශයෙන්,, of course,, 
democrat, ප්රජාතන්ත්රවාදියෙකි, democrat, 
radio, ගුවන් විදුලි, radio, 
management, කළමනාකරණ, management, 
ball, පන්දුව, ball, 
talk, කතා කරන්න, talk, 
theory, න්යාය, theory, 
impact, බලපෑම, impact, 
statement, ප්රකාශය, statement, 
charge, අයකෙරේ, charged, අයකරනු ලැබේ, will be charged, ගාස්තු අය කෙරේ, charges are charged, ගාස්තු අය කෙරේ, 
direction, දිශාව, direction, 
weapon, ගිනි අවියක්, a firearm, ගිනි අවියක්, 
employee, සේවකයා, employee, 
peace, සාම, peace, 
base, පදනම, foundation, පදනම, 
pain, වේදනාව, the pain, වේදනාව, 
play, සෙල්ලම් කරන්න, play, 
measure, පියවරකි, step, පියවර, step, 
interview, සම්මුඛ සාකච්ඡාවකි, an interview, සම්මුඛ පරික්ෂණයක්, interview, 
chair, පුටුවක්, a chair, පුටුවක්, 
fish, මාළු, fish, 
camera, කැමරා, cameras, කැමරා, 
structure, ව්යුහය, structure, 
politics, දේශපාලනය, politics, 
bit, ටිකක්, little, කුඩා, little, 
weight, බරයි, heavy, බර, weight, 
candidate, අපේක්ෂකයා, candidate, 
production, නිෂ්පාදනය, production, 
trip, සංචාරය, the journey, ගමන, journey, ගමන, 
evening, සවස, evening, 
conference, සම්මන්ත්රණය, conference, 
unit, ඒකකය, unit, 
style, ශෛලිය, style, 
adult, වැඩිහිටි, adult, 
range, පරාසය, range, 
past, අතීතයේ, past, 
edge, ඉස්සරහට, forward, ඉදිරියට, forward, 
writer, ලේඛකයෙක්, writer, 
trouble, කරදරයක්, trouble, 
challenge, අභියෝගය, challenge, 
fear, බිය, fear, 
shoulder, උරහිස්, shoulder, 
institution, ආයතනය, institution, 
sea, මුහුදු, sea, 
dream, සිහිනයක්, a dream, සිහිනයක්, 
bar, බාර්එක, bar, 
property, දේපල, property, 
stuff, දේවල්, things, දේවල්, 
detail, සවිස්තරාත්මකව, detail, 
method, ක්රමයකි, way, ආකාරය, way, 
magazine, සඟරාවයි, widely, පුළුල්යි, extension, ව්යාප්තිය, distribution, බෙදාහැරීම, distribution, 
hotel, හෝටල්, hotels, හෝටල්, 
soldier, සොල්දාදුවෙක්, soldier, 
cause, හේතුව, reason, හේතුව, 
bag, බෑගය, bag, 
heat, තාපය, heat, 
fall, වැටෙනවා, fall, 
marriage, විවාහ, marriage, 
surface, මතුපිට, surface, 
purpose, අරමුණ, purpose, 
pattern, රටාව, pattern, 
skin, සම, co, කෝ, where, කොහෙද?, where is?, කොහෙද?, 
agent, නියෝජිතයා, agent, 
owner, හිමිකරු, owner, 
machine, යන්ත්රය, machine, 
gas, වායුවක්, gas, 
generation, පරම්පරාවකි, generation, 
cancer, පිළිකාව, cancer, 
item, අයිතමය, item, 
reality, යථාර්ථය, reality, 
coach, පුහුණුකරුවා, coach, 
mrs, මහත්මිය, mrs., මහත්මිය., mrs., 
yard, අංගනයයි, compound, සංයුක්තය, compose, සංයුක්ත කිරීම, compounding, සංයෝග කිරීම, chemistry synergy, සිනර්ජි, synergy, synergy, 
violence, ප්රචණ්ඩත්වය, violence, 
investment, ආයෝජනය, investment, 
discussion, සාකච්ඡා, discussions, සාකච්ඡා, 
finger, ඇඟිල්ල, finger, 
garden, වත්ත, estate, වතු, estate, 
collection, එකතු, add, එකතු කරන්න, add it, එය එකතු කරන්න, add it, 
task, කාර්ය, staff, කාර්ය මණ්ඩලය, staff, 
partner, හවුල්කරුවෙකි, partner, 
kitchen, කුස්සිය, the kitchen, කුස්සිය, 
consumer, පාරිභෝගික, customer, පාරිභෝගික, 
shot, වෙඩි තියලා, shoot, වෙඩි තියන්න, shoot, 
budget, අයවැය, budget, 
painting, සිතුවම, picture, පින්තූරය, picture, 
scientist, විද්යාඥයෙක්, scientist, 
agreement, ගිවිසුම, agreement, 
capital, ප්රාග්ධනය, capital, 
mouth, මුඛය, mouth, 
victim, ගොදුරක් විය, he was a victim, ඔහු ගොදුරක් විය, he was a victim, 
newspaper, පුවත්පත, newspaper, 
threat, තර්ජනය, threat, 
responsibility, වගකීමක්, responsibility, 
attorney, නීතිඥයෙක්, lawyer, නීතිඥයා, lawyer, 
score, ලකුණු, score, 
account, ගිණුම, account, 
break, බිඳීම, cracker, ක්රැකර්, cracker, 
audience, ප්රේක්ෂක පිරිසක්, a group of viewers, නරඹන්නන් පිරිසක්, a group of visitors, නරඹන්නන් පිරිසක්, 
dinner, රාත්රී ආහාරය, dinner, 
vote, ඡන්දය, vote, 
debate, විවාදය, debate, 
citizen, පුරවැසියෙකි, citizen, 
majority, බහුතරය, majority, 
wind, සුළං, wind, 
mission, මෙහෙයුමයි, operations, මෙහෙයුම්, operations, 
customer, පාරිභෝගික, customer, 
speech, කතාවයි, story, කතාව, the story, කතාව, 
option, විකල්පය, option, 
