time, oras, time, 
year, taon, year, 
people, mga tao, people, 
way, paraan, way, 
day, araw, day, 
man, lalaki, man, 
thing, bagay, things, mga bagay, things, 
woman, babae, woman, 
life, buhay, life, 
child, anak, children, mga bata, children, 
world, mundo, world, 
school, paaralan, school, 
state, estado, state, 
family, pamilya, family, 
student, mag-aaral, student, 
group, grupo, group, 
country, bansa, country, 
problem, problema, problem, 
hand, kamay, hand, 
part, bahagi, part, 
place, lugar, place, 
case, kaso, case, 
week, linggo, week, 
company, kumpanya, company, 
system, sistema, system, 
program, programa, program, 
question, tanong, question, 
work, trabaho, work, 
government, pamahalaan, government, 
number, numero, number, 
night, gabi, night, 
mr, ginoo, lord, panginoon, lord, 
point, punto, point, 
home, bahay, house, bahay, 
water, tubig, water, 
room, silid, room, 
mother, ina, mother, 
area, lugar, place, lugar, 
money, pera, money, 
story, kuwento, story, 
fact, katotohanan, truth, katotohanan, 
month, buwan, month, 
lot, marami, many, marami, 
right, tama, right, 
study, pag-aaral, learning, pag-aaral, 
book, libro, book, 
eye, mata, eyes, mata, 
job, trabaho, work, trabaho, 
word, salita, word, 
business, negosyo, business, 
issue, isyu, issue, 
side, gilid, edge, gilid, 
kind, uri, type, uri, 
head, ulo, head, 
house, bahay, house, 
service, serbisyo, service, 
friend, kaibigan, friend, 
father, ama, father, 
power, kapangyarihan, power, 
hour, oras, time, oras, 
game, laro, game, 
line, linya, line, 
end, wakas, finally, sa wakas, finally, 
member, miyembro, members, mga miyembro, members, 
law, batas, law, 
car, kotse, car, 
city, lungsod, city, 
community, komunidad, community, 
name, pangalan, name, 
president, presidente, president, 
team, koponan, team, 
minute, minuto, minutes, minuto, 
idea, idea, 
kid, bata, child, anak, children, mga bata, children, 
body, katawan, body, 
information, impormasyon, information, 
back, bumalik, come back, bumalik, 
parent, magulang, parent, 
face, mukha, face, 
others, iba pa, others, 
level, antas, level, 
office, opisina, office, 
door, pinto, door, 
health, kalusugan, health, 
person, tao, person, 
art, sining, art, 
war, digmaan, war, 
history, kasaysayan, history, 
party, partido, party, 
result, resulta, result, 
change, pagbabago, change, 
morning, umaga, morning, 
reason, dahilan, cause, dahilan, 
research, pananaliksik, research, 
girl, babae, woman, babae, 
guy, guy, 
food, pagkain, food, 
moment, sandali, moment, 
air, hangin, air, 
teacher, guro, teacher, 
force, lakas, strength, lakas, 
education, edukasyon, education, 
foot, paa, feet, paa, 
boy, batang lalaki, boy, 
age, edad, age, 
policy, patakaran, policy, 
process, proseso, process, 
music, musika, music, 
market, merkado, market, 
sense, pakiramdam, feel, pakiramdam, 
nation, bansa, country, bansa, 
plan, plano, plan, 
college, kolehiyo, college, 
interest, interes, interest, 
death, kamatayan, death, 
experience, karanasan, experience, 
effect, epekto, effect, 
use, gamitin, use, 
class, klase, class, 
control, kontrolin, control, 
care, pag-aalaga, care, 
field, patlang, field, 
development, pag-unlad, development, 
role, papel, paper, papel, 
effort, pagsisikap, effort, 
rate, rate, 
heart, puso, heart, 
drug, gamot, medicine, gamot, 
show, ipakita, show, 
leader, pinuno, leader, 
light, liwanag, light, 
voice, boses, voice, 
wife, asawa, wife, 
police, pulisya, police, 
mind, isip, mind, 
price, presyo, price, 
report, ulat, report, 
decision, desisyon, decision, 
son, anak, children, mga bata, children, 
view, tingnan, see, tingnan, 
relationship, relasyon, relationship, 
town, bayan, town, 
road, kalsada, road, 
arm, braso, arm, 
difference, pagkakaiba, difference, 
value, halaga, value, 
building, gusali, building, 
action, aksyon, action, 
model, modelo, model, 
season, panahon, time, oras, time, 
society, lipunan, society, 
tax, buwis, tax, 
director, direktor, director, 
position, posisyon, position, 
player, manlalaro, players, manlalaro, 
record, record, 
paper, papel, paper, 
space, space, 
ground, lupa, forget it, kalimutan ito, forget it, 
form, form, 
event, kaganapan, event, 
official, opisyal na, it's official, opisyal na ito, it's official, 
matter, bagay, things, mga bagay, things, 
center, gitna, middle, gitna, 
couple, mag asawa, wife, asawa, wife, 
site, lugar, place, lugar, 
project, proyekto, project, 
activity, aktibidad, activity, 
star, bituin, star, 
table, talahanayan, table, 
need, kailangan, needed, kailangan, 
court, hukuman, punishment, parusa, penalty, parusa, 
american, amerikano, american, 
oil, langis, oil, 
situation, sitwasyon, situation, 
cost, gastos, cost, 
industry, industriya, industry, 
figure, figure, 
street, kalye, street, 
image, larawan, photo, larawan, 
phone, telepono, phone, 
data, data, 
picture, larawan, photo, larawan, 
practice, pagsasanay, training, pagsasanay, 
piece, piraso, piece, 
land, lupain, land, 
product, produkto, product, 
doctor, doktor, doctor, 
wall, pader, wall, 
patient, pasyente, patient, 
worker, manggagawa, workers, manggagawa, 
news, balita, news, 
test, pagsusulit, exam, pagsusulit, 
movie, pelikula, movie, 
north, hilaga, north, 
love, ibig, love, 
support, suporta, support, 
technology, teknolohiya, technology, 
step, hakbang, step, 
baby, sanggol, baby, 
computer, computer, 
type, uri, type, 
attention, pansin, attention, 
film, pelikula, movie, pelikula, 
republican, republikano, republican, 
tree, puno, puno, 
source, pinagmulan, source, 
organization, organisasyon, organization, 
hair, buhok, hair, 
look, tumingin, look, 
century, siglo, century, 
evidence, katibayan, evidence, 
window, window, 
culture, kultura, culture, 
chance, pagkakataon, opportunity, pagkakataon, 
brother, kapatid na lalaki, brother, 
energy, enerhiya, energy, 
period, panahon, time, oras, time, 
course, kurso, course, 
summer, tag-araw, summer, 
plant, halaman, page, pahina, page, 
opportunity, pagkakataon, opportunity, 
term, term, 
letter, sulat, letter, 
condition, kondisyon, condition, 
choice, pagpili, choice, 
rule, panuntunan, rule, 
daughter, anak na babae, daughter, 
administration, pangangasiwa, administration, 
south, timog, south, 
husband, asawa, wife, asawa, 
congress, kongreso, congress, 
floor, sahig, floor, 
campaign, kampanya, campaign, 
material, materyal, material, 
population, populasyon, population, 
call, tumawag, call, 
economy, ekonomiya, economy, 
hospital, ospital, hospital, 
