time, am, am, 
year, bliain, year, 
people, daoine, people, 
way, bhealach, way, 
day, lá, day, 
man, fear, man, 
thing, rud, thing, 
woman, bean, wife, bean chéile, wife, 
life, saol, life, 
child, leanbh, baby, leanbh, 
world, domhan, world, 
school, scoil, school, 
state, stáit, states, deir, say, rá, say, 
family, teaghlach, family, 
student, dalta, pupil, dalta, 
group, grúpa, group, 
country, tír, country, 
problem, fhadhb, problem, 
hand, lámh, hand, 
part, cuid, some, cuid acu, some of them, cuid acu, 
place, áit, place, 
case, cás, case, 
week, seachtaine, weeks, seachtaine, 
company, cuideachta, company, 
system, córas, system, 
program, clár, program, 
question, ceist, question, 
work, obair, work, 
government, rialtas, government, 
number, uimhir, so much, alán, a lot, alán, 
night, oíche, night, 
mr, an tuasal, mr, 
point, pointe, point, 
home, baile, town, baile, 
water, uisce, water, 
room, seomra, room, 
mother, máthair, mother, 
area, limistéar, area, 
money, airgead, money, 
story, scéal, story, 
fact, deimhin, in fact, i ndáiríre, seriously, dáiríre, actually, i ndáiríre, 
month, mí, me, dom, me, 
lot, go leor, enough, go leor, 
right, ceart, right, 
study, staidéar a dhéanamh, study, 
book, leabhar, book, 
eye, súl, eyes, súile, eyes, 
job, post, post, 
word, focal, word, 
business, gnó, business, 
issue, eisiúint, issue, 
side, taobh, side, 
kind, chineál, kind, 
head, ceann, head, 
house, teach, house, 
service, seirbhís, service, 
friend, cara, face, aghaidh, face, 
father, athair, father, 
power, cumhacht, power, 
hour, uair an chloig, hour, 
game, cluiche, play, imirt, play, 
line, líne, line, 
end, deireadh, end, 
member, ball, ball, 
law, dlí, law, 
car, carr, car, 
city, chathair, city, 
community, pobail, communal, pobail, 
name, ainm, name, 
president, uachtarán, president, 
team, foireann, team, 
minute, nóiméad, minute, 
idea, smaoineamh, think, smaoineamh, 
kid, kid, 
body, comhlacht, body, 
information, eolas, knowledge, eolas, 
back, ar ais, back, 
parent, tuismitheoir, parent, 
face, aghaidh, face, 
others, daoine eile, others, 
level, leibhéal, level, 
office, oifig, office, 
door, doras, door, 
health, sláinte, health, 
person, duine, man, fear, man, 
art, ealaín, art, 
war, cogadh, war, 
history, stair, history, 
party, páirtí, party, 
result, toradh, produce, a tháirgeadh, to produce, a tháirgeadh, 
change, athrú, change, 
morning, maidin, morning, 
reason, cúis, cause, cúis, 
research, taighde, research, 
girl, cailín, girl, 
guy, fear, man, fear, 
food, bia, food, 
moment, nóiméad, minute, nóiméad, 
air, aer, air, 
teacher, múinteoir, teacher, 
force, bhfeidhm, force, 
education, oideachas, education, 
foot, chos, foot, 
boy, buachaill, boy, 
age, aois, age, 
policy, polasaí, policy, 
process, próiseas, process, 
music, ceol, music, 
market, margadh, market, 
sense, ciall, meaning, bhrí, meaning, 
nation, náisiún, nation, 
plan, plean, plan, 
college, coláiste, college, 
interest, ús, interest, 
death, bás, die, bás, 
experience, taithí, experience, 
effect, éifeacht, effect, 
use, bain úsáid as, use, 
class, rang, class, 
control, smacht, discipline, smacht, 
care, cúram, care, 
field, gort, gort, 
development, forbairt, development, 
role, ról, role, 
effort, iarracht, try, déan iarracht, try, 
rate, ráta, rate, 
heart, croí, heart, 
drug, druga, drug, 
show, seó, show, 
leader, ceannaire, leader, 
light, solas, light, 
voice, guth, voice, 
wife, bean chéile, wife, 
police, póilíní, police, 
mind, aigne, mind, 
price, praghas, price, 
report, tuarascáil, report, 
decision, cinneadh, clan, clan, 
son, mac, son, 
view, amharc, watching, ag faire, watching, 
relationship, caidreamh, relationship, 
town, baile, town, 
road, bóthar, road, 
arm, lámh, hand, lámh, 
difference, difríocht, difference, 
value, luach, value, 
building, foirgneamh, building, 
action, gníomh, action, 
model, mionsamhail, thumbnail, mionsamhail, 
season, séasúr, season, 
society, sochaí, society, 
tax, cáin, tax, 
director, stiúrthóir, director, 
position, post, post, 
player, imreoir, player, 
record, taifead, record, 
paper, páipéar, paper, 
space, spás, space, 
ground, talamh, land, talamh, 
form, foirm, form, 
event, imeacht, event, 
official, oifigeach, officer, oifigeach, 
matter, ábhar, content, ábhar, 
center, ionad, center, 
couple, lánúin, couple, 
site, suíomh, location, suíomh, 
project, tionscadal, project, 
activity, gníomhaíocht, activity, 
star, réalta, star, 
table, tábla, table, 
need, gá, necessary, riachtanach, essential, riachtanach, 
court, cúirt, court, 
american, meiriceánach, american, 
oil, ola, oil, 
situation, staid, state, stáit, states, deir, say, rá, say, 
cost, costas, costs, costais, costs, 
industry, tionscal, industry, 
figure, figiúr, figure, 
street, sráide, street, 
image, íomha, compact, dlúth, close, gar, close, 
phone, fón, phone, 
data, sonraí, data, 
picture, pictiúr, picture, 
practice, cleachtadh, practice, 
piece, píosa, piece, 
land, talamh, land, 
product, táirge, product, 
doctor, dochtúir, doctor, 
wall, balla, wall, 
patient, othar, patient, 
worker, oibrí, worker, 
news, nuacht, news, 
test, scrúdú, examined, scrúdaithe, examined, 
movie, scannán, movie, 
north, ó thuaidh, from the north, ó thuaidh, 
love, grá, love, 
support, tacaíocht, support, 
technology, teicneolaíocht, technology, 
step, céim, step, 
baby, leanbh, baby, 
computer, ríomhaire, computer, 
type, cineál, type, 
attention, aird, attention, 
film, scannán, movie, scannán, 
republican, poblachtach, republican, 
tree, crann, crane, crane, 
source, foinse, source, 
organization, eagraíocht, organization, 
hair, gruaige, hair, 
look, breathnú, look, 
century, haois, century, 
evidence, fianaise, evidence, 
window, fuinneog, window, 
culture, cultúr, culture, 
chance, seans, chances, seans, 
brother, deartháir, brother, 
energy, fuinneamh, energy, 
period, tréimhse, period, 
course, cúrsa, course, 
summer, samhradh, summer, 
plant, plandaí, plants, plandaí, 
opportunity, deis, opportunity, 
term, téarma, term, 
letter, litir, letter, 
condition, riocht, condition, 
choice, rogha, choice, 
rule, riail, rule, 
daughter, iníon, daughter, 
administration, riarachán, administration, 
south, ó dheas, to the south, ó dheas, 
husband, fear céile, husband, 
congress, comhdháil, conference, comhdháil, 
floor, urlár, floor, 
campaign, feachtas, campaign, 
material, ábhar, content, ábhar, 
population, daonra, population, 
call, glaoigh, call, 
economy, geilleagar, economy, 
hospital, ospidéal, hospital, 
church, eaglais, church, 
risk, riosca, risk, 
fire, tine, fire, 
future, sa todhchaí, in the future, sa todhchaí, 
defense, cosaint, protection, cosaint, 
security, slándála, security, 
bank, bainc, bank, 
west, siar, west, 
sport, spórt, sport, 
board, bord, board, 
subject, faoi ​​réir, subject, 
officer, oifigeach, officer, 
rest, chuid eile, rest, 
behavior, iompar, transportation, iompar, 
performance, feidhmíocht, performance, 
top, barr, top, 
goal, sprioc, goal, 
second, dara, second, 
bed, leaba, bed, 
order, ordú, order, 
author, údar, author, 
blood, fola, blood, 
agency, gníomhaireacht, agency, 
nature, nádúr, nature, 
color, dath, color, 
store, siopa, shop, siopa, 
sound, fuaime, sound, 
movement, gluaiseacht, move, bogadh, move, 
page, leathanach, page, 
race, cine, cinema, pictiúrlann, cinema, 
concern, imní, anxiety, imní, 
series, sraith, series, 
language, teanga, tongue, teanga, 
response, freagra, reply, freagra, 
animal, ainmhí, animal, 
factor, fachtóir, factor, 
decade, deich mbliana, ten years, deich mbliana, 
article, alt, alt, 
east, soir, to the east, soir, 
artist, ealaíontóir, artist, 
scene, radharc, sight, radharc, 
stock, stoc, stock, 
career, gairme, career, 
treatment, cóireáil, treatment, 
approach, cur chuige, approach, 
size, méid, size, 
dog, madra, dog, 
fund, ciste, cake, cáca milis, cake, 
media, na meáin, the media, na meáin chumarsáide, the media, 
sign, comhartha, signal, comhartha, 
thought, smaoinimh, thought, 
list, liosta, list, 
individual, aonair, individual, 
quality, caighdeán, quality, 
pressure, brú, pressure, 
answer, freagra, reply, freagra, 
resource, acmhainn, resource, 
meeting, cruinniú, meeting, 
disease, galar, disease, 
success, rath, success, 
cup, cupán, cup, 
amount, méid, size, méid, 
ability, cumas, ability, 
staff, an fhoireann, the team, an fhoireann, 
character, carachtar, character, 
growth, fás, grow, ag fás, growing, ag fás, 
loss, caillteanas, loss, 
degree, céim, step, céim, 
attack, ionsaí, attack, 
region, réigiún, region, 
television, teilifís, tv, teilifís, 
box, bosca, box, 
tv, tv, 
training, oiliúint, training, 
trade, trádáil, trade, 
deal, déileáil, deal, 
election, toghchán, election, 
feeling, mothú, feeling, 
standard, caighdeánach, standard, 
bill, bille, bill, 
message, teachtaireacht, message, 
analysis, anailís, analysis, 
benefit, sochar, benefit, 
sex, gnéas, sex, 
lawyer, dlíodóir, lawyer, 
section, alt, alt, 
glass, gloine, glass, 
skill, scil, skill, 
sister, deirfiúr, sister, 
professor, ollamh, professor, 
operation, oibriú, operate, oibriú, 
crime, coireacht, crime, 
stage, céim, step, céim, 
authority, údarás, authority, 
design, dearadh, design, 
sort, sórtáil, sorting, sórtáil, 
one, ceann amháin, one, 
knowledge, eolas, knowledge, 
gun, gunna, gun, 
station, stáisiún, station, 
strategy, straitéis, strategy, 
truth, fírinne, truth, 
song, amhrán, song, 
example, sampla, sample, sampla, 
environment, timpeallacht, environment, 
leg, cos, cos, 
public, poiblí, public, 
executive, feidhmiúcháin, executive, 
set, leagtha, set, 
rock, carraig, rock, 
note, nóta, note, 
manager, bainisteoir, manager, 
help, cabhrú, help, 
network, líonra, network, 
science, eolaíocht, science, 
memory, cuimhne, remember, cuimhnigh, remember, 
card, cárta, card, 
seat, suíochán, seat, 
cell, cill, cell, 
trial, triail, trial, 
expert, saineolaí, expert, 
spring, earrach, spring, 
firm, daingean, tight, daingean, 
democrat, daonlathach, democratic, daonlathach, 
radio, raidió, radio, 
management, bainistíocht, management, 
ball, liathróid, ball, 
talk, labhairt, talk, 
theory, teoiric, theory, 
impact, tionchar, impact, 
statement, ráiteas, statement, 
charge, muirear, charge, 
direction, treo, direction, 
weapon, arm, army, arm, 
employee, fostaí, employee, 
peace, síocháin, peace, 
base, bonn, bottom, bun, bottom, 
pain, pian, pain, 
play, imirt, play, 
measure, tomhas, measure, 
interview, agallamh, interview, 
chair, chathaoirleach, chairman, cathaoirleach, chairman, 
fish, iasc, fish, 
camera, ceamara, camera, 
structure, struchtúr, structure, 
politics, polaitíocht, politics, 
bit, beagán, a little bit, beagánín, a little bit, 
weight, meáchan, weighing, meáchan, 
candidate, iarrthóir, candidate, 
production, táirgeadh, production, 
trip, turas, a trip, turas, 
evening, tráthnóna, afternoon, tráthnóna, 
conference, comhdháil, conference, 
unit, aonad, unit, 
style, stíl, style, 
adult, duine fásta, grown person, duine fásta, 
range, raon, field, gort, gort, 
past, caite, last, deireanach, last, 
edge, imeall, edge, 
writer, scríbhneoir, writer, 
trouble, trioblóide, trouble, 
challenge, dúshlán, challenge, 
fear, eagla, fear, 
shoulder, ghualainn, shoulder, 
institution, institiúid, institution, 
sea, farraige, sea, 
dream, aisling, dream, 
bar, barra, bar, 
property, maoin, assets, sócmhainní, assets, 
stuff, rudaí, things, rudaí, 
detail, mionsonraí, details, sonraí, data, sonraí, 
method, modh, method, 
magazine, iris, magazine, 
hotel, óstán, hotel, 
soldier, saighdiúir, soldier, 
cause, cúis, cause, 
bag, mála, bag, 
heat, teas, heat, 
fall, titim, fall, 
