time, tid, time, 
year, år, year, 
people, mennesker, people, 
way, vei, way, 
day, dag, day, 
man, mann, man, 
thing, ting, thing, 
woman, kvinne, woman, 
life, liv, life, 
child, barn, children, barn, 
world, verden, world, 
school, skole, school, 
state, stat, state, 
family, familie, family, 
student, student, 
group, gruppe, group, 
country, land, country, 
problem, problem, 
hand, hånd, hand, 
part, del, share, dele, share, 
place, plass, place, 
case, sak, case, 
week, uke, week, 
company, selskap, party, parti, party, 
system, system, 
program, program, 
question, spørsmål, questions, spørsmål, 
work, arbeid, work, 
government, regjering, government, 
number, antall, number, 
night, natt, night, 
mr, mr, 
point, punkt, point, 
home, hjem, home, 
water, vann, water, 
room, rom, room, 
mother, mor, tender, mør, tender, 
area, område, area, 
money, penger, money, 
story, historie, history, historie, 
fact, faktum, fact, 
month, måned, month, 
lot, mye, much, mye, 
right, ikke sant, right, 
study, studere, study, 
book, bok, book, 
eye, øye, eye, 
job, jobb, job, 
word, ord, word, 
business, virksomhet, business, 
issue, utgave, issue, 
side, side, 
kind, snill, kind, 
head, hode, head, 
house, hus, house, 
service, service, 
friend, venn, friend, 
father, far, father, 
power, makt, power, 
hour, time, hour, 
game, spill, game, 
line, linje, line, 
end, slutt, end, 
member, medlem, member, 
law, lov, law, 
car, bil, car, 
city, by, city, 
community, samfunnet, community, 
name, navn, name, 
president, president, 
team, team, 
minute, minutt, minute, 
idea, idé, idea, 
kid, kid, 
body, kropp, body, 
information, informasjon, information, 
back, tilbake, back, 
parent, forelder, parent, 
face, ansikt, face, 
others, andre, others, 
level, nivå, level, 
office, kontor, office, 
door, dør, door, 
health, helse, health, 
person, person, 
art, kunst, art, 
war, krig, war, 
history, historie, history, 
party, parti, party, 
result, resultat, result, 
change, endring, change, 
morning, morgen, morning, 
reason, grunnen til, reason, 
research, forskning, research, 
girl, pike, girl, 
guy, fyr, guy, 
food, mat, food, 
moment, øyeblikk, moment, 
air, luft, air, 
teacher, lærer, teacher, 
force, makt, power, makt, 
education, utdanning, education, 
foot, fot, foot, 
boy, gutt, boy, 
age, alder, age, 
policy, politikk, policy, 
process, prosess, process, 
music, musikk, music, 
market, marked, market, 
sense, føle, feel, føle, 
nation, nasjon, nation, 
plan, plan, 
college, høyskole, college, 
interest, renter, interest rates, renter, 
death, død, death, 
experience, erfaring, experience, 
effect, effekt, effect, 
use, bruk, use, 
class, klasse, class, 
control, kontroll, control, 
care, omsorg, care, 
field, felt, fields, enger, enger, 
development, utvikling, development, 
role, rolle, role, 
effort, anstrengelse, effort, 
rate, sats, rate, 
heart, hjerte, heart, 
drug, legemiddel, drug, 
show, forestilling, performance, opptreden, performance, 
leader, leder, manager, sjef, boss, sjef, 
light, lys, light, 
voice, stemme, voice, 
