time, zäit, time, 
year, joer, year, 
people, leit, people, 
way, wee, way, 
day, dag, day, 
man, mënsch, human, mënsch, 
thing, saach, thing, 
woman, fra, woman, 
life, liewen, life, 
child, kand, child, 
world, welt, world, 
school, schoul, school, 
state, staat, state, 
family, famill, family, 
student, schüler, pupil, schüler, 
group, grupp, group, 
country, land, country, 
problem, problem, 
hand, hand, 
part, deelzehuelen, participate, deelhuelen, participate, 
place, plaz, place, 
case, fall, case, 
week, woch, week, 
company, firma, company, 
system, system, 
program, programm, program, 
question, fro, question, 
work, aarbecht, work, 
government, regierung, government, 
number, zuel, number, 
night, nuecht, night, 
mr, mr, 
point, punkt, point, 
home, doheem, at home, doheem, 
water, waasser, water, 
room, raum, space, raum, 
mother, mamm, mother, 
area, beräich, area, 
money, suen, money, 
story, geschicht, history, geschicht, 
fact, tatsaach, fact, 
month, mount, month, 
lot, vill, a lot, vill, 
right, riets, right, 
study, studéieren, to study, léieren, to learn, léieren, 
book, buch, book, 
eye, aen, eyes, aen, 
job, aarbecht, work, aarbecht, 
word, wuert, word, 
business, geschäft, business, 
issue, thema, topic, thema, 
side, säit, page, säit, 
kind, frëndlech, friendly, frëndlech, 
head, kapp, head, 
house, haus, house, 
service, service, 
friend, frënd, friend, 
father, papp, father, 
power, kraaft, power, 
hour, stonn, hour, 
game, spill, game, 
line, linn, line, 
end, enn, end, 
member, member, 
law, gesetz, law, 
car, auto, car, 
city, stad, luxembourg city, stad, 
community, gemeinschaft, community, 
name, numm, name, 
president, president, 
team, équipe, team, 
minute, minutt, minute, 
idea, iddi, idea, 
kid, kand, child, kand, 
body, kierper, body, 
information, informatioun, information, 
back, zréck, back, 
parent, elteren, parents, elteren, 
face, gesiichter, faces, faces, 
others, aner, others, 
level, niveau, level, 
office, office, 
door, dier, animal, déieren, animals, déieren, 
health, gesondheet, bless you, gesondheet, 
person, persoun, person, 
art, konscht, art, 
war, krich, war, 
history, geschicht, history, 
party, partei, party, 
result, resultat, result, 
change, änneren, modify it, änneren, 
morning, moien, morning, 
reason, grond, reason, 
research, fuerschung, research, 
girl, meedchen, girl, 
guy, typ, type, typ, 
food, iessen, food, 
moment, moment, 
air, loft, air, 
teacher, enseignant, teacher, 
force, kraaft, power, power, 
education, ausbildung, training, training, 
foot, fouss, foot, 
boy, jong, son, jong, 
age, alter, age, 
policy, politik, politics, politik, 
process, prozess, process, 
music, musek, music, 
market, marché, marché, 
sense, sënn, sin, sënn, 
nation, natioun, nation, 
plan, plang, plan, 
college, collège, collège, 
interest, interessi, interest, 
death, doud, death, 
experience, erfarung, experience, 
effect, effekt, effect, 
use, benotzen, use it, benotz et, use it, 
class, klass, class, 
control, kontrolléieren, control, 
care, egal, no matter, ganz egal, no matter what, egalwat, egalitarian, egalitär sinn, egalitarian, 
field, gebitt, area, raum, space, raum, 
development, entwécklung, development, 
role, roll, roll, 
effort, ustrengung, effort, 
rate, zënssaz, interest rate, zënssaz, 
heart, häerz, heart, 
drug, drogen of, drugs of, drogen vu, drugs, drogen, drugs, 
show, ze weisen, to show, ze weisen, 
leader, leader, 
light, luucht, light, 
voice, stëmm, voice, 
wife, fra, woman, fra, 
police, police, 
mind, kapp, head, head, 
price, präis, price, 
report, rapport, report, 
decision, entscheedung, decision, 
son, jong, son, 
view, kucken, look, kucken, 
relationship, bezéiung, relationship, 
town, stad, luxembourg city, stad, 
road, strooss, road, 
arm, aarm, arm, 
difference, ënnerscheed, difference, 
value, wäert, worth, worth, 
building, ze bauen, to build, ze bauen, 
action, aktioun, action, 
model, modell, model, 
season, saison, season, 
society, gesellschaft, society, 
tax, steieren, taxes, steieren, 
director, direkter, director, 
position, positioun, position, 
player, spiller sinn, players are, spiller sinn, 
record, rekord, record, 
paper, pabeier, paper, 
space, plaz, place, place, 
ground, buedem, floor, um buedem, on the floor, um buedem, 
form, form, 
event, event, 
official, offiziell, officially, offiziell, 
matter, matière, matter, 
center, zentrum, center, 
couple, koppel, couple, 
site, site, 
project, projet, project, 
activity, aktivitéit, activity, 
star, stär, star, 
table, dësch, table, 
need, braucht, need, 
court, geriicht, court, 
american, amerikanescher, american, 
oil, ueleg, oil, 
situation, situatioun, situation, 
cost, kascht, costs, käschten, costs, 
industry, 'industrie, industry, 
figure, figur, figure, 
street, strooss, road, strooss, 
image, bild, picture, bild, 
phone, telefon, phone, 
data, donnéeën, data, 
picture, bild, picture, 
practice, praktizéieren, practicing, ze praktizéieren, to practice, ze praktizéieren, 
piece, stéck, piece, 
land, land, 
product, produkt, product, 
doctor, dokter, doctor, 
wall, mauer, wall, 
patient, patient, 
worker, aarbechter, worker, 
news, neiegkeeten, news, 
test, test, 
movie, film, movie, 
north, norden, north, 
love, léift, love, 
support, ënnerstëtzen, support, 
technology, technologie, technology, 
step, schrëtt, steps, schrëtt, 
baby, puppelchen, baby, 
computer, computer, 
type, zort, type, 
attention, oppassen, pay attention, oppassen, 
film, film, 
republican, republikaner, republicans, republikaner, 
tree, bam, bam, 
source, quell, source, 
organization, organisatioun, organization, 
hair, hoer, hair, 
look, kucken, look, 
century, joerhonnert, century, 
evidence, beweiser, evidence, 
window, fënster, window, 
