time, সময়, time, 
year, বছর, year, 
people, সম্প্রদায়, community, সম্প্রদায়, 
way, পথ, road, রাস্তা, the road, রাস্তাটি, the road, 
day, দিন, day, 
man, মানুষ, people, সম্প্রদায়, community, সম্প্রদায়, 
thing, জিনিস, things, থিংস, things, 
woman, নারী, women, মহিলাদের, women, 
life, জীবন, life, 
child, শিশু, children, শিশু, 
world, বিশ্ব, world, 
school, স্কুল, school, 
state, অবস্থা, status, অবস্থা, 
family, পরিবার, family, 
student, ছাত্র, students, শিক্ষার্থীরা, students, 
group, গ্রুপ, group, 
country, দেশ, country, 
problem, সমস্যা, problem, 
hand, হাত, hand, 
part, অংশ, part, 
place, জায়গা, place, 
case, কেস, the case, মামলা, the suit, মামলা, 
week, সপ্তাহ, week, 
company, কোম্পানী, company, 
system, পদ্ধতি, method, পদ্ধতি, 
program, কার্যক্রম, activities, ক্রিয়াকলাপ, activity, কার্যকলাপ, activity, 
question, প্রশ্ন, the question, প্রশ্নটি, the question is, প্রশ্ন হচ্ছে, the question is, 
work, কাজ, work, 
government, সরকার, government, 
number, সংখ্যা, number, 
night, রাত, the night, রাত্রি, the night, 
mr, জনাব, mr., জনাব., mr., 
point, বিন্দু, dot, ডট, dot, 
home, বাড়ি, home, 
water, পানি, water, 
room, ঘর, house, গৃহ, house, 
mother, মা, mother, 
area, এলাকায়, in the area, এলাকায়, 
money, টাকা, money, 
story, গল্প, story, 
fact, সত্য, truth, সত্য, 
month, মাস, month, 
lot, অনেক, many, অনেক, 
right, অধিকার, right, 
study, অধ্যয়ন, study, 
book, বই, book, 
eye, চোখ, eyes, চোখ, 
job, কাজ, work, কাজ, 
word, শব্দ, words, শব্দ, 
business, ব্যবসায়, business, 
issue, সমস্যা, problem, সমস্যা, 
side, পাশ, side passed, সাইড পাস করেছে, side has passed, সাইড পাস করেছে, 
kind, সদয়, kind, 
head, মাথা, head, 
house, গৃহ, house, 
service, সেবা, service, 
friend, বন্ধু, friend, 
father, পিতা, father, 
power, ক্ষমতা, power, 
hour, ঘন্টা, hours, ঘন্টার, hours, 
game, খেলা, play, খেলা, 
line, লাইন, line, 
end, শেষ, the end, শেষ, 
member, সদস্য, member, 
law, আইন, law, 
car, গাড়ী, car, 
city, শহর, city, 
community, সম্প্রদায়, community, 
name, নাম, name, 
president, সভাপতি, president, 
team, টীম, the team, দলটি, the team, 
minute, মিনিট, minutes, মিনিট, 
idea, ধারণা, the idea, বুদ্ধিটা, the intellect, বুদ্ধি, intellect, বুদ্ধি, 
kid, ছাগলছানা, kid, 
body, শরীর, body, 
information, তথ্য, information, 
back, পিছনে, behind, পিছনে, 
parent, মাতা, mother, মা, mother, 
face, মুখ, face, 
others, অন্যদের, others, 
level, উচ্চতা, height, উচ্চতা, 
office, দপ্তর, office, 
door, দরজা, door, 
health, স্বাস্থ্য, health, 
person, ব্যক্তি, person, 
art, শিল্প, art, 
war, যুদ্ধ, war, 
history, ইতিহাস, history, 
party, পার্টি, party, 
result, ফল, fruit, ফল, 
change, পরিবর্তন, change, 
morning, সকাল, morning, 
reason, কারণ, the reason, কারন, because, কারণ, 
research, গবেষণা, research, 
girl, মেয়ে, girl, 
guy, লোক, people, সম্প্রদায়, community, সম্প্রদায়, 
food, খাদ্য, food, 
moment, মুহূর্ত, the moment, মুহূর্ত, 
air, বায়ু, wind, বায়ু, 
teacher, শিক্ষক, teacher, 
force, বল, force, 
education, শিক্ষা, education, 
