time, вақт, time, 
year, сол, year, 
people, одамон, people, 
way, роҳ, road, роҳ, 
day, рӯз, day, 
man, мард, man, 
thing, чизи, something, чизе, something, 
woman, зан, woman, 
life, ҳаёт, life, 
child, кӯдак, child, 
world, ҷаҳон, world, 
school, мактаб, school, 
state, давлат, state, 
family, оила, family, 
student, донишҷӯ, student, 
group, гурӯҳ, group, 
country, кишвар, country, 
problem, мушкилот, problem, 
hand, даст, get it, инро гир, get it, 
part, қисмати, section, ҷудокунӣ, separation, ҷудошавӣ, separation, 
place, ҷойгир карда шудааст, is located, ҷойгир шудааст, is located, 
case, парванда, case, 
week, ҳафта, week, 
company, ширкат, company, 
system, система, system, 
program, барнома, application, ариза, application, 
question, савол, question, 
work, кор, work, 
government, ҳукумат, government, 
number, рақами, number, 
night, шабона, night, 
mr, ҷаноб, sure, дуруст аст, it is true, ин дуруст аст, that's right, ин дуруст аст, 
point, нуқта, point, 
home, хона, home, 
water, об, water, 
room, ҳуҷраи, room, 
mother, модар, mother, 
area, минтақаи, area, 
money, пул, money, 
story, ҳикоя, story, 
fact, факт, fact, 
month, моҳ, month, 
lot, бисёр, many, бисёр, 
right, рост, right, 
study, омӯзиш, study, 
book, китоб, book, 
eye, чашм, eye, 
job, кор, work, кор, 
word, калима, the word, калимаҳо, words, калимаҳо, 
business, бизнес, business, 
issue, чоп, print, чоп кунед, print, 
side, тараф, side, 
kind, хуб, good, хуб, 
head, сар, head, 
house, хона, home, хона, 
service, хизматрасонӣ, service, 
friend, дўстон, friend, 
father, падар, father, 
power, қудрат, power, 
hour, соат, hour, 
game, бозӣ, play, бозӣ кунед, play, 
line, хати, line, 
end, поён, poor, ноустувор, no sense, ҳеҷ маъное нест, there is no meaning, маълум нест, not sure, мутмаъин нест, it does not matter, фарқ надорад, it does not matter, 
member, аъзо, member, 
law, қонун, law, 
car, мошин, car, 
city, шаҳр, city, 
community, ҷомеа, community, 
name, ном, name, 
president, президент, president, 
team, даста, team, 
minute, дақиқа, minute, 
idea, идея, idea is ~~ v, иҷтимоъ, search, ҷустуҷӯ, search, 
kid, кӯдакон, children, фарзандон, children, 
body, бадан, body, 
information, иттилоот, information, 
back, бозгашт, back, 
parent, волидайн, parent, 
face, рӯирост, direct, бевосита, direct, 
others, дигарон, others, 
level, сатҳ, level, 
office, идора, manage, идора кардан, managing, идоракунии, management, идора, 
door, дари хона, door to door, дари хона, 
health, саломатӣ, health, 
person, шахс, person, 
art, санъат, art, 
war, ҷанг, war, 
history, таърих, history, 
party, ҳизб, party, 
result, натиҷа, results, натиҷаҳо, results, 
change, тағйирдиҳӣ, change, 
morning, субҳ, morning, 
reason, сабаби, reason, 
research, тадқиқот, research, 
girl, духтар, girl, 
guy, мард, man, мард, 
food, хӯрок, food, 
moment, лаҳза, moment, 
air, ҳаво, air, 
teacher, муаллим, teacher, 
force, қувват, power, қудрат, power, 
education, маориф, education, 
foot, пиёла, cup, коса, cup, 
boy, писар, boy, 
age, синну сол, age, 
policy, сиёсат, politics, сиёсат, 
process, раванди, process, 
music, мусиқӣ, music, 
market, бозор, market, 
sense, ҳассос, sensitive, ҳассос, 
nation, халқ, the people, одамон, people, одамон, 
plan, нақша, plan, 
college, коллеҷ, college, 
interest, фоиз, interest, 
death, марг, death, 
experience, таҷриба, experience, 
effect, таъсири, effect, 
use, истифода баред, use it, онро истифода баред, use it, 
class, синф, class, 
control, назорат, control, 
care, ғамхорӣ, care, 
field, майдон, field, 
development, рушд, development, 
role, нақш, role, 
effort, кӯшиш, try, кӯшиш кунед, try it, кӯшиш кун, try it, 
rate, арзиш, value, арзиш, 
heart, дил, heart, 
drug, маводи мухаддир, drugs, маводи мухаддир, 
show, нишон диҳед, show it, нишон диҳед, 
leader, лидер, leader, 
light, нур, light, 
voice, садо, sound, садо, 
wife, зан, woman, зан, 
police, полис, police, 
mind, фикр, think, фикр кунед, think about it, дар бораи он фикр кунед, think about it, 
price, нарх, price, 
report, гузориш, report, 
decision, қарор қабул мекунад, decision making, тасмим гирӣ, decision making, 
son, писар, boy, писар, 
view, назар, look, назар, 
relationship, муносибат, attitude, муносибат, 
town, шаҳр, city, шаҳр, 
road, роҳ, road, 
arm, ранд, for example, барои намуна, for example, 
difference, фарқият, difference, 
value, арзиш, value, 
building, бино, building, 
action, амал, action, 
model, модели, model, 
season, мавсими, season, 
society, ҷамъият, community, ҷомеа, community, 
tax, андоз, tax, 
director, директори, director, 
position, мавқеъ, position, 
player, плеер, плеер, 
record, сабт кунед, record it, онро сабт кунед, record it, 
paper, коғаз, paper, 
space, фазо, space, 
ground, замин, earth, замин, 
form, форм, form, 
