time, час, time, 
year, год, year, 
people, людзі, people, 
way, шлях, path, шлях, 
day, дзень, day, 
man, чалавек, people, людзі, people, 
thing, рэч, thing, 
woman, жанчына, woman, 
life, жыццё, life, 
child, дзіця, baby, дзіця, 
world, свет, world, 
school, школа, school, 
state, стан, state, 
family, сям'я, family, 
student, студэнт, student, 
group, група, group, 
country, краіна, country, 
problem, праблема, problem, 
hand, рука, hand, 
part, частка, part, 
place, месца, place, 
case, выпадак, case, 
week, тыдзень, week, 
company, кампанія, company, 
system, сістэма, system, 
program, праграма, program, 
question, пытанне, the question, пытанне, 
work, праца, work, 
government, ўрад, government, 
number, нумар, number, 
night, ноч, night, 
mr, спадар, mr., спадар., mr., 
point, кропка, point, 
home, дома, house, дом, house, 
water, вада, water, 
room, пакой, room, 
mother, маці, mother, 
area, вобласць, region, вобласць, 
money, грошы, money, 
story, гісторыя, story, 
fact, факт, fact, 
month, месяц, month, 
lot, серыя, series, серыя, 
right, права, right, 
study, даследаванне, study, 
book, кніга, book, 
eye, вачэй, eye, 
job, праца, work, праца, 
word, слова, word, 
business, бізнес, business, 
issue, пытанне, the question, пытанне, 
side, бок, party, партыя, party, 
kind, выгляд, view, выгляд, 
head, галава, head, 
house, дом, house, 
service, абслугоўванне, service, 
friend, сябар, friend, 
father, бацька, father, 
power, магутнасць, power, 
hour, гадзіну, hour, 
game, гульня, game, 
line, лінія, line, 
end, канец, end, 
member, член, member, 
law, закон, law, 
car, аўтамабіль, car, 
city, горад, city, 
community, супольнасць, community, 
name, імя, name, 
president, прэзідэнт, president, 
team, каманда, team, 
minute, хвілін, minutes, хвілін, 
idea, ідэя, idea, 
kid, дзіця, baby, дзіця, 
body, цела, body, 
information, інфармацыя, information, 
back, назад, ago, назад, 
parent, бацька, father, бацька, 
face, твар, person, чалавек, people, людзі, people, 
others, іншыя, other, іншы, other, 
level, ўзровень, level, 
office, офіс, office, 
door, дзверы, door, 
health, здароўе, health, 
person, чалавек, people, людзі, people, 
art, мастацтва, art, 
war, вайна, war, 
history, гісторыя, story, гісторыя, 
party, партыя, party, 
result, вынік, result, 
change, змена, change, 
morning, раніца, morning, 
reason, прычына, reason, 
research, даследаванне, study, даследаванне, 
girl, дзяўчына, girl, 
guy, хлопец, guy, 
food, харчаванне, food, 
moment, момант, time, час, time, 
air, паветра, air, 
teacher, настаўнік, teacher, 
force, сіла, power, магутнасць, power, 
education, адукацыя, formation, адукацыя, 
foot, фут, ft, фут, 
boy, хлопчык, boy, 
age, ўзрост, age, 
policy, палітыка, policy, 
process, працэс, process, 
music, музыка, music, 
market, рынак, market, 
sense, пачуццё, feeling, пачуццё, 
nation, нацыя, nation, 
plan, план, plan, 
college, каледж, college, 
interest, цікавасць, interest, 
death, смерць, death, 
experience, вопыт, experience, 
effect, эфект, effect, 
use, выкарыстанне, the use of, выкарыстанне, 
class, клас, class, 
control, кантроль, control, 
care, сыход, care, 
field, поле, field, 
development, развіццё, development, 
role, ролю, role, 
effort, высілак, effort, 
rate, хуткасць, speed, хуткасць, 
heart, сэрца, heart, 
drug, лекавы сродак, drug, 
show, шоў, show, 
leader, лідэр, leader, 
light, святло, light, 
voice, голас, voice, 
wife, жонка, wife, 
police, паліцыя, police, 
mind, розум, mind, 
price, цана, price, 
report, даклад, report, 
decision, рашэнне, decision, 
son, сын, son, 
view, выгляд, view, 
relationship, адносіны, relations, адносіны, 
town, горад, city, горад, 
road, дарога, road, 
arm, рука, hand, рука, 
difference, розніца, difference, 
value, значэнне, meaning, сэнс, meaning, 
building, будаўніцтва, construction, будаўніцтва, 
action, дзеянне, effect, эфект, effect, 
model, мадэль, model, 
season, сезон, season, 
society, таварыства, society, 
tax, падатак, tax, 
director, дырэктар, director, 
position, становішча, position, 
player, гулец, player, 
record, запіс, record, 
paper, папера, paper, 
space, прастору, space, 
ground, зямля, earth, зямля, 
form, форма, shape, форма, 
event, падзея, event, 
official, афіцыйны, official, 
matter, пытанне, the question, пытанне, 
center, цэнтр, center, 
couple, пара, couple, 
site, сайт, website, сайт, 
project, праект, project, 
activity, дзейнасць, activity, 
star, зорка, star, 
table, стол, table, 
need, трэба, need, 
court, суд, court, 
american, амерыканскі, american, 
oil, алей, oil, 
situation, сітуацыя, situation, 
cost, кошт, cost of, кошт, 
industry, прамысловасць, industry, 
figure, фігура, figure, 
street, вуліца, street, 
image, малюнак, image, 
phone, тэлефон, phone, 
data, дадзеныя, data, 
picture, карціна, picture, 
practice, практыка, practice, 
piece, частка, part, частка, 
land, зямля, earth, зямля, 
product, прадукт, product, 
doctor, лекар, doctor, 
wall, сцяна, wall, 
patient, пацыент, patient, 
worker, работнік, employee, супрацоўнік, employee, 
news, навіны, news, 
test, тэст, test, 
movie, фільм, film, фільм, 
north, поўнач, midnight, поўнач, 
love, каханне, love, 
support, падтрымка, support, 
technology, тэхналогія, technology, 
step, крок, step, 
baby, дзіця, baby, 
computer, кампутар, computer, 
type, тып, type, 
attention, увагу, attention, 
film, фільм, film, 
republican, рэспубліканец, republican, 
tree, дрэва, wood, дрэва, 
source, крыніца, source, 
organization, арганізацыя, organization, 
hair, валасы, hair, 
look, паглядзець, look, 
century, стагоддзя, century, 
evidence, доказы, evidence, 
window, акно, window, 
culture, культура, culture, 
chance, шанец, chance, 
brother, брат, brother, 
energy, энергія, energy, 
period, перыяд, period, 
course, курс, course, 
summer, лета, summer, 
plant, завод, factory, завод, 
opportunity, магчымасць, opportunity, 
term, тэрмін, time, час, time, 
letter, ліст, letter, 
condition, стан, state, стан, 
choice, выбар, selection, выбар, 
rule, правіла, rule, 
daughter, дачка, daughter, 
administration, адміністрацыя, administration, 
south, поўдзень, south, 
husband, муж, husband, 
congress, кангрэс, congress, 
