time, tid, time, 
year, år, year, 
people, människor, people, 
way, sätt, way, 
day, dag, day, 
man, man, 
thing, sak, thing, 
woman, kvinna, woman, 
life, liv, life, 
child, barn, children, barn, 
world, värld, world, 
school, skola, school, 
state, stat, state, 
family, familj, family, 
student, studerande, student, 
group, grupp, group, 
country, land, country, 
problem, problem, 
hand, hand, 
part, del, part, 
place, plats, place, 
case, fall, case, 
week, vecka, week, 
company, företag, business, företag, 
system, systemet, system, 
program, program, 
question, fråga, question, 
work, arbete, work, 
government, regering, government, 
number, siffra, figure, figur, figure, 
night, natt, night, 
mr, herr, mr., herr., mr., 
point, punkt, point, 
home, hem, home, 
water, vatten, water, 
room, rum, room, 
mother, mor, mother, 
area, område, area, 
money, pengar, money, 
story, berättelse, story, 
fact, faktum, fact, 
month, månad, month, 
lot, massa, pulp, massa, 
right, höger, right, 
study, studie, study, 
book, bok, book, 
eye, öga, eye, 
job, jobb, job, 
word, ord, words, ord, 
business, företag, business, 
issue, problem, problem, 
side, sida, page, sida, 
kind, snäll, kind, 
head, huvud, head, 
house, hus, house, 
service, service, 
friend, vän, friend, 
father, far, father, 
power, kraft, force, tvinga, force, 
hour, timme, hour, 
game, spel, game, 
line, linje, line, 
end, slutet, end, 
member, medlem, member, 
law, lag, law, 
car, bil, car, 
city, stad, city, 
community, gemenskap, community, 
name, namn, name, 
president, president, 
team, team, 
minute, minut, minute, 
idea, aning, idea, 
kid, unge, young, ung, young, 
body, kropp, body, 
information, information, 
back, tillbaka, back, 
parent, förälder, parent, 
face, ansikte, face, 
others, andra, other, andra, 
level, nivå, level, 
office, kontor, office, 
door, dörr, door, 
health, hälsa, health, 
person, person, 
art, konst, art, 
war, krig, war, 
history, historia, history, 
party, fest, party, 
result, resultat, results, resultat, 
change, byta, change, 
morning, morgon-, morning, 
reason, anledning, reason, 
research, forskning, research, 
girl, flicka, girl, 
guy, kille, boy, pojke, boy, 
food, mat, food, 
moment, ögonblick, moment, 
air, luft, air, 
teacher, lärare, teacher, 
force, tvinga, force, 
education, utbildning, training, träning, exercise, träning, 
foot, fot, foot, 
boy, pojke, boy, 
age, ålder, age, 
policy, politik, policy, 
process, bearbeta, process, 
music, musik, music, 
market, marknadsföra, to market, till marknaden, to the market, till marknaden, 
sense, känsla, feeling, känsla, 
nation, nation, 
plan, planen, pitch, tonhöjd, pitch, 
college, högskola, college, 
interest, intressera, interest, 
death, död, death, 
experience, erfarenhet, experience, 
effect, effekt, effect, 
use, använda sig av, use, 
class, klass, class, 
control, kontrollera, verify, kontrollera, 
care, vård, care, 
field, fält, field, 
development, utveckling, development, 
role, roll, role, 
effort, ansträngning, effort, 
rate, betygsätta, mark, markera, mark, 
heart, hjärta, heart, 
