time, hora, hour, hora, 
year, año, year, 
people, gente, people, 
way, camino, path, camino, 
day, día, day, 
man, hombre, man, 
thing, cosa, thing, 
woman, mujer, woman, 
life, vida, lifetime, toda la vida, lifetime, 
child, niño, boy, chico, boy, 
world, mundo, world, 
school, colegio, school, 
state, estado, state, 
family, familia, family, 
student, estudiante, student, 
group, grupo, group, 
country, país, country, 
problem, problema, problem, 
hand, mano, hand, 
part, parte, part, 
place, lugar, place, 
case, caso, case, 
week, semana, week, 
company, empresa, company, 
system, sistema, system, 
program, programa, program, 
question, pregunta, question, 
work, trabajo, job, trabajo, 
government, gobierno, government, 
number, número, number, 
night, noche, night, 
mr, señor, mr, 
point, punto, point, 
home, casa, home, 
water, agua, water, 
room, habitación, room, 
mother, madre, mother, 
area, zona, zone, zona, 
money, dinero, money, 
story, historia, history, historia, 
fact, hecho, fact, 
month, mes, month, 
lot, mucho, a lot, mucho, 
right, derecho, law, ley, law, 
study, estudiar, study, 
book, libro, book, 
eye, ojo, eye, 
job, trabajo, job, 
word, palabra, word, 
business, negocio, deal, acuerdo, agreement, acuerdo, 
issue, problema, problem, problema, 
side, lado, side, 
kind, tipo, kind, 
head, cabeza, head, 
house, casa, home, casa, 
service, servicio, service, 
friend, amigo, friend, 
father, padre, father, 
power, poder, power, 
hour, hora, hour, 
game, juego, game, 
line, línea, line, 
end, fin, end, 
member, miembro, member, 
law, ley, law, 
car, coche, car, 
city, ciudad, city, 
community, comunidad, community, 
name, nombre, first name, nombre de pila, first name, 
president, presidente, president, 
team, equipo, equipment, equipo, 
minute, minuto, minute, 
idea, idea, 
kid, niño, boy, chico, boy, 
body, cuerpo, body, 
information, información, information, 
back, espalda, back, 
parent, padre, father, padre, 
face, cara, expensive, costoso, expensive, 
others, otros, others, 
level, nivel, level, 
office, oficina, office, 
door, puerta, door, 
health, salud, health, 
person, persona, person, 
art, art, 
war, guerra, war, 
history, historia, history, 
party, fiesta, party, 
result, resultado, result, 
change, cambio, change, 
morning, mañana, morning, 
reason, razón, reason, 
research, investigación, investigation, investigación, 
girl, niña, girl, 
guy, chico, boy, chico, 
food, comida, food, 
moment, momento, moment, 
air, aire, air, 
teacher, profesor, teacher, 
force, fuerza, force, 
education, educación, education, 
foot, pie, foot, 
boy, chico, boy, 
age, años, years, años, 
policy, política, politics, política, 
process, proceso, process, 
music, música, music, 
market, mercado, market, 
sense, sentido, sense, 
nation, nación, nation, 
plan, plan, 
college, universidad, college, 
interest, interesar, interest, 
death, muerte, death, 
experience, experiencia, experience, 
effect, efecto, effect, 
use, utilizar, use, 
class, clase, class, 
control, controlar, control, 
care, cuidado, watch out, cuidado, 
field, campo, countryside, campo, 
development, desarrollo, development, 
role, papel, paper, papel, 
effort, esfuerzo, effort, 
rate, tarifa, rate, 
heart, corazón, heart, 
drug, droga, drug, 
show, espectáculo, show, 
leader, líder, leader, 
light, ligero, light, 
voice, voz, voice, 
wife, esposa, wife, 
police, policía, police, 
mind, mente, mind, 
price, precio, price, 
report, informe, report, 
decision, decisión, decision, 
son, hijo, son, 
view, ver, see, ver, 
relationship, relación, relationship, 
town, pueblo, town, 
road, la carretera, road, 
arm, brazo, arm, 
difference, diferencia, difference, 
value, valor, value, 
building, edificio, building, 
action, acción, action, 
model, modelo, model, 
season, temporada, season, 
society, sociedad, society, 
tax, impuesto, tax, 
director, director, 
position, posición, position, 
player, jugador, player, 
record, grabar, record, 
paper, papel, paper, 
space, espacio, space, 
ground, suelo, floor, piso, floor, 
form, formar, to form, formar, 
event, evento, event, 
official, oficial, official, 
matter, importar, to import, importar, 
center, centrar, center, 
couple, pareja, couple, 
site, sitio, site, 
project, proyecto, draft, borrador, draft, 
activity, actividad, activity, 
star, estrella, star, 
table, mesa, table, 
need, necesitar, need, 
court, corte, cut, cortar, cut, 
american, americano, american, 
oil, petróleo, petroleum, petróleo, 
situation, situación, situation, 
cost, costo, cost, 
industry, industria, industry, 
figure, figura, figure, 
street, calle, street, 
image, imagen, image, 
phone, teléfono, phone, 
data, datos, data, 
picture, imagen, image, imagen, 
practice, práctica, practice, 
piece, pieza, piece, 
land, tierra, earth, tierra, 
product, producto, product, 
doctor, doctor, 
wall, pared, wall, 
patient, paciente, patient, 
worker, obrero, worker, 
news, noticias, news, 
test, prueba, proof, prueba, 
movie, película, movie, 
north, norte, north, 
love, amor, love, 
support, apoyo, support for, apoyo para, support for, 
technology, tecnología, technology, 
step, paso, he passed, el pasó, step, 
baby, bebé, baby, 
computer, computadora, computer, 
type, tipo, kind, tipo, 
attention, atención, attention, 
film, película, movie, película, 
republican, republicano, republican, 
tree, árbol, tree, 
source, fuente, source, 
organization, organización, organization, 
hair, cabello, hair, 
look, mira, look, 
century, siglo, century, 
evidence, evidencia, evidence, 
window, ventana, window, 
culture, cultura, culture, 
chance, oportunidad, opportunity, oportunidad, 
brother, hermano, brother, 
energy, energía, energy, 
period, período, period, 
course, curso, course, 
summer, verano, summer, 
plant, planta, plant, 
opportunity, oportunidad, opportunity, 
term, término, finished, terminado, finished, 
letter, carta, letter, 
condition, condición, condition, 
choice, elección, choice, 
rule, regla, rule, 
daughter, hija, daughter, 
administration, administración, administration, 
south, sur, south, 
husband, marido, husband, 
congress, congreso, congress, 
floor, piso, floor, 
campaign, campaña, bell, campana, bell, 
material, material, 
population, población, population, 
call, llamada, call, 
economy, economía, economy, 
hospital, hospital, 
church, iglesia, church, 
risk, riesgo, risk, 
fire, fuego, fire, 
future, futuro, future, 
defense, defensa, defending, defendiendo, defending, 
security, seguridad, security, 
bank, banco, bank, 
west, oeste, west, 
sport, deporte, sport, 
board, tablero, board, 
subject, tema, theme, tema, 
officer, oficial, official, oficial, 
rest, descanso, break, descanso, 
behavior, comportamiento, behavior, 
performance, actuación, performance, 
top, parte superior, upper part, parte superior, 
goal, gol, goal, 
second, segundo, second, 
bed, cama, bed, 
order, orden, order, 
author, autor, author, 
blood, sangre, blood, 
agency, agencia, agency, 
nature, naturaleza, nature, 
color, color, 
store, almacenar, to stock, almacenar, 
sound, sonar, sound, 
movement, movimiento, movement, 
page, página, page, 
race, carrera, career, carrera, 
concern, preocupación, concern, 
series, serie, series, 
language, idioma, language, 
response, respuesta, answer, responder, answer, 
animal, animal, 
factor, factor, 
decade, década, decade, 
article, artículo, article, 
east, este, east, 
artist, artista, artist, 
scene, escena, scene, 
stock, valores, values, valores, 
career, carrera, career, 
treatment, tratamiento, treatment, 
approach, enfoque, focus, atención, attention, atención, 
size, tamaño, size, 
