time, ixesha, time, 
year, unyaka, year, 
people, abantu, human beings, abantu, 
way, indlela, the way, indlela, 
day, usuku, day, 
man, ndoda, man, 
thing, into, something, into ethile, something, 
woman, umfazi, wife, nomfazi, wife, 
life, ubomi, life, 
child, umntwana, child, 
world, hlabathi, world, 
school, esikolweni, at school, esikolweni, 
state, lumente, government, rhu lumente, government, 
family, intsapho, family, 
student, umfundi, learner, umfundi, 
group, iqela, group, 
country, lizwe, country, 
problem, ingxaki, problem, 
hand, ngesandla, manually, ngesandla, 
part, nxalenye, part, 
place, indawo, place, 
case, kwimeko, in case, mhlawumbi, in case, 
week, iveki, week, 
company, nkampani, company, 
system, inkqubo, process, inkqubo, 
program, inkqubo, process, inkqubo, 
question, umbuzo, a question, umbuzo, 
work, msebenzi, work, 
government, rhu lumente, government, 
number, inombolo, number, 
night, busuku, night, 
mr, mr, 
point, ngongoma, point, 
home, ekhaya, at home, ekhaya, 
water, amanzi, water, 
room, kwigumbi, room, 
mother, umama, mother, 
area, indawo, place, indawo, 
money, imali, money, 
story, ibali, story, 
fact, nyaniso, truth, nyaniso, 
month, inyanga, month, 
lot, eninzi, many, baninzi, many people, abantu abaninzi, many people, 
right, kunene, right, 
study, kufunda, to read, ukufunda, to learn, ukufunda, 
book, ncwadi, book, 
eye, iliso, eye, 
job, msebenzi, work, msebenzi, 
word, igama, name, igama, 
business, shishini, business, 
issue, khupha, take out, khupha, 
side, icala, the case, kwimeko, in case, mhlawumbi, in case, 
kind, bubele, kind, 
head, intloko, head, 
house, indlu, house, 
service, inkonzo, service, 
friend, ngumhlobo, is a friend, ngumhlobo, 
father, utata, father, 
power, amandla, power, 
hour, yure, hour, 
game, umdlalo, game, 
line, umgca, line, 
end, isiphelo, the end, isiphelo, 
member, ilungu, member, 
law, nomthetho, law, 
car, imoto, car, 
city, sixeko, city, 
community, kuluntu, community, 
name, igama, name, 
president, ngameli, president, 
team, iqela, group, iqela, 
minute, mzuzu, minute, 
idea, ngcamango, thought, cinga, think, cinga, 
kid, nebhokhwe, goat, ibhokhwe, goats, iibhokhwe, goats, 
body, umzimba, body, 
information, ulwazi, information, 
back, ngasemva, behind, ngasemva, 
parent, umzali, parent, 
face, ubuso, face, 
others, abanye, others, 
level, nqanaba, level, 
office, iofisi, office, 
door, emnyango, door, 
health, impilo, health, 
person, umntu, man, ndoda, man, 
art, ubugcisa, art, 
war, imfazwe, war, 
history, imbali, history, 
party, iqela, group, iqela, 
result, siphumo, result, 
change, utshintsho, change, 
morning, ntseni, morning, 
reason, sizathu, the reason, isizathu, the reason, 
research, uphando, google, uphando, 
girl, ntombazana, girl, 
guy, mfana, boy, nkwenkwe, boy, 
food, ukutya, to eat, ukutya, 
moment, mzuzwana, for a moment, umzuzwana, for a moment, 
air, emoyeni, air, 
teacher, titshala, educator, titshala, 
force, nyanzela, force it, yi nyanzela, force it, 
education, imfundo, education, 
foot, unyawo, foot, 
boy, nkwenkwe, boy, 
age, ubudala, age, 
policy, nkqubo, policy, 
process, inkqubo, process, 
music, umculo, music, 
market, ntengiso, advertising, ntengiso, 
sense, ingqiqo, sense, 
nation, lwesizwe, national, kazwelonke, national, 
plan, cwangciso, plan, 
college, kholeji, colleges, iikholeji, colleges, 
interest, umdla, interest, 
death, ukufa, death, 
experience, amava, experience, 
effect, siphumo, result, siphumo, 
use, se benzisa, use, 
class, kwiklasi, classroom, eklasini, classroom, 
control, lawulo, management, lawulo, 
care, nya mekela, caregiving, ukunyamekela, care for them, ba nya mekele, care for them, 
field, kwintsimi, field, 
development, phuhliso, development, 
role, indima, role, 
effort, umzamo, effort, 
rate, izinga, quality, mgangatho, level, nqanaba, level, 
heart, ntliziyo, heart, 
drug, iziyobisi, drugs, machiza, drugs, 
show, bonise, show, 
leader, nkokheli, leadership, nkokheli, 
light, kukhanya, light, 
voice, ilizwi, word, igama, name, igama, 
wife, nomfazi, wife, 
police, mapolisa, police, 
mind, engqondweni, in mind, engqondweni, 
price, xabiso, value, xabiso, 
report, ingxelo, report, 
decision, sigqibo, decision, 
son, unyana, son, 
view, nembono, vision, umbono, vision, 
relationship, ulwalamano, relationship, 
town, dolophu, town, 
road, kwendlela, the road, indlela, the way, indlela, 
arm, ingalo, arm, 
difference, umahluko, difference, 
value, xabiso, value, 
building, sakhiwo, building, 
action, nyathelo, step, nyathelo, 
model, mzekelo, for instance, njengokuba, as well, njengokuba, 
season, lonyaka, this year, kulo nyaka, this year, 
society, kuluntu, community, kuluntu, 
tax, irhafu, tax, 
director, mlawuli, director, 
position, isikhundla, position, 
player, umdlali, player, 
record, irekhodi, record, 
paper, iphepha, paper, 
space, indawo, place, indawo, 
ground, mhlabeni, earth, mhlabeni, 
form, ifomu, form, 
event, ganeko, event, 
official, igosa, officer, igosa, 
matter, umcimbi, event, ganeko, event, 
center, kwiziko, the institution, leziko, center, 
couple, sibini, second, isibini, second, 
site, indawo, place, indawo, 
project, projekthi, project, 
activity, msebenzi, work, msebenzi, 
star, nkwenkwezi, stars, nkwenkwezi, 
table, itafile, table, 
need, mfuneko, necessary, kuyimfuneko, is necessary, kuyimfuneko, 
court, inkundla, court, 
american, american, 
oil, ioli, oil, 
situation, imeko, situation, 
cost, indleko, cost, 
industry, shishini, business, shishini, 
figure, umfanekiso, image, umfanekiso, 
street, sitrato, street, 
image, umfanekiso, image, 
phone, ifowuni, phone, 
data, idatha, data, 
picture, mfa nekiso, picture, 
practice, ku sebenza, to work, ukusebenza, to work, 
piece, qhekeza, break up, hlukala, break up, 
land, umhlaba, the world, umhlaba, 
product, mveliso, product, 
doctor, ugqirha, doctor, 
wall, udonga, wall, 
patient, isigulane, patient, 
worker, msebenzi, work, msebenzi, 
news, iindaba, news, 
test, vavanyo, test, 
movie, ibhayisikobho, movie, 
north, mantla, north, 
love, uthando, love, 
support, inkxaso, support, 
technology, te knoloji, technology, 
step, nyathelo, step, 
baby, usana, day, usuku, day, 
computer, khomputha, computer, 
type, uhlobo, kind, bubele, kind, 
attention, ngqalelo, attention, 
film, ifilimu, film, 
republican, republica, republica, 
tree, umthi, tree, 
source, umthombo, source, 
organization, ntlangano, organization, 
hair, i inwele, hair, 
look, khangela, look, 
century, ngenkulungwane, century, 
evidence, ubungqina, evidence, 
window, iwindow, window, 
culture, inkcubeko, culture, 
chance, ithuba, opportunity, ithuba, 
brother, ubhuti, brother, 
energy, amandla, power, amandla, 
period, ixesha, time, ixesha, 
course, ikhosi, course, 
summer, ehlobo, summer, 
plant, zityalo, plants, izityalo, plants, 
opportunity, ithuba, opportunity, 
term, kwexesha, time, ixesha, time, 
letter, ileta, letter, 
condition, imeko, situation, imeko, 
choice, kukhetha, to choose, ukukhetha, to choose, 
rule, lawula, control, lawulo, management, lawulo, 
daughter, intomba, daughter, 
administration, lawulo, management, lawulo, 
south, mazantsi, south, 
husband, umyeni, husband, 
congress, ngqungquthela, conference, nkomfa, conference, 
floor, mgangatho, level, nqanaba, level, 
campaign, phulo, campaign, 
material, izinto, things, izinto, 
population, labantu, people, abantu, human beings, abantu, 
call, umnxeba, call, 
economy, qoqosho, economy, 
hospital, esibhedlele, hospital, 
church, icawa, church, 
risk, mngcipheko, risk, 
fire, ngomlilo, by fire, ngomlilo, 
future, elizayo, future, 
defense, khuselo, protection, khu seleko, security, khu seleko, 
security, khu seleko, security, 
bank, ibhanki, bank, 
west, bucala ngasekunene, west, 
sport, midlalo, sports, midlalo, 
board, ibhodi, board, 
subject, sifundo, lesson, sifundo, 
officer, igosa, officer, 
rest, kuphumla, rest, 
behavior, ukuziphatha, behavior, 
performance, ukusebenza, to work, ukusebenza, 
top, phezulu, up, phezulu, 
goal, njongo, purpose, injongo, purpose, 
second, isibini, second, 
bed, kulala, to sleep, ukulala, to sleep, 
order, umyalelo, order, 
author, umbhali, author, 
blood, igazi, blood, 
agency, nkonzo, service, inkonzo, service, 
nature, uhlobo, kind, bubele, kind, 
color, umbala, color, 
store, ivenkile, shop, ivenkile, 
sound, isandi, sound, 
movement, ntshukumo, motion, isindululo, a proposal, nesiphakamiso, a suggestion, ngcebiso, advice, cebiso, advice, 
page, iphepha, paper, iphepha, 
race, uhlanga, race, 
concern, nkxalabo, concern, 
series, uchungechunge, series, 
language, ulwimi, language, 
response, mpendulo, answer, mpendulo, 
animal, lwanyana, animals, zi lwanyana, animals, 
factor, into, something, into ethile, something, 
decade, elishumi, ten, shumi, ten, 
article, nqaku, article, 
east, bucala ngasekhohlo, east, 
artist, umculi, artist, 
scene, umcimbi, event, ganeko, event, 
stock, esitokisini, in custody, e valelwe, erected, lwakhiwe, built, yakhiwe, built up, yakhiwe, 
career, msebenzi, work, msebenzi, 
treatment, unyango, treatment, 
approach, indlela, the way, indlela, 
size, ubukhulu, size, 
dog, inja, dog, 
fund, mali, mali, 
media, majelo, the media, kumajelo, the media, 
sign, mqondiso, a sign, uphawu, mark, uphawu, 
thought, cinga, think, cinga, 
list, uludwe, list, 
individual, ngamnye, each one, enye nganye, each one, 
quality, mgangatho, level, nqanaba, level, 
pressure, uxinzelelo, stress, uxinzelelo, 
answer, mpendulo, answer, 
resource, uvimba, stops, yeka, never mind, suyinaka, never mind, 
meeting, ntla nganiso, meeting, 
disease, isifo, disease, 
success, mpu melelo, success, 
cup, indebe, cup, 
amount, isixa, amount, 
ability, amandla, power, amandla, 
staff, sebenzi, work, msebenzi, work, 
character, umlingiswa, character, 
growth, ukukhula, growing up, ukukhula, 
loss, lahleko, loss, 
degree, iqondo, level, nqanaba, level, 
attack, hlaselwa, attacked, hlaselwa, 
region, mmandla, in the area, kuloo ndawo, that place, kuloo ndawo, 
television, umabonwakude, television, 
box, ibhokisi, box, 
tv, tv, 
training, qeqesho, training, 
trade, urhwebo, trade, 
deal, ukujongana, to deal with, ukudibana ne, to deal with, 
election, ukhetho, option, ukhetho, 
feeling, uvakalelwa, you feel, uziva, you feel, 
standard, umgangatho, quality, mgangatho, level, nqanaba, level, 
bill, mthetho, law, nomthetho, law, 
message, umyalezo, message, 
analysis, hlalutyo, analysis, 
benefit, inzuzo, profit, ngeniso, income, ngeniso, 
sex, ngesondo, sex, 
lawyer, igqwetha, lawyer, 
section, icandelo, section, 
glass, iglasi, glass, 
skill, buchule, skills, izakhono, skills, 
sister, usisi, sister, 
professor, ngutitshala, teacher, titshala, educator, titshala, 
operation, sebenza, work, msebenzi, work, 
crime, mthetho, law, nomthetho, law, 
stage, kwinqanaba, level, nqanaba, level, 
authority, igunya, authority, 
design, uyilo, design, 
sort, uhlobo, kind, bubele, kind, 
one, nye, one, 
knowledge, ulwazi, information, ulwazi, 
gun, umpu, a gun, umpu, 
station, sikhululo, station, 
strategy, isicwangciso, plan, cwangciso, plan, 
truth, nyaniso, truth, 
song, ingoma, song, 
example, mzekelo, for instance, njengokuba, as well, njengokuba, 
environment, ngileyo, good, kulungile, all right, konke kulungile, all is well, konke kulungile, 
leg, umlenze, leg, 
public, loluntu, public, 
executive, sigqeba, the executive, elilawulayo, control, lawulo, management, lawulo, 
set, usethe, set, 
rock, edwaleni, rock, 
note, phawula, note, 
manager, umphathi, manager, 
help, nceda, please, ndiyacela, please, 
network, umnatha, net, umnatha, 
science, yesayensi, science, 
memory, imemori, memory, 
card, khadi, card, 
seat, sihlalo, chairman, sihlalo, 
cell, iseli, cell phone, unomyayi, cell phone, 
trial, ityala, debt, ityala, 
expert, ingcali, a specialist, ingcali, 
spring, entwasahlobo, in the spring, entwasahlobo, 
firm, qinile, strong, melele, be strong, yomelela, be strong, 
democrat, yedemokhrasi, democracy, idemokhrasi, democracy, 
radio, i rediyo, radio, 
management, lawulo, management, 
ball, ibhola, ball, 
talk, intetho, speech, intetho, 
theory, ngcamango, thought, cinga, think, cinga, 
impact, mpe mbelelo, impact, 
statement, ngxelo, report, ingxelo, report, 
charge, hlawula, pay, hlawula, 
direction, lathiso, direction, 
weapon, isikhali, weapon, 
employee, ngumqeshwa, an employee, ngumqeshwa, 
peace, uxolo, sorry, uxolo, 
base, siseko, basis, siseko, 
pain, intlungu, pain, 
play, ukudlala, just kidding, ndiyadlala, just kidding, 
measure, umlinganiselo, measurement, umlinganiselo, 
interview, udliwano ndlebe, interview, 
chair, sihlalo, chairman, sihlalo, 
fish, intlanzi, fish, 
camera, ikhamera, camera, 
structure, isakhiwo, building, sakhiwo, building, 
politics, kwezopolitiko, politics, 
bit, ncinane, little, ncinane, 
weight, bunzima, difficulty, ubunzima, difficulty, 
candidate, umviwa, candidate, 
production, mveliso, product, mveliso, 
trip, uhambo, travel, uhambo, 
evening, ngokuhlwa, evening, 
conference, nkomfa, conference, 
unit, iyunithi, unit, 
style, isitayela, style, 
adult, omdala, old, ubudala, age, ubudala, 
range, uluhlu, list, uludwe, list, 
past, edlulileyo, past, 
edge, umda, boundary, umda, 
writer, umbhali, author, umbhali, 
trouble, ngxaki, problem, ingxaki, problem, 
challenge, umngeni, challenge, 
fear, ukoyika, fearful, yoyika, afraid, soyika, afraid, 
shoulder, emagxeni, on their shoulders, kumagxa abo, their shoulder, yabo emagxeni, on their shoulders, 
institution, ziko, center, kwiziko, the institution, leziko, center, 
sea, ulwandle, the sea, ulwandle, 
dream, phupha, dream, 
bar, ibha, bar, 
property, propati, property, 
stuff, izinto, things, izinto, 
detail, nkcukacha, details, iinkcukacha, details, 
method, indlela, the way, indlela, 
magazine, phephancwadi, magazine, 
hotel, hotele, hotel, 
soldier, ijoni, soldier, 
cause, bangela, cause, 
bag, isikhwama, bag, 
heat, bushushu, heat, 
fall, ukuwa, fall, 
marriage, umtshato, wedding, umtshato, 
surface, phezulu, up, phezulu, 
purpose, injongo, purpose, 
pattern, iphethini, pattern, 
skin, isikhumba, skin, 
agent, igosa, officer, igosa, 
owner, umnini, owner, 
machine, umatshini, machine, 
gas, gesi, gas, 
generation, isizukulwana, generation, 
cancer, nomhlaza, cancer, 
item, into, something, into ethile, something, 
reality, nyaniso, truth, nyaniso, 
coach, umqeqeshi, coach, 
mrs, nks, ms, nksk, ms, 
yard, yard, 
violence, nodlova, violence, 
investment, utyalo mali, investment investment, utsalo-mali, investment, 
discussion, ingxoxo, discussion, 
finger, ngomunwe, finger, 
garden, kumyezo, garden, 
collection, ukuqokelela, collect, qo kelela, collected, qo kelelwe, collected, 
task, msebenzi, work, msebenzi, 
partner, iqabane, partner, 
kitchen, ekhitshini, the kitchen, ikhitshi, kitchen, 
consumer, umthengi, buyer, umthengi, 
shot, idubule, shot, 
budget, bhajethi, budget, 
painting, ku peyinti, in paint, kwipende, paint, upende, paint, 
scientist, nzu lulwazi, science, yesayensi, science, 
agreement, melwano, agreement, 
capital, inkunzi, bulls, zeenkomo, herds, neenkomo, oxen, iinkomo, cattle, iinkomo, 
mouth, ngomlomo, oral, ngomlomo, 
victim, lixhoba, victim, 
newspaper, phe phandaba, newspaper, 
threat, usongelo, call, umnxeba, call, 
responsibility, xanduva, responsibility, 
attorney, igqwetha, lawyer, igqwetha, 
score, inqaku, article, i sihloko, the title, isihloko, title, isihloko, 
account, akhawunti, account, 
break, aphule, to break, ukwephula, to break, 
