time, 時間, time, 
year, 年, year, 
people, 人, man, おとこ, man, 
way, 方法, method, 方法, 
day, 日, day, 
man, おとこ, man, 
thing, もの, thing, 
woman, 女性, female, 女性, 
life, 生活, life, 
child, 子, child, 
world, 世界, world, 
school, 学校, school, 
state, 状態, state, 
family, 家族, family, 
student, 学生, a student, 学生, 
group, グループ, group, 
country, 国, country, 
problem, 問題, problem, 
hand, ハンド, hand, 
part, 部, department, 部門, department, 
place, 場所, place, 
case, 場合, case, 
week, 週間, weekly, 毎週, weekly, 
company, 会社, company, 
system, システム, system, 
program, プログラム, program, 
question, 質問, a question, 質問, 
work, 作業, work, 
government, 政府, government, 
number, 数, number, 
night, 夜, night, 
mr, 氏, mr, 
point, ポイント, point, 
home, 自宅, home, 
water, 水, water, 
room, ルーム, room, 
mother, 母, mother, 
area, エリア, area, 
money, お金, money, 
story, ストーリー, story, 
fact, 事実, fact, 
month, 月, month, 
lot, ロット, lot, 
right, 右, right, 
study, 調査, investigation, 調査, 
book, 本, book, 
eye, 眼, eye, 
job, ジョブ, job, 
word, ワード, word, 
business, ビジネス, business, 
issue, 問題, problem, 問題, 
side, 側, ~ side, 〜側, ~side, 〜側, 
kind, 種類, type, タイプ, type, 
head, 頭, head, 
house, 家, house, 
service, サービス, service, 
friend, 友人, friend, 
father, お父さん, dad, パパ, dad, 
power, パワー, power, 
hour, 時間, time, 時間, 
game, ゲーム, game, 
line, ライン, line, 
end, 終わり, the end, 終わり, 
member, メンバー, member, 
law, 法律, law, 
car, 車, car, 
city, シティ, city, 
community, コミュニティ, community, 
name, 名, name, 
president, 大統領, president, 
team, チーム, team, 
minute, 分, minute, 
idea, アイディア, idea, 
kid, キッド, kid, 
body, 体, body, 
information, 情報, information, 
back, バック, back, 
parent, 親, parent, 
face, 面, surface, 表面, surface, 
others, その他, other, その他, 
level, レベル, level, 
office, 事務所, office, 
door, ドア, door, 
health, 健康, health, 
person, 人, man, おとこ, man, 
art, アート, art, 
war, 戦争, war, 
history, 歴史, history, 
party, パーティー, party, 
result, 結果, result, 
change, 変化する, change, 
morning, 朝, morning, 
reason, 理由, the reason, 理由, 
research, 研究, the study, 研究, 
girl, 女の子, girl, 
guy, 男, man, おとこ, man, 
food, フード, food, 
moment, 瞬間, moment, 
air, 空気, air, 
teacher, 先生, teacher, 
force, 力, power, 力, 
education, 教育, education, 
foot, 足, leg, 脚, leg, 
boy, 男の子, boy, 
age, 年齢, age, 
policy, ポリシー, policy, 
process, プロセス, process, 
music, 音楽, musics, 音楽, 
market, 市場, market, 
sense, センス, sense, 
nation, 国家, a nation, 国家, 
plan, 計画, plan, 
college, カレッジ, college, 
interest, 利子, interest, 
death, 死, death, 
experience, 経験, experience, 
effect, 効果, effect, 
use, つかいます, use, 
class, クラス, class, 
control, コントロール, control, 
care, お手入れ, care, 
field, フィールド, field, 
development, 開発, development of, 開発, 
role, 役割, role, 
effort, 努力, effort, 
rate, レート, rate, 
heart, ハート, heart, 
drug, ドラッグ, drag, ドラッグ, 
show, ショー, show, 
leader, リーダー, leader, 
light, 光, light, 
voice, 音声, voice, 
wife, 妻, wife, 
police, 警察, police, 
mind, マインド, mind, 
price, 価格, price, 
report, 報告する, to report, 報告する, 
decision, 決定, decision, 
son, 息子, son, 
view, 見る, to see, 見る, 
relationship, 関係, a relationship, 関係, 
town, タウン, town, 
road, 道路, road, 
arm, 腕, arm, 
difference, 差, difference, 
value, 値, value, 
building, 建物, building, 
action, アクション, action, 
model, モデル, model, 
season, シーズン, season, 
society, 社会, society, 
tax, 税金, tax, 
director, ディレクター, director, 
position, ポジション, position, 
player, プレーヤー, player, 
record, 記録, record, 
paper, 紙, paper, 
space, スペース, space, 
ground, 接地, ground, 
form, 形, form, 
event, イベント, event, 
official, 公式, official, 
matter, 問題, problem, 問題, 
center, センター, center, 
couple, カップル, a couple, カップル, 
site, サイト, site, 
project, プロジェクト, project, 
activity, アクティビティ, activity, 
star, 星, star, 
table, 表, table, 
need, 必要, necessary, 必要, 
court, 裁判所, court, 
american, アメリカ人, american, 
oil, 油, oil, 
situation, 状況, situation, 
cost, コスト, cost, 
industry, 業界, industry, 
figure, 数字, a number, 数, number, 数, 
street, 通り, street, 
image, 画像, image, 
phone, 電話, phone, 
data, データ, data, 
picture, 画像, image, 画像, 
practice, 練習, practice, 
piece, ピース, piece, 
land, 土地, land, 
product, 製品, product, 
doctor, 医師, a doctor, 医者, doctor, 
wall, 壁, wall, 
patient, 患者, patient, 
worker, ワーカー, worker, 
news, ニュース, news, 
test, テスト, test, 
movie, 映画, movies, 映画, 
north, 北, north, 
love, 愛, love, 
support, サポート, support, 
technology, 技術, technology, 
step, ステップ, step, 
baby, 赤ちゃん, baby, 
computer, コンピューター, computer, 
type, タイプ, type, 
attention, 注意, caution, あぶない, dangerous, 危険な, dangerous, 
film, 膜, film, 
republican, 共和国, republic, 共和国, 
tree, 木, wood, 木材, wood, 
source, ソース, source, 
organization, 組織, organization, 
hair, ヘア, hair, 
look, 見える, appear, 現れる, appear, 
century, 世紀, century, 
evidence, 証拠, evidence, 
window, 窓, window, 
culture, 文化, culture, 
chance, チャンス, chance, 
brother, 兄, brother, 
energy, エネルギー, energy, 
period, 期間, period, 
course, コース, course, 
summer, 夏, summer, 
plant, 工場, factory, 工場, 
opportunity, 機会, opportunity, 
term, 期間, period, 期間, 
letter, 文字, character, キャラクター, character, 
condition, 調子, condition, 
choice, 選択, choice, 
rule, ルール, rule, 
daughter, 娘, daughter, 
administration, 投与, administration, 
south, 南, south, 
husband, 夫, husband, 
congress, 会議, conference, 会議, 
floor, 床, floor, 
campaign, キャンペーン, campaign, 
material, 材料, material, 
population, 人口, population, 
call, コール, call, 
economy, 経済, economy, 
hospital, 病院, hospital, 
church, 教会, a church, 教会, 
risk, リスク, risk, 
fire, 火災, fire, 
future, 未来, future, 
defense, 防衛, defense, 
security, セキュリティ, security, 
bank, バンク, bank, 
west, 西, west, 
sport, スポーツ, sports, スポーツ, 
board, ボード, board, 
subject, 主題, subject, 
officer, 役員, officer, 
rest, 残り, remaining, 残り, 
behavior, 動作, behavior, 
performance, パフォーマンス, performance, 
top, 上, up, アップ, up, 
goal, ゴール, goal, 
second, 二番目, second, 
bed, ベッド, bed, 
order, 注文, order, 
author, 著者, author, 
blood, 血液, blood, 
agency, 代理店, agency, 
nature, 自然, nature, 
color, 色, color, 
store, 格納, storage, ストレージ, storage, 
sound, 音, sound, 
movement, 移動, move, 移動, 
page, ページ, page, 
race, レース, race, 
concern, 懸念, concern, 
series, シリーズ, series, 
language, 言語, language, 
response, 応答, response, 
animal, 動物, animal, 
factor, 因子, factor, 
decade, 10年, 10 years, 10年, 
article, 記事, article, 
east, 東, east, 
artist, アーティスト, artist, 
scene, シーン, scene, 
stock, 株式, stock, 
career, キャリア, a carrier, キャリア, 
treatment, 処理, processing, 処理, 
approach, アプローチ, approach, 
size, サイズ, size, 
dog, 犬, dog, 
fund, 基金, fund, 
media, メディア, media, 
sign, 符号, a sign, サイン, a sign, 
thought, 思想, thought, 
list, リスト, list, 
individual, 個人, an individual, 個人, 
quality, 品質, quality, 
