time, amser, time, 
year, blwyddyn, year, 
people, pobl, people, 
way, ffordd, way, 
day, diwrnod, day, 
man, dyn, man, 
thing, peth, thing, 
woman, fenyw, woman, 
life, bywyd, life, 
child, plentyn, child, 
world, byd, world, 
school, ysgol, school, 
state, wladwriaeth, state, 
family, teulu, family, 
student, myfyriwr, student, 
group, grŵp, group, 
country, gwlad, country, 
problem, broblem, problem, 
hand, law, law, 
part, rhan, part, 
place, lle, place, 
case, achos, case, 
week, wythnos, week, 
company, cwmni, company, 
system, system, 
program, rhaglen, program, 
question, cwestiwn, question, 
work, gweithio, work, 
government, llywodraeth, government, 
number, rhif, number, 
night, noson, night, 
mr, mr, 
point, pwynt, point, 
home, cartref, home, 
water, dŵr, water, 
room, ystafell, room, 
mother, mam, mom, mom, 
area, ardal, area, 
money, arian, money, 
story, stori, story, 
fact, ffaith, fact, 
month, mis, me, fi, fi, 
lot, llawer, much, llawer, 
right, yn iawn, all right, iawn, okay, iawn, 
study, astudio, study, 
book, llyfr, book, 
eye, llygad, eye, 
job, swydd, post, post, 
word, gair, word, 
business, busnes, business, 
issue, mater, mother, mam, mom, mom, 
side, ochr, side, 
kind, caredig, kind, 
head, pennaeth, headteacher, prifathro, headmaster, prifathro, 
house, tŷ, house, 
service, gwasanaeth, service, 
friend, ffrind, friend, 
father, dad, nothing, dim byd, nothing, 
power, pŵer, power, 
hour, awr, hour, 
game, gêm, game, 
line, llinell, line, 
end, diwedd, end, 
member, aelod, member, 
law, gyfraith, law, 
car, car, 
city, ddinas, city, 
community, cymuned, community, 
name, enw, name, 
president, llywydd, president, 
team, tîm, team, 
minute, munud, minute, 
idea, syniad, idea, 
kid, plentyn, child, plentyn, 
body, corff, body, 
information, gwybodaeth, information, 
back, yn ôl, according to, yn ôl, 
parent, rhiant, parent, 
face, wyneb, face, 
others, eraill, others, 
level, lefel, level, 
office, swyddfa, office, 
door, drws, door, 
health, iechyd, health, 
person, person, 
art, celf, art, 
war, rhyfel, war, 
history, hanes, history, 
party, parti, party, 
result, canlyniad, result, 
change, newid, change, 
morning, bore, morning, 
reason, rheswm, reason, 
research, ymchwil, research, 
girl, ferch, daughter, merch, daughter, 
guy, dyn, man, dyn, 
food, bwyd, food, 
moment, momentyn, momenton, momenton, 
air, aer, air, 
teacher, athro, teacher, 
force, grym, power, pŵer, power, 
education, addysg, education, 
foot, droed, drowned, boddi, drowning, boddi, 
boy, bachgen, boy, 
age, oedran, age, 
policy, polisi, policy, 
process, broses, process, 
music, cerddoriaeth, music, 
market, farchnad, market, 
sense, synnwyr, sense, 
nation, genedl, nation, 
plan, cynllun, plan, 
college, coleg, college, 
interest, diddordeb, interested, â diddordeb, interested, 
death, marwolaeth, death, 
experience, profiad, experience, 
effect, effaith, effect, 
use, defnyddiwch, use, 
class, dosbarth, class, 
control, rheolaeth, control, 
care, gofal, care, 
field, maes, field, 
development, datblygu, develop, datblygu, 
role, rôl, role, 
effort, ymdrech, effort, 
rate, gyfradd, rate, 
heart, calon, heart, 
drug, cyffuriau, drugs, cyffuriau, 
show, dangos, show, 
leader, arweinydd, leader, 
light, golau, light, 
voice, llais, voice, 
wife, gwraig, wife, 
police, yr heddlu, the police, yr heddlu, 
mind, meddwl, thinking, meddwl, 
price, pris, price, 
report, adroddiad, report, 
decision, penderfyniad, a decision, penderfyniad, 
son, mab, son, 
view, gweld, see, gweld, 
relationship, perthynas, relationship, 
town, tref, a town, tref, 
road, ffordd, way, ffordd, 
arm, braich, arm, 
difference, gwahaniaeth, difference, 
value, gwerth, value, 
building, adeiladu, build, adeiladu, 
action, gweithredu, action, 
model, model, 
season, tymor, season, 
society, cymdeithas, society, 
tax, treth, tax, 
director, cyfarwyddwr, director, 
position, sefyllfa, situation, sefyllfa, 
player, chwaraewr, player, 
record, cofnodwch, record, 
paper, papur, paper, 
space, gofod, space, 
ground, daear, earth, ddaear, earth, 
form, ffurflen, form, 
event, digwyddiad, event, 
official, swyddogol, official, 
matter, mater, mother, mam, mom, mom, 
center, canolfan, center, 
couple, cwpl, couple, 
site, safle, site, 
project, prosiect, project, 
activity, gweithgaredd, activity, 
star, seren, star, 
table, bwrdd, board, bwrdd, 
need, angen, need, 
court, llys, court, 
american, america, america, 
oil, olew, oil, 
situation, sefyllfa, situation, 
cost, cost, 
industry, diwydiant, industry, 
figure, ffigwr, figure, 
street, stryd, street, 
image, delwedd, image, 
phone, ffôn, phone, 
data, data, 
picture, llun, picture, 
practice, ymarfer, practice, 
piece, darn, piece, 
land, tir, land, 
product, cynnyrch, product, 
doctor, meddyg, doctor, 
wall, wal, wal, 
patient, claf, patient, 
worker, gweithiwr, worker, 
news, newyddion, news, 
test, prawf, test, 
movie, ffilm, movie, 
north, i'r gogledd, to the north, i'r gogledd, 
love, cariad, love, 
support, cefnogaeth, support, 
technology, technoleg, technology, 
step, cam, step, 
baby, babi, baby, 
computer, cyfrifiadur, computer, 
type, math, good, da, da, 
attention, sylw, attention, 
film, ffilm, movie, ffilm, 
republican, gweriniaethol, republican, 
tree, coeden, tree, 
source, ffynhonnell, source, 
organization, sefydliad, organization, 
hair, gwallt, hair, 
look, edrychwch, look, 
century, ganrif, century, 
evidence, tystiolaeth, evidence, 
window, ffenestr, window, 
culture, diwylliant, culture, 
chance, cyfle, opportunity, cyfle, 
brother, brawd, brother, 
energy, egni, energy, 
period, cyfnod, period, 
course, cwrs, course, 
summer, haf, summer, 
plant, planhigyn, plant, 
opportunity, cyfle, opportunity, 
term, tymor hir, long term, tymor hir, 
letter, llythyr, letter, 
condition, cyflwr, condition, 
choice, dewis, choose, dewiswch, choose, 
rule, rheol, rule, 
daughter, merch, daughter, 
administration, gweinyddu, administration, 
south, i'r de, to the south, i'r de, 
husband, gŵr, husband, 
congress, cyngres, congress, 
floor, llawr, floor, 
campaign, ymgyrch, campaign, 
