time, tími, time, 
year, ár, years, ár, 
people, fólk, people, 
way, leið, way, 
day, dagur, day, 
man, maður, man, 
thing, hlutur, thing, 
woman, kona, woman, 
life, lífið, life, 
child, barn, baby, elskan, darling, darling, 
world, heimurinn, the world, heimurinn, 
school, skóla, school, 
state, ríki, state, 
family, fjölskylda, family, 
student, nemandi, student, 
group, hópur, group, 
country, land, country, 
problem, vandamál, issues, vandamál, 
hand, hönd, hand, 
part, hluti, part, 
place, stað, place, 
case, málið, the case, málið, 
week, vika, week, 
company, fyrirtæki, business, viðskipti, business, 
system, kerfi, system, 
program, forrit, program, 
question, spurning, question, 
work, vinna, working, vinna, 
government, ríkisstjórnin, government, 
number, númer, number, 
night, nótt, night, 
mr, herra, mr., herra., sir., herra., 
point, benda, point, 
home, heim, home, 
water, vatn, water, 
room, herbergi, room, 
mother, móðir, mother, 
area, svæði, area, 
money, peninga, money, 
story, saga, story, 
fact, staðreynd, fact, 
month, mánuði, months, mánuðum, months, 
lot, mikið, much, mikið, 
right, rétt, right, 
study, rannsókn, study, 
book, bók, book, 
eye, auga, eye, 
job, starf, calling, hringja, call, hringja, 
word, orð, words, orð, 
business, viðskipti, business, 
issue, mál, issues, vandamál, issues, 
side, hlið, side, 
kind, góður, good, gott, good, 
head, höfuð, head, 
house, hús, house, 
service, þjónusta, services, þjónusta, 
friend, vinur, friend, 
father, faðir, father, 
power, máttur, power, 
hour, klukkustund, hour, 
game, leikur, game, 
line, lína, line, 
end, enda, end, 
member, meðlimur, member, 
law, lög, songs, lög, 
car, bíll, car, 
city, borg, city, 
community, samfélag, community, 
name, nafn, name, 
president, forseti, president, 
team, lið, team, 
minute, mínútu, minute, 
idea, hugmynd, idea, 
kid, krakki, kid, 
body, líkami, body, 
information, upplýsingar, information, 
back, aftur, again, aftur, 
parent, foreldri, parent, 
face, andlit, faces, andlit, 
others, aðrir, others, 
level, stigi, level, 
office, skrifstofa, office, 
door, dyrnar, the door, dyrnar, 
health, heilsa, health, 
person, manneskja, person, 
art, list, art, 
war, stríð, war, 
history, saga, story, saga, 
party, partí, party, 
result, niðurstaða, conclusion, niðurstaða, 
change, breyting, change, 
morning, morgunn, morning, 
reason, ástæða, reason, 
research, rannsóknir, researches, rannsóknir, 
girl, stelpa, girl, 
guy, strákur, guy, 
food, matur, food, 
moment, augnablik, moments, augnablik, 
air, loft, air, 
teacher, kennari, teacher, 
force, gildi, force, 
education, menntun, education, 
foot, fótur, leg, fótur, 
boy, strákur, guy, strákur, 
age, aldur, age, 
policy, stefna, policy, 
process, ferli, process, 
music, tónlist, music, 
market, markaður, market, 
sense, skyn, sensory, skynjun, perception, skynjun, 
nation, þjóð, people, fólk, people, 
plan, áætlun, plan, 
college, háskóli, university, háskóli, 
interest, áhuga, interest, 
death, dauða, death, 
experience, reynsla, experience, 
effect, áhrif, effect, 
use, nota, use, 
