time, waktu, time, 
year, taun, year, 
people, jelema, people, 
way, jalan, way, 
day, dinten, days, poé, day, 
man, lalaki, man, 
thing, barang, goods, barang-barang, goods, 
woman, awewe, women, awéwé, women, 
life, kahirupan, life, 
child, anak, child, 
world, dunya, world, 
school, sakola, school, 
state, kaayaan, state, 
family, kulawarga, family, 
student, murid, pupil, murid, 
group, kumpulan, group, 
country, nagara, country, 
problem, masalah, problem, 
hand, panangan, arm, panangan, 
part, bagean, part, 
place, tempat, place, 
case, perkara, case, 
week, minggu, week, 
company, pausahaan, company, 
system, sistim, system, 
program, program, 
question, tatanya, question, 
work, gawe, working, digawé, working, 
government, pamarentah, government, 
number, jumlah, number, 
night, wengi, night, 
mr, bapa, father, bapa, 
point, titik, point, 
home, imah, house, imah, 
water, cai, water, 
room, kamar, room, 
mother, indung, mother, 
area, daérah, area, 
money, duit, money, 
story, dongeng, tale, dongeng, 
fact, kanyataan, reality, kanyataan, 
month, sasih, month, 
lot, pisan, very, pisan, 
right, bener, correct, bener, 
study, diajar, learn, diajar, 
book, buku, book, 
eye, soca, eye, 
job, tugas, task, tugas, 
word, kecap, word, 
business, bisnis, business, 
issue, masalah, problem, masalah, 
side, sisi, side, 
kind, hade, nice, alus, good, alus, 
head, sirah, head, 
house, imah, house, 
service, palayanan, service, 
friend, babaturan, friends, babaturan, 
father, bapa, father, 
power, kakuatan, power, 
hour, jam, hour, 
game, kaulinan, toy, kaulinan, 
line, garis, line, 
end, tungtung, end, 
member, anggota, member, 
law, hukum, law, 
car, mobil, car, 
city, kota, city, 
community, masarakat, community, 
name, nami, name, 
president, presiden, president, 
team, regu, squad, pakuat, squad, 
minute, menit, minute, 
idea, gagasan, idea, 
kid, nak, sonny, ujang, sonny, 
body, awak, body, 
information, inpormasi, information, 
back, balik deui, back, 
parent, indungna, mother, indung, mother, 
face, beungeut, face, 
others, batur, shelf, rak, shelf, 
level, tingkat, level, 
office, kantor, office, 
door, panto, door, 
health, kasehatan, health, 
person, jelema, people, jelema, 
art, seni, art, 
war, perang, war, 
history, sajarah, history, 
party, pesta, party, 
result, hasil, result, 
change, ngarobah, change, 
morning, isuk, morning, 
reason, alesan, reason, 
research, panalungtikan, research, 
girl, mojang, girl, 
guy, guy, 
food, kadaharan, food, 
moment, waktu, time, waktu, 
air, hawa, air, 
teacher, guru, teacher, 
force, kakuatan, power, kakuatan, 
education, pendidikan, education, 
foot, sampean, foot, 
boy, budak lalaki, boy, 
age, umur, age, 
policy, kawijakan, policy, 
process, proses, process, 
music, musik, music, 
market, pasar, market, 
sense, rarasaan, feeling, rarasaan, 
nation, bangsa, nation, 
plan, rencana, plan, 
college, sakola luhur, college, 
interest, bunga, flower, kembang, flower, 
death, tilar dunya, death, 
experience, pangalaman, experience, 
effect, epek, effect, 
use, pamakean, use, 
class, kelas, class, 
control, pangawasan, supervision, pangawasan, 
care, perawatan, treatment, anggapanana, treatment, 
field, médan, field, 
development, pangwangunan, development, 
role, peran, role, 
effort, upaya, effort, 
rate, meunteun, evaluation, meunteun, 
heart, jajantung, heart, 
drug, ubar, medicine, ubar, 
show, nunjukkeun, show, 
leader, pingpinan, leader, 
light, cahaya, light, 
voice, sora, voice, 
wife, pamajikan, wife, 
police, pulisi, police, 
mind, pikiran, thought, pikiran, 
price, harga, price, 
report, laporan, report, 
decision, kaputusan, decision, 
son, putera, son, 
view, pintonan, show, nunjukkeun, show, 
relationship, hubungan, relationship, 
town, kota, city, kota, 
road, jalan, way, jalan, 
arm, panangan, arm, 
difference, bédana, the difference, bédana, 
value, ajen, value, 
building, gedong, building, 
action, aksi, action, 
model, model, 
season, usum, season, 
society, perkumpulan, association, perkumpulan, 
tax, pajeg, tax, 
director, nu mingpin pausahaan, director, 
position, posisi, position, 
player, pamaen, performer, pamaen, 
record, catetan, notes, catetan, 
paper, keretas, paper, 
space, angkasa, space, 
ground, tanah, ground, 
form, wujud, shape, wujud, 
event, kajadian, event, 
official, resmi, official, 
matter, masalah, problem, masalah, 
center, pusat, center, 
couple, pasangan, pair, pasangan, 
site, situs, website, website, 
project, proyek, project, 
activity, kagiatan, activity, 
star, bentang, star, 
table, meja, table, 
need, ngabutuhkeun, require, ngabutuhkeun, 
court, pangadilan, court, 
american, amerika, american, 
oil, minyak, oil, 
situation, kaayaan, state, kaayaan, 
cost, harga, price, harga, 
industry, industri, industry, 
figure, angka, number, jumlah, number, 
street, jalan, way, jalan, 
image, gambaran, overview, ihtisar, overview, 
phone, telepon, phone, 
data, data, 
picture, gambar, picture, 
practice, praktek, practice, 
piece, potongan, discount, potongan harga, discount, 
land, tanah, ground, tanah, 
product, barang, goods, barang-barang, goods, 
doctor, dokter, doctor, 
wall, dingding, wall, 
patient, sabar, patient, 
worker, pagawe, employee, pagawe, 
news, wartos, news, 
test, nguji, test, 
movie, pilem, film, pilem, 
north, kaler, north, 
love, bogoh, love, 
support, sokongan, support, 
technology, teknologi, technology, 
step, lengkah, step, 
baby, orok, baby, 
computer, komputer, computer, 
type, ngetik, type, 
attention, perhatian, attention, 
film, pilem, film, 
republican, republik, republic, republik, 
tree, tangkal, tree, 
source, sumber, source, 
organization, organisasi, organization, 
hair, bulu, feather, bulu, 
look, neuteup, look, 
century, abad, century, 
evidence, bukti, evidence, 
window, jandela, window, 
culture, kabudayaan, cultural, kabudayaan, 
chance, kasempetan, opportunity, kasempetan, 
brother, adi, brother, 
energy, tanaga, energy, 
period, jaman, time, waktu, time, 
course, kursus, courses, kursus, 
summer, usum panas, summer, 
plant, melak, plant, 
opportunity, kasempetan, opportunity, 
term, istilah, term, 
letter, aksara, alphabet, aksara, 
condition, kaayaan, state, kaayaan, 
choice, pilihan, selection, pilihan, 
rule, aturan, rule, 
daughter, puteri, princess, putera, son, putera, 
administration, administrasi, administration, 
south, kidul, south, 
husband, carogé, husband, 
congress, konggres, congress, 
floor, tehel, floor, 
campaign, kampanyeu, campaign, 
material, material, 
population, populasi, population, 
call, nelpon, call, 
economy, ekonomi, economy, 
hospital, rumah sakit, hospital, 
church, gereja, church, 
risk, risiko, risk, 
fire, seuneu, fire, 
future, hareup, front, hareup, 
defense, nahanan, defense, 
security, kaamanan, security, 
bank, bank, 
west, kulon, west, 
sport, olahraga, sport, 
board, dewan, council, dewan, 
subject, taluk, subject, 
officer, perwira, officer, 
rest, ngaso, break, peunggas, break, 
behavior, tingkah laku, behavior, 
performance, kinerja, performance, 
top, puncak, summit, puncak, 
goal, tujuan, goal, 
second, kadua, second, 
bed, ranjang, bed, 
order, pesenan, order, 
author, nu ngarang, author, 
blood, getih, blood, 
agency, agen, agent, agen, 
nature, alam, nature, 
color, warna, color, 
