time, timp, time, 
year, an, year, 
people, oameni, people, 
way, cale, way, 
day, zi, day, 
man, om, man, 
thing, lucru, working, lucru, 
woman, femeie, woman, 
life, viaţă, life, 
child, copil, child, 
world, lume, world, 
school, şcoală, school, 
state, stat, state, 
family, familie, family, 
student, student, 
group, grup, group, 
country, țară, the country, tara, the country, 
problem, problemă, problem, 
hand, mână, hand, 
part, parte, part, 
place, loc, place, 
case, caz, case, 
week, săptămână, week, 
company, companie, company, 
system, sistem, system, 
program, program, 
question, întrebare, question, 
work, muncă, the work, munca, the work, 
government, guvern, government, 
number, număr, number, 
night, noapte, night, 
mr, dl, mister, domnule, mister, 
point, punct, point, 
home, acasă, the home, casa, home, 
water, apă, the water, apa, the water, 
room, cameră, the room, camera, the room, 
mother, mamă, mother, 
area, zonă, area, 
money, bani, money, 
story, poveste, story, 
fact, fapt, fact, 
month, lună, month, 
lot, lot, 
right, dreapta, right, 
study, studiu, study, 
book, carte, book, 
eye, ochi, eyes, ochi, 
job, loc de munca, job, 
word, cuvânt, word, 
business, afaceri, business, 
issue, problema, problem, problemă, problem, 
side, latură, side, 
kind, drăguț, cute, drăguţ, cute, 
head, cap, head, 
house, casă, home, acasă, the home, casa, home, 
service, serviciu, service, 
friend, prieten, friend, 
father, tată, father, 
power, putere, power, 
hour, ora, hour, 
game, joc, game, 
line, linia, the line, linia, 
end, sfârşit, the end, sfarsit, the end, 
member, membru, member, 
law, lege, law, 
car, mașină, car, 
city, oraș, city, 
community, comunitate, community, 
name, nume, name, 
president, președinte, chairman, preşedinte, chairman, 
team, echipă, team, 
minute, minut, minute, 
idea, idee, idea, 
kid, copil, child, copil, 
body, corp, body, 
information, informație, information, 
back, înapoi, back, 
parent, mamă, mother, mamă, 
face, față, girl, fată, girl, 
others, alții, others, 
level, nivel, level, 
office, birou, office, 
door, uşă, door, 
health, sănătate, health, 
person, persoană, the person, persoana, the person, 
art, artă, the art, arta, the art, 
war, război, war, 
history, istorie, history, 
party, parte, part, parte, 
result, rezultat, result, 
change, schimbare, change, 
morning, dimineaţă, morning, 
reason, motiv, reason, 
research, cercetare, research, 
girl, fată, girl, 
guy, tip, type, tip, 
food, alimente, food, 
moment, moment, 
air, aer, air, 
teacher, profesor, professor, profesor, 
force, forta, force, 
education, educaţie, education, 
foot, picior, foot, 
boy, băiat, boy, 
age, vârstă, age, 
policy, politică, policy, 
process, proces, trial, proces, 
music, muzică, the music, muzica, the music, 
market, piaţă, market, 
sense, sens, sense, 
nation, naţiune, nation, 
plan, plan, 
college, colegiu, college, 
interest, interes, interest, 
death, moarte, death, 
experience, experienţă, the experience, experienta, the experience, 
effect, efect, effect, 
use, utilizare, use, 
class, clasă, class, 
control, control, 
care, îngrijire, care, 
field, camp, field, 
development, dezvoltare, development, 
role, rol, role, 
effort, efort, effort, 
rate, rată, the duck, rata, the duck, 
heart, inimă, heart, 
drug, medicament, drug, 
show, spectacol, show, 
leader, lider, leader, 
light, ușoară, easy, uşor, easy, 
voice, voce, voice, 
wife, soție, wife, 
police, politie, police, 
mind, minte, mind, 
price, preț, price, 
report, raport, report, 
decision, decizie, decision, 
son, fiu, son, 
view, vedere, view, 
relationship, relaţie, relationship, 
town, oraș, city, oraș, 
road, drum, road, 
arm, braţ, arm, 
difference, diferență, the difference, diferența, the difference, 
value, valoare, value, 
building, clădire, building, 
action, acțiune, action, 
model, model, 
season, sezon, season, 
society, societate, society, 
tax, impozit, tax, 
director, director, 
position, poziţie, position, 
player, jucător, player, 
record, record, 
paper, hârtie, paper, 
space, spaţiu, space-bar, spațiu-bar, space bar, spațiu bar, bar space, spațiu de bară, bar space, 
ground, sol, ground, 
form, formă, form, 
event, eveniment, event, 
official, oficial, official, 
matter, materie, material, material, 
center, centru, center, 
couple, cuplu, couple, 
site, teren, ground, sol, ground, 
project, proiect, project, 
activity, activitate, activity, 
star, stea, star, 
table, masa, table, 
need, nevoie, need, 
court, curte, yard, curte, 
american, american, 
oil, ulei, oil, 
situation, situatie, situation, 
cost, cost, 
industry, industrie, industry, 
figure, figura, figure, 
street, stradă, the street, strada, the street, 
image, imagine, image, 
phone, telefon, phone, 
data, date, data, 
picture, imagine, image, imagine, 
practice, practică, practice, 
piece, bucată, piece, 
land, teren, ground, sol, ground, 
product, produs, product, 
doctor, doctor, 
wall, perete, wall, 
patient, rabdator, patient, 
worker, muncitor, worker, 
news, știri, news, 
test, test, 
movie, film, movie, 
north, nord, north, 
love, dragoste, love, 
support, a sustine, support, 
technology, tehnologie, technology, 
step, etapa, stage, etapă, stage, 
baby, bebelus, baby, 
computer, calculator, computer, 
type, tip, type, 
attention, atenţie, careful, atent, careful, 
film, film, 
republican, republican, 
tree, copac, tree, 
source, sursă, source, 
organization, organizare, organization, 
hair, păr, hair, 
look, uite, look, 
century, secol, century, 
evidence, evidență, evidence, 
window, fereastră, window, 
culture, cultură, culture, 
chance, şansă, chance, 
brother, frate, brother, 
energy, energie, energy, 
period, perioadă, period, 
course, curs, course, 
summer, vară, summer, 
plant, plantă, the plant, planta, the plant, 
opportunity, oportunitate, opportunity, 
term, termen, term, 
letter, scrisoare, letter, 
condition, condiție, condition, 
choice, alegere, choice, 
rule, regulă, rule, 
daughter, fiică, daughter, 
administration, administrare, administration, 
south, sud, south, 
husband, soț, husband, 
congress, congres, congress, 
floor, podea, floor, 
campaign, campanie, campaign, 
material, material, 
population, populație, population, 
call, apel, call, 
economy, economie, economy, 
hospital, spital, hospital, 
church, biserică, the church, biserica, the church, 
risk, risc, risk, 
fire, foc, fire, 
future, viitor, future, 
defense, apărare, defense, 
security, securitate, security, 
bank, bancă, the bank, banca, the bank, 
west, vest, west, 
sport, sportiv, sport, 
board, bord, board, 
subject, subiect, topic, subiect, 
officer, ofiţer, officer, 
rest, odihnă, rest, 
behavior, comportament, behavior, 
performance, performanţă, performance, 
top, top, 
goal, poartă, gate, poartă, 
second, al doilea, second, 
bed, pat, bed, 
order, ordin, order, 
author, autor, author, 
blood, sânge, blood, 
agency, agenţie, agency, 
nature, natură, the nature, natura, the nature, 
color, culoare, color, 
