Afrikaans,af,Germanic
Albanian,sq,Albanian
Amharic,am,Afroasiatic
Arabic,ar,Afroasiatic
Armenian,hy,Armenian
Azerbaijani,az,Turkic
Basque,eu,Basque
Belarusian,be,Slavic
Bengali,bn,Indic
Bosnian,bs,Slavic
Bulgarian,bg,Slavic
Catalan,ca,Romance
Cebuano,ceb,Austronesian
Chichewa,ny,Niger-Congo
Chinese,zh-CN,Sino-Tibetan
Chinese Traditional,zh-TW,Sino-Tibetan
Corsican,co,Romance
Croatian,hr,Slavic
Czech,cs,Slavic
Danish,da,Germanic
Dutch,nl,Germanic
Esperanto,eo,Esperanto
Estonian,et,Uralic
Filipino,tl,Austronesian
Finnish,fi,Uralic
French,fr,Romance
Frisian,fy,Germanic
Galician,gl,Romance
Georgian,ka,Iberian
German,de,Germanic
Greek,el,Hellenic
Gujarati,gu,Indic
Haitian Creole,ht,Romance
Hausa,ha,Afroasiatic
Hawaiian,haw,Austronesian
Hebrew,iw,Afroasiatic
Hindi,hi,Indic
Hmong,hmn,Sino-Tibetan
Hungarian,hu,Uralic
Icelandic,is,Germanic
Igbo,ig,Niger-Congo
Indonesian,id,Austronesian
Irish,ga,Celtic
Italian,it,Romance
Japanese,ja,Japonic
Javanese,jw,Austronesian
Kannada,kn,Dravidian
Kazakh,kk,Turkic
Khmer,km,Austroasiatic
Korean,ko,Korean
Kurdish (Kurmanji),ku,Iranian
Kyrgyz,ky,Turkic
Lao,lo,Kra-Dai
Latin,la,Romance
Latvian,lv,Baltic
Lithuanian,lt,Baltic
Luxembourgish,lb,Germanic
Macedonian,mk,Slavic
Malagasy,mg,Austronesian
Malay,ms,Austronesian
Malayalam,ml,Dravidian
Maltese,mt,Afroasiatic
Maori,mi,Austronesian
Marathi,mr,Indic
Mongolian,mn,Mongolic
Myanmar (Burmese),my,Sino-Tibetan
Nepali,ne,Indic
Norwegian,no,Germanic
Pashto,ps,Iranian
Persian,fa,Iranian
Polish,pl,Slavic
Portuguese,pt,Romance
Punjabi,pa,Indic
Romanian,ro,Romance
Russian,ru,Slavic
Samoan,sm,Austronesian
Scots Gaelic,gd,Celtic
Serbian,sr,Slavic
Sesotho,st,Niger-Congo
Shona,sn,Niger-Congo
Sindhi,sd,Indic
Sinhala,si,Indic
Slovak,sk,Slavic
Slovenian,sl,Slavic
Somali,so,Afroasiatic
Spanish,es,Romance
Sundanese,su,Austronesian
Swahili,sw,Niger-Congo
Swedish,sv,Germanic
Tajik,tg,Iranian
Tamil,ta,Dravidian
Telugu,te,Dravidian
Thai,th,Kra-Dai
Turkish,tr,Turkic
Ukrainian,uk,Slavic
Urdu,ur,Indic
Uzbek,uz,Turkic
Vietnamese,vi,Austroasiatic
Welsh,cy,Celtic
Xhosa,xh,Niger-Congo
Yiddish,yi,Germanic
Yoruba,yo,Niger-Congo
Zulu,zu,Niger-Congo
