time, čas, time, 
year, leto, year, 
people, ljudje, people, 
way, način, way, 
day, dan, day, 
man, človek, man, 
thing, stvar, thing, 
woman, ženska, woman, 
life, življenje, life, 
child, otrok, children, otroci, children, 
world, svet, world, 
school, šola, school, 
state, država, country, država, 
family, družina, family, 
student, študent, student, 
group, skupina, group, 
country, država, country, 
problem, problem, 
hand, roka, deadline, rok, rock, rock, 
part, del, part, 
place, mesto, place, 
case, primera, example, primer, example, 
week, teden, week, 
company, podjetje, company, 
system, sistem, system, 
program, program, 
question, vprašanje, question, 
work, delo, work, 
government, vlada, government, 
number, številka, number, 
night, noč, night, 
mr, gospod, sir, gospod, 
point, točka, point, 
home, doma, home, 
water, voda, water, 
room, soba, room, 
mother, mama, mom, mama, 
area, območje, area, 
money, denar, money, 
story, zgodba, story, 
fact, dejstvo, fact, 
month, mesec, month, 
lot, lot, 
right, prav, right, 
study, študija, study, 
book, knjigo, book, 
eye, oči, eyes, oči, 
job, delo, work, delo, 
word, beseda, word, 
business, poslovanje, business, 
issue, težava, problem, problem, 
side, stran, page, stran, 
kind, vrste, species, vrste, 
head, glava, head, 
house, hiša, house, 
service, storitev, service, 
friend, prijatelj, friend, 
father, oče, father, 
power, moč, power, 
hour, uro, hour, 
game, igro, game, 
line, line, 
end, konec, end, 
member, član, member, 
law, zakon, law, 
car, avto, car, 
city, mesto, place, mesto, 
community, skupnosti, community, 
name, ime, name, 
president, predsednik, president, 
team, ekipa, team, 
minute, minuto, minute, 
idea, ideja, idea, 
kid, fant, boy, fant, 
body, telo, body, 
information, informacije, informations, informacije, 
back, nazaj, back, 
parent, staršev, parents, starši, parents, 
face, obraz, face, 
others, drugi, second, drugič, secondly, drugič, 
level, ravni, level, 
office, urad, office, 
door, vrata, door, 
health, zdravje, health, 
person, oseba, person, 
art, umetnost, art, 
war, vojna, war, 
history, zgodovina, history, 
party, zabava, fun, zabavno, fun, 
result, rezultat, result, 
change, sprememba, change, 
morning, jutro, morning, 
reason, razlog, reason, 
research, raziskave, research, 
girl, punca, girl, 
guy, fant, boy, fant, 
food, hrano, food, 
moment, trenutek, a moment, moment, 
air, zrak, air, 
teacher, učitelj, teacher, 
force, sila, force, 
education, izobraževanje, education, 
foot, stopalo, foot, 
boy, fant, boy, 
age, starost, age, 
policy, politika, politics, politiko, politics, 
process, proces, process, 
music, glasba, music, 
market, trg, market, 
sense, smisel, sense, 
nation, narod, people, ljudje, people, 
plan, načrt, plan, 
college, kolegij, college, 
interest, interes, interest, 
death, smrt, death, 
experience, izkušnje, experience, 
effect, učinek, effect, 
use, uporaba, use, 
class, razred, class, 
control, nadzor, control, 
care, nego, than, kot, as, kot, 
field, polje, field, 
development, razvoj, development, 
role, vloga, role, 
effort, trud, effort, 
rate, oceniti, evaluate, oceniti, 
heart, srce, heart, 
drug, droge, drugs, droge, 
show, show, 
leader, vodja, head, vodja, 
light, svetloba, light, 
voice, glas, voice, 
wife, žena, woman, ženska, woman, 
police, policija, police, 
mind, um, um, 
price, cena, цена, cena, 
report, poročilo, report, 
decision, odločitev, decision, 
son, sin, son, 
view, pogled, look, poglej, look, 
relationship, razmerje, relationship, 
town, mesto, place, mesto, 
road, cesta, road, 
arm, roka, deadline, rok, rock, rock, 
difference, razlika, difference, 
value, vrednost, value, 
building, stavbe, building, 
action, ukrepanje, action, 
model, model, 
season, sezona, season, 
society, družbo, society, 
tax, davek, tax, 
director, direktor, director, 
position, položaj, position, 
player, igralec, player, 
record, zapis, record, 
paper, papir, paper, 
space, prostor, space, 
ground, tla, soil, prst, finger, prst, 
form, obrazec, form, 
event, dogodek, event, 
official, uradni, official, 
matter, zadevo, matter, 
center, center, 
couple, par, par, 
site, stran, page, stran, 
project, projekt, project, 
activity, dejavnost, activity, 
star, zvezda, star, 
table, mizo, table, 
need, potreba, need, 
court, sodišče, court, 
american, ameriški, american, 
oil, olje, oil, 
situation, situacija, situation, 
cost, stroški, costs, stroške, costs, 
industry, industrijo, industry, 
figure, številka, number, številka, 
street, ulica, street, 
image, sliko, picture, slika, picture, 
phone, telefon, phone, 
data, podatkov, data, 
picture, slika, picture, 
practice, praksa, practice, 
piece, kos, bin, bin, 
land, zemljišče, land, 
product, izdelek, product, 
doctor, zdravnik, doctor, 
wall, zid, wall, 
patient, bolnik, patient, 
worker, delavec, worker, 
news, novice, news, 
test, test, 
movie, film, film, 
north, sever, north, 
love, ljubezen, love, 
support, podporo, support, 
technology, tehnologijo, technology, 
step, korak, step, 
baby, otroka, baby, 
computer, računalnik, computer, 
type, tip, type, 
attention, pozornost, attention, 
film, film, 
republican, republikanski, republican, 
tree, drevo, tree, 
source, vir, source, 
organization, organizacija, organization, 
hair, lasje, hair, 
look, poglej, look, 
century, stoletje, century, 
evidence, dokazov, evidence, 
window, okno, window, 
culture, kulturo, culture, 
chance, priložnost, opportunity, priložnost, 
brother, brat, brother, 
energy, energija, energy, 
period, obdobje, period, 
course, seveda, of course, seveda, 
summer, poletje, summer, 
plant, rastlina, plant, 
opportunity, priložnost, opportunity, 
term, dolgoročno, long-term, dolgoročno, 
letter, pismo, letter, 
condition, stanje, condition, 
choice, izbira, choice, 
rule, pravilo, rule, 
daughter, hči, daughter, 
administration, uprava, administration, 
south, južno, south, 
husband, mož, husband, 
congress, kongres, congress, 
floor, nadstropje, floor, 
campaign, kampanja, campaign, 
material, material, 
population, prebivalstvo, population, 
call, klic, call, 
economy, gospodarstvo, economy, 
hospital, bolnišnica, hospital, 
church, cerkev, church, 
risk, tveganje, risk, 
fire, ogenj, fire, 
future, prihodnost, future, 
defense, obramba, defense, 
security, varnost, security, 
bank, banka, bank, 
west, zahodno, west, 
sport, šport, sport, 
board, tabla, board, 
subject, predmet, object, predmet, 
officer, častnik, officer, 
rest, počitek, rest, 
behavior, vedenje, behavior, 
performance, izvedba, performance, 
top, na vrh, on top, na vrhu, at the top, na vrhu, 
goal, cilj, goal, 
second, drugič, secondly, drugič, 
bed, postelja, bed, 
order, red, red, 
author, avtor, author, 
blood, kri, blood, 
agency, agencija, agency, 
nature, narava, nature, 
color, barva, color, 
store, shranite, save, shranite, 
sound, zvok, sound, 
movement, premikanje, move, premakni se, move, 
page, stran, page, 
race, dirka, race, 
concern, skrb, care, nego, than, kot, as, kot, 
series, serije, series, 
language, jezik, language, 
response, odziv, response, 
animal, živali, animals, živali, 
factor, faktor, factor, 
decade, desetletje, a decade, desetletje, 
article, članek, article, 
east, vzhodno, east, 
artist, umetnik, artist, 
scene, scene, 
stock, zaloga, stock, 
career, kariero, career, 
treatment, zdravljenje, treatment, 
approach, pristop, approach, 
size, velikost, size, 
dog, pes, dog, 
fund, sklad, склад, sklad, 
media, mediji, media, 
sign, znak, sign, 
thought, misli, thoughts, misli, 
list, seznam, list, 
individual, posameznik, individual, 
quality, kakovost, quality, 
pressure, pritisk, pressure, 
answer, odgovor, answer, 
resource, vir, source, vir, 
meeting, srečanje, meeting, 
disease, bolezen, disease, 
success, uspeh, success, 
cup, skodelico, cup, 
amount, znesek, amount, 
ability, sposobnost, ability, 
staff, osebje, staff, 
character, znak, sign, znak, 
growth, rast, growth, 
loss, izguba, loss, 
degree, stopnja, rate, oceniti, evaluate, oceniti, 
attack, napad, attack, 
region, regija, region, 
television, televizija, television, 
box, škatla, box, 
tv, tv, 
training, usposabljanje, training, 
trade, trgovino, trade, 
deal, obravnava, deals, obravnava, 
election, volitve, elections, volitve, 
feeling, občutek, feeling, 
standard, standard, 
bill, račun, bill, 
message, sporočilo, message, 
analysis, analiza, analysis, 
benefit, koristi, benefits, koristi, 
sex, seks, sex, 
lawyer, odvetnik, lawyer, 
section, oddelek, section, 
glass, steklo, glass, 
skill, spretnost, skill, 
sister, sestra, sister, 
professor, profesor, professor, 
operation, delovanje, operation, 
crime, kriminal, crime, 
stage, stopnja, rate, oceniti, evaluate, oceniti, 
authority, organ, organ, 
design, oblikovanje, design, 
sort, razvrsti, sort, 
one, eno, one, 
knowledge, znanje, knowledge, 
gun, pištolo, gun, 
station, postaja, station, 
strategy, strategijo, strategy, 
truth, resnica, truth, 
song, pesem, song, 
example, primer, example, 
environment, okolje, environment, 
leg, nog, leg, 
public, javnost, publicity, javnost, 
executive, izvršni, executive, 
set, nastavite, continue, nadaljuj, continue, 
rock, rock, 
note, opomba, footnote, opomba, 
manager, manager, 
help, pomoč, help, 
network, omrežje, network, 
science, znanost, science, 
memory, spomin, memory, 
card, kartica, card, 
seat, sedež, seat, 
cell, celica, cell, 
trial, poskus, experiment, poskus, 
expert, strokovnjak, expert, 
spring, spomladi, spring, 
firm, trdno, firmly, trdno, 
democrat, demokrat, democrat, 
radio, radio, 
management, upravljanje, management, 
ball, žoga, ball, 
talk, pogovor, conversation, pogovor, 
theory, teorija, theory, 
impact, vpliv, impact, 
statement, izjavo, statement, 
charge, obtožiti, to accuse, obtožiti, 
direction, smer, direction, 
weapon, orožje, weapons, orožje, 
employee, zaposlenega, employee, 
peace, mir, peace, 
base, bazo, base, 
pain, bolečina, pain, 
play, igraj, play, 
measure, ukrep, action, ukrepanje, action, 
interview, intervju, interview, 
chair, stol, chair, 
fish, ribe, fish, 
camera, kamera, camera, 
structure, strukturo, structure, 
politics, politiko, politics, 
bit, bit, 
weight, utež, weight, 
candidate, kandidat, candidate, 
production, proizvodnjo, production, 
trip, potovanje, travel, potovanje, 
evening, zvečer, in the evening, zvečer, 
conference, konferenca, conference, 
unit, enota, unit, 
style, slog, style, 
adult, odrasla oseba, an adult, odrasel, grown up, odrasel, 
range, razpon, range, 
past, preteklost, the past, preteklost, 
edge, rob, rob, 
writer, pisatelj, writer, 
trouble, težave, problems, težave, 
challenge, izziv, challenge, 
fear, strah, fear, 
shoulder, ramo, shoulder, 
institution, institucija, institution, 
sea, morje, sea, 
dream, sanje, dreams, sanje, 
bar, bar, 
property, nepremičnine, real estate, nepremičnina, real estate, 
stuff, stvari, things, stvari, 
detail, podrobnosti, details, podrobnosti, 
method, metoda, method, 
magazine, revija, magazine, 
hotel, hotel, 
soldier, vojak, soldier, 
cause, vzrok, cause, 
bag, vreča, bag, 
heat, toplote, heat, 
fall, padec, fall, 
marriage, zakon, law, zakon, 
surface, površina, surface, 
purpose, namen, purpose, 
pattern, vzorec, sample, vzorec, 
skin, koža, skin, 
agent, agent, 
owner, lastnik, owner, 
machine, stroj, machine, 
gas, plin, gas, 
generation, generacije, generation, 
cancer, rak, cancer, 
item, predmet, object, predmet, 
reality, realnost, reality, 
coach, trener, coach, 
mrs, g, mr, gospod, sir, gospod, 
yard, dvorišče, courtyard, dvorišče, 
violence, nasilje, violence, 
investment, naložbe, investments, naložbe, 
discussion, diskusija, discussion, 
finger, prst, finger, 
garden, vrt, garden, 
collection, zbirka, collection, 
task, naloga, order, red, red, 
partner, partnerja, partner, 
kitchen, kuhinja, kitchen, 
consumer, potrošnika, consumer, 
shot, strel, shot, 
budget, proračun, budget, 
painting, slika, picture, slika, 
scientist, znanstvenik, scientist, 
agreement, sporazum, agreement, 
capital, kapital, capital, 
mouth, usta, mouth, 
victim, žrtev, victim, 
newspaper, časopis, newspaper, 
threat, grožnja, threat, 
responsibility, odgovornost, responsibility, 
attorney, odvetnik, lawyer, odvetnik, 
score, rezultat, result, rezultat, 
account, račun, bill, račun, 
break, odmor, holiday, počitnice, vacation, počitnice, 
audience, občinstvo, audience, 
dinner, večerja, dinner, 
vote, glasovanje, vote, 
debate, razprava, discussion, diskusija, discussion, 
citizen, državljan, citizen, 
majority, večino, most of, večina, most of them, večina, 
wind, veter, wind, 
mission, poslanstvo, mission, 
customer, stranka, client, odjemalec, client, 
speech, govor, speech, 
option, možnost, option, 
participant, udeleženec, participant, 
forest, gozd, forest, 
video, video, 
senate, senat, senate, 
reform, reforme, reform, 
access, dostop, access, 
restaurant, restavracija, restaurant, 
judge, sodnik, judge, 
relation, razmerje, relationship, razmerje, 
bird, ptica, bird, 
opinion, mnenje, opinion, 
credit, kredit, credit, 
corner, kotiček, corner, 
version, različico, version, 
safety, varnost, security, varnost, 
neighborhood, soseska, neighborhood, 
act, ukrepati, take action, ukrepajte, take action, 
troop , vojska , army , vojska , 
income, dohodek, income, 
species, vrste, species, 
track, sledi, follow, sledite, follow, 
hope, upanje, hope, 
sky, nebo, sky, 
freedom, svobodo, freedom, 
plane, letalo, plane, 
object, predmet, object, 
attitude, odnos, relationship, razmerje, relationship, 
labor, porod, birth, rojstvo, birth, 
concept, koncept, concept, 
client, odjemalec, client, 
conversation, pogovor, conversation, 
variety, sorta, variety, 
turn, obrat, plant, rastlina, plant, 
investigation, preiskavo, investigation, 
researcher, raziskovalec, researcher, 
press, pritisnite, press, 
conflict, konflikt, conflict, 
spirit, duh, ghost, duh, 
argument, prepir, quarrel, prepir, 
camp, kamp, camp, 
brain, možganov, the brain, možgani, the brain, 
feature, funkcija, function, funkcijo, function, 
afternoon, popoldne, in the afternoon, popoldan, in the afternoon, 
weekend, vikend, weekend, 
possibility, možnost, option, možnost, 
insurance, zavarovanje, insurance, 
department, oddelek, section, oddelek, 
battle, bitka, battle, 
beginning, začetek, start, začni, start, 
date, datum, date, 
crisis, kriza, crisis, 
fan, ventilator, fan, 
hole, luknjo, hole, 
element, element, 
vision, vizijo, vision, 
status, stanje, condition, stanje, 
ship, ladja, ship, 
solution, rešitev, solution, 
stone, kamen, stone, 
scale, obsega, volume, prostornina, volume, 
university, univerza, university, 
driver, voznik, driver, 
attempt, poskus, experiment, poskus, 
park, parkirati, park, 
spot, spot, 
lack, pomanjkanje, lack, 
ice, led, ice, 
boat, čoln, boat, 
