time, tempus, time, 
year, annos singulos, year, 
people, populus, people, 
way, ita, and, et, and, 
day, dies, day, 
man, vir, man, 
thing, rem, business, negotium, business, 
woman, femina, woman, 
life, vita, life, 
child, puer, boy, puer, 
world, orbis, the, quod, and, et, and, 
school, scholae, school, 
state, statum, state, 
family, familia, family, 
student, discipulus, student, 
group, coetus, group, 
country, patriam, country, 
problem, quaestio, the question, quaestio, 
hand, manibus, with hands, manibus, 
part, pars, part, 
place, locus, location, locus, 
case, apud, with, apud, 
week, septem, seven, septem, 
company, turba, the crowd, turba, 
system, ratio, reason, ratio, 
program, program, 
question, quaestio, the question, quaestio, 
work, opus, work, 
government, imperium, government, 
number, numerus, the number of, fuerit numerus, the number of, 
night, noctis, night, 
mr, dominus, master, dominus, 
point, illud, it, quod, and, et, and, 
home, domum, house, domum or casa, a house or hut, domum aut casa, a house or hut, 
water, aqua, water, 
room, locus, location, locus, 
mother, mater, mother, 
area, regio, area, 
money, pecunia, funds, pecunia, 
story, fabula, story, 
fact, quod, and, et, and, 
month, mensis, month, 
lot, multum, many, multis, many, 
right, iustum, right, 
study, studium, study, 
book, liber, book, 
eye, oculus, eye, 
job, officium, office, officium, 
word, sermo, word, 
business, negotium, business, 
issue, exitus, exit, exitus, 
side, latus, side, 
kind, genus, race, genus, 
head, caput, head, 
house, domum or casa, a house or hut, domum aut casa, a house or hut, 
service, officium, office, officium, 
friend, amica, friend, 
father, pater, father, 
power, imperium, government, imperium, 
hour, hora, hour, 
game, ludum, school, scholae, school, 
line, acies, line, 
end, finis, end, 
member, socius, member, 
law, iuris, law, 
car, currus, car, 
city, urbs, the city, urbs, 
community, civitas, city, urbs, the city, urbs, 
name, nomine, name, 
president, praeses, president, 
team, bigas, team, 
minute, minute, 
idea, idea, 
kid, hedum in frusta concerperet, kid;, hædum, kid, 
body, corporis, body, 
information, notitia, information, 
back, rursus, again, rursus, 
parent, parente, parent, 
face, faciem, face, 
others, alii, others, 
level, planum, plane, planum, 
office, officium, office, 
door, ianua, the door, ianua, 
health, salutem, safety, salutem, 
person, hominem, man, vir, man, 
art, artem, art, 
war, bellum, war, 
history, historia, history, 
party, pars, part, pars, 
result, exitum, out, de, about, fere, about, 
change, mutatio, change, 
morning, mane, morning, 
reason, ratio, reason, 
research, investigationem, research, 
girl, puella, the girl, puella, 
guy, guido, guy, 
food, cibus, food, 
moment, momentum, moment, 
air, caeli, air, 
teacher, magister, teacher, 
force, impetu, attack, impetus, attacks, impetus, 
education, educationem, education, 
foot, pes, foot, 
boy, puer, boy, 
age, aetate, age, 
policy, consilium, policy, 
process, processus, process, 
music, musicorum, music, 
market, forum, market, 
sense, sensum, feeling, sensum, 
nation, gentem, people, populus, people, 
plan, consilium, policy, consilium, 
college, collegium, college, 
interest, rem, business, negotium, business, 
death, mortem, dead, mortuus est, died, mortuus est, 
experience, experientia, experience, 
effect, modum, limit, terminus, the border, terminus, 
use, usus, use, 
class, genus, race, genus, 
control, imperium, government, imperium, 
care, curae, care, 
field, agri, field, 
development, progressio, program, program, 
role, partes, parts, partibus, parts, 
effort, conatus, effort, 
rate, rate, 
heart, cor meum, my heart, cor meum, 
drug, pharmacum, drug, 
show, ostende, show, 
leader, princeps, leader, 
light, lux, light, 
voice, vox, the voice, vox, 
wife, uxorem, wife, 
police, magistratus, officials, magistratus, 
mind, animo, mind, 
price, pretium, price, 
report, fama, report, 
decision, arbitrium, decision, 
son, filius, son, 
view, visum, view, 
relationship, necessitudo, relationship, 
town, oppidum, town, 
road, via, road, 
arm, brachium eius, arm, 
difference, difference, 
value, valorem, value, 
building, aedificium, building, 
action, actum, act, actum, 
model, exemplum, model, 
season, tempus, time, tempus, 
society, societatis,, society, 
tax, tributum, tax, 
director, director, 
position, statum, state, statum, 
player, ludio, player, 
record, record, 
paper, chartam, paper, 
space, locus, location, locus, 
ground, terram, ground, 
form, forma, form, 
event, res, things, rerum, the, quod, and, et, and, 
official, officialis, official, 
matter, materia, material, materiales, material, 
center, centrum, center, 
couple, duobus, two, duo, two, 
site, site, 
project, project, 
activity, actio, activity, 
star, stella, star, 
table, mensa, table, 
need, necessitudo, relationship, necessitudo, 
court, atrium, court, 
american, american, 
oil, oleum, oil, 
situation, statum, state, statum, 
cost, pretium, price, pretium, 
industry, industria, industry, 
figure, figure, 
street, via, road, via, 
image, imagini, files, files, 
phone, phone, 
data, notitia, information, notitia, 
picture, picturae, pictures, pictures, 
practice, praxi, practice, 
piece, pars, part, pars, 
land, terra, earth, terra, 
product, productum, product, 
doctor, medicus, the doctor, medicus, 
wall, murus, wall, 
patient, patientes estote, patient, 
worker, illud operatur,, it works;, laborat;, is working;, opus est;, work;, opus;, work;, 
news, nuntium, news, 
test, test, 
movie, elit, developer, elit, 
north, north, 
love, amare, to love, amare, 
support, auxilium, help, auxilium, 
technology, technology, 
step, gradus, degrees, gradus, 
baby, infans, baby, 
computer, computatrum, computer, 
type, genus, race, genus, 
attention, attendentes, attention, 
film, amet, carrots, sit amet, a lot, multum, many, multis, many, 
republican, republican, 
tree, arbor, tree, 
source, fons, source, 
organization, organization, 
hair, capillum, hair, 
look, quaerere, search, quaerere, 
century, saeculum, century, 
evidence, quod, and, et, and, 
window, fenestram, window, 
culture, cultura, culture, 
chance, forte, chance, 
brother, frater, brother, 
energy, industria, industry, industria, 
period, tempus, time, tempus, 
course, scilicet, namely,, nimirum,, namely;, nimirum,, 
summer, aestas, summer, 
plant, plant, 
opportunity, potestatem, power, imperium, government, imperium, 
term, terminus, the border, terminus, 
letter, litterae, literature, litterae, 
condition, conditione,, condition, 
choice, arbitrium, decision, arbitrium, 
rule, lex, the law, lex, 
daughter, filia, daughter, 
administration, administratio, administration, 
south, meridianam, south, 
husband, vir, man, vir, 
congress, congressus, congress, 
floor, area, area, 
campaign, expeditionem, campaign, 
material, materiales, material, 
population, population, 
call, voca, call, 
economy, oeconomia, economy, 
hospital, hospitium, hospital, 
church, ecclesia,, church,, ecclesia,, 
risk, periculum, risks, metus, fears, timoribus, fears, 
fire, ignis, fire, 
future, futurae, future, 
defense, defensionis, defense, 
security, pignus, security, 
bank, ripae, bank, 
west, occidens, west, 
sport, sport, 
board, tabula, board, 
subject, subject, 
officer, officer, 
rest, reliqua, the rest, et cetera, etc, etc., etc., 
behavior, mores, behavior, 
performance, perficiendi, performance, 
top, summitatem, top, 
goal, propositum, goal, 
second, secundus, second, 
bed, lectulo, bed, 
order, ordo, order, 
author, auctor, author, 
blood, sanguis, blood, 
agency, propellente, agency, 
nature, naturae, nature, 
color, color, 
store, store, 
sound, canetis, sound, 
movement, motus, motion, motus, 
page, page, 
race, genus, race, 
concern, de, about, fere, about, 
series, seriem, series, 
language, lingua, language, 
response, responsum, reply, respondeo, reply, 
animal, animalis,, animal, 
factor, elementum, element, elementum, 
decade, decennium, a decade, decennium, 
article, articulus, article, 
east, orientem, rising, ortu, rising, 
artist, artifex, artist, 
scene, scene, 
stock, stock, 
career, vitae, life, vita, life, 
treatment, curatio, treatment, 
approach, approach, 
size, magnitudine, size, 
dog, canis, dog, 
fund, fiscus, fund, 
media, media, 
sign, signum, sign, 
thought, putaverunt, thought, 
list, album, white, album, 
individual, singula, single, unum, one, unus, one, 
quality, qualis, what, quid est, what is, quid est, 
pressure, pressura, pressure, 
answer, responsum, reply, respondeo, reply, 
resource, resource, 
meeting, occurrens, meeting, 
disease, morbus, disease, 
success, victoria, victory, victoria, 
cup, poculum, cup, 
amount, tantum, only, tantum, 
ability, habebat, he was having, se habent, they have, habent, they have, 
staff, virgam, staff, 
character, ingenium, temper, ingenium, 
growth, incrementum, growth, 
loss, damnum, loss, 
degree, gradus, degrees, gradus, 
attack, impetus, attacks, impetus, 
region, regionem, region, 
television, televisionem, television, 
box, arca archa, box, 
tv, tv, 
training, exercitatione, routine, exercitatione, 
trade, artis, art, artem, art, 
deal, multum, many, multis, many, 
election, electio, the election, electio, 
feeling, sensum, feeling, 
standard, vexillum, standard, 
bill, libellum, bill, 
