time, час, time, 
year, рік, year, 
people, люди, people, 
way, шлях, way, 
day, день, day, 
man, людина, man, 
thing, річ, thing, 
woman, жінка, woman, 
life, життя, life, 
child, дитина, child, 
world, світ, world, 
school, школа, school, 
state, держава, state, 
family, сім'я, family, 
student, студент, student, 
group, група, group, 
country, країна, country, 
problem, проблема, problem, 
hand, рука, hand, 
part, частина, part, 
place, місце, place, 
case, справа, case, 
week, тиждень, week, 
company, компанія, company, 
system, система, system, 
program, програма, program, 
question, питання, question, 
work, робота, work, 
government, уряд, government, 
number, номер, number, 
night, ніч, night, 
mr, містер, mister, містер, 
point, точка, point, 
home, додому, home, 
water, вода, water, 
room, кімната, room, 
mother, мама, mother, 
area, площа, area, 
money, гроші, money, 
story, історія, history, історія, 
fact, факт, fact, 
month, місяць, month, 
lot, багато, many, багато хто, lot, 
right, правильно, right, 
study, вивчення, study, 
book, книга, book, 
eye, око, eye, 
job, робота, work, робота, 
word, слово, word, 
business, бізнес, business, 
issue, проблема, problem, проблема, 
side, сторона, side, 
kind, доброзичливий, benevolent, доброзичливий, 
head, голова, head, 
house, будинок, house, 
service, сервіс, service, 
friend, друг, friend, 
father, батько, father, 
power, влада, power, 
hour, година, hour, 
game, гра, game, 
line, лінія, line, 
end, кінець, end, 
member, член, member, 
law, закон, law, 
car, машина, machine, машина, 
city, місто, city, 
community, спільнота, the community, громада, community, 
name, ім'я, name, 
president, президент, president, 
team, команда, team, 
minute, хвилина, minute, 
idea, ідея, idea, 
kid, дитина, child, дитина, 
body, тіло, body, 
information, інформація, information, 
back, назад, back, 
parent, батько, father, батько, 
face, обличчя, face, 
others, інші, others, 
level, рівень, level, 
office, офіс, office, 
door, двері, door, 
health, здоров'я, health, 
person, людина, man, людина, 
art, мистецтво, art, 
war, війна, war, 
history, історія, history, 
party, вечірка, party, 
result, результат, result, 
change, змінити, change, 
morning, ранок, morning, 
reason, причина, reason, 
research, дослідження, research, 
girl, дівчина, girl, 
guy, хлопець, boy, хлопчик, boy, 
food, їжа, food, 
moment, момент, moment, 
air, повітря, air, 
teacher, вчитель, the teacher, вчитель, 
force, сила, power, влада, power, 
education, освіта, education, 
foot, пішки, on foot, пішки, 
boy, хлопчик, boy, 
age, вік, age, 
policy, політика, policy, 
process, процес, process, 
music, музика, music, 
market, ринок, market, 
sense, сенс, sense, 
nation, нація, nation, 
plan, план, plan, 
college, коледж, college, 
interest, інтерес, interest, 
death, смерть, death, 
experience, досвід, experience, 
effect, ефект, effect, 
use, використовувати, use, 
class, клас, class, 
control, контроль, control, 
care, турбота, care, 
field, поле, field, 
development, розвиток, development, 
role, роль, role, 
effort, зусилля, effort, 
rate, курс, course, звичайно, of course, звичайно, 
heart, серце, heart, 
drug, наркотик, drug, 
show, показати, to show, показати, 
leader, лідер, leader, 
light, світло, light, 
voice, голос, voice, 
wife, дружина, wife, 
police, поліція, police, 
mind, розум, mind, 
price, ціна, price, 
report, звіт, report, 
decision, рішення, decision, 
son, син, son, 
view, вид, kind, доброзичливий, benevolent, доброзичливий, 
relationship, відносини, relationship, 
town, місто, city, місто, 
road, дорога, road, 
arm, рука, hand, рука, 
difference, різниця, difference, 
value, вартість, cost, вартість, 
building, будівля, building, 
action, дія, action, 
model, модель, model, 
season, сезон, season, 
society, суспільство, society, 
tax, податок, tax, 
director, режисер, director, 
position, позиція, position, 
player, гравець, player, 
record, запис, record, 
paper, папір, paper, 
space, простір, space, 
ground, земля, earth, земля, 
form, форма, form, 
event, подія, event, 
official, чиновник, official, 
matter, матерія, matter, 
center, центр, center, 
couple, пара, couple, 
site, сайт, site, 
project, проект, project, 
activity, діяльність, activity, 
star, зірка, star, 
table, стіл, table, 
need, треба, need, 
court, суд, court, 
american, американець, american, 
oil, масло, butter, масло, 
situation, ситуація, situation, 
cost, вартість, cost, 
industry, промисловість, industry, 
figure, фігура, figure, 
street, вулиця, street, 
image, зображення, image, 
phone, телефон, phone, 
data, дані, data, 
picture, картина, painting, фарбування, dyeing, фарбування, 
practice, практика, practice, 
piece, шматок, piece, 
land, земля, earth, земля, 
product, продукт, product, 
doctor, лікар, doctor, 
wall, стіна, wall, 
patient, пацієнт, patient, 
worker, робітник, worker, 
news, новини, news, 
test, тест, test, 
movie, фільм, film, фільм, 
north, північ, north, 
love, кохання, love, 
support, підтримка, support, 
technology, технологія, technology, 
step, крок, step, 
baby, дитина, child, дитина, 
computer, комп'ютер, computer, 
type, тип, type, 
attention, увага, warning, увага, 
film, фільм, film, 
republican, республіканський, republican, 
tree, дерево, tree, 
source, джерело, source, 
organization, організація, organization, 
hair, волосся, hair, 
look, дивись, look, 
century, століття, century, 
evidence, свідчення, testimony, свідчення, 
window, вікно, window, 
culture, культура, culture, 
chance, шанс, chance, 
brother, брат, brother, 
energy, енергія, energy, 
period, період, period, 
course, звичайно, of course, звичайно, 
summer, літо, summer, 
plant, рослина, plant, 
