time, tempo, time, 
year, jaro, year, 
people, homoj, people, 
way, vojo, way, 
day, tago, day, 
man, viro, man, 
thing, aĵo, thing, 
woman, virino, woman, 
life, vivo, live, vivu, live, 
child, infano, child, 
world, mondo, world, 
school, lernejo, school, 
state, ŝtato, state, 
family, familio, family, 
student, studento, student, 
group, grupo, group, 
country, lando, country, 
problem, problemo, problem, 
hand, mano, hand, 
part, parto, part, 
place, loko, place, 
case, kazo, case, 
week, semajno, week, 
company, kompanio, company, 
system, sistemo, system, 
program, programo, program, 
question, demando, i ask, mi petas, i beg you, mi petas vin, i beg you, 
work, laboro, work, 
government, registaro, government, 
number, nombro, number, 
night, nokte, night, 
mr, mr, 
point, punkto, point, 
home, hejmo, home, 
water, akvo, water, 
room, ĉambro, room, 
mother, patrino, mother, 
area, areo, area, 
money, mono, monkey, simio, monkey, 
story, rakonto, story, 
fact, fakto, fact, 
month, monato, month, 
lot, multe, much, multe, 
right, dekstre, to the right, dekstren, to the right, 
study, studi, study, 
book, libro, book, 
eye, okulo, eye, 
job, laboro, work, laboro, 
word, vorto, word, 
business, negoco, business, 
issue, afero, thing, aĵo, thing, 
side, flanko, side, 
kind, afabla, kind, 
head, kapo, head, 
house, domo, house, 
service, servo, service, 
friend, amiko, friend, 
father, patro, father, 
power, potenco, power, 
hour, horo, hour, 
game, ludo, game, 
line, linio, line, 
end, fino, fine, fajna, fine, 
member, membro, member, 
law, leĝo, law, 
car, aŭto, car, 
city, urbo, city, 
community, komunumo, community, 
name, nomo, name, 
president, prezidanto, president, 
team, teamo, team, 
minute, minuto, minute, 
idea, ideo, therefore, sekve, therefore, 
kid, infano, child, infano, 
body, korpo, body, 
information, informoj, information, 
back, reen, back, 
parent, patro, father, patro, 
face, vizaĝo, face, 
others, aliaj, others, 
level, nivelo, level, 
office, oficejo, office, 
door, pordo, door, 
health, sano, healthy, sana, healthy, 
person, persono, person, 
art, arto, art, 
war, milito, war, 
history, historio, history, 
party, festo, party, 
result, rezulto, result, 
change, ŝanĝi, change, 
morning, matene, in the morning, matene, 
reason, kialo, reason, 
research, esplorado, research, 
girl, knabino, girl, 
guy, knabo, boy, knabo, 
food, manĝo, food, 
moment, momento, moment, 
air, aero, air, 
teacher, instruisto, teacher, 
force, forto, strength, forto, 
education, edukado, education, 
foot, piedo, foot, 
boy, knabo, boy, 
age, aĝo, age, 
policy, politiko, politics, politiko, 
process, procezo, process, 
music, muziko, music, 
market, merkato, market, 
sense, senso, sense, 
nation, nacio, i was born, mi naskiĝis, i was born, 
plan, plano, flat, plata, silver, arĝento, silver, 
college, kolegio, college, 
interest, intereso, interest, 
death, morto, death, 
experience, sperto, experience, 
effect, efekto, effect, 
use, uzi, to use, uzi, 
class, klaso, class, 
control, kontrolo, control, 
care, zorgo, care, 
field, kampo, field, 
development, disvolviĝo, development, 
role, rolo, role, 
effort, penado, effort, 
rate, imposto, tax, imposto, 
heart, koro, heart, 
drug, drogo, drug, 
show, montri, show, 
leader, ĉefo, leader, 
