time, സമയം, time, 
year, വർഷം, year, 
people, ആളുകൾ, people, 
way, വഴി, way, 
day, ദിവസം, day, 
man, മനുഷ്യൻ, man, 
thing, കാര്യം, thing, 
woman, സ്ത്രീ, woman, 
life, ജീവിതം, life, 
child, കുട്ടി, the child, കുട്ടി, 
world, ലോകം, the world, ലോകം, 
school, സ്കൂൾ, school, 
state, സംസ്ഥാനം, state, 
family, കുടുംബം, family, 
student, വിദ്യാർത്ഥി, student, 
group, ഗ്രൂപ്പ്, group, 
country, രാജ്യം, country, 
problem, പ്രശ്നം, the problem, പ്രശ്നം, 
hand, കൈ, hand, 
part, ഭാഗം, part, 
place, സ്ഥലം, place, 
case, കേസ്, case, 
week, ആഴ്ച, week, 
company, കമ്പനി, company, 
system, സിസ്റ്റം, system, 
program, പ്രോഗ്രാം, program, 
question, ചോദ്യം, question, 
work, ജോലി, the work, ജോലി, the work, 
government, സർക്കാർ, the government, സര്ക്കാര്, government, 
number, സംഖ്യ, number, 
night, രാത്രി, at night, രാത്രിയിൽ, at night, 
mr, മിസ്റ്റർ, mr., മിസ്റ്റർ., mr., 
point, പോയിന്റ്, point, 
home, വീട്, home, 
water, വെള്ളം, water, 
room, മുറി, room, 
mother, അമ്മ, mother, 
area, പ്രദേശം, the area, പ്രദേശം, 
money, പണം, money, 
story, കഥ, story, 
fact, വസ്തുത, the fact, സത്യം, the truth, സത്യം, 
month, മാസം, the month, മാസം, 
lot, ഭൂരിഭാഗം, the majority, ഭൂരിപക്ഷം, the majority, 
right, ശരി, ok, ശരി, 
study, പഠിക്കുക, study, 
book, പുസ്തകം, book, 
eye, കണ്ണ്, eye, 
job, ജോലി, the work, ജോലി, the work, 
word, വാക്ക്, the word, വാക്ക്, 
business, ബിസിനസ്സ്, business, 
issue, ഇഷ്യൂ, issue, 
side, വശ, side, 
kind, ദയയോടെ, with kindness, ദയയോടെ, 
head, തല, head, 
house, വീട്, home, വീട്, 
service, സേവനം, service, 
friend, സുഹൃത്ത്, friend, 
father, പിതാവ്, father, 
power, ശക്തി, power, 
hour, മണിക്കൂറിൽ, in an hour, ഒരു മണിക്കൂറിൽ, in an hour, 
