time, vaqt, time, 
year, yil, year, 
people, odamlar, people, 
way, yo'l, road, yo'l, 
day, kun, day, 
man, kishi, person, shaxs, person, 
thing, narsa, everything, hamma narsa, everything, 
woman, ayol, woman, 
life, hayot, life, 
child, bola, child, 
world, dunyo, the world, dunyo, 
school, maktab, school, 
state, davlat, state, 
family, oila, family, 
student, talaba, student, 
group, guruh, group, 
country, mamlakat, country, 
problem, muammo, problem, 
hand, qo'l bilan, by hand, qo'l bilan, 
part, qism, section, bo'lim, section, 
place, joy, place, 
case, ish, the work, ish, 
week, hafta, week, 
company, kompaniya, company, 
system, tizimi, system, 
program, dasturi, software, dasturiy ta'minot, software, 
question, savol, question, 
work, ish, the work, ish, 
government, hukumat, government, 
number, raqami, number, 
night, kecha, night, 
mr, janob, mr., janob., mr., 
point, nuqta, point, 
home, uy, home, 
water, suv, water, 
room, xona, room, 
mother, ona, to him, unga, to him, 
area, olgan, field, maydonda, on the field, sohada, in the field, sohada, 
money, pul, money, 
story, hikoya, story, 
fact, haqiqat, truth, haqiqat, 
month, oy, month, 
lot, juda ko'p, too much, juda ko'p, 
right, o'ng, right, 
study, o'rganish, to learn, o'rganish, 
book, kitob, book, 
eye, ko'z, eye, 
job, ish, the work, ish, 
word, so'z, word, 
business, biznes, business, 
issue, nashr, publication, e'lon qilish, declare, e'lon qilish, 
side, tomoni, side, 
kind, mehribon, kind, 
head, boshi, head, 
house, uy, home, uy, 
service, xizmat ko'rsatish, service, 
friend, do'stim, my friend, mening do'stim, my friend, 
father, otasi, his father, uning otasi, his father, 
power, quvvat, power, 
hour, soat, hours, soat, 
game, o'yin, play, o'ynash, play, 
line, yo'nalish, direction, yo'nalish, 
end, oxiri, end, 
member, a'zo, member, 
law, qonun, law, 
car, mashina, car, 
city, shahar, city, 
community, jamoa, community, 
name, nomi, name, 
president, prezident, president, 
team, jamoa, community, jamoa, 
minute, daqiqada, at the minute, daqiqada, 
idea, fikr, thought, o'ylardi, thinking, fikrlash, thinking, 
kid, bola, child, bola, 
body, tanasi, body, 
information, ma `lumot, information, 
back, orqaga, back, 
parent, ota-ona, parents, ota-onalar, parents, 
face, yuzi, face, 
others, boshqalar, others, 
level, daraja, level, 
office, idora, administration, boshqarish, management, boshqarish, 
door, eshik, the door, eshik, 
health, sog'liqni saqlash, healthcare, sog'liqni saqlash, 
person, shaxs, person, 
art, san'at, art, 
war, urush, war, 
history, tarix, history, 
party, partiyasi, party, 
result, natijalar, results, natijalar, 
change, o'zgartirish, change, 
morning, ertalab, in the morning, ertalab, 
reason, sabab, reason, 
research, tadqiqot, research, 
girl, qiz, girl, 
guy, yigit, young man, yosh yigit, young man, 
food, ovqat, eat, yemoq, eat, 
moment, daqiqada, at the minute, daqiqada, 
air, havo, weather, ob-havo, the weather, ob-havo, 
teacher, o'qituvchi, teacher, 
force, kuch, power, quvvat, power, 
education, ta'lim, education, 
foot, oyoq, foot, 
boy, bola, child, bola, 
age, yoshi, age, 
policy, siyosat, politics, siyosat, 
process, jarayon, process, 
music, musiqa, music, 
market, bozor, market, 
sense, ma'no, meaning, ma'nosi, meaning, 
nation, millat, nation, 
plan, rejasi, plan, 
college, kollej, college, 
interest, qiziqish, interest, 
death, o'lim, scientist, olim, scientist, 
experience, tajriba, experience, 
effect, ta'siri, effect, 
use, foydalanish, use, 
class, sinf, class, 
control, boshqaruv, management, boshqarish, management, 
care, parvarishlash, care, 
field, maydonda, on the field, sohada, in the field, sohada, 
development, rivojlanish, development, 
role, roli, roles, rollar, roles, 
effort, harakatlar, actions, harakatlar, 
rate, darajasi, rate, 
heart, yurak, heart, 
drug, giyohvandlik, drug addiction, giyohvandlik, 
show, ko'rsatish, show, 
leader, lideri, leader, 
light, yorug'lik, light, 
voice, ovozi, sound, ovozi, 
wife, xotini, wife, 
police, politsiya, the police, politsiya, 
mind, aql, reason, sabab, reason, 
price, narxlari, price, 
report, hisobot, reporting, hisobot berish, reporting, 
decision, qaror, decision, 
son, o'g'li, son, 
