time, ពេលវេលា, time, 
year, ឆ្នាំ, year, 
people, មនុស្ស, people, 
way, វិធី, way, 
day, ថ្ងៃ, day, 
man, បុរស, men, បុរស, 
thing, រឿង, story, រឿង, 
woman, ស្ត្រី, women, ស្ត្រី, 
life, ជីវិត, life, 
child, កូន, children, កុមារ, children, 
world, ពិភពលោក, world, 
school, សាលារៀន, school, 
state, រដ្ឋ, state, 
family, គ្រួសារ, family, 
student, សិស្ស, student, 
group, ក្រុម, groups, ក្រុម, 
country, ប្រទេស, country, 
problem, បញ្ហា, problems, បញ្ហា, 
hand, ដៃ, hand, 
part, ជាផ្នែកមួយ, part, 
place, កន្លែង, place, 
case, ករណី, case, 
week, សប្តាហ៍, week, 
company, ក្រុមហ៊ុន, company, 
system, ប្រព័ន្ធ, system, 
program, កម្មវិធី, program, 
question, សំណួរ, question, 
work, ការងារ, jobs, ការងារ, 
government, រដ្ឋាភិបាល, government, 
number, ចំនួន, number, 
night, យប់, night, 
mr, លោក, mr., លោក។, mr., 
point, ចំណុច, point, 
home, ផ្ទះ, home, 
water, ទឹក, water, 
room, បន្ទប់, room, 
mother, ម្តាយ, mother, 
area, តំបន់, region, តំបន់, 
money, លុយ, money, 
story, រឿង, story, 
fact, ការពិត, the truth, ការពិត, 
month, ខែ, month, 
lot, ច្រើន, many, មនុស្សជាច្រើន, many people, មនុស្ស​ជា​ច្រេ​ី​ន, people are the same, មនុស្សគឺដូចគ្នា, people are the same, 
right, សិទ្ធិ, right, 
study, ការសិក្សា, study, 
book, សៀវភៅ, books, សៀវភៅ, 
eye, ភ្នែក, eyes, ភ្នែក, 
job, ការងារ, jobs, ការងារ, 
word, ពាក្យ, words, ពាក្យ, 
business, អាជីវកម្ម, business, 
issue, កិច្ចការ, acts, កិច្ចការ, 
side, ចំហៀង, side, 
kind, ប្រភេទ, category, ប្រភេទ, 
head, ក្បាល, head, 
house, ផ្ទះ, home, ផ្ទះ, 
service, សេវាកម្ម, service, 
friend, មិត្តភក្តិ, friends, មិត្តភក្តិ, 
father, ឪពុក, father, 
power, អំណាច, power, 
hour, ម៉ោង, hours, ម៉ោង, 
game, ល្បែង, games, ល្បែង, 
line, បន្ទាត់, line, 
end, បញ្ចប់, end, 
member, សមាជិក, members, សមាជិក, 
law, ច្បាប់, law, 
car, រថយន្ត, cars, រថយន្ត, 
city, ទីក្រុង, city, 
community, សហគមន៍, community, 
name, ឈ្មោះ, name, 
president, ប្រធានាធិបតី, president, 
team, ក្រុម, groups, ក្រុម, 
minute, នាទី, minute, 
idea, គំនិត, ideas, គំនិត, 
kid, ក្មេង, kids, ក្មេង, 
body, រាងកាយ, body, 
information, ព័ត៌មាន, information, 
back, ថយក្រោយ, back, 
parent, ឪពុកម្តាយ, parents, ឪពុកម្តាយ, 
face, មុខ, face, 
others, ផ្សេងទៀត, other, ផ្សេងទៀត, 
level, កម្រិត, level, 
office, ការិយាល័យ, office, 
door, ទ្វារ, doors, ទ្វារ, 
health, សុខភាព, health, 
person, មនុស្ស, people, មនុស្ស, 
art, សិល្បៈ, art, 
war, សង្គ្រាម, war, 
history, ប្រវត្តិសាស្រ្ត, history, 
party, គណបក្ស, party, 
result, លទ្ធផល, results, លទ្ធផល, 
change, ផ្លាស់ប្តូរ, change, 
morning, ព្រឹក, morning, 
reason, មូលហេតុ, the reason, ហេតុផល, reason, 
research, ការស្រាវជ្រាវ, research, 
girl, ក្មេងស្រី, girl, 
guy, បុរស, men, បុរស, 
food, អាហារ, food, 
moment, ពេល, time, ពេលវេលា, time, 
air, ខ្យល់, wind, ខ្យល់, 
teacher, គ្រូបង្រៀន, teacher, 
force, កម្លាំង, strength, កម្លាំង, 
education, ការអប់រំ, education, 
foot, ជើង, feet, ជើង, 
boy, ក្មេងប្រុស, boy, 
age, អាយុ, age, 
policy, គោលនយោបាយ, policy, 
process, ដំណើរការ, processing, ដំណើរការ, 
music, តន្ត្រី, music, 
market, ទីផ្សារ, market, 
sense, យល់, understand, យល់, 
nation, ប្រទេស, country, ប្រទេស, 
plan, ផែនការ, plan, 
college, មហាវិទ្យាល័យ, college, 
interest, ការប្រាក់, interests, ផលប្រយោជន៍, benefits, អត្ថប្រយោជន៍, benefits, 
death, ស្លាប់, die, ស្លាប់, 
experience, បទពិសោធន៍, experience, 
effect, ផលប៉ះពាល់, impact, ផលប៉ះពាល់, 
use, ប្រើ, use, 
class, ថ្នាក់, classes, ថ្នាក់, 
control, គ្រប់គ្រង, manage, គ្រប់គ្រង, 
care, ថែទាំ, maintenance, ការថែទាំ, care, 
field, វាល, field, 
development, ការអភិវឌ្ឍន៍, development, 
role, តួនាទី, role, 
effort, កិច្ចប្រឹងប្រែង, effort, 
rate, អត្រា, rate, 
heart, បេះដូង, heart, 
drug, ឱសថ, pharmacy, ឱសថស្ថាន, pharmacy, 
show, បង្ហាញ, show, 
leader, មេដឹកនាំ, leaders, មេដឹកនាំ, 
light, ពន្លឺ, light, 
voice, សំលេង, voice, 
wife, ភរិយា, wife, 
police, ប៉ូលីស, police, 
mind, ចិត្ត, mind, 
