time, temps, time, 
year, curs, course, curs, 
people, gent, people, 
way, camí, way, 
day, dia, day, 
man, home, man, 
thing, cosa, thing, 
woman, dona, woman, 
life, vida, life, 
child, nen, boy, noi, boy, 
world, món, world, 
school, escola, school, 
state, estat, state, 
family, família, family, 
student, estudiant, student, 
group, grup, group, 
country, país, country, 
problem, problema, problem, 
hand, mà, hand, 
part, part, 
place, lloc, place, 
case, cas, case, 
week, setmana, week, 
company, empresa, company, 
system, sistema, system, 
program, programa, program, 
question, pregunta, question, 
work, treballar, to work, treballar, 
government, govern, government, 
number, número, number, 
night, nit, night, 
mr, mr, 
point, punt, point, 
home, casa, home, 
water, aigua, water, 
room, habitació, room, 
mother, mare, mother, 
area, àrea, area, 
money, diners, money, 
story, història, story, 
fact, fet, done, fet, 
month, mes, more, més, more, 
lot, molt, a lot, molt, 
right, dret, right, 
study, estudiar, to study, estudiar, 
book, llibre, book, 
eye, ull, eye, 
job, treball, work, treballar, to work, treballar, 
word, paraula, word, 
business, negocis, business, 
issue, assumpte, matter, matèria, subject matter, matèria, 
side, costat, side, 
kind, amable, kind, 
head, cap, cap, 
house, casa, home, casa, 
service, servei, service, 
friend, amic, friend, 
father, pare, stop, aturar, stop, 
power, poder, power, 
hour, hores, hours, hores, 
game, joc, game, 
line, línia, line, 
end, final, final, 
member, membre, member, 
law, llei, law, 
car, cotxe, car, 
city, ciutat, city, 
community, comunitat, community, 
name, nom, first name, nom, 
president, president, 
team, equip, team, 
minute, minut, minute, 
idea, idea, 
kid, noi, boy, noi, 
body, cos, body, 
information, informació, information, 
back, esquena, back, 
parent, pare, stop, aturar, stop, 
face, cara, face, 
others, altres, others, 
level, nivell, level, 
office, oficina, office, 
door, porta, door, 
health, salut, health, 
person, persona, person, 
art, art, 
war, guerra, war, 
history, història, story, història, 
party, festa, party, 
result, resultat, result, 
change, canviar, to change, canviar, 
morning, matí, morning, 
reason, raó, right, dret, right, 
research, recerca, research, 
girl, noia, girl, 
guy, paio, paio, 
food, menjar, food, 
moment, moment, 
air, aire, air, 
teacher, professor, teacher, 
force, força, force, 
education, educació, education, 
foot, peu, foot, 
boy, noi, boy, 
age, edat, age, 
policy, política, politics, política, 
process, procés, process, 
music, música, music, 
market, mercat, market, 
sense, sentit, sense, 
nation, nació, was born, va néixer, she was born, va néixer, 
plan, pla, flat, pla, 
college, universitat, university, universitat, 
interest, interès, interest, 
death, mort, death, 
experience, experiència, experience, 
effect, efecte, effect, 
use, ús, use, 
class, classe, class, 
control, control, 
care, cura, healing, curació, healing, 
field, camp, rural area, camp, 
development, desenvolupament, development, 
role, paper, paper, 
effort, esforç, effort, 
rate, taxa, rate, 
heart, cor, heart, 
drug, droga, drug, 
show, espectacle, show, 
leader, líder, leader, 
light, llum, light, 
voice, veu, you see, tu veus, you see, 
wife, esposa, wife, 
police, policia, police, 
mind, ment, mind, 
price, preu, price, 
report, informe, report, 
decision, decisió, decision, 
son, fill, son, 
view, veure, i'll see, ja veuré, i'll see, 
relationship, relació, relationship, 
town, ciutat, city, ciutat, 
road, camí, way, camí, 
arm, braç, arm, 
difference, diferència, difference, 
value, valor, value, 
building, edifici, building, 
action, acció, action, 
model, model, 
season, temporada, season, 
society, societat, society, 
tax, impost, tax, 
director, director, 
position, posició, position, 
player, jugador, player, 
record, registre, register, registreu-vos, sign up, registra't, sign up, 
paper, paper, 
space, espai, space, 
ground, terra, land, terra, 
form, forma, shape, forma, 
event, esdeveniment, event, 
official, oficial, official, 
matter, matèria, subject matter, matèria, 
center, centre, downtown, centre de la ciutat, downtown, 
couple, parella, couple, 
site, lloc, place, lloc, 
project, projecte, project, 
activity, activitat, activity, 
star, estrella, star, 
table, taula, table, 
need, necessitat, need, 
court, tribunal, tribunal, 
american, americà, american, 
oil, oli, oil, 
situation, situació, situation, 
cost, cost, 
industry, indústria, industry, 
figure, figura, figure, 
street, carrer, street, 
image, imatge, image, 
phone, telèfon, phone, 
data, dades, data, 
picture, imatge, image, imatge, 
practice, pràctica, practice, 
piece, peça, piece, 
land, terra, land, 
product, producte, product, 
doctor, metge, doctor, 
wall, paret, wall, 
patient, pacient, patient, 
worker, treballador, employee, empleat, employee, 
news, notícies, news, 
test, prova, test, 
movie, pel·lícula, movie, 
north, nord, north, 
love, amor, love, 
support, suport, support, 
technology, tecnologia, technology, 
step, pas, step, 
baby, bebè, well well, bé bé, well well, 
computer, ordinador, computer, 
type, escriu, write, escriure, write, 
attention, atenció, attention, 
film, pel·lícula, movie, pel·lícula, 
republican, republicà, republican, 
tree, arbre, tree, 
source, font, source, 
organization, organització, organization, 
hair, cabell, hair, 
look, mira, look at, mira, 
century, segle, century, 
evidence, evidència, evidence, 
window, finestra, window, 
culture, cultura, culture, 
chance, oportunitat, opportunity, oportunitat, 
brother, germà, brother, 
energy, energia, energy, 
period, període, period, 
course, curs, course, 
summer, estiu, summer, 
plant, planta, plant, 
opportunity, oportunitat, opportunity, 
term, terme, term, 
letter, carta, letter, 
condition, condició, condition, 
choice, elecció, choice, 
rule, regla, rule, 
daughter, filla, daughter, 
administration, administració, administration, 
south, sud, south, 
husband, marit, husband, 
congress, congrés, congress, 
floor, pis, floor, 
campaign, campanya, campaign, 
material, material, 
population, població, population, 
call, anomenada, named, nomenat, named, 
economy, economia, economy, 
hospital, hospital, 
church, església, church, 
risk, risc, risk, 
fire, foc, fire, 
future, futur, future, 
defense, defensa, defense, 
security, seguretat, security, 
bank, banc, bank, 
west, oest, west, 
sport, esportiu, sports, esports, sports, 
board, pissarra, blackboard, pissarra, 
subject, assignatura, subject, 
officer, oficial, official, oficial, 
rest, descans, rest, 
behavior, comportament, behavior, 
performance, rendiment, performance, 
top, superior, superior, 
goal, objectiu, goal, 
second, segon, second, 
bed, llit, bed, 
order, ordre, order, 
author, autor, author, 
blood, sang, blood, 
agency, agència, agency, 
nature, naturalesa, nature, 
color, color, 
store, botiga, shop, botiga, 
sound, so, sound, 
movement, moviment, movement, 
page, pàgina, page, 
race, carrera, race, 
concern, inquietud, restlessness, inquietud, 
series, sèrie, series, 
language, llenguatge, language, 
response, resposta, answer, resposta, 
animal, animal, 
factor, factor, 
decade, dècada, decade, 
article, article, 
east, est, east, 
artist, artista, artist, 
scene, escena, scene, 
stock, estoc, stock, 
career, carrera, race, carrera, 
treatment, tractament, treatment, 
approach, enfocament, focus, enfocament, 
size, mida, size, 
dog, gos, dog, 
fund, fons, background, fons, 
media, mitjans de comunicació, media, 
sign, signe, sign, 
thought, pensament, thought, 
list, llista, list, 
individual, individual, 
quality, qualitat, quality, 
pressure, pressió, pressure, 
answer, resposta, answer, 
resource, recurs, resource, 
meeting, reunió, meeting, 
disease, malaltia, illness, malaltia, 
success, èxit, success, 
cup, tassa, cup, 
amount, quantitat, quantity, quantitat, 
ability, habilitat, skill, habilitat, 
staff, personal, staff, 
character, personatge, character, 
growth, creixement, growth, 
loss, pèrdua, loss, 
degree, grau, degree, 
attack, atac, attack, 
region, regió, region, 
television, televisió, television, 
box, caixa, box, 
tv, tv, 
training, entrenament, training, 
trade, comerç, commerce, comerç, 
deal, acord, agreement, acord, 
election, elecció, choice, elecció, 
feeling, sensació, sensation, sensació, 
standard, estàndard, standard, 
bill, factura, invoice, factura, 
message, missatge, message, 
analysis, anàlisi, analysis, 
benefit, benefici, benefits, beneficis, benefits, 
sex, sexe, sex, 
lawyer, advocat, lawyer, 
section, secció, section, 
glass, vidre, glass, 
skill, habilitat, skill, 
sister, germana, sister, 
professor, professor, 
operation, operació, operation, 
crime, crim, crime, 
stage, etapa, stage, 
authority, autoritat, authority, 
design, disseny, design, 
sort, ordenar, order, ordre, order, 
one, un, one, 
knowledge, coneixement, knowledge, 
gun, arma de foc, firearm, arma de foc, 
station, estació, station, 
strategy, estratègia, strategy, 
truth, veritat, truth, 
song, cançó, song, 
example, exemple, example, 
environment, medi ambient, natural environment, medi natural, natural enviroment, medi natural, 
leg, cama, bed, llit, bed, 
public, públic, public, 
executive, executiu, executive, 
set, conjunt, set, 
rock, rock, 
note, nota, note, 
manager, gerent, manager, 
help, ajuda, help, 
network, xarxa, net, net, 
science, ciència, science, 
memory, memòria, memory, 
card, targeta, card, 
seat, seient, seat, 
cell, cel·la, cell, 
trial, judici, judgment, judici, 
expert, expert, 
spring, primavera, spring, 
firm, ferma, firm, 
democrat, demòcrata, democrat, 
radio, ràdio, radio, 
management, gestió, management, 
ball, bola, ball, 
talk, parlar, to talk, parlar, 
theory, teoria, theory, 
impact, impacte, impact, 
statement, declaració, statement, 
charge, càrrec, charge, 
direction, direcció, direction, 
weapon, arma, weapon, 
employee, empleat, employee, 
peace, pau, peace, 
base, base, 
pain, dolor, pain, 
play, jugar, play, 
measure, mesurar, measure, 
interview, entrevista, interview, 
chair, cadira, chair, 
fish, peix, fish, 
camera, càmera, camera, 
structure, estructura, structure, 
politics, política, politics, 
bit, poc, little, poc, 
weight, pes, weight, 
candidate, candidat, candidate, 
production, producció, production, 
trip, viatge, journey, viatge, 
evening, tarda, late, tard, late, 
conference, conferència, conference, 
unit, unitat, unit, 
style, estil, style, 
adult, adult, 
range, rang, rank, rang, 
past, passat, past, 
edge, vora, edge, 
writer, escriptor, writer, 
trouble, problemes, problems, problemes, 
challenge, desafiament, challenge, 
fear, por, by, per, for, per a, to, a, a, 
shoulder, espatlla, shoulder, 
institution, institució, institution, 
sea, mar, sea, 
dream, somiar, to dream, somiar, 
bar, bar, 
property, propietat, property, 
stuff, coses, things, coses, 
detail, detall, detail, 
method, mètode, method, 
magazine, revista, magazine, 
hotel, hotel, 
soldier, soldat, soldier, 
cause, causa, cause, 
bag, bossa, purse, bossa, 
heat, calenta, hot, calenta, 
fall, caure, drop, tirar, throw, llançar, throw, 
marriage, matrimoni, marriage, 
surface, superfície, surface, 
purpose, propòsit, purpose, 
pattern, patró, pattern, 
skin, pell, skin, 
agent, agent, 
owner, propietari, owner, 
machine, màquina, machine, 
gas, gas, 
generation, generació, generation, 
cancer, càncer, cancer, 
item, article, article, 
reality, realitat, reality, 
coach, entrenador, coach, 
mrs, mrs, 
yard, pati, courtyard, pati, 
violence, violència, violence, 
investment, inversió, investment, 
discussion, discussió, discussion, 
finger, dit, finger, 
garden, jardí, garden, 
collection, col · lecció, collection, 
task, tasca, task, 
partner, soci, partner, 
kitchen, cuina, kitchen, 
consumer, consumidor, consumer, 
shot, tir, shot, 
budget, pressupost, budget, 
painting, pintura, paint, pintura, 
scientist, científic, scientist, 
agreement, acord, agreement, 
capital, capital, 
mouth, boca, mouth, 
victim, víctima, victim, 
newspaper, diari, daily, diàriament, daily, 
threat, amenaça, threat, 
responsibility, responsabilitat, responsibility, 
attorney, advocat, lawyer, advocat, 
score, puntuació, score, 
account, compte, account, 
break, trencar, to break, trencar, 
audience, audiència, audience, 
dinner, sopar, dinner, 
vote, votar, vote, 
debate, debat, debate, 
citizen, ciutadà, citizen, 
majority, majoria, majority, 
wind, vent, wind, 
mission, missió, mission, 
customer, client, client, 
speech, discurs, speech, 
option, opció, option, 
participant, participant, 
forest, bosc, forest, 
video, video, 
senate, senat, senate, 
reform, reforma, reform, 
access, accés, access, 
restaurant, restaurant, 
judge, jutge, judge, 
relation, relació, relationship, relació, 
bird, au, au, 
opinion, opinió, opinion, 
credit, crèdit, credit, 
corner, cantonada, corner, 
version, versió, version, 
safety, seguretat, security, seguretat, 
neighborhood, barri, neighborhood, 
act, actuar, act, 
troop , tropa , troops , tropes , troops , 
income, ingressos, revenues, ingressos, 
species, espècie, species, 
track, seguiment, tracking, seguiment, 
hope, esperança, hope, 
sky, cel, sky, 
freedom, llibertat, freedom, 
plane, avió, plane, 
object, objecte, object, 
attitude, actitud, attitude, 
labor, treball, work, treballar, to work, treballar, 
concept, concepte, concept, 
client, client, 
