time, ເວລາ, time, 
year, ປີ, year, 
people, ປະຊາຊົນ, people, 
way, ວິທີການ, how to, ວິທີການ, 
day, ມື້, day, 
man, ຜູ້ຊາຍ, men, ຜູ້ຊາຍ, 
thing, ສິ່ງທີ່, what, ແມ່ນ​ຫຍັງ, what, 
woman, ແມ່ຍິງ, women, ແມ່ຍິງ, 
life, ຊີວິດ, life, 
child, ເດັກນ້ອຍ, children, ເດັກນ້ອຍ, 
world, ໂລກ, the world, ໂລກ, 
school, ໂຮງຮຽນ, school, 
state, state, 
family, ຄອບຄົວ, family, 
student, ນັກ​ຮຽນ, student, 
group, ກຸ່ມ, group, 
country, ປະເທດ, country, 
problem, ບັນຫາ, problem, 
hand, ມື, hand, 
part, ສ່ວນຫນຶ່ງ, part, 
place, ສະຖານທີ່, place, 
case, ກໍລະນີ, case, 
week, ອາທິດ, week, 
company, ບໍລິສັດ, company, 
system, ລະບົບ, system, 
program, ໂປລແກລມ, programs, ໂຄງການ, project, ໂຄງການ, 
question, ຄໍາຖາມ, questions, ຄໍາຖາມ, 
work, ເຮັດວຽກ, work, 
government, ລັດຖະບານ, government, 
number, ຫມາຍເລກ, number, 
night, ຄືນ, night, 
mr, ທ້າວ, ben, ben, 
point, ຈຸດ, point, 
home, ເຮືອນ, home, 
water, ນ້ໍາ, water, 
room, ຫ້ອງພັກ, room, 
mother, ແມ່, mother, 
area, ພື້ນທີ່, space, space, 
money, ເງິນ, money, 
story, ເລື່ອງ, story, 
fact, ຄວາມຈິງ, truth, ຄວາມຈິງ, 
month, ເດືອນ, month, 
lot, ຫຼາຍ, more, ອ່ານຕໍ່, read more, ອ່ານ​ຕື່ມ, read more, 
right, right, 
study, ການສຶກສາ, education, ການສຶກສາ, 
book, book, 
eye, ຕາ, eyes, ຕາ, 
job, ວຽກງານ, work, ເຮັດວຽກ, work, 
word, word, 
business, ທຸລະກິດ, business, 
issue, ອອກມາ, come out, ອອກ​ມາ, come out, 
side, ຂ້າງຄຽງ, side, 
kind, ປະເພດ, type, ປະເພດ, 
head, ຫົວຫນ້າ, head, 
house, ເຮືອນ, home, ຫນ້າທໍາອິດ, home, 
service, service, 
friend, ຫມູ່ເພື່ອນ, friends, ຫມູ່ເພື່ອນ, 
father, ພໍ່, father, 
power, ພະລັງງານ, power, 
hour, ຊົ່ວໂມງ, hour, 
game, ເກມ, games, ເກມ, 
line, line, 
end, ສິ້ນສຸດ, end, 
member, ສະມາຊິກ, members, ສະມາຊິກ, 
law, ກົດຫມາຍ, law, 
car, ລົດໃຫຍ່, cars, ລົດໃຫຍ່, 
city, ເມືອງ, city, 
community, ຊຸມຊົນ, community, 
name, ຊື່, name, 
president, ປະທານປະເທດ, president, 
team, ທີມງານ, team, 
minute, ນາທີ, minute, 
idea, ຄວາມຄິດເຫັນ, comments, ຄວາມຄິດເຫັນ, 
kid, kid, 
body, ຮ່າງກາຍ, body, 
information, ຂໍ້ມູນຂ່າວສານ, information, 
back, ກັບຄືນໄປບ່ອນ, back, 
parent, ພໍ່ແມ່, parents, ພໍ່ແມ່, 
face, ໃບຫນ້າ, face, 
others, ອື່ນໆ, other, ອື່ນໆ, 
level, ລະດັບ, level, 
office, office, 
door, ປະຕູ, doors, ປະຕູ, 
health, ສຸ​ຂະ​ພາບ, health, 
