time, tid, time, 
year, år, year, 
people, mennesker, people, 
way, vej, way, 
day, dag, day, 
man, mand, male, han-, he-, han-, 
thing, ting, thing, 
woman, kvinde, woman, 
life, liv, life, 
child, barn, child, 
world, verden, world, 
school, skole, school, 
state, stat, state, 
family, familie, family, 
student, studerende, student, 
group, gruppe, group, 
country, land, country, 
problem, problem, 
hand, hånd, hand, 
part, en del, part, 
place, placere, place, 
case, sag, case, 
week, uge, week, 
company, selskab, company, 
system, system, 
program, program, 
question, spørgsmål, questions, spørgsmål, 
work, arbejde, occupation, beskæftigelse, employment, beskæftigelse, 
government, regering, government, 
number, nummer, number, 
night, nat, night, 
mr, hr, sir, hr, 
point, punkt, point, 
home, hjem, home, 
water, vand, water, 
room, værelse, room, 
mother, mor, mother, 
area, areal, area, 
money, penge, money, 
story, historie, history, historie, 
fact, faktum, fact, 
month, måned, month, 
lot, masse, lot, 
right, højre, right, 
study, undersøgelse, examination, undersøgelse, 
book, bestil, book, 
eye, øje, eye, 
job, job, 
word, ord, word, 
business, forretning, business, 
issue, problem, problem, 
side, side, 
kind, venlig, friendly, venlige, friendly, 
head, hoved, main, vigtigste, most important, mest vigtige, most important, 
house, hus, house, 
service, service, 
friend, ven, friend, 
father, far, sheep, får, sheep, 
power, strøm, power, 
hour, time, hour, 
game, spil, game, 
line, linje, line, 
end, ende, end, 
member, medlem, member, 
law, lov, law, 
car, bil, car, 
city, by, town, by, 
community, fællesskab, community, 
name, navn, name, 
president, formand, chairman, formand, 
team, hold, team, 
minute, minut, minute, 
idea, ide, idea, 
kid, barn, child, barn, 
body, legeme, body, 
information, information, 
back, tilbage, back, 
parent, forælder, parent, 
face, ansigt, face, 
others, andre, others, 
level, niveau, level, 
office, kontor, office, 
door, dør, door, 
health, sundhed, health, 
person, person, 
art, kunst, art, 
war, krig, war, 
history, historie, history, 
party, parti, party, 
result, resultat, result, 
change, lave om, change, 
morning, morgen, morning, 
reason, grund, reason, 
research, forskning, research, 
girl, pige, girl, 
guy, fyr, guy, 
food, mad, food, 
moment, øjeblik, moment, 
air, luft, air, 
teacher, lærer, teacher, 
force, kraft, power, strøm, power, 
education, uddannelse, education, 
foot, fod, foot, 
boy, dreng, boy, 
age, alder, age, 
policy, politik, policy, 
process, behandle, treat, behandle, 
music, musik, music, 
market, marked, market, 
sense, følelse, feeling, følelse, 
nation, nation, 
plan, plan, 
college, kollegium, college, 
interest, interesse, interest, 
death, død, death, 
experience, erfaring, experience, 
effect, effekt, effect, 
use, brug, use, 
class, klasse, class, 
control, kontrollere, check, kontrollere, 
care, omsorg, care, 
field, mark, field, 
development, udvikling, development, 
role, rolle, role, 
effort, indsats, effort, 
rate, sats, rate, 
heart, hjerte, heart, 
