time, ħin, time, 
year, sena, year, 
people, in-nies, people, 
way, mod, way, 
day, jum, day, 
man, bniedem, man, 
thing, ħaġa, thing, 
woman, mara, woman, 
life, ħajja, life, 
child, tifel / tifla, boy / girl, tifel / tifla, 
world, dinja, world, 
school, iskola, school, 
state, stat, member, membru, member, 
family, familja, family, 
student, student, 
group, grupp, group, 
country, pajjiż, country, 
problem, problema, problem, 
hand, idejn, hand, 
part, parti, part, 
place, post, place, 
case, każ, case, 
week, ġimgħa, friday, il-ġimgħa, friday, 
company, kumpanija, company, 
system, sistema, system, 
program, programm, program, 
question, mistoqsija, question, 
work, xogħol, work, 
government, gvern, government, 
number, in-numru, number, 
night, lejl, night, 
mr, mr, 
point, punt, point, 
home, dar, house, dar, 
water, ilma, water, 
room, kamra, room, 
mother, omm, mother, 
area, żona, area, 
money, flus, money, 
story, storja, story, 
fact, fatt, actually, attwalment, actually, 
month, xahar, month, 
lot, lott, lot, 
right, dritt, right, 
study, studju, study, 
book, ktieb, book, 
eye, għajn, source, sors, source, 
job, xogħol, work, xogħol, 
word, kelma, word, 
business, negozju, business, 
issue, kwistjoni, issue, 
side, ġenb, side, 
kind, tip, kind, 
head, ras, head, 
house, dar, house, 
service, servizz, service, 
friend, ħabib, friend, 
father, missier, father, 
power, enerġija, power, 
hour, siegħa, hours, sigħat, hours, 
game, logħba, game, 
line, linja, line, 
end, tmiem, end, 
member, membru, member, 
law, ġurisprudenza, case, każ, case, 
car, karozza, car, 
city, belt, city, 
community, komunità, community, 
name, isem, name, 
president, president, 
team, tim, team, 
minute, minuta, minutes, minuti, minutes, 
idea, idea, 
kid, kid, 
body, korp, body, 
information, informazzjoni, information, 
back, lura, back, 
parent, ġenitur, parent, 
face, wiċċ, surface, wiċċ, 
others, oħrajn, other, oħrajn, 
level, livell, level, 
office, uffiċċju, office, 
door, bieb, door, 
health, saħħa, health, 
person, persuna, person, 
art, art, 
war, gwerra, war, 
history, storja, story, storja, 
party, parti, part, parti, 
result, riżultat, result, 
change, bidla, change, 
morning, filgħodu, morning, 
reason, raġuni, reason, 
research, riċerka, research, 
girl, tifla, girl, 
guy, guy, 
food, ikel, food, 
moment, mument, time, ħin, time, 
air, arja, air, 
teacher, għalliem, teacher, 
force, forza, force, 
education, edukazzjoni, education, 
foot, sieq, leg, riġel, leg, 
boy, tifel, boy, 
age, età, age, 
policy, politika, policy, 
process, proċess, process, 
music, mużika, music, 
market, suq, market, 
sense, sens, effect, effett, effect, 
nation, nazzjon, nation, 
plan, pjan, plan, 
college, kulleġġ, college, 
interest, imgħax, interest, 
death, mewt, death, 
experience, esperjenza, experience, 
effect, effett, effect, 
use, użu, use, 
class, klassi, class, 
control, kontroll, control, 
care, kura, treatment, trattament, treatment, 
field, qasam, field, 
development, żvilupp, development, 
role, rwol, role, 
effort, sforz, effort, 
rate, rata, rate, 
heart, qalb, heart, 
drug, droga, drugs, drogi, drugs, 
show, juru, show, 
leader, kap, head, kap, 
light, dawl, light, 
voice, vuċi, voice, 
wife, mara, woman, mara, 
police, pulizija, police, 
mind, mind, 
price, prezz, price, 
report, rapport, report, 
decision, deċiżjoni, decision, 
son, iben, son, 
view, ħsieb, view, 
relationship, relazzjoni, relationship, 
town, belt, city, belt, 
