time, tyd, time, 
year, jaar, year, 
people, mense, people, 
way, manier, way, 
day, dag, day, 
man, man, 
thing, ding, thing, 
woman, vrou, woman, 
life, lewe, life, 
child, kind, child, 
world, wêreld, world, 
school, skool, school, 
state, staat, state, 
family, gesin, family, 
student, student, 
group, groep, group, 
country, land, country, 
problem, probleem, problem, 
hand, hand, 
part, deel, share, deel, 
place, plek, place, 
case, geval, case, 
week, week, 
company, maatskappy, company, 
system, stelsel, system, 
program, program, 
question, vraag, demand, vraag, 
work, werk, work, 
government, regering, government, 
number, aantal, number, 
night, nag, night, 
mr, mnr, mr, 
point, punt, point, 
home, huis, house, huis, 
water, water, 
room, kamer, room, 
mother, moeder, mother, 
area, gebied, area, 
money, geld, money, 
story, storie, story, 
fact, feit, fact, 
month, maand, month, 
lot, baie, many, baie, 
right, reg, right, 
study, studie, study, 
book, boek, book, 
eye, oog, eye, 
job, werk, work, werk, 
word, woord, word, 
business, besigheid, business, 
issue, uitgawe, edition, uitgawe, 
side, kant, side, 
kind, soort, type, tipe, type, 
head, kop, head, 
house, huis, house, 
service, diens, service, 
friend, vriend, friend, 
father, pa, dad, pa, 
power, krag, power, 
hour, uur, hour, 
game, spel, game, 
line, lyn, line, 
end, einde, end, 
member, lid, member, 
law, wet, law, 
car, voertuig, vehicle, voertuig, 
city, stad, city, 
community, gemeenskap, community, 
name, naam, name, 
president, president, 
team, span, team, 
minute, minuut, minute, 
idea, idee, idea, 
kid, kind, child, kind, 
body, liggaam, body, 
information, inligting, information, 
back, terug, back, 
parent, ouer, parent, 
face, gesig, face, 
others, ander, other, ander, 
level, vlak, shallow, vlak, 
office, kantoor, office, 
door, deur, door, 
health, gesondheid, health, 
person, persoon, person, 
art, kuns, art, 
war, oorlog, war, 
history, geskiedenis, history, 
party, partytjie, party, 
result, gevolg, result, 
change, verandering, change, 
morning, oggend, morning, 
reason, rede, reason, 
research, navorsing, research, 
girl, meisie, girl, 
guy, man, man, 
food, kos, food, 
moment, oomblik, moment, 
air, lug, air, 
teacher, onderwyser, teacher, 
force, krag, power, krag, 
education, onderwys, education, 
foot, voet, foot, 
boy, seuntjie, boy, 
age, ouderdom, age, 
policy, beleid, policy, 
process, proses, process, 
music, musiek, music, 
market, mark, mark, 
sense, sin, sentence, sin, 
nation, nasie, nation, 
plan, plan, 
college, kollege, college, 
interest, belangstelling, interest, 
death, dood, death, 
experience, ervaring, experience, 
effect, effek, effect, 
use, gebruik, use, 
class, klas, class, 
control, beheer, control, 
care, sorg, care, 
field, veld, field, 
development, ontwikkeling, development, 
role, rol, role, 
effort, poging, effort, 
rate, koers, rate, 
heart, hart, heart, 
drug, dwelm, drug, 
show, wys, show, 
leader, leier, leader, 
light, lig, light, 
voice, stem, voice, 
wife, vrou, woman, vrou, 
police, polisie, police, 
mind, gedagte, thought, gedink, thought, 
price, prys, price, 
report, verslag, report, 
decision, besluit, decision, 
son, seun, son, 
view, beskou, regard, verband, connection, verband, 
relationship, verhouding, relationship, 
town, dorp, village, dorpie, village, 
road, pad, path, pad, 
arm, arm, 
difference, verskil, difference, 
value, waarde, value, 
building, gebou, building, 
action, aksie, action, 
model, model, 
season, seisoen, season, 
society, samelewing, society, 
tax, belasting, tax, 
director, direkteur, director, 
position, posisie, ranking, posisie, 
player, speler, player, 
record, rekord, record, 
paper, papier, paper, 
space, ruimte, space, 
ground, grond, ground, 
form, vorm, shape, vorm, 
event, gebeurtenis, event, 
official, amptelik, officially, amptelik, 
matter, saak, case, geval, case, 
center, sentrum, centre, sentrum, 
couple, egpaar, couple, 
site, werf, yard, agterplaas, back yard, agterplaas, 
project, projek, project, 
activity, aktiwiteit, activity, 
star, ster, star, 
table, tafel, table, 
need, nodig, necessary, nodig, 
court, hof, court, 
american, amerikaanse, american, 
oil, olie, oil, 
situation, situasie, situation, 
cost, koste, costs, koste, 
industry, bedryf, industry, 
figure, figuur, figure, 
street, straat, street, 
image, beeld, image, 
phone, foon, phone, 
data, data, 
picture, prent, picture, 
practice, praktyk, practice, 
piece, stuk, piece, 
land, land, 
product, produk, product, 
doctor, dokter, doctor, 
wall, muur, wall, 
patient, pasiënt, patient, 
worker, werker, worker, 
news, nuus, news, 
test, toets, test, 
movie, fliek, movie, 
north, noord, north, 
love, lief, love, 
support, ondersteuning, support, 
technology, tegnologie, technology, 
step, stap, step, 
baby, baba, baby, 
computer, rekenaar, computer, 
type, tipe, type, 
attention, aandag, attention, 
film, film, 
republican, republikeinse, republican, 
tree, boom, tree, 
source, bron, source, 
organization, organisasie, organization, 
hair, hare, hair, 
look, kyk, look, 
century, eeu, century, 
evidence, bewyse, proof, bewys, evidence, 
window, venster, window, 
culture, kultuur, culture, 
chance, kans, chance, 
brother, broer, brother, 
energy, energie, energy, 
period, tydperk, period, 
course, kursus, course, 
summer, somer, summer, 
plant, plant, 
opportunity, geleentheid, event, gebeurtenis, event, 
term, termyn, term, 
letter, brief, letter, 
condition, toestand, state, staat, state, 
choice, keuse, choice, 
rule, reël, rule, 
daughter, dogter, daughter, 
administration, administrasie, administration, 
south, suid, south, 
husband, man, man, 
congress, kongres, congress, 
floor, vloer, floor, 
campaign, veldtog, campaign, 
material, materiaal, material, 
population, bevolking, population, 
call, oproep, call, 
economy, ekonomie, economy, 
hospital, hospitaal, hospital, 
church, kerk, church, 
risk, risiko, risk, 
fire, vuur, fire, 
future, toekoms, future, 
defense, verdediging, defense, 
security, sekuriteit, security, 
bank, bank, 
west, weste, west, 
sport, sport, 
board, raad, council, raad, 
subject, onderwerp, subject, 
officer, beampte, official, amptelik, officially, amptelik, 
rest, res, res, 
behavior, gedrag, behavior, 
performance, optrede, actions, aksies, actions, 
top, top, 
goal, doel, target, teiken, target, 
second, tweede, second, 
bed, bed, 
order, orde, order, 
author, skrywer, writer, skrywer, 
blood, bloed, blood, 
agency, agentskap, agency, 
nature, aard, earth, aarde, earth, 
color, kleur, color, 
