time, ጊዜ, time, 
year, አመት, year, 
people, ሰዎች, people, 
way, መንገድ, way, 
day, ቀን, day, 
man, ሰው, man, 
thing, ነገር, thing, 
woman, ሴት, woman, 
life, ሕይወት, life, 
child, ልጅ, son, ወንድ ልጅ, son, 
world, ዓለም, the world, ዓለም, 
school, ትምህርት ቤት, school, 
state, ግዛት, state, 
family, ቤተሰብ, family, 
student, ተማሪ, student, 
group, ቡድን, group, 
country, አገር, country, 
problem, ችግር, problem, 
hand, በእጅ, manual, መመሪያ, instructions, መመሪያዎች, instructions, 
part, ክፍል, section, ክፍል, 
place, ቦታ, place, 
case, ጉዳይ, issue, ርዕሰ ጉዳይ, subject, ርዕሰ ጉዳይ, 
week, ሳምንት, week, 
company, ኩባንያ, company, 
system, ስርዓት, system, 
program, ፕሮግራም, program, 
question, ጥያቄ, question, 
work, ሥራ, work, 
government, መንግስታዊ, government, 
number, ቁጥር, number, 
night, ለሊት, night, 
mr, አቶ, aunt, አክስት, aunt, 
point, ነጥብ, point, 
home, ቤት, at home, ቤት ውስጥ, at home, 
water, ውሃ, water, 
room, ክፍል, section, ክፍል, 
mother, እናት, mother, 
area, አካባቢ, area, 
money, ገንዘብ, money, 
story, ታሪክ, history, ታሪክ, 
fact, እውነታ, reality, እውነታ, 
month, ወር, month, 
lot, ዕጣ, lot, 
right, ቀኝ, right, 
study, ጥናት, study, 
book, መጽሐፍ, book, 
eye, ዓይን, eye, 
job, ስራ, work, ስራ, 
word, ቃል, word, 
business, ንግድ, business, 
issue, ርዕሰ ጉዳይ, subject, ርዕሰ ጉዳይ, 
side, ጎን, sideways, ጎኖች, sides, ጎኖች, 
kind, ደግ, good, ጥሩ, cool, ጥሩ, 
head, ራስ, head, 
house, ቤት, at home, ቤት ውስጥ, at home, 
service, አገልግሎት, service, 
friend, ጓደኛ, friend, 
father, አባት, father, 
power, ኃይል, power, 
hour, ሰአት, hour, 
game, ጨዋታ, game, 
line, መስመር, line, 
end, ጨርስ, finish, ጨርስ, 
member, አባል, member, 
law, ሕግ, law, 
car, መኪና, car, 
city, ከተማ, city, 
community, ማህበረሰብ, community, 
name, ስም, name, 
president, ፕሬዚደንት, president, 
team, ቡድን, group, ቡድን, 
minute, ደቂቃ, minute, 
idea, ሐሳብ, idea, 
kid, ልጅ, son, ወንድ ልጅ, son, 
body, አካል, body, 
information, መረጃ, information, 
back, ጀርባ, background, ጀርባ, 
parent, ወላጅ, parent, 
face, ፊት, face, 
others, ሌሎች, others, 
level, ደረጃ, step, ደረጃ, 
office, ቢሮ, office, 
door, በር, gate, በር, 
health, ጤና, health, 
person, ግለሰብ, individual, ግለሰብ, 
art, ሥነ ጥበብ, art, 
war, ጦርነት, war, 
history, ታሪክ, history, 
party, ድግስ, party, 
result, ውጤት, result, 
change, ለውጥ, change, 
morning, ጠዋት, morning, 
reason, ምክንያት, reason, 
research, ምርምር, research, 
