time, wektu, time, 
year, taun, year, 
people, wong, man, wong, 
way, cara, way, 
day, dina, day, 
man, wong, man, 
thing, bab, chapter, bab, 
woman, wong wadon, a woman, wong wadon, 
life, urip, live, manggon, live, 
child, bocah, kid, bocah, 
world, donya, world, 
school, sekolah, school, 
state, negara, country, negara, 
family, kulawarga, family, 
student, siswa, students, siswa, 
group, grup, group, 
country, negara, country, 
problem, masalah, problem, 
hand, tangan, hands, tangan, 
part, bagean, section, bagean, 
place, panggonan, place, 
case, kasus, case, 
week, minggu, week, 
company, perusahaan, company, 
system, sistem, system, 
program, program, 
question, pitakonan, question, 
work, karya, work, 
government, pemerintah, government, 
number, nomer, number, 
night, wengi, night, 
mr, mr, 
point, titik, point, 
home, ngarep, home, 
water, banyu, water, 
room, kamar, room, 
mother, ibu, mother, 
area, wilayah, region, wilayah, 
money, dhuwit, money, 
story, crita, story, 
fact, kanyatan, facts, bukti, evidence, bukti, 
month, sasi, month, 
lot, kathah, a lot, kathah, 
right, tengen, right, 
study, sinau, learn, sinau, 
book, buku, books, buku, 
eye, mripat, eye, 
job, proyek, project, proyek, 
word, tembung, word, 
business, bisnis, business, 
issue, masalah, problem, masalah, 
side, sisih, side, 
kind, apik, good, apik, 
head, sirah, head, 
house, omah, house, 
service, layanan, service, 
friend, kanca, friend, 
father, bapak, father, 
power, daya, power, 
hour, jam, hour, 
game, game, 
line, baris, line, 
end, pungkasan, last, pungkasan, 
member, anggota, members, anggota, 
law, hukum, law, 
car, mobil, car, 
city, kutha, city, 
community, masyarakat, community, 
name, jeneng, name, 
president, presiden, president, 
team, tim, team, 
minute, menit, minutes, menit, 
idea, idea, 
kid, bocah, kid, 
body, awak, you, sampeyan, you, 
information, informasi, information, 
back, bali, bali, 
parent, wong tuwa, parents, wong tuwa, 
face, pasuryan, face, 
others, liyane, more, luwih akeh, much more, luwih, more, 
level, tingkat, level, 
office, kantor, office, 
door, lawang, door, 
health, kesehatan, health, 
person, wong, man, wong, 
art, seni, art, 
war, perang, war, 
history, sejarah, history, 
party, pesta, party, 
result, asil, results, asil, 
change, ganti, change, 
morning, enjing, morning, 
reason, alesanipun, the reason, alesanipun, 
research, riset, research, 
girl, bocah wadon, girls, bocah wadon, 
guy, wong, man, wong, 
food, panganan, food, 
moment, wektu, time, wektu, 
air, udara, air, 
teacher, guru, teacher, 
force, pasukan, troops, prajurit, soldier, prajurit, 
education, pendidikan, education, 
foot, sikil, legs, sikil, 
boy, bocah lanang, boy, 
age, umur, age, 
policy, privasi, privacy, privasi, 
process, proses, process, 
music, musik, music, 
market, pasar, market, 
sense, pangertèn, sense, 
nation, bangsa, nation, 
plan, rencana, plan, 
college, college, 
interest, kepincut, attracted, kepincut, 
death, mati, dead, mati, 
experience, pengalaman, experience, 
effect, efek, effect, 
use, nggunakake, use, 
class, kelas, class, 
control, kontrol, control, 
care, care, 
field, lapangan, field, 
development, pangembangan, development, 
role, peran, role, 
effort, gaweyan, effort, 
rate, tingkat, level, tingkat, 
heart, ati, liver, ati, 
drug, tamba, cure, ngobati, cure, 
show, tampilake, show, 
leader, pimpinan, leadership, kepemimpinan, leadership, 
light, cahya, light, 
voice, swara, voice, 
wife, bojo, wife, 
police, polisi, police, 
mind, pikiran, mind, 
price, rega, price, 
report, laporan, report, 
decision, keputusan, decision, 
son, putra, son, 
view, tampilan, display, tampilan, 
relationship, sesambetan, relationship, 
town, kutha, city, kutha, 
road, dalan, roads, dalan, 
arm, lengen, arm, 
difference, prabédan, difference, 
value, nilai, value, 
building, bangunan, building, 
action, tumindak, act, tumindak, 
model, model, 
season, mangsa, victim, korban, victim, 
society, masyarakat, community, masyarakat, 
tax, tax, 
director, direktur, director, 
position, posisi, position, 
player, pamuter, player, 
record, rekaman, recording, rekaman, 
paper, kertas, paper, 
space, panggonan, place, panggonan, 
ground, lemah, weak, banget, very well, sae sanget, very good, apik tenan, awesome, apik, good, apik, 
form, wangun, form, 
event, acara, event, 
official, resmi, official, 
matter, prakara, matter, 
center, tengah, center, 
couple, saperangan, a couple, saperangan, 
site, situs, site, 
project, proyek, project, 
activity, kegiatan, activity, 
star, lintang, latitude, garis lintang, latitude, 
table, tabel, table, 
need, perlu, necessary, perlu, 
court, pengadilan, court, 
american, amerika, america, america, 
oil, lenga, oil, 
situation, kahanan, situation, 
cost, biaya, cost, 
industry, industri, industry, 
figure, tokoh, figure, 
street, dalan, roads, dalan, 
image, gambar, picture, gambar, 
phone, telpon, phone, 
data, data, 
picture, gambar, picture, 
practice, laku, behavior, prilaku, behavior, 
piece, piece, 
land, tanah, land, 
product, produk, product, 
doctor, dhokter, doctor, 
wall, tembok, wall, 
patient, sabar, patient, 
worker, buruh, laborers, buruh, 
news, kabar, news, 
test, test, 
movie, film, film, 
north, lor, north, 
love, katresnan, love, 
support, nyokong, advocate, pengacara, lawyer, pengacara, 
technology, teknologi, technology, 
step, langkah, steps, langkah-langkah, steps, 
baby, bayi, baby, 
computer, komputer, computer, 
type, tipe, type, 
attention, manungsa waé, attention, 
film, film, 
republican, republik, republic, republik, 
tree, wit, wit, 
source, sumber, source, 
organization, organisasi, organization, 
hair, rambut, hair, 
look, katon, looks, katon, 
century, abad, century, 
evidence, bukti, evidence, 
window, jendhela, windows, jendhela, 
culture, budaya, culture, 
chance, kasempatan, chance, 
brother, sedulur, brother, 
energy, tenogo, energies, energies, 
period, periode, period, 
course, mesthi wae, of course, mesthi, of course, 
summer, panas, hot, panas, 
plant, tanduran, plant, 
opportunity, kesempatan, opportunity, 
term, istilah, term, 
letter, huruf, letter, 
condition, kondisi, condition, 
choice, pilihan, choice, 
rule, aturan, rules, aturan, 
daughter, putri, daughter, 
administration, administrasi, administration, 
south, sisih kidul, to the south, ing sisih kidul, to the south, 
husband, bojomu, your husband, sampeyan bojomu, you husband, sampeyan bojomu, 
congress, kongres, congress, 
floor, lantai, floor, 
campaign, kampanye, campaign, 
material, materi, material, 
population, populasi, population, 
call, nelpon, call, 
economy, ekonomi, economy, 
hospital, rumah sakit, hospital, 
church, gereja, church, 
risk, resiko, risk, 
fire, geni, fire, 
future, mangsa, victim, korban, victim, 
defense, pertahanan, defense, 
security, keamanan, security, 
bank, bank, 
west, kulon, west, 
sport, olahraga, sports, olahraga, 
board, papan, board, 
subject, subyek, subject, 
officer, pejabat, office, kantor, office, 
rest, ngaso, rest, 
behavior, prilaku, behavior, 
performance, kinerja, performance, 
top, ndhuwur, top, 
goal, goal, 
second, kapindho, second, 
bed, amben, amben, 
order, urutan, order, 
author, penulis, author, 
blood, getih, blood, 
agency, agensi, agency, 
nature, alam, nature, 
color, werna, color, 
store, nyimpen, save, simpen, save, 
sound, swara, voice, swara, 
movement, gerakan, movement, 
page, kaca, glass, kaca, 
race, lomba, race, 
concern, badhan, concern, 
series, seri, series, 
language, basa, basa, 
response, respon, response, 
animal, kewan, animals, kewan, 
factor, faktor, factor, 
decade, dasawarsa, decade, 
article, artikel, articles, artikel, 
east, wétan, east, 
artist, artis, artist, 
scene, adegan, scene, 
stock, simpenan, stock, 
career, karir, career, 
treatment, perawatan, treatment, 
approach, pendekatan, approach, 
size, ukuran, size, 
dog, asu, dog, 
fund, dana, fund, 
media, media, 
sign, tandha, mark, tandha, 
thought, pikirane, thoughts, pikirane, 
list, dhaptar, the list, dhaptar, 
individual, individu, individual, 
quality, kualitas, quality, 
pressure, tekanan, pressure, 
answer, njawab, answer, 
resource, sumber, source, sumber, 
meeting, rapat, meeting, 
disease, penyakit, disease, 
success, sukses, success, 
cup, cup, 
amount, jumlah, amount, 
ability, kemampuan, ability, 
staff, staf, staff, 
character, karakter, character, 
growth, wutah, growth, 
loss, mundhut, take it, njupuk iku, take it, 
degree, gelar, degree, 
attack, anggempur, attack, 
region, wilayah, region, 
television, televisi, television, 
box, kothak, box, 
tv, tv, 
training, latihan, training, 
trade, perdagangan, trade, 
deal, menehi hasil, deal, 
election, pemilihan, selection, seleksi, selection, 
feeling, perasaan, feeling, 
standard, standar, standard, 
bill, bill, 
message, pesen, message, 
analysis, analisis, analysis, 
benefit, entuk manfaat, benefit, 
sex, jinis, sex, 
lawyer, pengacara, lawyer, 
section, bagean, section, 
glass, kaca, glass, 
skill, skill, 
sister, adhine, adhine, 
professor, profesor, professor, 
operation, operasi, operation, 
crime, tindak pidana, criminal act, tindak pidana, 
stage, panggung, stage, 
authority, wewenang, authority, 
design, desain, design, 
sort, urut, massage, pijet, pijet, 
one, siji, one, 
knowledge, kawruh, knowledge, 
gun, gun, 
station, stasiun, station, 
strategy, strategi, strategy, 
truth, bebener, truth, 
song, lagu, song, 
example, conto, example, 
environment, lingkungan, environment, 
leg, sikil, legs, sikil, 
public, umum, general, umum, 
executive, eksekutif, executive, 
set, nyetel, set up, nggawe, create, nggawe, 
rock, rock, 
note, cathetan, note, 
manager, manajer, manager, 
help, bantuan, help, 
network, jaringan, network, 
science, ilmu, knowledge, kawruh, knowledge, 
memory, memori, memory, 
card, kertu, card, 
seat, kursi, chair, dhingklik, dhingklik, 
cell, sel, cell, 
trial, nyoba, try, coba, try it, cobanen, cobanen, 
expert, pakar, expert, 
spring, spring, 
firm, tegese, meanings, makna, meaning, artine, artine, 
democrat, demokrat, democrats, demokrat, 
radio, radio, 
management, manajemen, management, 
ball, bal, ball, 
talk, dhiskusi, talk, 
theory, teori, theory, 
impact, impact, 
statement, statement, 
charge, ngisi, fill in, ngisi, 
direction, arah, directions, pituduh, directions, 
weapon, gegaman, weapon, 
employee, pegawe, employee, 
peace, tentrem, peace, 
base, basa, basa, 
pain, pain, 
play, muter, play, 
measure, langkah, steps, langkah-langkah, steps, 
interview, wawancara, interview, 
chair, dhingklik, dhingklik, 
fish, iwak, fish, 
camera, kamera, camera, 
structure, struktur, structure, 
politics, politik, politics, 
bit, dicokot, taken, dijupuk, taken, 
weight, bobot, weight, 
candidate, calon, candidate, 
production, produksi, production, 
trip, trip, 
evening, sore, afternoon, sore, 
conference, konferensi, conference, 
unit, unit, 
style, gaya, style, 
adult, diwasa, adult, 
range, sawetara, some, sawetara, 
past, mbiyen, mbiyen, 
edge, pinggiran, periphery, periphery, 
writer, penulis, author, penulis, 
trouble, masalah, problem, masalah, 
challenge, tantangan, challenge, 
fear, wedi, fear, 
shoulder, pundhak, shoulder, 
institution, institusi, institution, 
sea, segara, segara, 
dream, ngimpi, dream, 
bar, bar, 
property, properti, property, 
stuff, kuwi, that is, iku, it is, iku, 
detail, rinci, detailed, rinci, 
method, cara, way, cara, 
magazine, majalah, magazine, 
hotel, hotel, 
soldier, prajurit, soldier, 
cause, sabab, cause, 
bag, tas, bag, 
heat, panas, hot, panas, 
fall, tiba, arrived, teka, come on, ayo ing, come on, 
marriage, perkawinan, marriage, 
surface, permukaan, surface, 
purpose, waé, only, mung, only, 
pattern, pola, pattern, 
skin, kulit, skin, 
agent, agen, agent, 
owner, pemilik, owner, 
machine, mesin, machine, 
gas, gas, 
generation, generasi, generation, 
cancer, kanker, cancer, 
item, item, 
reality, kasunyatan, reality, 
coach, pelatih, coach, 
mrs, mrs, 
yard, yard, 
violence, kekerasan, violence, 
investment, investasi, investment, 
discussion, diskusi, discussion, 
finger, driji, finger, 
garden, kebon, garden, 
collection, koleksi, collection, 
task, tugas, task, 
partner, partner, 
kitchen, pawon, kitchen, 
consumer, konsumen, consumer, 
shot, dijupuk, taken, dijupuk, 
budget, anggaran, budget, 
painting, lukisan, painting, 
scientist, ilmuwan, scientist, 
agreement, persetujuan, approval, persetujuan, 
capital, ibukutha, capital, 
mouth, cangkeme, cangkeme, 
victim, korban, victim, 
newspaper, koran, newspaper, 
threat, ancaman, threats, ancaman, 
responsibility, tanggung jawabe, responsibility, 
attorney, pengacara, lawyer, pengacara, 
score, skor, score, 
account, akun, account, 
break, break, 
audience, pamirsa, audience, 
dinner, nedha bengi, dinner, 
vote, pilihane, his choice, pilihanipun, choice, pilihan, choice, 
debate, debat, debate, 
citizen, warga, citizens, warga, 
majority, mayoritas, majority, 
wind, angin, wind, 
mission, karep, lust, hawa nepsu, lust, 
customer, pelanggan, customer, 
speech, wicara, speech, 
option, pilihan, choice, pilihan, 
participant, peserta, participants, peserta, 
forest, alas, alas, 
video, video, 
senate, senat, senate, 
reform, reformasi, reform, 
access, akses, access, 
restaurant, restoran, restaurant, 
judge, hakim, judge, 
relation, hubungan, relationship, sesambetan, relationship, 
bird, manuk, birds, manuk, 
opinion, pendapat, opinion, 
credit, kredit, credit, 
corner, sudhut, wide, sudhut, 
version, versi, version, 
safety, safety, 
neighborhood, lingkungan, environment, lingkungan, 
act, tumindak, act, 
troop , pasukan , troops , pasukan , 
income, income, 
species, spesies, species, 
track, trek, track, 
hope, pangarep-arep, hope, 
sky, langit, sky, 
freedom, kebebasan, freedom, 
plane, pesawat, plane, 
object, obyek, object, 
attitude, sikap, attitude, 
labor, pegaweyan, work, karya, work, 
concept, konsep, concept, 
client, klien, client, 
conversation, obrolan, chat, ngobrol, chat, 
variety, macem-macem, various, macem-macem, 
turn, nguripake, turn it on, nguripake, 
investigation, diselidiki, is investigated, wis diselidiki, has been investigated, wis diselidiki, 
researcher, peneliti, researchers, peneliti, 
press, pencet, press, 
conflict, konflik, conflict, 
spirit, roh, spirit, 
argument, argumentasi, argumentation, argumentasi, 
camp, kamp, camp, 
brain, otak, brain, 
feature, fitur, features, fitur, 
afternoon, sore, afternoon, 
weekend, akhir minggu, weekends, akhir minggu, 
possibility, kamungkinan, possibility, 
insurance, insurance, 
department, departemen, department, 
battle, perang, war, perang, 
beginning, diwiwiti, started, diwiwiti, 
date, tanggal, date, 
crisis, krisis, crisis, 
fan, penggemar, fans, penggemar, 
hole, bolongan, hole, 
element, unsur, element, 
vision, sesanti, vision, 
status, status, 
ship, kapal, ship, 
solution, solusi, solution, 
stone, watu, stone, 
scale, ukuran, size, ukuran, 
university, universitas, university, 
driver, driver, 
attempt, nyoba, try, coba, try it, cobanen, cobanen, 
park, taman, garden, kebon, garden, 
spot, titik, point, titik, 
lack, kurang, less, kurang, 
ice, es, ice, 
boat, kapal, ship, kapal, 
sun, srengenge, sun, 
distance, jarak, distance, 
wood, kayu, wood, 
truck, truk, truck, 
return, bali, bali, 
mountain, gunung, mountain, 
survey, survey, 
tradition, tradisi, tradition, 
winter, mangsa, victim, korban, victim, 
village, desa, village, 
sales, sales, 
communication, komunikasi, communication, 
run, mbukak, open, mbukak, 
screen, layar, screen, 
resident, penduduk, population, populasi, population, 
gold, emas, gold, 
club, klub, club, 
farm, farm, 
increase, mundakake, raise, ngunggahake, raise, 
middle, tengah, center, tengah, 
presence, ngarsane, sight, nggoleki, fine, nggoleki, 
district, kabupaten, district, 
shape, wujud, exist, ana, ana, 
reader, maca, read, maca, 
ms, ms, 
contract, kontrak, contract, 
crowd, wong akeh, many people, akeh wong, many people, 
apartment, apartemen, apartment, 
strength, kekuatan, strength, 
band, band, 
horse, jaran, horse, 
target, target, 
prison, pakunjaran, prison, 
guard, njaga, maintain, njaga, 
demand, dikarepake, desired, dikarepake, 
reporter, reporter, 
text, teks, text, 
share, bareng, together, bebarengan, together, 
tool, alat, tools, alat, 
vehicle, kendaraan, vehicles, kendaraan, 
flight, pesawat, plane, pesawat, 
facility, fasilitas, facilities, fasilitas, 
understanding, pangerten, understanding, 
advantage, kauntungan, profit, mediawiki, mediawiki, 
leadership, kepemimpinan, leadership, 
pound, pound, 
basis, basis, 
guest, tamu, guest, 
sample, sampel, sample, 
block, pamblokiran, blocks, pamblokiran, 
protection, perlindungan, protection, 
while, nalika, when, nalika, 
identity, tetenger, tetenger, 
title, judhul, title, 
lesson, pawulangan, lesson, 
faith, iman, faith, 
river, kali, times, kaping, times, 
living, urip, live, manggon, live, 
technique, teknik, technique, 
path, path, 
ear, kuping, ear, 
shop, toko, shop, 
folk, rakyat, people, wong, man, wong, 
principle, asas, basic, dhasar, basic, 
border, wates, border, 
competition, kompetisi, competition, 
claim, pratelan, claim, 
equipment, peralatan, equipment, 
critic, kritikus, critics, kritikus, 
aspect, rasio, ratio, rasio, 
failure, kegagalan, failure, 
christmas, natal, christmas, 
comment, komentar, comments, komentar, 
affair, urip, live, urip, 
procedure, prosedur, procedure, 
chairman, ketua, chairman, 
baseball, baseball, 
egg, endhog, egg, 
belief, yakin, sure, manawa, sure, 
murder, mateni, kill it, mateni, 
gift, hadiah, prize, hadiah, 
religion, agama, religion, 
review, review, 
editor, editor, 
coffee, warung, stall, warung, 
document, dokumen, document, 
speed, kacepetan, speed, 
influence, pengaruh, influence, 
youth, pemuda, youth, 
wave, gelombang, wave, 
move, pindhah, go, tindak, act, tumindak, act, 
quarter, saben wulan, monthly, saben wulan, 
background, latar mburi, background, 
reaction, reaksi, reaction, 
suit, setelan, settings, setelan, 
perspective, perspektif, perspective, 
construction, konstruksi, construction, 
intelligence, intelligence, 
connection, sambungan, connection, 
shoe, sepatu, shoes, sepatu, 
grade, grade, 
context, konteks, context, 
committee, panitia, committee, 
mistake, kesalahan, error, kesalahan, 
focus, fokus, focus, 
smile, eseman, smile, 
location, lokasi, location, 
clothes, klambi, clothing, sandhangan, clothing, 
neighbor, pepadhamu, your neighbor, sedulurmu, your brother, sedulurmu, 
drive, drive, 
function, fungsi, function, 
bone, balung, bones, balung, 
average, rata-rata, average, 
wine, anggur, wine, 
voter, pemilih, voters, pamilih, selector, selector, 
means, liya, else, liyane, more, luwih akeh, much more, luwih, more, 
learning, sinau, learn, sinau, 
bus, bus, 
hell, neraka, hell, 
category, babagan, about, babagan, 
victory, kamenangan, victory, 
key, tombol, button, tombol, 
visit, ngunjungi, visit, 
internet, internet, 
medicine, medicine, 
tour, tur, tour, 
photo, foto, photos, foto, 
finding, nggoleki, fine, nggoleki, 
classroom, kelas, class, kelas, 
contact, kontak, contact, 
justice, kaadilan, justice, 
pair, pasangan, pair, 
exercise, olahraga, sports, olahraga, 
knee, dhengkul, the knees, dhengkul, 
flower, kembang, flowers, kembang, 
tape, tape, 
supply, pasokan, supply, 
cut, cut, 
will, bakal, will, 
actor, aktor, actor, 
birth, lair, born, lair, 
search, golèk, search, 
democracy, demokrasi, democracy, 
circle, bunder, circle, 
device, piranti, device, 
progress, kemajuan, progress, 
front, ngarep, home, ngarep, 
bottom, ngisor, below, ing ngisor iki, below, 
island, pulo, island, 
exchange, ijolan, exchange, 
studio, studio, 
lady, lady, 
colleague, colleague, 
application, aplikasi, application, 
neck, gulu, neck, 
damage, karusakan, damage, 
plastic, plastik, plastic, 
plate, piring, plate, 
writing, nulis, write, nulis, 
start, miwiti, get started, miwiti, 
expression, ekspresi, expression, 
football, bal-balan, football, 
chicken, pitik, chicken, 
army, tentara, army, 
abuse, penyalahgunaan, abuse, 
theater, teater, theater, 
map, peta, map, 
session, sesi, session, 
danger, bebaya, danger, 
literature, sastra, literature, 
rain, udan, rain, 
desire, kepinginan, desire, 
assessment, assessment, 
injury, cilaka, harm, gawe piala, make a trophy, nggawe trofi, create a trophy, nggawe trofi, 
respect, ngormati, respect, 
fuel, bahan bakar, fuel, 
leaf, godhong, leaves, godhong, 
instruction, instruksi, instructions, instruksi, 
fight, perang, war, perang, 
pool, kolam renang, pool, 
lead, timbal, lead, 
engine, mesin, machine, mesin, 
salt, uyah, salt, 
importance, penting, important, penting, 
metal, logam, metal, 
fat, lemak, fat, 
ticket, tiket, ticket, 
software, piranti lunak, software, 
lip, lambe, lambe, 
reading, maca, read, maca, 
lunch, nedha awan, lunch, 
farmer, petani, farmer, 
sugar, gula, sugar, 
planet, planet, 
enemy, mungsuh, enemy, 
athlete, atlet, athlete, 
soul, nyawa, life, urip, live, manggon, live, 
panel, panel, 
meaning, artine, artine, 
mom, ibu, mother, ibu, 
instrument, instrumen, instrument, 
weather, cuaca, weather, 
commitment, prasetya, prasetya, 
pocket, kanthong, pocket, 
temperature, suhu, temperature, 
surprise, kejutan, surprise, 
poll, jajak pendapat, polls, jajak pendapat, 
proposal, proposal, 
consequence, akibat, consequences, akibat, 
half, setengah, half, 
breath, ambegan, breathe, ambegan, 
sight, nggoleki, fine, nggoleki, 
cover, tutup, close, cedhak, close, 
balance, keseimbangan, balance, 
minority, minoritas, minority, 
works, nyambut gawe, working, digunakake, used, digunakake, 
teaching, ngajar, teach, ngajar, 
aid, sepindah, nice, becik, nice, 
advice, saran, advice, 
photograph, foto, photos, foto, 
trail, jejere, beside, jejere, 
novel, novel, 
code, kode, code, 
jury, juri, jury, 
breast, payudara, breast, 
human, manungsa, human, 
theme, tema, theme, 
storm, badai, storm, 
union, union, 
desk, meja, table, tabel, table, 
thanks, thanks, 
fruit, woh, woh, 
conclusion, kesimpulan, conclusion, 
shadow, shadow, 
analyst, analis, analysts, analysts, 
dance, tari, dance, 
limit, watesan, limit, 
regulation, regulasi, regulation, 
being, dadi, so, supaya, so, 
ring, ring, 
revenue, revenue, 
county, negoro, negoro, 
appearance, katon, looks, katon, 
package, paket, package, 
difficulty, angel, angel, 
bridge, jembatan, bridge, 
train, sepur, train, 
e-mail, e-mail, 
thinking, mikir, think, mikir, 
trend, gaya, style, gaya, 
visitor, pengunjung, visitors, pengunjung, 
loan, silihan, loans, silihan, 
investor, investor, 
profit, mediawiki, mediawiki, 
crew, kru, crew, 
accident, kecelakaan, accident, 
male, lanang, male, 
meal, mangan, manganese, manganese, 
hearing, pangrungu, hearing, 
traffic, lalu lintas, traffic, 
muscle, otot, muscle, 
notion, pamanggih, idea, idea, 
earth, bumi, earth, 
chest, dodo, dodo, 
cash, awis, cash, 
museum, museum, 
beauty, kaendahan, beauty, 
emergency, darurat, emergency, 
stress, kaku, stiff, kaku, 
content, isi, fill in, ngisi, fill in, 
root, root, 
nose, irung, nose, 
bottle, botol, bottle, 
setting, setelan, settings, setelan, 
dress, klambi, clothing, sandhangan, clothing, 
file, file, 
outcome, kasil, successful, sukses, success, sukses, 
ad, iklan, advertisement, iklan, 
duty, tugas, task, tugas, 
sheet, lembaran, sheets, sheets, 
extent, ombone, ombone, 
component, komponen, components, komponen, 
contrast, kontras, contrast, 
zone, zona, zone, 
airport, bandara, airport, 
chief, wong kang mimpin, the leader, pimpinan, leadership, kepemimpinan, leadership, 
shirt, klambi, clothing, sandhangan, clothing, 
pilot, sing nyetir pesawat, driving the aircraft, nyopir pesawat kasebut, driving the aircraft, 
cat, kucing, cats, kucing, 
contribution, kontribusi, contribution, 
capacity, kapasitas, capacity, 
estate, estate, 
guide, pandhuan, guide, 
circumstance, kahanan, situation, kahanan, 
snow, salju, snow, 
politician, politisi, politicians, politisi, 
percentage, persentase, percentage, 
meat, daging, meat, 
soil, lemah, weak, banget, very well, sae sanget, very good, apik tenan, awesome, apik, good, apik, 
surgery, surgery, 
basketball, basket, basket, 
golf, golf, 
chain, chain, 
address, alamat, address, 
branch, cabang, branch, 
combination, kombinasi, combination, 
governor, gubernur, governor, 
relief, relief, 
user, pangguna, user, 
dad, dad, 
manner, cara, way, cara, 
silence, bisu, mute, bisu, 
rating, rating, 
motion, gerakan, movement, gerakan, 
gender, jender, gender, 
fee, ragad, fee, 
landscape, lanskap, landscape, 
bowl, mangkuk, bowl, 
frame, pigura, frame, 
host, inang, host, 
hall, bale, bale, 
ocean, segara, segara, 
row, baris, line, baris, 
producer, produser, producer, 
regime, regime, 
division, divisi, division, 
appeal, mréntahaké, appeal, 
mirror, pangilon, mirror, 
tooth, untu, to, kanggo, to, 
length, dawa, length, 
topic, topik, topic, 
variable, variabel, variable, 
telephone, telpon, phone, telpon, 
perception, pangerten, understanding, pangerten, 
confidence, kapercayan, confidence, 
bedroom, kamar turu, bedroom, 
secret, rahasia, secret, 
debt, utang, debt, 
tank, tank, 
nurse, perawat, nurse, 
coverage, jangkoan, coverage, 
opposition, oposisi, opposition, 
bond, jaminan, guarantee, njamin, guarantee, 
pleasure, kesenengan, pleasure, 
master, master, 
era, jaman, era, 
requirement, requirement, 
check, mrikso, mrikso, 
stand, ngadeg, stand up, ngadeg munggah, stand up, 
fun, nyenengake, fun, 
expectation, pengarepan, expectation, 
wing, swiwi, wing, 
struggle, perjuangan, struggle, 
judgment, pangadilan, court, pengadilan, court, 
beer, bir, beer, 
english, inggris, english, 
reference, referensi, reference, 
tear, luh, tear, 
doubt, mangu-mangu, doubt, 
minister, menteri, minister, 
hero, pahlawan, hero, 
cloud, maya, maya, 
winner, juara, champion, juara, 
volume, volume, 
travel, dolan, dolan, 
seed, winih, seed, 
fashion, fashion, 
pepper, mrico, pepper, 
intervention, intervensi, intervention, 
copy, salinan, copy, 
tip, tip, 
welfare, kesejahteraan, prosperity, kamakmuran, prosperity, 
vegetable, sayuran, vegetables, sayuran, 
dish, sajian, dish, 
beach, pantai, beach, 
improvement, perbaikan, repairs, ndandani, fix it, ndandani, 
opening, mbukak, open, mbukak, 
route, rute, route, 
league, liga, league, 
core, inti, core, 
rise, munggah, up, munggah, 
tie, dasi, tie, 
holiday, liburan, holiday, 
resolution, résolusi, resolution, 
household, kluwarga, household, 
abortion, aborsi, abortion, 
witness, saksi, witnesses, saksi, 
sector, sektor, sector, 
representative, wakil, representative, 
black, ireng, black, 
incident, kedadeyan, incident, 
flow, aliran, flow, 
faculty, fakultas, faculty, 
waste, sampah, garbage, sampah, 
mass, massa, mass, 
experiment, eksperimen, experimental, eksperimen, 
bomb, bom, bomb, 
tone, muni, sound, swara, voice, swara, 
engineer, engineer, 
wheel, roda, wheel, 
female, wadon, female, 
promise, janji, promise, 
cable, kabel, cable, 
aids, bantuan, help, bantuan, 
jew, jew, 
cream, krim, cream, 
secretary, sekretaris, secretary, 
gate, gapura, gate, 
hill, gunung, mountain, gunung, 
noise, gangguan, nuisance, nuisance, 
grass, suket, grass, 
hat, topi, hat, 
