time, tempo, time, 
year, ano, year, 
people, pessoas, people, 
way, caminho, way, 
day, dia, day, 
man, homem, men, homens, men, 
thing, coisa, thing, 
woman, mulher, woman, 
life, vida, life, 
child, criança, child, 
world, mundo, world, 
school, escola, school, 
state, estado, state, 
family, família, family, 
student, aluna, student, 
group, grupo, group, 
country, país, parents, pais, parents, 
problem, problema, problem, 
hand, mão, hand, 
part, parte, part, 
place, lugar, colocar, place, place, coloque, coloque, place, place, 
case, caso, case, 
week, semana, week, 
company, companhia, company, 
system, sistema, system, 
program, programa, program, 
question, questão, question, 
work, trabalhos, works, trabalho, job, trabalho, 
government, governo, government, 
number, número, number, 
night, noite, night, 
mr, sr, sr, 
point, ponto, score, ponto, 
home, casa, home, 
water, agua, water, 
room, quarto, bedroom, quarto, 
mother, mãe, mother, 
area, área, area, 
money, dinheiro, money, 
story, história, history, história, 
fact, facto, fact that, facto, 
month, mês, month, 
lot, muito, much, muito de, a lot of, muito de, 
right, certo, right, 
study, estude, study, 
book, livro, book, 
eye, olho, eye, 
job, trabalho, job, 
word, palavra, word, 
business, o negócio, the business, o negócio, 
issue, questão, question, questão, 
side, lado, side, 
kind, tipo, type, tipo, 
head, cabeça, head, 
house, casa, home, casa, 
service, serviço, service, 
friend, amigos, friends, amigos, 
father, pai, dad, papai, dad, 
power, poder, power, 
hour, hora, hour, 
game, jogos, games, jogos, 
line, linha, line, 
end, fim, end, 
member, membro, member, 
law, lei, law, 
car, carro, car, 
city, cidade, city, 
community, comunidade, community, 
name, nome, name, 
president, presidente, president, 
team, equipe, team, 
minute, minuto, minute, 
idea, idéia, idea, 
kid, criança, child, criança, 
body, corpo, body, 
information, em formação, training, treinamento, training, 
back, costas, back, 
parent, pai, dad, papai, dad, 
face, cara, face, 
others, outras, others, 
level, nível, level, 
office, escritório, office, 
door, porta, door, 
health, saúde, cheers, felicidades, cheers, 
person, pessoa, person, 
art, arte, art, 
war, guerra, war, 
history, história, history, 
party, festa, party, 
result, resultado, result, 
change, mudança, change, 
morning, manhã, morning, 
reason, razão, reason, 
research, pesquisa, search, pesquisa, 
girl, menina, girl, 
guy, cara, face, cara, 
food, comida, food, 
moment, momento, time, tempo, time, 
air, ar, air, 
teacher, professor, teacher, 
force, força, force, 
education, educação, education, 
foot, pé, foot, 
boy, garoto, boy, 
age, era, it was, isso foi, this was, isso foi, 
policy, política, policy, 
process, processo, process, 
music, música, music, 
market, mercado, marketplace, marketplace, 
sense, sentido, sense, 
nation, nação, nation, 
plan, plano, plan, 
college, faculdade, college, 
interest, interesse, interest, 
death, morte, death, 
experience, experiência, experience, 
effect, efeito, it is made, é feito, it is made, 
use, usar, use, 
class, classe, class, 
control, ao controle, to control, controlar, to control, 
care, cuidado, caution, cuidado, 
field, campo, field, 
development, desenvolvimento, development, 
role, função, function, função, 
effort, esforço, effort, 
rate, taxa, rate, 
heart, coração, heart, 
drug, droga, damn it, droga, 
show, exposição, exhibition, exibição, exhibition, 
leader, líder, leader, 
light, luz, light, 
voice, voz, voice, 
wife, esposa, wife, 
police, polícia, police, 
mind, mente, mind, 
price, preço, price, 
report, relatório, report, 
decision, decisão, decision, 
son, filho, son, 
view, visão, view, 
relationship, relação, relationship, 
town, cidade, city, cidade, 
road, estrada, road, 
arm, braço, arm, 
difference, diferença, difference, 
value, valor, value, 
building, construção, construction, construção, 
action, açao, action, 
model, modelo, model, 
season, estação, season, 
society, sociedade, society, 
tax, imposto, tax, 
director, diretor, director, 
position, posição, position, 
player, jogador, player, 
record, registro, record, 
paper, papel, paper, 
space, espaço, space, 
ground, chão, floor, chão, 
form, formato, format, formato, 
event, evento, event, 
official, oficial, official, 
