lang,lang_code,500_score,1000_score
Tajik,tg,182,442,748,Iranian
Danish,da,80,182,280,Germanic
Lithuanian,lt,221,426,625,Baltic
Galician,gl,77,191,339,Romance
Latin,la,179,338,523,Romance
Tamil,ta,211,407,625,Dravidian
Basque,eu,132,272,435,Basque
Malayalam,ml,145,333,524,Dravidian
Gujarati,gu,110,240,400,Indic
Hawaiian,haw,360,771,1198,Austronesian
French,fr,89,208,344,Romance
Thai,th,129,281,455,Kra-Dai
Spanish,es,101,210,335,Romance
Filipino,tl,96,209,351,Austronesian
Ukrainian,uk,84,197,322,Slavic
Scots Gaelic,gd,166,402,692,Celtic
Icelandic,is,142,293,473,Germanic
Romanian,ro,100,233,345,Romance
Hindi,hi,181,380,608,Indic
Vietnamese,vi,149,311,516,Austroasiatic
Shona,sn,244,517,788,Niger-Congo
Macedonian,mk,88,189,328,Slavic
Slovenian,sl,103,237,402,Slavic
Georgian,ka,154,341,512,Iberian
Albanian,sq,93,219,360,Albanian
Maltese,mt,86,179,293,Afroasiatic
Hungarian,hu,105,215,353,Uralic
Latvian,lv,217,432,609,Baltic
Chinese Traditional,zh-TW,139,269,424,Sino-Tibetan
Marathi,mr,161,331,525,Indic
Italian,it,89,191,318,Romance
Belarusian,be,118,234,379,Slavic
Portuguese,pt,104,224,348,Romance
Cebuano,ceb,169,347,539,Austronesian
Pashto,ps,227,511,826,Iranian
Estonian,et,227,460,665,Uralic
Finnish,fi,102,214,365,Uralic
Arabic,ar,202,417,632,Afroasiatic
Nepali,ne,151,358,552,Indic
Bosnian,bs,79,190,329,Slavic
Maori,mi,260,588,970,Austronesian
Yoruba,yo,218,479,745,Niger-Congo
Uzbek,uz,183,382,595,Turkic
Telugu,te,133,281,454,Dravidian
Chichewa,ny,304,645,1016,Niger-Congo
Croatian,hr,100,201,334,Slavic
Korean,ko,114,260,426,Korean
Swedish,sv,74,163,281,Germanic
Irish,ga,107,227,365,Celtic
Greek,el,125,254,421,Hellenic
Chinese,zh-CN,139,269,424,Sino-Tibetan
Serbian,sr,172,324,467,Slavic
Kazakh,kk,158,346,553,Turkic
Armenian,hy,199,401,634,Armenian
Sesotho,st,297,653,1031,Niger-Congo
Haitian Creole,ht,119,301,475,Romance
Catalan,ca,100,223,377,Romance
Swahili,sw,167,389,651,Niger-Congo
Japanese,ja,99,206,312,Japonic
Luxembourgish,lb,138,313,523,Germanic
Corsican,co,158,352,560,Romance
Sundanese,su,143,293,454,Austronesian
Persian,fa,174,364,604,Iranian
Afrikaans,af,84,185,303,Germanic
Malagasy,mg,240,500,811,Austronesian
Javanese,jw,132,304,504,Austronesian
Khmer,km,200,427,677,Austroasiatic
Malay,ms,130,282,471,Austronesian
Norwegian,no,79,163,277,Germanic
Somali,so,231,501,833,Afroasiatic
Bengali,bn,165,364,568,Indic
Bulgarian,bg,90,195,308,Slavic
Mongolian,mn,161,383,622,Mongolic
Xhosa,xh,217,509,836,Niger-Congo
Lao,lo,171,378,579,Kra-Dai
Welsh,cy,98,242,405,Celtic
Kurdish (Kurmanji),ku,389,822,1252,Iranian
German,de,118,238,377,Germanic
Sinhala,si,179,405,631,Indic
Slovak,sk,166,314,481,Slavic
Indonesian,id,118,259,411,Austronesian
Czech,cs,92,190,311,Slavic
Myanmar (Burmese),my,121,254,407,Sino-Tibetan
Russian,ru,148,287,437,Slavic
Punjabi,pa,162,328,515,Indic
Dutch,nl,85,174,291,Germanic
Yiddish,yi,72,165,261,Germanic
Igbo,ig,264,560,888,Niger-Congo
Zulu,zu,189,453,722,Niger-Congo
Hmong,hmn,247,517,811,Sino-Tibetan
Urdu,ur,166,358,570,Indic
Sindhi,sd,245,553,868,Indic
Hausa,ha,192,420,713,Afroasiatic
Kannada,kn,146,303,479,Dravidian
Hebrew,iw,156,308,476,Afroasiatic
Amharic,am,178,405,662,Afroasiatic
Azerbaijani,az,137,289,469,Turkic
Kyrgyz,ky,281,515,762,Turkic
Frisian,fy,132,294,470,Germanic
Samoan,sm,242,562,931,Austronesian
Turkish,tr,102,239,398,Turkic
Polish,pl,91,178,318,Slavic
Esperanto,eo,96,223,372,Esperanto
