time, நேரம், time, 
year, ஆண்டு, year, 
people, மக்கள், people, 
way, வழி, way, 
day, நாள், day, 
man, ஆண், m, எம், m, 
thing, விஷயம், estate, எஸ்டேட், estate, 
woman, பெண், girl, பெண், 
life, வாழ்க்கை, life, 
child, குழந்தை, baby, பேபி, baby, 
world, உலகம், world, 
school, பள்ளி, school, 
state, நிலை, level, நிலை, 
family, குடும்ப, family, 
student, மாணவர், students, மாணவர்கள், students, 
group, குழு, group, 
country, நாட்டின், country, 
problem, பிரச்சனை, the problem, பிரச்சினை, issue, பிரச்சினை, 
hand, கை, hand, 
part, பகுதியாக, part, 
place, இடத்தில், place, 
case, வழக்கு, case, 
week, வாரம், week, 
company, நிறுவனம், company, 
system, அமைப்பு, structure, அமைப்பு, 
program, திட்டம், program, 
question, கேள்வி, question, 
work, வேலை, working, வேலை, 
government, அரசாங்கம், the government, அரசு, government, 
number, எண், number, 
night, இரவு, night, 
mr, திரு, mr., திரு., mr., 
point, புள்ளி, point, 
home, வீட்டில், house, ஹவுஸ், house, 
water, நீர், water, 
room, அறை, room, 
mother, தாய், mother, 
area, பகுதியில், in the area, இப்பகுதியில், in the region, இப்பகுதியில், 
money, பணம், money, 
story, கதை, story, 
fact, உண்மையில், in fact,, உண்மையாக,, in fact,, 
month, மாதம், month, 
lot, நிறைய, more, மேலும், added, சேர்க்கப்பட்டது, added, 
right, வலது, right, 
study, ஆய்வு, review, விமர்சனம், review, 
book, புத்தகம், book, 
eye, கண், eye, 
job, வேலை, working, வேலை, 
word, சொல், tell, சொல்லுங்கள், tell, 
business, வணிக, business, 
issue, பிரச்சினை, issue, 
side, பக்க, side, 
kind, வகையான, kind, 
head, தலை, head, 
house, வீட்டில், house, 
service, சேவை, service, 
friend, நண்பன், friend, 
father, அப்பா, dad, அப்பா, 
power, சக்தி, energy, சக்தி, 
hour, மணி, hours, மணி, 
game, விளையாட்டு, sports, விளையாட்டு, 
line, வரி, line, 
end, இறுதியில், in the end,, இறுதியில்,, in the end,, 
member, உறுப்பினர், member, 
law, சட்டம், law, 
car, கார், car, 
city, நகரம், city, 
community, சமூகத்தில், community, 
name, பெயர், name, 
president, தலைவர், leader, தலைவர், 
team, அணி, team, 
minute, நிமிடம், minute, 
idea, யோசனை, idea, 
kid, குழந்தை, baby, பேபி, baby, 
body, உடல், body, 
information, தகவல், information, 
back, மீண்டும், again, மீண்டும், 
parent, பெற்றோர், parents, பெற்றோர், 
face, முகம், face, 
others, மற்றவர்கள், others, 
level, நிலை, level, 
office, அலுவலகம், office, 
door, கதவை, the door, கதவு, door, 
health, சுகாதார, health, 
person, நபர், person, 
art, கலை, arts, கலை, 
war, போர், war, 
history, வரலாறு, history, 
party, கட்சி, party, 
result, விளைவாக, as a result of, இதன் விளைவாக, because of this, இதன் காரணமாக, because of this, 
change, மாற்றம், change, 
morning, காலை, breakfast, காலை உணவு, breakfast, 
reason, காரணம், reason, 
research, ஆராய்ச்சி, research, 
girl, பெண், girl, 
guy, பையன், guy, 
food, உணவு, food, 
moment, கணம், moment, 
air, விமான, flight, விமான, 
teacher, ஆசிரியர், author, ஆசிரியர், 
force, படை, force, 
education, கல்வி, education, 
foot, கால், call, அழைப்பு, call, 
boy, சிறுவன், boy, 
age, வயது, age, 
policy, கொள்கை, policy, 
process, செயல்முறை, process, 
music, இசை, music, 
market, சந்தை, market, 
sense, உணர்வு, feeling, உணர்வு, 
nation, நாட்டின், country, நாடு, country, 
plan, திட்டம், program, திட்டம், 
college, கல்லூரி, college, 
interest, ஆர்வம், curious, ஆர்வமாக, interested, ஆர்வமா, interested, 
death, மரணம், death, 
experience, அனுபவம், experience, 
effect, விளைவு, effect, 
use, பயன்படுத்த, use, 
class, வர்க்கம், class, 
control, கட்டுப்பாடு, regulation, கட்டுப்பாடு, 
care, பாதுகாப்பு, security, பாதுகாப்பு, 
field, துறையில், in the field, துறையில், 
development, வளர்ச்சி, growth, வளர்ச்சி, 
role, பங்கு, stock, பங்கு, 
effort, முயற்சி, try, முயற்சி, 
rate, விகிதம், rate, 
heart, இதயம், heart, 
drug, மருந்து, pharmacies, மருந்து, 
show, நிகழ்ச்சி, show, 
leader, தலைவர், leader, 
light, ஒளி, light, 
voice, குரல், the voice, குரல், 
wife, மனைவி, the wife, மனைவி, 
police, காவல், custody, காவலில், in custody, காவலில், 
mind, மனதில், in mind, மனதில், 
price, விலை, price, 
report, அறிக்கை, report, 
decision, முடிவு, result, விளைவாக, as a result of, இதன் விளைவாக, because of this, இதன் காரணமாக, because of this, 
son, மகன், son, 
view, பார்வை, view, 
relationship, உறவு, relationship, 
town, நகரம், city, பெருநகரம், city, 
road, சாலை, road, 
arm, கை, hand, கை, 
difference, வேறுபாடு, difference, 
value, மதிப்பு, value, 
building, கட்டிடம், building, 
action, நடவடிக்கை, activity, செயல்பாடு, function, விழா, function, 
model, மாதிரி, sample, மாதிரி, 
season, சீசன், season, 
society, சமூகத்தின், community, சமூக, community, 
tax, வரி, line, வரி, 
director, இயக்குனர், director, 
position, நிலையை, status, நிலைமை, status, 
player, ஆட்டக்காரர், player, 
record, சாதனை, record, 
paper, காகித, paper, 
space, விண்வெளி, space, 
ground, தரையில், ground, 
form, வடிவம், shape, வடிவம், 
event, நிகழ்வு, event, 
official, அதிகாரி, officer, அதிகாரி, 
matter, விஷயம், estate, எஸ்டேட், estate, 
center, சென்டர், linkedin, சென்டர், 
couple, ஜோடி, pair, ஜோடி, 
site, தளத்தில், site, 
project, திட்டம், program, திட்டம், 
activity, செயல்பாடு, function, விழா, function, 
star, நட்சத்திர, star, 
table, மேசை, desktop, மேசை, 
need, தேவை, wanted, வான்டட், wanted, 
court, நீதிமன்றம், court, 
american, அமெரிக்க, us, எங்களுக்கு, help us, எங்களுக்கு உதவுங்கள், please help us, தயவு செய்து எங்களுக்கு உதவுங்கள், please help us, 
oil, எண்ணெய், oil, 
situation, நிலைமை, status, நிலைமை, 
cost, கட்டண, cheap, மலிவான, cheap, 
industry, தொழில், industry, 
figure, எண்ணிக்கை, number, எண், number, 
street, தெரு, street, 
image, படத்தை, image, 
phone, தொலைபேசி, phone, 
data, தகவல்கள், information, தகவல், information, 
picture, படம், image, பட, film, திரைப்படம், film, 
practice, பயிற்சி, training, பயிற்சி, 
piece, துண்டு, strip, ஆடை அவிழ்ப்பு, clothing strip, ஆடை துண்டு, piece of clothing, ஆடை துண்டு, 
land, நில, land, 
product, தயாரிப்பு, manufacturing, தயாரிப்பு, 
doctor, மருத்துவர், doctor, 
wall, சுவர், wall, 
patient, நோயாளி, patient, 
worker, தொழிலாளி, worker, 
news, செய்தி, news, 
test, சோதனை, trial, சோதனை, 
movie, திரைப்பட, movie, 
north, வடக்கு, northern, வடக்கு, 
love, அன்பு, love, 
support, ஆதரவு, support, 
technology, தொழில்நுட்பம், technology, 
step, படி, step, 
baby, குழந்தை, baby, 
computer, கணினி, computer, 
type, வகை, category, வகை, 
attention, கவனம், focus, ஃபோகஸ், focus, 
film, படம், image, பட, film, 
republican, குடியரசு, states, மாநிலங்களில், states, 
tree, மரம், wood, மரம், 
source, மூல, source, 
organization, அமைப்பு, structure, அமைப்பு, 
hair, முடி, hair, 
look, பார்க்க, see, பார்க்க, 
century, நூற்றாண்டு, century, 
evidence, ஆதாரங்கள், proof's, ப்ரூஃபின், proof of the, ஆதாரம், source, மூல, source, 
window, ஜன்னல், window, 
culture, கலாச்சாரம், culture, 
chance, வாய்ப்பு, opportunity, வாய்ப்பு, 
brother, சகோதரன், brother, 
energy, ஆற்றல், energy, 
period, காலம், duration, காலம், 
course, நிச்சயமாக, course, 
summer, கோடை, summer, 
plant, ஆலை, mill, ஆலை, 
opportunity, வாய்ப்பு, opportunity, 
term, கால, term, 
letter, கடிதம், letter, 
condition, நிலை, level, நிலை, 
choice, தேர்வு, select, தேர்வு, 
rule, ஆட்சி, regime, ஆட்சி, 
daughter, மகள், daughter, 
administration, நிர்வாகம், administration, 
south, தெற்கு, southern, தெற்கு, 
husband, கணவர், husband, 
congress, காங்கிரஸ், congress, 
floor, தரை, ground, தரையில், ground, 
campaign, பிரச்சாரம், campaign, 
material, பொருள், meaning, பொருள், 
population, மக்கள் தொகையில், in the population, மக்களில், in people, மக்கள், people, மக்கள், 
call, அழைப்பு, call, 
economy, பொருளாதாரம், economy, 
hospital, மருத்துவமனை, clinics, மருத்துவமனை, 
church, தேவாலயத்தில், in the church, தேவாலயத்தில், 
risk, ஆபத்து, danger, ஆபத்து, 
fire, தீ, fire, 
future, எதிர்கால, future, 
defense, பாதுகாப்பு, security, பாதுகாப்பு, 
security, பாதுகாப்பு, security, 
bank, வங்கி, banking, வங்கி, 
west, மேற்கு, west, 
sport, விளையாட்டு, sports, விளையாட்டு, 
board, குழு, group, குழு, 
subject, பொருள், meaning, பொருள், 
officer, அதிகாரி, officer, 
rest, ஓய்வு, leisure, ஓய்வு, 
behavior, நடத்தை, behavior, 
performance, செயல்திறன், performance, 
top, மேல், more, மேலும், added, சேர்க்கப்பட்டது, added, 
goal, இலக்கு, destinations, செல்லுமிடங்கள், destinations, 
second, இரண்டாவது, second, 
bed, படுக்கையில், in bed, படுக்கையில், 
order, ஆர்டர், order, 
author, ஆசிரியர், author, 
blood, இரத்த, blood, 
agency, நிறுவனம், company, நிறுவனம், 
nature, இயற்கை, nature, 
color, நிறம், color, 
store, கடை, shop, கடை, 
sound, ஒலி, sound, 
movement, இயக்கம், direction, திசையில், direction, 
page, பக்கம், page, 
race, இனம், ethnicity, இனம், 
concern, அக்கறை, responsiveness, மறுமொழி, responsiveness, 
series, தொடர், series, 
language, மொழி, language, 
response, பதில், reply, பதில், 
animal, கால்நடை, livestock, கால்நடை, 
factor, காரணி, factor, 
decade, தசாப்தத்தில், in the decade, தசாப்தத்தில், 
article, கட்டுரை, article, 
east, கிழக்கு, east, 
artist, கலைஞர், artist, 
scene, காட்சி, display, காட்சி, 
stock, பங்கு, stock, 
career, வாழ்க்கை, life, வாழ்க்கை, 
treatment, சிகிச்சை, treatment, 
approach, அணுகுமுறை, approach, 
size, அளவு, size, 
dog, நாய், dog, 
fund, நிதி, finance, நிதி, 
media, ஊடக, press, பிரஸ், press, 
sign, அடையாளம், identified, அடையாளம், 
thought, நினைத்தேன், i thought, நான் நினைத்தேன், i thought, 
list, பட்டியலில், list, 
individual, தனிப்பட்ட, personal, தனிநபர், personal, 
quality, தரமான, quality, 
pressure, அழுத்தம், pressure, 
answer, பதில், reply, பதில், 
resource, வள, resources, வளங்கள், resources, 
meeting, சந்தித்தல், meet, மீட், mead, மீட், 
disease, நோய், disease, 
success, வெற்றி, success, 
cup, கப், cup, 
amount, அளவு, size, அளவு, 
ability, திறன், capacity, கொள்ளளவு, capacity, 
staff, ஊழியர்கள், workers, தொழிலாளர்கள், workers, 
character, பாத்திரம், character, 
growth, வளர்ச்சி, growth, 
loss, இழப்பு, loss, 
degree, பட்டம், degree, 
attack, தாக்குதல், attack, 
region, பிராந்தியம், region, 
television, தொலைக்காட்சி, television, 
box, பெட்டியில், in the box, பெட்டியில், 
tv, தொலைக்காட்சி, television, தொலைக்காட்சி, 
training, பயிற்சி, training, 
trade, வர்த்தக, business, வணிக, business, 
deal, ஒப்பந்தம், agreement, ஒப்பந்தம், 
election, தேர்தல், election, 
feeling, உணர்வு, feeling, 
