time, vrijeme, time, 
year, godina, year, 
people, narod, people, 
way, put, time, vrijeme, time, 
day, dan, day, 
man, čovjek, man, 
thing, stvar, thing, 
woman, žena, woman, 
life, život, life, 
child, dijete, child, 
world, svijet, world, 
school, škola, school, 
state, država, state, 
family, obitelj, family, 
student, student, 
group, skupina, group, 
country, zemlja, earth, zemlja, 
problem, problem, 
hand, ruka, hand, 
part, dio, part, 
place, mjesto, place, 
case, slučaj, case, 
week, tjedan, week, 
company, društvo, society, društvo, 
system, sistem, system, 
program, program, 
question, pitanje, question, 
work, raditi, work, 
government, vlada, government, 
number, broj, number, 
night, noć, night, 
mr, mr, 
point, točka, full stop, točka, 
home, dom, home, 
water, voda, water, 
room, soba, room, 
mother, majka, mother, 
area, područje, territory, teritorija, territory, 
money, novac, money, 
story, priča, story, 
fact, činjenica, fact, 
month, mjesec, month, 
lot, mnogo, many, mnogi, many, 
right, pravo, right, 
study, studija, study, 
book, knjiga, a book, knjiga, 
eye, oko, about, oko, 
job, posao, job, 
word, riječ, word, 
business, poslovanje, management, upravljanje, management, 
issue, problem, an issue, problem, 
side, strana, page, stranica, page, 
kind, ljubazan, kind, 
head, glava, head, 
house, kuća, house, 
service, servis, service, 
friend, prijatelj, friend, 
father, otac, father, 
power, vlast, power, 
hour, sat, a watch, sat, 
game, igra, game, 
line, crta, line, 
end, kraj, end, 
member, član, member, 
law, zakon, law, 
car, automobil, car, 
city, grad, city, 
community, zajednica, community, 
name, ime, name, 
president, predsjednik, president, 
team, tim, team, 
minute, minuta, minute, 
idea, ideja, idea, 
kid, dijete, child, dijete, 
body, tijelo, body, 
information, informacija, information, 
back, leđa, back, 
parent, roditelj, parent, 
face, lice, face, 
others, drugi, other, drugo, else, drugo, 
level, nivo, level, 
office, ured, office, 
door, vrata, door, 
health, zdravlje, health, 
person, osoba, person, 
art, umjetnost, art, 
war, rat, war, 
history, povijest, history, 
party, zabava, fun, zabava, 
result, proizlaziti, result, 
change, promijeniti, to change, promijeniti, 
morning, jutro, morning, 
reason, razlog, reason, 
research, istraživanje, research, 
girl, djevojka, a girl, djevojka, 
guy, momak, guy, 
food, hrana, food, 
moment, trenutak, the moment, trenutak, 
air, zrak, air, 
teacher, učitelj, nastavnik, profesor, teacher, teacher, professor, učitelj, učitelj, profesor, teacher, teacher, professor, 
force, sila, force, 
education, obrazovanje, education, 
foot, noga, foot, 
boy, dječak, boy, 
age, dob, age, 
policy, politika, policy, 
process, postupak, procedure, postupak, 
music, glazba, muzika, music, music, glazba, glazba, music, music, 
market, tržište, market, 
sense, osjećaj, feeling, osjećaj, 
nation, narod, people, narod, 
plan, plan, 
college, koledž, college, 
interest, interes, interest, 
death, smrt, death, 
experience, iskustvo, experience, 
effect, posljedica, repercussions, posljedica, 
use, koristiti, use, 
class, klasa, class, 
control, kontrolirati, control, 
care, briga, care, 
field, polje, field, 
development, razvoj, development, 
role, uloga, the role, uloga, 
effort, napor, effort, 
rate, stopa, rate, 
heart, srce, heart, 
drug, droga, drug, 
show, pokazati, show, 
leader, vođa, leader, 
light, svjetlo, light, 
voice, glas, vote, glasanje, voting, glasanje, 
wife, žena, woman, žena, 
police, policija, police, 
mind, um, mind, 
price, cijena, price, 
report, izvješće, report, 
decision, odluka, decision, 
son, sin, son, 
view, pogled, view, 
relationship, odnos, relationship, 
town, grad, city, grad, 
road, cesta, the road, cestom, road, 
arm, ruka, hand, ruka, 
difference, razlika, difference, 
value, vrijednost, value, 
building, zgrada, building, 
action, akcijski, action, 
model, model, 
season, sezona, season, 
society, društvo, society, 
tax, porez, tax, 
director, direktor, director, 
position, položaj, position, 
player, igrač, player, 
record, snimiti, record, 
paper, papir, paper, 
space, prostor, room, soba, room, 
ground, tlo, ground, 
form, oblik, form, 
event, događaj, an event, događaj, 
official, službeno, officially, službeno, 
matter, stvar, thing, stvar, 
center, centar, center, 
couple, par, couple, 
site, mjesto, place, mjesto, 
project, projekt, project, 
activity, aktivnost, activity, 
star, zvijezda, star, 
table, stol, table, 
need, potreba, need, 
court, sud, court, 
american, američki, american, 
oil, ulje, oil, 
situation, situacija, the situation, situacija, 
cost, cijena, price, cijena, 
industry, industrija, industry, 
figure, lik, character, lik, 
street, ulica, street, 
image, slika, picture, slika, 
phone, telefon, phone, 
data, podaci, data, 
picture, slika, picture, 
practice, praksa, praxis, praksa, 
piece, komad, piece, 
land, zemljište, land, 
product, proizvod, product, 
doctor, liječnik, doctor, 
wall, zid, wall, 
patient, pacijent, patient, 
worker, radnik, worker, 
news, vijesti, news, 
test, test, 
movie, film, movie, 
north, sjeverno, north, 
love, ljubav, love, 
support, podrška, support, 
technology, tehnologija, technology, 
step, korak, step, 
baby, dijete, child, dijete, 
computer, računalo, computer, 
type, tip, type, 
attention, pažnja, attention, 
film, film, 
republican, republikanac, republican, 
tree, drvo, wood, drvo, 
source, izvor, source, 
organization, organizacija, organization, 
hair, dlaka, hair, 
look, izgled, look, 
century, stoljeće, century, 
evidence, dokaz, evidence, 
window, prozor, window, 
culture, kultura, culture, 
chance, prilika, opportunity, prilika, 
brother, brat, brother, 
energy, energija, energy, 
period, razdoblje, period, 
course, tečaj, a course, tečaj, 
summer, ljeto, summer, 
plant, biljka, plant, 
opportunity, prilika, opportunity, 
term, termin, appointment, ugovoreni sastanak, appointment, 
letter, pismo, letter, 
condition, stanje, state, država, state, 
choice, izbor, choice, 
rule, pravilo, rule, 
daughter, kći, daughter, 
