time, vaxt, time, 
year, ildir, years, illərdir, for many years, uzun illərdir, for many years, 
people, xalq, nation, millət, nation, 
way, yol, way, 
day, gün, day, 
man, insan, human, insan, 
thing, şey, thing, 
woman, qadın, female, qadın, 
life, həyat, life, 
child, uşaq, child, 
world, dünya, the world, dünya, 
school, məktəb, school, 
state, dövlət, state, 
family, ailə, family, 
student, tələbə, student, 
group, qrupu, group, 
country, ölkə, country, 
problem, problem, 
hand, əl, hand, 
part, hissəsidir, part of it, bir hissəsi, a part of it, bir hissəsi, 
place, yer, place, 
case, vəziyyət, situation, vəziyyət, 
week, həftə, week, 
company, şirkətdir, company, 
system, sistemi, system, 
program, proqramı, program, 
question, sual, question, 
work, iş, business, biznes, business, 
government, hökumət, government, 
number, sayı, number, 
night, gecə, night, 
mr, cənab, mr., cənab., mr., 
point, nöqtə, point, 
home, ev, home, 
water, su, water, 
room, otaq, room, 
mother, ana, mother, 
area, sahəsi, area, 
money, pul, money, 
story, hekayə, story, 
fact, əslində, in fact, faktiki olaraq, actually, in fact, əslində əslində, actually in fact, əslində əslində, 
month, ay, month, 
lot, çoxdur, much more, daha çox, more, daha çox, 
right, sağ olun, thank you, çox sağ ol, thank you very much, çox sağ olun, thank you very much, 
study, öyrənmək, to learn, öyrənmək, 
book, kitab, book, 
eye, göz, eye, 
job, iş, business, biznes, business, 
word, söz, word, 
business, biznes, business, 
issue, problem, the problem, problem, 
side, tərəfi, side, 
kind, cür, kind of, kimi, whom, kimdir, who is, kimdir, 
head, baş, head, 
house, ev, home, ev, 
service, xidməti, service, 
friend, dostum, my friend, mənim dostum, my friend, 
father, ata, father, 
power, güc, power, 
hour, saat, hours, saat, 
game, oyun, game, 
line, line, 
end, son, last, sonuncu, the last, sonuncu, 
member, üzv, member, 
law, hüquq, law, 
car, avtomobil, car, 
city, şəhər, city, 
community, icma, community, 
name, adı, name, 
president, prezident, president, 
team, komanda, team, 
minute, dəqiqə, minute, 
idea, fikir, idea, 
kid, uşaq, child, uşaq, 
body, bədən, body, 
information, məlumatlar, informations, məlumatlar, 
back, geri, back, 
parent, valideyn, parent, 
face, üz, face, 
others, digərləri, others, 
level, səviyyə, level, 
office, ofis, office, 
door, qapı, the door, qapı, 
health, sağlamlıq, health, 
person, şəxs, person, 
art, incəsənət, art, 
war, müharibə, war, 
history, tarixi, history, 
party, partiya, party, 
result, nəticə, result, 
change, dəyişiklik, change, 
morning, səhər, in the morning, səhər, 
reason, səbəb, reason, 
research, araşdırma, research, 
girl, qız, girl, 
guy, oğlan, boy, oğlan, 
food, qida, food, 
moment, an, moment, 
air, hava, air, 
teacher, müəllim, teacher, 
force, qüvvət, force, 
education, təhsil, education, 
foot, ayaq, foot, 
boy, oğlan, boy, 
age, yaşı, age, 
policy, siyasət, politics, siyasət, 
process, prosesi, process, 
music, musiqi, music, 
market, bazar, market, 
sense, mənada, in sense, mənada, 
nation, millət, nation, 
plan, plan, 
college, kollec, college, 
interest, maraq, curiosity, merak, wonder, möcüzə, wonder, 
death, ölüm, death, 
experience, təcrübə, experience, 
effect, təsiri, effect, 
use, istifadə edin, use it, istifadə edin, 
class, sinif, class, 
control, nəzarət, control, 
care, qayğı, care, 
field, sahə, area, sahəsi, area, 
development, inkişafı, development, 
role, rolu, role, 
effort, səy, effort, 
rate, dərəcəsi, it `s degree, bu dərəcəsi, this rate, bu nisbət, this ratio, bu nisbət, 
heart, ürək, heart, 
drug, dərman, medication, dərmanlar, medicines, dərmanlar, 
show, şou, show, 
leader, lideri, leader, 
light, işıq, light, 
voice, səs, sound, səs, 
wife, arvad, wife, 
police, polis, the police, polis, 
mind, ağıl, mind, 
price, qiyməti, price, 
report, hesabat, report, 
decision, qərar, decision, 
son, oğlum, my son, mənim oğlum, my son, 
view, görünüşü, appearance, görünüşü, 
relationship, əlaqələr, relationships, əlaqələr, 
town, şəhər, city, şəhər, 
road, yol, the road, yol, 
arm, qolu, arm, 
difference, fərq, difference, 
value, dəyər, value, 
building, bina, building, 
action, hərəkət, movement, hərəkat, movement, 
model, model, 
season, mövsüm, season, 
society, cəmiyyət, society, 
tax, vergi, tax, 
director, rejissor, director, 
position, mövqeyi, position, 
player, oyunçu, player, 
record, qeyd, note, qeyd, 
paper, kağız, paper, 
space, yer, place, yer, 
ground, yer, place, yer, 
form, forma, form, 
event, hadisə, event, 
official, rəsmi, officially, rəsmi olaraq, officially, 
matter, məsələdir, is the matter, məsələdir, 
center, mərkəz, center, 
couple, cüt, double, ikiqat, double, 
site, sayt, website, veb səhifə, website, 
project, layihəsi, project, 
activity, fəaliyyəti, activity, 
star, ulduz, star, 
table, masa, table, 
need, ehtiyacı var, he needs, onun ehtiyacı var, he needs it, ona lazımdır, he needs it, 
court, məhkəmə, court, 
american, amerikalı, american, 
oil, yağ, oil, 
situation, vəziyyət, situation, 
