time, 時間, time, 
year, 年, year, 
people, 人, people, 
way, 辦法, method, 方法, method, 
day, 天, day, 
man, 人, people, 人, 
thing, 事情, thing, 
woman, 女人, woman, 
life, 生活, life, 
child, 兒童, child, 
world, 世界, world, 
school, 學校, school, 
state, 州, state, 
family, 家庭, family, 
student, 學生, student, 
group, 組, group, 
country, 國家, country, 
problem, 問題, problem, 
hand, 手, hand, 
part, 部分, section, 部分, 
place, 地點, location, 位置, position, 位置, 
case, 案件, case, 
week, 週, week, 
company, 公司, the company, 公司, 
system, 系統, system, 
program, 程序, program, 
question, 題, question, 
work, 工作, jobs, 工作, 
government, 政府, government, 
number, 數, number, 
night, 晚, late, 晚了, late, 
mr, 先生, mr, 
point, 點, point, 
home, 家, family, 家庭, family, 
water, 水, water, 
room, 房間, room, 
mother, 母親, mother, 
area, 區, area, 
money, 錢, money, 
story, 故事, story, 
fact, 事實, fact, 
month, 月, month, 
lot, 批量, batch, 批量, 
right, 對, correct, 正確, correct, 
study, 研究, the study, 研究, 
book, 書, book, 
eye, 眼, eye, 
job, 工作, jobs, 工作, 
word, 字, word, 
business, 商業, business, 
issue, 問題, problem, 問題, 
side, 側, side, 
kind, 類, class, 類, 
head, 頭, head, 
house, 屋, house, 
service, 服務, service, 
friend, 朋友, friend, 
father, 父親, father, 
power, 功率, power, 
hour, 小時, hour, 
game, 遊戲, game, 
line, 線, line, 
end, 結束, end, 
member, 會員, member, 
law, 法, law, 
car, 汽車, car, 
city, 市, city, 
community, 社區, community, 
name, 名稱, name, 
president, 主席, chairman, 主席, 
team, 球隊, team, 
minute, 分鐘, minute, 
idea, 理念, idea, 
kid, 孩子, child, 兒童, child, 
body, 身體, body, 
information, 信息, information, 
back, 背部, back, 
parent, 親, dear, 親, 
face, 面對, face, 
others, 其他, other, 其他, 
level, 水平, level, 
office, 辦公室, office, 
door, 門, door, 
health, 健康, health, 
person, 人, people, 人, 
art, 藝術, art, 
war, 戰爭, war, 
history, 歷史, history, 
party, 派對, party, 
result, 結果, result, 
change, 更改, change, 
morning, 早上, morning, 
reason, 原因, the reason, 原因, 
research, 研究, the study, 研究, 
girl, 女孩, girl, 
guy, 傢伙, guy, 
food, 餐飲, food, 
moment, 時刻, time, 時間, time, 
air, 空氣, air, 
teacher, 老師, teacher, 
force, 力, force, 
education, 教育, education, 
foot, 腳丫子, feet, 腳, foot, 
boy, 男孩, boy, 
age, 年齡, age, 
policy, 政策, policy, 
process, 處理, deal with, 處理, 
music, 音樂, music, 
market, 市場, market, 
sense, 感, sense, 
nation, 國家, country, 國家, 
plan, 計劃, plan, 
college, 學院, college, 
interest, 利益, interest, 
death, 死亡, death, 
experience, 經驗, experience, 
effect, 影響, influences, 影響, 
use, 使用, use, 
class, 類, class, 
control, 控制, control, 
care, 關心, concern, 關心, 
field, 領域, field, 
development, 發展, development of, 的發展, development of, 
role, 角色, character, 字符, character, 
effort, 功夫, effort, 
rate, 率, rate, 
heart, 心, heart, 
drug, 藥物, drug, 
show, 顯示, display, 顯示, 
leader, 領導, leadership, 領導, 
light, 光, light, 
voice, 語音, voice, 
wife, 妻子, wife, 
police, 警察, policemen, 警察, 
mind, 心神, mind, 
price, 價錢, price, 
report, 報告, report, 
decision, 決定, decide, 決定, 
son, 兒子, son, 
view, 視圖, view, 
relationship, 關係, relationship, 
town, 鎮, town, 
road, 路, road, 
arm, 臂, arm, 
difference, 區別, the difference, 區別, 
value, 值, value, 
building, 建造, put up, 放上, put on, 穿上, put on, 
action, 行動, action, 
model, 模型, model, 
season, 季節, season, 
society, 社會, society, 
tax, 稅, tax, 
director, 導向器, director, 
position, 位置, position, 
player, 播放機, player, 
record, 記錄, recording, 記錄, 
paper, 紙, paper, 
space, 空間, space, 
ground, 地面, ground, 
form, 形成, form, 
event, 事件, event, 
official, 官方, official, 
matter, 物, object, 目的, purpose, 目的, 
center, 中央, central, 中央, 
couple, 一對, a pair, 一雙, a pair, 
site, 現場, on site, 現場, 
project, 項目, project, 
activity, 活動, activity, 
star, 星, star, 
table, 表, table, 
need, 需要, need, 
court, 法庭, court, 
american, 美國, united states, 美國, 
oil, 油, oil, 
situation, 情況, happening, 事件, event, 事件, 
cost, 成本, cost, 
industry, 行業, industry, 
figure, 數字, digital, 數字, 
street, 街, street, 
image, 圖片, image, 
phone, 電話, phone, 
data, 數據, data, 
picture, 圖片, image, 圖片, 
practice, 實踐, practice, 
piece, 片, sheet, 片, 
land, 土地, land, 
product, 產品, product, 
doctor, 醫生, doctors, 醫生, 
wall, 壁, wall, 
patient, 患者, patient, 
worker, 工人, worker, 
news, 新聞, news, 
test, 測試, test, 
movie, 電影, the film, 這個電影, this movie, 這部電影, this movie, 
north, 北, north, 
love, 愛, love, 
support, 支持, stand by, 支持, 
technology, 技術, technology, 
step, 步, step, 
baby, 寶寶, baby, 
computer, 電腦, computer, 
type, 類型, types of, 種類, species, 種類, 
attention, 注意, note, 注意, 
film, 電影, the film, 這個電影, this movie, 這部電影, this movie, 
republican, 共和黨人, republican, 
tree, 樹, tree, 
source, 資源, resource, 資源, 
organization, 組織, organization, 
hair, 頭髮, hair, 
look, 看, look, 
century, 世紀, century, 
evidence, 證據, evidence, 
window, 窗口, window, 
culture, 文化, culture, 
chance, 機會, opportunity, 機會, 
brother, 哥哥, brother, 
energy, 能源, energy, 
period, 期, period, 
course, 課程, course, 
summer, 夏季, summer, 
plant, 廠, plant, 
opportunity, 機會, opportunity, 
term, 術語, the term, 期限, the term, 
letter, 信, letter, 
condition, 條件, condition, 
choice, 選擇, select, 選擇, 
rule, 規則, rule, 
daughter, 女兒, daughter, 
administration, 行政, administrative, 行政的, administration, 
south, 南, south, 
husband, 丈夫, husband, 
congress, 國會, congress, 
floor, 地板, floor, 
campaign, 運動, movement, 運動, 
material, 材料, material, 
population, 人口, population, 
call, 呼叫, call, 
economy, 經濟, economic, 經濟, 
hospital, 醫院, hospital, 
church, 教會, church, 
risk, 風險, risk, 
fire, 火, fire, 
future, 未來, future, 
defense, 防禦, defense, 
security, 安全, safety, 安全, 
bank, 銀行, bank, 
west, 西, oo, oo, 
sport, 運動, movement, 運動, 
board, 板, board, 
subject, 學科, subject, 
officer, 官, official, 官方, official, 
rest, 休息, rest, 
behavior, 行為, behavior, 
performance, 性能, performance, 
top, 最佳, optimal, 最佳, 
goal, 目標, aims, 目標, 
second, 第二, second, 
bed, 床, bed, 
order, 訂購, order, 
author, 作者, author, 
blood, 血液, blood, 
agency, 機構, mechanism, 機制, mechanism, 
nature, 性質, nature, 
color, 顏色, colour, 顏色, 
store, 商店, store, 
sound, 聲音, sound, 
movement, 運動, movement, 
page, 頁, page, 
race, 種族, race, 
concern, 關心, concern, 
series, 系列, series, 
language, 語言, language, 
response, 響應, response, 
animal, 動物, animal, 
factor, 因子, factor, 
decade, 十, ten, 十, 
article, 文章, article, 
east, 東, east, 
artist, 藝術家, artist, 
scene, 現場, on site, 現場, 
stock, 股票, stock, 
career, 事業, cause, 原因, the reason, 原因, 
treatment, 治療, treatment, 
approach, 途徑, way, 辦法, method, 方法, method, 
size, 尺寸, size, 
dog, 狗, dog, 
fund, 基金, fund, 
