time, fotoana, time, 
year, taona, year, 
people, olona, people, 
way, fomba, way, 
day, andro, day, 
man, olona, people, olona, 
thing, zavatra, something, zavatra, 
woman, vehivavy, woman, 
life, fiainana, life, 
child, zaza, child, 
world, izao tontolo izao, the world, izao tontolo izao, 
school, am-pianarana, at school, any an-tsekoly, at school, 
state, fanjakana, state, 
family, family, 
student, mpianatra, student, 
group, vondrona, group, 
country, firenena, country, 
problem, olana, problem, 
hand, tanana, hand, 
part, anjara, part, 
place, toerana, place, 
case, tranga, incident, zava-nitranga, experience, traikefa, experience, 
week, herinandro, week, 
company, orinasa, company, 
system, rafitra, system, 
program, fandaharana, program, 
question, fanontaniana, question, 
work, asa, work, 
government, fitondram-panjakana, government, 
number, isa, numbers, isa, 
night, alina, night, 
mr, mr, 
point, teboka, point, 
home, an-trano, home, 
water, rano, water, 
room, efitra, room, 
mother, reny, mothers, reny, 
area, faritra, area, 
money, vola, money, 
story, tantara, history, tantara, 
fact, zava-misy, facts, zava-misy, 
month, volana, month, 
lot, betsaka, much, be, be, 
right, marina, true, marina, 
study, fianarana, education, fampianarana, teaching, fampianarana, 
book, boky, book, 
eye, maso, eye, 
job, asa, work, asa, 
word, teny, words, teny, 
business, raharaham-barotra, business, 
issue, olana, problem, olana, 
side, lafiny, side, 
kind, tsara fanahy, kind, 
head, lohany, head, 
house, trano, home, an-trano, home, 
service, fanompoana, service, 
friend, namana, friend, 
father, ray, ray, 
power, fahefana, authority, fahefana, 
hour, ora, hour, 
game, lalao, games, lalao, 
line, tsipika, line, 
end, tapitra, ended, tapitra, 
member, member, 
law, lalàna, law, 
car, fiara, car, 
city, tanàna, city, 
community, fiaraha-monina, community, 
name, anarana, name, 
president, filoha, president, 
team, ekipa, team, 
minute, minitra, minute, 
idea, hevitra, ideas, hevitra, 
kid, zanak'osy, kidosy, kidosy, 
body, vatana, body, 
information, vaovao, new, vaovao, 
back, indray, again, indray, 
parent, ray aman-dreny, parents, ray aman-dreny, 
face, face, 
others, ny hafa, others, 
level, ambaratonga, level, 
office, birao, office, 
door, varavarana, door, 
health, fahasalamana, health, 
person, olona, people, olona, 
art, kanto, beautiful, tsara tarehy, beautiful, 
war, ady, war, 
history, tantara, story, tantara, 
party, fety, party, 
result, vokatra, products, entana, products, 
change, fiovana, change, 
morning, maraina, morning, 
reason, antony, reason, 
research, fikarohana, research, 
girl, ankizivavy, girls, ankizivavy, 
guy, lehilahy, men, olona, people, olona, 
food, sakafo, food, 
moment, fotoana, time, fotoana, 
air, rivotra, wind, rivotra, 
teacher, mpampianatra, teacher, 
force, force, 
education, fampianarana, teaching, fampianarana, 
foot, tongotra, feet, feet, 
boy, zazalahy, boy, 
age, taona, year, taona, 
policy, politika, politics, politika, 
process, dingana, step, dingana, 
music, mozika, music, 
market, tsena, market, 
sense, hevitra, ideas, hevitra, 
nation, firenena, country, firenena, 
plan, drafitra, plan, 
college, oniversite, university, anjerimanontolo, university, 
interest, mahaliana, interesting, mahaliana, 
death, fahafatesana, death, 
experience, traikefa, experience, 
effect, vokatry, fruits, voankazo, fruit, voankazo, 
use, fampiasana, use, 
class, kilasy, class, 
control, fanaraha-maso, monitoring, fanaraha-maso, 
care, care, 
field, saha, field, 
development, fampandrosoana, development, 
role, anjara asa, role, 
effort, ezaka, effort, 
rate, taha, taha, 
heart, am-po, heart, 
drug, zava-mahadomelina, drugs, zava-mahadomelina, 
show, fampisehoana, show, 
leader, mpitarika, leader, 
light, fahazavana, light, 
voice, feo, voice, 
wife, vady, husband, lehilahy, men, olona, people, olona, 
police, polisy, police, 
mind, -tsaina, call, antso, call, 
price, vidiny, price, 
report, tatitra, reports, tatitra, 
decision, fanapahan-kevitra, decision, 
son, zanak'i, son, 
view, view, 
relationship, fifandraisana, communication, fifandraisana, 
town, tanàna, city, tanàna, 
road, lalana, lalana, 
arm, sandry, sandry, 
difference, fahasamihafana, diversity, fahasamihafana, 
value, zava-dehibe, important, zava-dehibe, 
building, trano, home, an-trano, home, 
action, hetsika, action, 
model, modely, model, 
season, vanim-potoana, season, 
society, fiaraha-monina, community, fiaraha-monina, 
tax, hetra, tax, 
director, tale, story, tantara, history, tantara, 
position, toerana, place, toerana, 
player, mpilalao, players, mpilalao, 
record, firaketana an-tsoratra, writing records, manoratra firaketana, writing records, 
paper, taratasy, letter, taratasy, 
space, toerana, place, toerana, 
ground, tany, earth, eto an-tany, here on earth, eto an-tany, 
form, teny, words, teny, 
event, hetsika, action, hetsika, 
official, ofisialy, official, 
matter, resaka, conversation, resaka, 
center, foibe, center, 
couple, mpivady, husband and wife, mpivady, 
site, toerana, place, toerana, 
project, tetikasa, projects, tetikasa, 
activity, asa, work, asa, 
star, kintana, stars, kintana, 
table, table, 
need, mila, i'd like, mila, 
court, fitsarana, judgment, fitsarana, 
american, malagasy, malagasy, 
oil, menaka, oil, 
situation, zava-misy, facts, zava-misy, 
cost, vidin'ny, price, vidiny, price, 
industry, orinasa, company, orinasa, 
figure, endrika, face, face, 
street, eny an-dalana, on the road, eny an-dàlana, on the street, eny an-dalana, 
image, sary, picture, picture, 
phone, telefaonina, phone, 
data, tahirin-kevitra, documents, antontan-taratasy, documents, 
picture, picture, 
practice, fampiharana, application, fampiharana, 
piece, tapa, tapa, 
land, tany, earth, eto an-tany, here on earth, eto an-tany, 
product, vokatra, products, entana, products, 
doctor, dokotera, doctor, 
wall, rindrina, wall, 
patient, marary, sick, marary, 
worker, mpiasa, workers, mpiasa, 
news, vaovao, new, vaovao, 
test, fitsapana, tests, fitsapana, 
movie, sarimihetsika, movie, 
north, avaratra, north, 
love, fitiavana, love, 
support, fanohanana, support, 
technology, teknolojia, technology, 
step, dingana, step, 
baby, zazakely, baby, 
computer, solosaina, computers, solosaina, 
type, karazana, type, 
attention, tsara, good, tsara, 
film, horonan-tsary, video, video, 
republican, repoblikana, republican, 
tree, hazo, trees, hazo, 
source, loharano, source, 
organization, fikambanana, association, fikambanana, 
hair, volo, hair, 
look, mijery, look, 
century, taonjato, century, 
evidence, porofo, proof, porofo, 
window, varavarankely, window, 
culture, kolontsaina, culture, 
chance, vintana, chance, 
brother, rahalahy, brother, 
energy, angovo, energy, 
period, fe-potoana, deadline, fe-potoana, 
course, mazava ho azy fa, of course, mazava ho azy, of course, 
summer, fahavaratra, summer, 
plant, fototra, foundation, fototra, 
opportunity, fahafahana, freedom, fahafahana, 
term, teny, words, teny, 
letter, taratasy, letter, 
condition, toe-javatra, situations, toe-javatra, 
choice, safidy, choice, 
rule, fitsipika, rules, fitsipika, 
daughter, vavy, wife, vady, husband, lehilahy, men, olona, people, olona, 
administration, fitantanan-draharaha, administration, 
south, atsimo, south, 
husband, lehilahy, men, olona, people, olona, 
congress, kongresy, congress, 
floor, tany, earth, eto an-tany, here on earth, eto an-tany, 
campaign, hetsika, action, hetsika, 
material, ara-nofo, physically, ara-batana, physically, 
population, mponina, population, 
call, antso, call, 
economy, toe-karena, economy, 
hospital, hopitaly, hospital, 
church, fiangonana, church, 
risk, mety, right, marina, true, marina, 
fire, afo, fire, 
future, ho avy, future, 
defense, fiarovana, protection, fiarovana, 
security, fiarovana, protection, fiarovana, 
bank, banky, bank, 
west, west, 
sport, fanatanjahan-tena, sports, fanatanjahan-tena, 
board, board, 
subject, foto-kevitra, theme, foto-kevitra, 
officer, manamboninahitra, officer, 
rest, fitsaharana, rest, 
behavior, fitondran-tena, behavior, 
performance, fampisehoana, show, fampisehoana, 
top, ambony, above, ambony, 
goal, tanjona, goal, 
second, faharoa, second, 
bed, fandriana, bed, 
order, mba, to, ny, the, ny, 
author, mpanoratra, author, 
blood, ra, blood, 
agency, fahafahana misafidy, agency, 
nature, toetra, character, toetra, 
color, loko, color, 
store, fivarotana, shop, fivarotana, 
sound, feo, voice, feo, 
movement, hetsika, action, hetsika, 
page, pejy, page, 
race, hazakazaka, running, mihazakazaka, run, run, 
concern, olana, problem, olana, 
series, andian-dahatsoratra, series, 
language, fiteny, language, 
response, valiny, results, vokatra, products, entana, products, 
animal, biby, animal, 
factor, antony, reason, antony, 
decade, folo taona, ten years, folo taona, 
article, lahatsoratra, article, 
east, east, 
artist, mpanakanto, artist, 
scene, sehatra, seam, seam, 
stock, tahiry, tahiry, 
career, asany, work, asa, work, 
treatment, fitsaboana, treatment, 
approach, fomba, way, fomba, 
size, habe, have, manana, have, 
dog, alika, dog, 
fund, petra-bola, fund, 
media, haino aman-jery, media, 
sign, famantarana, sign, 
thought, nieritreritra, thought, 
list, lisitra, list, 
individual, olona, people, olona, 
quality, kalitao, quality, 
pressure, tsindry, pressure, 
answer, valiny, results, vokatra, products, entana, products, 
resource, loharano, source, loharano, 
meeting, fihaonana, meeting, 
disease, aretina, disease, 
success, fahombiazana, success, 
cup, kapoaka, cup, 
amount, vola, money, vola, 
ability, fahaizana, skills, fahaiza-manao, skills, 
staff, staff, 
character, toetra, character, 
growth, fitomboana, growth, 
loss, very, very, 
degree, diplaoma, graduation, diplaoma, 
attack, fanafihana, attacks, fanafihana, 
region, faritra, area, faritra, 
television, fahitalavitra, television, 
box, boaty, box, 
tv, tv, 
training, fiofanana, training, 
trade, varotra, sales, varotra, 
deal, fifanarahana, agreement, fifanarahana, 
election, fifidianana, elections, fifidianana, 
feeling, fihetseham-po, feelings, fihetseham-po, 
standard, malagasy, malagasy, 
bill, volavolan-dalàna, draft law, drafitra lalàna, legal plan, drafitra ara-dalàna, legal plan, 
message, hafatra, message, 
analysis, fanadihadiana, survey, fanadihadiana, 
