time, уақыт, time, 
year, жыл, year, 
people, адамдар, people, 
way, жол, the way, жолы, the way, 
day, күн, day, 
man, адам, person, адам, 
thing, нәрсе, something, бір нәрсе, one thing, бір нәрсе, 
woman, әйел, woman, 
life, өмір, life, 
child, бала, child, 
world, әлем, the world, әлем, 
school, мектеп, school, 
state, жағдайы, condition, жағдайы, 
family, отбасы, family, 
student, студент, a student, студент, 
group, тобы, group, 
country, ел, country, 
problem, проблема, problem, 
hand, қолы, signature, қол қою, signature, 
part, бөлігі, part, 
place, орын, place, 
case, іс, business, бизнес, business, 
week, апта, week, 
company, компаниясы, company, 
system, жүйе, the system, жүйе, 
program, бағдарлама, the program, бағдарлама, 
question, сұрақ, question, 
work, жұмыс, work, 
government, үкімет, government, 
number, нөмірі, number, 
night, түн, night, 
mr, мырза, mr, 
point, нүкте, point, 
home, үйі, house, үй, home, 
water, су, water, 
room, бөлме, room, 
mother, анасы, mother, 
area, ауданы, area, 
money, ақша, money, 
story, оқиға, event, оқиға, 
fact, факт, fact, 
month, ай, moon, ай, 
lot, лот, exhibition, көрме, exhibition, 
right, құқық, right, 
study, зерттеу, research, зерттеу, 
book, кітап, book, 
eye, көз, eyes, көздер, eyes, 
job, жұмыс, work, жұмыс, 
word, сөз, the word, сөз, 
business, бизнес, business, 
issue, іс, business, бизнес, business, 
side, жағында, on the right side, оң жағында, on the right, оң жақта, on the right, 
kind, мейірімді, kind, 
head, басы, head, 
house, үй, home, үйі, house, 
service, қызмет көрсету, service, 
friend, дос, friend, 
father, әке, dad, әкем, dad, 
power, қуат, power, 
hour, сағат, hours, сағат, 
game, ойын, game, 
line, түзу, straight, түзу, 
end, соңы, end, 
member, мүше, member, 
law, заң, law, 
car, автокөлік, the car, машина, machine, машина, 
city, қала, city, 
community, қауымдастық, community, 
name, аты, name, 
president, президенті, president, 
team, командасы, team, 
minute, минутына, per minute, минутына, 
idea, идея, idea, 
kid, бала, child, бала, 
body, денесі, body, 
information, ақпарат, information, 
back, артқа, back, 
parent, ата-анасы, parents, ата-аналар, parents, 
face, тұлға, the person, кісі, contact, байланыс, contacts, байланыс, 
others, басқалар, others, 
level, деңгейі, level, 
office, кеңсе, office, 
door, есік, the door, есік, 
health, денсаулық, health, 
person, адам, person, 
art, өнер, art, 
war, соғыс, war, 
history, тарих, history, 
party, партия, party, 
result, нәтижесі, result, 
change, өзгерту, change, 
morning, таң, morning, 
reason, себебі, because, себебі, 
research, зерттеу, research, 
girl, қыз, girl, 
guy, жігіт, guy, 
food, тағам, the food, тағам, 
moment, сәтте, instantly, бірден, right away, лезде, instant, лезде, 
air, ауа, air, 
teacher, мұғалім, the teacher, мұғалім, 
force, күш, power, қуат, power, 
education, білім беру, education, 
foot, аяқ, feet, аяғы, leg, аяғы, 
boy, бала, child, бала, 
age, жасы, age, 
policy, саясат, policy, 
process, процесс, process, 
music, музыка, music, 
market, нарығы, market, 
sense, сезім, feeling, сезім, 
nation, ұлт, nation, 
plan, жоспар, plan, 
college, колледж, college, 
interest, қызығушылық, interest, 
death, өлім, death, 
experience, тәжірибе, experience, 
effect, әсер, impression, әсер, 
use, пайдалану, use, 
class, сынып, class, 
control, бақылау, control, 
care, күтім, care, 
field, өріс, field, 
development, даму, development, 
role, рөлі, role, 
effort, күш, power, қуат, power, 
rate, ставкасы, bid, өтінім, application, қолдану, application, 
heart, жүрек, heart, 
drug, есірткі, drugs, есірткілер, drugs, 
show, шоу, show, 
leader, көшбасшы, leader, 
light, жарық, light, 
voice, дауыс, voice, 
wife, әйелі, his wife, оның әйелі, his wife, 
police, полиция, the police, полиция, 
mind, ақыл, intelligence, ақыл, 
price, баға, price, 
report, есеп, report, 
decision, шешім, solution, шешім, 
son, ұлы, great, тамаша, excellent, тамаша, 
view, көрініс, the picture, сурет, picture, сурет, 
relationship, қатынастар, relationships, қатынастар, 
town, қала, city, қала, 
road, жол, the way, жолы, the way, 
arm, қол, access, қол жеткізу, access, 
difference, айырмашылық, difference, 
value, мәні, value, 
building, ғимарат, building, 
action, әрекет, action, 
model, модель, model, 
season, маусым, june, маусым, 
society, қоғам, society, 
tax, салық, tax, 
director, режиссер, director, 
position, жағдайы, condition, жағдайы, 
player, ойыншы, player, 
record, жазба, recording, жазу, write, жазыңыз, write down, жаз, summer, жаз, 
paper, қағаз, paper, 
space, ғарыш, space, 
ground, жер, earth, жер, 
form, нысаны, shape, нысаны, 
event, оқиға, event, 
official, ресми тұлға, official, 
matter, заттар, substances, заттар, 
center, орталығы, center, 
couple, жұп, pair, жұп, 
site, сайт, the site, сайт, 
project, жоба, project, 
activity, белсенділік, activity, 
star, жұлдыз, stars, жұлдыздар, stars, 
table, кесте, table, 
need, қажеттілік, need, 
court, сот, court, 
american, американдық, american, 
oil, май, oil, 
situation, жағдай, situation, 
cost, құны, cost, 
industry, өнеркәсіп, industry, 
figure, сурет, picture, сурет, 
street, көше, street, 
image, сурет, picture, сурет, 
phone, телефон, phone, 
data, деректер, data, 
picture, сурет, picture, 
practice, тәжірибе, experience, тәжірибе, 
piece, бөлік, part, бөлігі, part, 
land, жер, earth, жер, 
product, өнім, product, 
doctor, дәрігер, doctor, 
wall, қабырға, wall, 
patient, науқас, patient, 
worker, жұмысшы, worker, 
news, жаңалықтар, news, 
test, сынақ, test, 
movie, фильм, the film, фильм, 
north, солтүстікке қарай, to the north, солтүстікке қарай, 
love, сүйіспеншілік, love, 
support, қолдау, support, 
technology, технология, technology, 
step, қадам, step, 
baby, нәресте, baby, 
computer, компьютер, computer, 
type, түрі, type, 
attention, назар, attention, 
film, фильм, the film, фильм, 
republican, республикалық, republican, 
tree, ағаш, wood, ағаш, 
source, көзі, source, 
organization, ұйым, organization, 
hair, шаш, hair, 
look, қараңыз, see also, ақ қараңыз, see also, 
century, ғасыр, century, 
evidence, дәлелдемелер, evidence, 
window, терезе, window, 
culture, мәдениет, culture, 
chance, мүмкіндік, opportunity, мүмкіндік, 
brother, ағасы, brother, 
energy, энергия, energy, 
period, кезеңі, period, 
course, курс, course, 
summer, жаз, summer, 
plant, өсімдік, plant, 
opportunity, мүмкіндік, opportunity, 
term, мерзімі, the term of, мерзімі, 
letter, хат, letter, 
condition, жағдайы, condition, 
choice, таңдау, choice, 
rule, ереже, rule, 
daughter, қызы, daughter, 
administration, әкімшілік, administration, 
south, оңтүстікке қарай, to the south, оңтүстікке қарай, 
husband, күйеуі, husband, 
congress, конгресс, congress, 
floor, қабат, floor, 
campaign, науқан, campaign, 
material, материал, material, 
population, халық, people, адамдар, people, 
call, қоңырау шалу, call, 
economy, экономика, economy, 
hospital, аурухана, hospital, 
church, шіркеу, church, 
risk, тәуекел, risk, 
fire, өрт, fire, 
future, келешек, future, 
defense, қорғаныс, defense, 
security, қауіпсіздік, security, 
bank, банк, bank, 
west, батысқа қарай, to the west, батысқа қарай, 
sport, спорт, sports, спорт, 
board, тақтайша, tile, тақтайшасы, tile, 
subject, пән, subject, 
officer, офицер, officer, 
rest, демалыс, vacation, демалыс, 
behavior, мінез-құлық, behavior, 
performance, өнімділік, productivity, өнімділігі, productivity, 
top, жоғарғы жағы, top, 
goal, мақсат, goal, 
second, екіншіден, secondly, екіншіден, 
bed, төсек, beds, кереуеттер, beds, 
order, тапсырыс, order, 
author, автор, author, 
blood, қан, blood, 
agency, агенттік, agency, 
nature, табиғат, nature, 
color, түсі, color, 
store, дүкен, shop, дүкен, 
sound, дыбыс, sound, 
movement, қозғалысы, movement, 
page, бет, page, 
race, жарыс, competition, бәсекелестік, competition, 
concern, алаңдаушылық білдіреді, expresses concern, алаңдаушылық білдіреді, 
series, сериясы, series, 
language, тілі, language, 
response, жауап, answer, жауап, 
animal, жануар, animal, 
factor, фактор, factor, 
decade, он жылдық, ten years, он жыл, ten years, 
article, мақала, article, 
east, шығыс, east, 
artist, әртіс, actress, актриса, actress, 
scene, сахна, scene, 
stock, қор, stock, 
career, мансап, career, 
treatment, емдеу, treatment, 
approach, тәсіл, approach, 
size, өлшемі, size, 
dog, иттер, dogs, иттер, 
fund, қор, stock, қор, 
media, бұқаралық ақпарат құралдары, mass media, бұқаралық ақпарат құралдары, 
sign, белгісі, the sign, белгісі, 
thought, ой, thought, 
list, тізім, list, 
individual, жеке тұлға, an individual, жеке тұлға, 
quality, сапасы, quality, 
pressure, қысым, pressure, 
answer, жауап, answer, 
resource, ресурс, resource, 
meeting, кездесу, meeting, 
disease, ауру, illness, ауру, 
success, жетістік, success, 
cup, шыныаяқ, cup, 
amount, сомасы, amount of money, ақша сомасы, amount of money, 
ability, қабілеті, ability, 
staff, қызметкерлер, employees, қызметкерлері, employees, 
character, таңба, character, 
growth, өсу, increase, арттыру, increase, 
loss, жоғалту, loss, 
degree, дәрежесі, degree, 
attack, шабуыл, attack, 
region, аймақ, region, 
television, теледидар, television, 
box, қорапта, in a box, қорапта, 
tv, теледидар, television, теледидар, 
training, оқыту, training, 
trade, сауда, trade, 
deal, мәміле, dealings, мәміле, 
election, сайлау, election, 
feeling, сезім, feeling, 
standard, стандартты, standard, 
bill, заң, law, заң, 
message, хабар, message, 
analysis, талдау, analysis, 
benefit, пайдасы, profit, пайда, profit, 
sex, секс, sex, 
lawyer, заңгер, lawyer, 
section, бөлім, section, 
glass, шыны, the truth, шыны, 
skill, шеберлік, skill, 
sister, апа, sister, 
professor, профессор, professor, 
operation, жұмыс, work, жұмыс, 
crime, қылмыс, crime, 
stage, сатысы, stage, 
authority, билік, power, қуат, power, 
design, дизайн, design, 
sort, сұрыптау, sorting, сұрыптау, 
one, бір, one, 
knowledge, білім, education, білім беру, education, 
gun, мылтық, rifle, мылтық, 
station, станция, station, 
strategy, стратегиясы, strategy, 
truth, шындық, truth, 
song, өлең, song, 
example, мысал, an example, мысалы, for example, мысалға, for example, 
environment, қоршаған орта, environment, 
leg, аяғы, leg, 
public, қоғамдық, public, 
executive, атқарушы, executive, 
set, орнатыңыз, install, орнату, installation, орнату, 
rock, рок, rock, 
note, ескерту, warning, ескерту, 
manager, менеджер, manager, 
help, көмектесіңдер, help, 
network, желі, network, 
science, ғылым, science, 
memory, жады, memory, 
card, карта, card, 
seat, орындық, chair, орындық, 
cell, ұяшық, cell, 
trial, сот талқылауы, judicial proceedings, сот ісін жүргізу, judicial proceedings, 
expert, сарапшы, expert, 
spring, көктем, spring, 
firm, фирма, firm, 
democrat, демократ, democrat, 
radio, радио, radio, 
management, басқару, management, 
ball, доп, the ball, доп, 
talk, әңгіме, conversation, әңгіме, 
theory, теориясы, theory, 
impact, әсер ету, influence, әсер ету, 
statement, өтініш, application, қолдану, application, 
charge, зарядтау, charging, зарядтау, 
direction, бағыт, direction, 
weapon, қару, weapons, қару, 
employee, қызметкер, employee, 
peace, бейбітшілік, peace, 
base, негіз, basis, негізі, basis, 
pain, ауырсыну, pains, ауырсыну, 
play, ойнау, play, 
measure, шара, measure, 
interview, сұхбат, interview, 
chair, орындық, chair, 
fish, балық, fish, 
camera, камера, camera, 
structure, құрылым, structure, 
politics, саясат, policy, саясат, 
bit, бит, bit, 
weight, салмағы, weight, 
candidate, кандидат, candidate, 
production, өндіріс, production, 
trip, сапар, trip, 
evening, кешке, in the evening, кешкілікте, in the evening, 
conference, конференция, conference, 
unit, бірлік, units, бірлік, 
style, стиль, style, 
adult, ересек адам, an adult, ересек адам, 
range, ауқымы, range, 
past, өткен, past, 
edge, шеті, edge, 
writer, жазушы, writer, 
trouble, проблема, problem, проблема, 
challenge, шақыру, call, қоңырау шалу, call, 
fear, қорқыныш, fear, 
shoulder, иық, shoulder, 
institution, мекеме, institution, 
sea, теңіз, sea, 
dream, арман, arman, арман, 
bar, бар, available, қол жетімді, available, 
property, мүлік, property, 
stuff, заттар, substances, заттар, 
detail, бөлшектер, particles, бөлшектер, 
method, әдісі, method, 
magazine, журналы, magazine, 
hotel, қонақ үй, inn, қонақ үй, 
soldier, жауынгер, warrior, жауынгер, 
