time, tempo, time, 
year, ano, anus, ano, 
people, persoas, people, 
way, camiño, way, 
day, día, day, 
man, home, man, 
thing, cousa, thing, 
woman, muller, woman, 
life, vida, life, 
child, neno, boy, neno, 
world, mundo, world, 
school, escola, school, 
state, estado, state, 
family, familia, family, 
student, estudante, student, 
group, grupo, group, 
country, país, country, 
problem, problema, problem, 
hand, man, man, 
part, parte, part, 
place, lugar, place, 
case, caso, case, 
week, semana, week, 
company, empresa, company, 
system, sistema, system, 
program, programa, program, 
question, pregunta, question, 
work, traballo, work, 
government, goberno, government, 
number, número, number, 
night, noite, night, 
mr, señor, sir, señor, 
point, punto, point, 
home, casa, home, 
water, auga, water, 
room, sala, room, 
mother, nai, mother, 
area, área, area, 
money, diñeiro, money, 
story, historia, history, historia, 
fact, feito, done, feito, 
month, mes, month, 
lot, moito, much, moito, 
right, ben, well, ben, 
study, estudo, study, 
book, libro, book, 
eye, ollo, eye, 
job, traballo, work, traballo, 
word, palabra, word, 
business, negocio, business, 
issue, asunto, matter, materia, matter, 
side, lado, side, 
kind, tipo, type, tipo, 
head, cabeza, head, 
house, casa, home, casa, 
service, servizo, service, 
friend, amiga, friend, 
father, pai, father, 
power, poder, power, 
hour, hora, hour, 
game, xogo, game, 
line, liña, line, 
end, final, final, 
member, membro, member, 
law, lei, law, 
car, coche, car, 
city, cidade, city, 
community, comunidade, community, 
name, nome, name, 
president, presidente, president, 
team, equipo, crew, tripulación, crew, 
minute, minuto, minute, 
idea, idea, 
kid, neno, boy, neno, 
body, corpo, body, 
information, información, information, 
back, de volta, back, 
parent, pai, father, pai, 
face, rostro, face, 
others, outros, others, 
level, nivel, level, 
office, oficina, office, 
door, porta, door, 
health, saúde, health, 
person, persoa, person, 
art, arte, art, 
war, guerra, war, 
history, historia, history, 
party, festa, celebration, celebración, celebration, 
result, resultado, result, 
change, cambio, change, 
morning, mañá, morning, 
reason, razón, reason, 
research, investigación, research, 
girl, rapaza, girl, 
guy, cara, face, rostro, face, 
food, comida, food, 
moment, momento, moment, 
air, aire, air, 
teacher, profesor, teacher, 
force, forza, strength, forza, 
education, educación, education, 
foot, pé, foot, 
boy, neno, boy, 
age, idade, age, 
policy, política, politics, política, 
process, proceso, process, 
music, música, music, 
market, mercado, market, 
sense, sentido, sense, 
nation, nación, nation, 
plan, plano, flat, apartamento, apartment, apartamento, 
college, facultade, college, 
interest, interese, interest, 
death, morte, death, 
experience, experiencia, experience, 
effect, efecto, effect, 
use, uso, use, 
class, clase, class, 
control, control, 
care, coidado, be careful, ten coidado, be careful, 
field, campo, field, 
development, desenvolvemento, development, 
role, papel, paper, papel, 
effort, esforzo, effort, 
rate, taxa, rate, 
heart, corazón, heart, 
drug, droga, drug, 
show, show, 
leader, líder, leader, 
light, luz, light, 
voice, voz, voice, 
wife, esposa, wife, 
police, policía, police, 
mind, mente, mind, 
price, prezo, price, 
report, informe, report, 
decision, decisión, decision, 
son, fillo, son, 
