time, aika, time, 
year, vuosi, year, 
people, ihmiset, people, 
way, tapa, way, 
day, päivä, day, 
man, mies, man, 
thing, asia, thing, 
woman, nainen, woman, 
life, elämä, life, 
child, lapsi, child, 
world, maailman-, world, 
school, koulu, school, 
state, osavaltio, state, 
family, perhe, family, 
student, opiskelija-, student, 
group, ryhmä, group, 
country, maa, country, 
problem, ongelma, problem, 
hand, käsi, hand, 
part, osa, part, 
place, paikka, place, 
case, tapaus, case, 
week, viikko, week, 
company, yhtiö, company, 
system, järjestelmä, system, 
program, ohjelmoida, program, 
question, kysymys, question, 
work, tehdä työtä, to work, työskennellä, work, 
government, hallitus, government, 
number, määrä, amount, määrä, 
night, yö-, night-, yö-, 
mr, herra, mr, 
point, kohta, paragraph, kohta, 
home, koti, home, 
water, vesi, water, 
room, huone, room, 
mother, äiti, mother, 
area, alue, area, 
money, raha, monetary, raha-, monetary, 
story, tarina, story, 
fact, tosiasia, fact, 
month, kuukausi, month, 
lot, erä, round, pyöristää, round, 
right, oikea, right, 
study, tutkimus, research, tutkimus, 
book, kirja, book, 
eye, silmä, eye, 
job, job, 
word, sana, word, 
business, liiketoiminta, business, 
issue, ongelma, problem, ongelma, 
side, puoli, half, puoli, 
kind, kiltti, kind, 
head, pää, head, 
house, talo, house, 
service, palvelu, service, 
friend, ystävä, friend, 
father, isä, father, 
power, teho, power, 
hour, tunnin, -hour, tunnin, 
game, peli, game, 
line, linja, line, 
end, pää, head, pää, 
member, jäsen, member, 
law, laki, law, 
car, auto, car, 
city, kaupunki, city, 
community, yhteisö, community, 
name, nimi, name, 
president, presidentti, president, 
team, tiimi, team, 
minute, minuutti, minute, 
idea, ajatus, thought, ajatus, 
kid, lapsi, child, lapsi, 
body, ruumis, corpse, ruumis, 
information, tiedot, information, 
back, takaisin, back, 
parent, vanhempi, senior, vanhempi, 
face, kasvot, face, 
others, toiset, other, muut, other, 
level, taso, level, 
office, toimisto, office, 
door, ovi, door, 
health, terveys, health, 
person, henkilö, person, 
art, taide, art, 
war, sota, war, 
history, historia, history, 
party, juhla, celebration, juhla, 
result, tulos, result, 
change, muuttaa, change, 
morning, aamu, morning, 
reason, syy, reason, 
research, tutkimus, research, 
girl, tyttö, girl, 
guy, kaveri, guy, 
food, ruoka, food, 
moment, hetki, moment, 
air, ilma, air, 
teacher, opettaja, teacher, 
force, pakottaa, force, 
education, koulutus, training, koulutus, 
foot, jalka, foot, 
boy, poika, son, poika, 
age, ikä, age, 
policy, politiikka, policy, 
process, käsitellä asiaa, process, 
music, musiikki, music, 
market, markkinoida, market, 
sense, tunne, feeling, tunne, 
nation, kansakunta, nation, 
plan, suunnitelma, plan, 
college, college, 
interest, kiinnostuksen kohde, an object of interest, mielenkiintoinen kohde, an interesting destination, mielenkiintoinen kohde, 
death, kuolema, death, 
experience, kokea, experience, 
effect, vaikutus, effect, 
use, käyttää, use, 
class, luokka, class, 
control, ohjaus, control, 
care, hoito, care, 
field, ala, do not, älä, do not, 
development, kehitys, development, 
role, rooli, role, 
effort, ponnistus, effort, 
rate, nopeus, speed, nopeus, 
heart, sydän, heart, 
drug, lääke, medicine, lääketiede, medicine, 
show, show, 
leader, johtaja, manager, johtaja, 
light, valo, light, 
voice, ääni, sound, ääni, 
wife, vaimo, wife, 
police, poliisi, police, 
mind, mieli, mind, 
price, hinta, price, 
report, raportti, report, 
decision, päätös, decision, 
son, poika, son, 
view, näkymä, view, 
relationship, yhteys, contact, ottaa yhteyttä, contact, 
town, kaupunki, city, kaupunki, 
road, tie, road, 
arm, käsivarsi, arm, 
difference, ero, differential, ero, 
value, arvo, value, 
building, rakennus, building, 
action, toiminta, activities, toiminta, 
model, malli-, quid-, quid-, 
season, kausi, season, 
society, yhteiskunta, society, 
tax, verottaa, tax, 
director, johtaja, manager, johtaja, 
position, asento, position, 
player, pelaaja, player, 
record, ennätys, record, 
paper, paperi, paper, 
space, tila, status, status, 
ground, maa, country, maa, 
form, muoto, form, 
event, tapahtuma, event, 
official, virallinen, official, 
matter, asia, thing, asia, 
center, keskusta, center, 
couple, pari, pair, pari, 
site, paikka, place, paikka, 
project, projekti, project, 
activity, aktiviteetti, activity, 
star, tähti, star, 
