time, isikhathi, time, 
year, ngonyaka, yearly, ngonyaka, 
people, abantu, people, 
way, indlela, way, 
day, usuku, date, usuku, 
man, indoda, man, 
thing, into, something, okuthile, something, 
woman, owesifazane, woman, 
life, ukuphila, life, 
child, ingane, child, 
world, umhlaba, the earth, umhlaba, 
school, isikole, school, 
state, isimo, status, isimo, 
family, umndeni, family, 
student, umfundi, learner, umfundi, 
group, iqembu, group, 
country, izwe, the world, umhlaba, the earth, umhlaba, 
problem, inkinga, problem, 
hand, isandla, hand, 
part, ingxenye, part, 
place, indawo, place, 
case, icala, the case, icala, 
week, isonto, church, isonto, 
company, inkampani, company, 
system, uhlelo, system, 
program, uhlelo, program, 
question, umbuzo, a question, umbuzo, 
work, sebenzisa, use, sebenzisa, 
government, uhulumeni, government, 
number, inombolo, number, 
night, ubusuku, night, 
mr, mr, 
point, iphuzu, point, 
home, ekhaya, home, 
water, amanzi, water, 
room, igumbi, room, 
mother, umama, mother, 
area, indawo, place, indawo, 
money, imali, money, 
story, indaba, the story, udaba, the matter, indaba, 
fact, iqiniso, the truth, iqiniso, 
month, inyanga, month, 
lot, okuningi, much, okuningi, 
right, kwesokudla, right, 
study, ukutadisha, to study, ukufunda, to read, ukufunda, 
book, incwadi, book, 
eye, iso, eye, 
job, umsebenzi, work, sebenzisa, use, sebenzisa, 
word, igama, name, igama, 
business, ibhizinisi, business, 
issue, ukukhishwa, release, ukukhululwa, release, 
side, eceleni, aside, eceleni, 
kind, nomusa, kind, 
head, ikhanda, head, 
house, indlu, house, 
service, isevisi, service, 
friend, umngane, friend, 
father, ubaba, father, 
power, amandla, power, 
hour, ihora, hour, 
game, umdlalo, game, 
line, umugqa, line, 
end, ukuphela, end, 
member, ilunga, member, 
law, umthetho, law, 
car, imoto, car, 
city, idolobha, city, 
community, umphakathi, community, 
name, igama, name, 
president, umongameli, president, 
team, ithimba, team, 
minute, umzuzu, minute, 
idea, umqondo, idea, 
kid, kid, 
body, umzimba, body, 
information, ulwazi, information, 
back, emuva, back, 
parent, umzali, parent, 
face, ubuso, face, 
others, abanye, others, 
level, izinga, quality, ikhwalithi, quality, 
office, ihhovisi, the office, ihhovisi, 
door, umnyango, door, 
health, impilo, health, 
person, umuntu, person, 
art, ubuciko, art, 
war, impi, war, 
history, umlando, history, 
party, iqembu, group, iqembu, 
result, umphumela, effect, umphumela, 
change, shintsha, change, 
morning, ekuseni, in the morning, ekuseni, 
reason, isizathu, reason, 
research, ucwaningo, research, 
girl, intombazane, girl, 
guy, umfana, boy, umfana, 
food, ukudla, food, 
moment, umzuzwana, for a moment, okwesikhashana, temporarily, okwesikhashana, 
air, umoya, spirit, umoya, 
teacher, uthisha, teacher, 
force, qinisa, strengthen, qinisa, 
education, imfundo, education, 
foot, unyawo, foot, 
boy, umfana, boy, 
age, ubudala, age, 
policy, inqubomgomo, policy, 
process, inqubo, process, 
music, umculo, music, 
market, emakethe, market, 
sense, ingqondo, mind, ingqondo, 
nation, isizwe, nation, 
plan, plan, 
college, ekolishi, college, 
interest, inzalo, interest, 
death, ukufa, death, 
experience, isipiliyoni, experience, 
effect, umphumela, effect, 
use, sebenzisa, use, 
class, ekilasini, classroom, ekilasini, 
control, ukulawula, control, 
care, ukunakekelwa, care, 
field, inkambu, field, 
development, ukuthuthukiswa, development, 
role, indima, role, 
effort, umzamo, effort, 
rate, isilinganiso, average, isilinganiso, 
heart, inhliziyo, heart, 
drug, izidakamizwa, drugs, izidakamizwa, 
show, bonisa, show, 
leader, umholi, leader, 
light, ukukhanya, light, 
voice, izwi, voice, 
wife, umfazi, wife, 
police, amaphoyisa, police, 
mind, ingqondo, mind, 
price, intengo, price, 
report, umbiko, report, 
decision, isinqumo, decision, 
son, indodana, son, 
view, buka, view, 
relationship, ubuhlobo, relationship, 
town, idolobha, city, idolobha, 
road, umgwaqo, the road, umgwaqo, 
arm, ingalo, arm, 
difference, umehluko, difference, 
value, inani, value, 
building, ukwakha, to build, ukwakha, 
action, isenzo, action, 
model, imodeli, model, 
