time, zaman, time, 
year, yıl, year, 
people, insanlar, people, 
way, yol, way, 
day, gün, day, 
man, adam, man, 
thing, şey, thing, 
woman, kadın, woman, 
life, hayat, life, 
child, çocuk, child, 
world, dünya, world, 
school, okul, school, 
state, belirtmek, bildirmek, report, rapor, report, 
family, aile, family, 
student, öğrenci, student, 
group, grup, group, 
country, ülke, country, 
problem, sorun, problem, 
hand, el, hand, 
part, bölüm, chapter, bölüm, 
place, yer, place, 
case, dava, case, 
week, hafta, week, 
company, şirket, company, 
system, sistem, system, 
program, program, 
question, soru, question, 
work, iş, business, iş, 
government, hükümet, government, 
number, numara, number, 
night, gece, night, 
mr, bay, mr, 
point, puan, point, 
home, ev, home, 
water, su, water, 
room, oda, room, 
mother, anne, mom, anne, 
area, alan, area, 
money, para, money, 
story, öykü, story, 
fact, gerçek, real, gerçek, 
month, ay, moon, ay, 
lot, çok, very, çok, 
right, sağ, right, 
study, ders çalışma, study, 
book, kitap, book, 
eye, göz, eye, 
job, iş, business, iş, 
word, sözcük, word, 
business, iş, business, 
issue, konu, subject, konu, 
side, yan, side, 
kind, tür, kind, 
head, kafa, head, 
house, ev, home, ev, 
service, hizmet, service, 
friend, arkadaş, friend, 
father, baba, father, 
power, güç, power, 
hour, saat, hour, 
game, oyun, game, 
line, hat, line, 
end, son, last, son, 
member, üye, member, 
law, kanun, law, 
car, araba, car, 
city, kent, city, 
community, topluluk, community, 
name, isim, name, 
president, devlet başkanı, president, 
team, takım, team, 
minute, dakika, minute, 
idea, fikir, idea, 
kid, çocuk, child, çocuk, 
body, vücut, body, 
information, bilgi, information, 
back, geri, back, 
parent, ebeveyn, parent, 
face, yüz, face, 
others, diğerleri, others, 
level, seviye, level, 
office, ofis, office, 
door, kapı, door, 
health, sağlık, health, 
person, kişi, person, 
art, sanat, art, 
war, savaş, war, 
history, tarihçe, history, 
party, parti, party, 
result, sonuç, result, 
change, değişiklik, alteration, değişiklik, 
morning, sabah, morning, 
reason, neden, why, niye ya, why, 
research, araştırma, research, 
girl, kız, girl, 
guy, adam, man, adam, 
food, gıda, food, 
moment, an, moment, 
air, hava, air, 
teacher, öğretmen, teacher, 
force, kuvvet, force, 
education, eğitim, education, 
foot, ayak, foot, 
boy, oğlan, boy, 
age, yaş, age, 
policy, politika, policy, 
process, süreç, process, 
music, müzik, music, 
market, market, 
sense, duyu, sense, 
nation, ulus, nation, 
plan, plan, 
college, kolej, college, 
interest, faiz, interest, 
death, ölüm, death, 
experience, deneyim, experience, 
effect, efekt, effect, 
use, kullanım, use, 
class, sınıf, class, 
control, kontrol, control, 
care, bakım, maintenance, bakım, 
field, alan, area, alan, 
development, gelişme, development, 
role, rol, role, 
effort, çaba, effort, 
rate, oran, rate, 
heart, kalp, heart, 
drug, ilaç, medicine, tıp, medicine, 
show, göstermek, show, 
leader, lider, leader, 
light, ışık, light, 
voice, ses, sound, ses, 
wife, kadın eş, wife, 
police, polis, police, 
mind, us, base, baz, base, 
price, fiyat, price, 
report, rapor, report, 
decision, karar, decision, 
son, oğul, son, 
view, görünüm, view, 
relationship, ilişki, relationship, 
town, kasaba, town, 
road, yol, way, yol, 
arm, kol, arm, 
difference, fark, difference, 
value, değer, value, 
building, bina, building, 
action, aksiyon, action, 
model, model, 
season, sezon, season, 
society, toplum, society, 
tax, vergi, tax, 
director, yönetmen, director, 
position, pozisyon, position, 
player, oyuncu, player, 
record, kayıt, record, 
paper, kâğıt, paper, 
space, uzay, space, 
ground, zemin, floor, zemin, 
form, form, 
event, etkinlik, activity, aktivite, activity, 
official, resmi, formal, biçimsel, formal, 
matter, madde, matter, 
center, merkez, center, 
couple, çift, double, çift, 
site, yer, place, yer, 
project, proje, project, 
activity, aktivite, activity, 
star, star, 
table, tablo, table, 
need, gerek, need, 
court, mahkeme, court, 
american, amerikan, american, 
oil, sıvı yağ, liquid oil, sıvı yağ, 
situation, durum, status, durum, 
cost, maliyet, cost, 
industry, sanayi, industry, 
figure, şekil, figure, 
street, sokak, street, 
image, görüntü, image, 
phone, telefon, telephone, telefon, 
data, veri, data, 
picture, resim, picture, 
practice, uygulama, application, uygulama, 
piece, parça, piece, 
land, arazi, land, 
product, ürün, product, 
doctor, doktor, doctor, 
wall, duvar, wall, 
patient, hasta, patient, 
worker, işçi, worker, 
news, haber, news, 
test, ölçek, scale, ölçek, 
movie, film, film, 
north, kuzeyinde, north, 
love, aşk, love, 
support, destek, support, 
technology, teknoloji, technology, 
step, adım, step, 
baby, bebek, baby, 
computer, bilgisayar, computer, 
