time, czas, time, 
year, rok, year, 
people, ludzie, people, 
way, droga, road, droga, 
day, dzień, day, 
man, człowiek, man, 
thing, rzecz, thing, 
woman, kobieta, woman, 
life, życie, life, 
child, dziecko, child, 
world, świat, world, 
school, szkoła, school, 
state, stan, state, 
family, rodzina, family, 
student, student, 
group, grupa, group, 
country, kraj, country, 
problem, problem, 
hand, dłoń, hand, 
part, część, hello, cześć, hello, 
place, miejsce, place, 
case, walizka, suitcase, walizka, 
week, tydzień, week, 
company, firma, business, biznes, business, 
system, system, 
program, program, 
question, pytanie, question, 
work, praca, job, praca, 
government, rząd, government, 
number, numer, number, 
night, noc, night, 
mr, pan, you, ty, you, 
point, punkt, point, 
home, dom, house, dom, 
water, woda, water, 
room, pokój, room, 
mother, mama, mom, mama, 
area, powierzchnia, surface, powierzchnia, 
money, pieniądze, money, 
story, fabuła, story, 
fact, fakt, fact, 
month, miesiąc, month, 
lot, los, moose, łoś, moose, 
right, dobrze, well, dobrze, 
study, badanie, study, 
book, książka, book, 
eye, oko, eye, 
job, praca, job, 
word, słowo, word, 
business, biznes, business, 
issue, kwestia, issue, 
side, bok, side, 
kind, uprzejmy, kind, 
head, głowa, head, 
house, dom, house, 
service, usługa, service, 
friend, przyjaciel, friend, 
father, ojciec, father, 
power, moc, power, 
hour, godzina, hour, 
game, gra, game, 
line, linia, line, 
end, koniec, end, 
member, członek, member, 
law, prawo, right, dobrze, well, dobrze, 
car, samochód, car, 
city, miasto, city, 
community, społeczność, community, 
name, nazwa, name, 
president, prezydent, president, 
team, zespół, team, 
minute, minuta, minute, 
idea, pomysł, idea, 
kid, dziecko, child, dziecko, 
body, ciało, body, 
information, informacja, information, 
back, plecy, back, 
parent, rodzic, parent, 
face, twarz, face, 
others, inni, others, 
level, poziom, level, 
office, gabinet, office, 
door, drzwi, door, 
health, zdrowie, health, 
person, osoba, person, 
art, sztuka, art, 
war, wojna, war, 
history, historia, history, 
party, przyjęcie, adoption, przyjęcie, 
result, wynik, score, wynik, 
change, zmiana, change, 
morning, ranek, morning, 
reason, powód, reason, 
research, badania, research, 
girl, dziewczyna, girl, 
guy, chłopak, boy, chłopak, 
food, jedzenie, food, 
moment, za chwilę, moment, 
air, powietrze, air, 
teacher, nauczyciel, teacher, 
force, siła, force, 
education, edukacja, education, 
foot, stopa, foot, 
boy, chłopak, boy, 
age, wiek, age, 
policy, polityka, policy, 
process, proces, process, 
music, muzyka, music, 
market, rynek, market, 
sense, sens, meaning, znaczenie, importance, znaczenie, 
