time, wakati, time, 
year, mwaka, year, 
people, watu, people, 
way, njia, way, 
day, siku, day, 
man, mtu, man, 
thing, kitu, something, kitu, 
woman, mwanamke, woman, 
life, maisha, life, 
child, mtoto, baby, mtoto, 
world, ulimwengu, world, 
school, shule, school, 
state, hali, state, 
family, familia, family, 
student, mwanafunzi, student, 
group, kikundi, group, 
country, nchi, country, 
problem, tatizo, problem, 
hand, mkono, hand, 
part, sehemu, part, 
place, mahali, place, 
case, kesi, case, 
week, wiki, week, 
company, kampuni, company, 
system, mfumo, system, 
program, programu, app, programu, 
question, swali, question, 
work, kazi, work, 
government, serikali, government, 
number, nambari, number, 
night, usiku, at night, usiku, 
mr, bwana, sir, bwana, 
point, hatua, step, hatua, 
home, nyumbani, at home, nyumbani, 
water, maji, water, 
room, chumba, room, 
mother, mama, mother, 
area, eneo, location, eneo, 
money, fedha, money, 
story, hadithi, story, 
fact, ukweli, the truth, ukweli, 
month, mwezi, month, 
lot, kura, lots, kura, 
right, haki, right, 
study, kujifunza, to learn, kujifunza, 
book, kitabu, book, 
eye, jicho, eye, 
job, kazi, work, kazi, 
word, neno, word, 
business, biashara, business, 
issue, suala, issue, 
side, upande, side, 
kind, aina, kind, 
head, kichwa, head, 
house, nyumba, house, 
service, huduma, service, 
friend, rafiki, friend, 
father, baba, father, 
power, nguvu, power, 
hour, saa, hour, 
game, mchezo, game, 
line, mstari, line, 
end, mwisho, last, mwisho, 
member, mwanachama, member, 
law, sheria, law, 
car, gari, car, 
city, jiji, city, 
community, jumuiya, community, 
name, jina, name, 
president, rais, president, 
team, timu, team, 
minute, dakika, minutes, dakika, 
idea, wazo, idea, 
kid, mtoto, baby, mtoto, 
body, mwili, body, 
information, habari, information, 
back, nyuma, back, 
parent, mzazi, parent, 
face, uso, face, 
others, wengine, others, 
level, ngazi, level, 
office, ofisi, office, 
door, mlango, door, 
health, afya, healthy, afya, 
person, mtu, man, mtu, 
art, sanaa, art, 
war, vita, war, 
history, historia, history, 
party, chama, party, 
result, matokeo, results, matokeo, 
change, mabadiliko, change, 
morning, asubuhi, in the morning, asubuhi, 
reason, sababu, reason, 
research, utafiti, research, 
girl, msichana, girl, 
guy, guy, 
food, chakula, food, 
moment, wakati, time, wakati, 
air, hewa, air, 
teacher, mwalimu, teacher, 
force, nguvu, power, nguvu, 
education, elimu, education, 
foot, mguu, foot, 
boy, mvulana, boy, 
age, umri, age, 
policy, sera, will be, itakuwa, will be, 
process, mchakato, process, 
music, muziki, music, 
market, soko, market, 
sense, hisia, emotions, hisia, 
nation, taifa, nation, 
plan, mpango, plan, 
college, chuo, college, 
interest, hamu, desire, hamu, 
death, kifo, death, 
experience, uzoefu, experience, 
effect, athari, effect, 
use, kutumia, use, 
class, darasa, class, 
control, kudhibiti, control, 
care, huduma, service, huduma, 
field, shamba, field, 
development, maendeleo, development, 
role, jukumu, role, 
effort, juhudi, effort, 
rate, kiwango, standard, kiwango, 
heart, moyo, heart, 
drug, dawa, medicine, dawa, 
show, onyesha, show, 
leader, kiongozi, leader, 
light, mwanga, light, 
voice, sauti, sound, sauti, 
wife, mke, wife, 
police, polisi, police, 
mind, akili, intelligence, akili, 
price, bei, price, 
report, ripoti, report, 
decision, uamuzi, decision, 
son, mwana, baby, mtoto, baby, 
view, mtazamo, perspective, mtazamo, 
relationship, uhusiano, relationship, 
town, mji, city, jiji, city, 
road, barabara, road, 
arm, mkono, hand, mkono, 
difference, tofauti, different, tofauti, 
value, thamani, value, 
building, kujenga, build, jenga, hang on, pumzika, relax, kupumzika, to rest, kupumzika, 
action, hatua, step, hatua, 
model, mfano, model, 
season, msimu, season, 
society, jamii, community, jumuiya, community, 
tax, kodi, what, nini, when, lini, when, 
director, mkurugenzi, director, 
position, nafasi, space, nafasi, 
player, mchezaji, player, 
record, rekodi, record, 
paper, karatasi, paper, 
space, nafasi, space, 
ground, ardhi, land, ardhi, 
form, fomu, form, 
event, tukio, event, 
official, rasmi, official, 
matter, jambo, thing, kitu, something, kitu, 
center, kituo, station, kituo, 
couple, wanandoa, couple, 
site, tovuti, website, tovuti, 
project, mradi, project, 
activity, shughuli, activity, 
star, nyota, stars, nyota, 
table, meza, table, 
need, haja, need, 
court, mahakama, the court, mahakama, 
american, amerika, america, marekani, in the united states, umoja wa mataifa, united nations, umoja wa mataifa, 
oil, mafuta, fat, mafuta, 
situation, hali, state, hali, 
cost, gharama, cost, 
industry, sekta, industry, 
figure, takwimu, statistics, takwimu, 
street, barabara, road, barabara, 
image, picha, image, 
phone, simu, phone, 
data, data, 
picture, picha, image, picha, 
practice, mazoezi, exercise, zoezi, exercise, 
piece, kipande, piece, 
land, ardhi, land, 
product, bidhaa, product, 
doctor, daktari, doctor, 
wall, ukuta, wall, 
patient, subira, patience, uvumilivu, patience, 
worker, mfanyakazi, employee, mfanyakazi, 
news, habari, information, habari, 
test, mtihani, test, 
movie, movie, 
north, kaskazini, north, 
love, upendo, love, 
support, msaada, help, msaada, 
technology, teknolojia, technology, 
step, hatua, step, 
baby, mtoto, baby, 
computer, kompyuta, computer, 
type, aina, kind, aina, 
attention, tazama, see, tazama, 
film, filamu, film, 
republican, jamhuriani, republic, jamhuri, republic, 
tree, mti, tree, 
source, chanzo, source, 
organization, shirika, organization, 
hair, nywele, hair, 
look, tazama, see, tazama, 
century, karne, century, 
evidence, ushahidi, proof, ushahidi, 
window, dirisha, window, 
culture, utamaduni, culture, 
chance, nafasi, space, nafasi, 
brother, ndugu, brothers, ndugu, 
energy, nishati, energy, 
period, kipindi, period, 
course, kozi, course, 
summer, majira ya joto, summer, 
plant, mmea, plant, 
opportunity, nafasi, space, nafasi, 
term, muda, time, wakati, time, 
letter, barua, letter, 
condition, hali, state, hali, 
choice, uchaguzi, election, uchaguzi, 
rule, utawala, rule, 
daughter, binti, daughter, 
administration, utawala, rule, utawala, 
south, kusini, south, 
husband, mume, husband, 
congress, congress, 
floor, sakafu, floor, 
campaign, kampeni, campaign, 
material, vifaa, devices, vifaa, 
population, idadi ya watu, population, 
call, wito, calling, wito, 
economy, uchumi, economy, 
hospital, hospitali, hospital, 
church, kanisa, church, 
risk, hatari, dangerous, hatari, 
fire, moto, fire, 
future, baadaye, later, baadae, later, 
defense, ulinzi, protection, ulinzi, 
security, usalama, security, 
bank, benki, bank, 
west, magharibi, west, 
sport, michezo, games, michezo, 
board, bodi, board, 
subject, somo, lesson, somo, 
officer, afisa, wish, unataka, you want, unataka, 
rest, pumzika, relax, kupumzika, to rest, kupumzika, 
behavior, tabia, behavior, 
performance, utendaji, performance, 
top, juu, up, up, 
goal, lengo, goal, 
second, pili, second, 
bed, kitanda, bed, 
order, amri, command, amri, 
author, mwandishi, author, 
blood, damu, blood, 
agency, shirika, organization, shirika, 
nature, asili, nature, 
color, rangi, color, 
store, kuhifadhi, store, 
sound, sauti, sound, 
movement, harakati, movement, 
page, ukurasa, page, 
race, mbio, running, kimbia, run, run, 
concern, wasiwasi, anxiety, wasiwasi, 
series, mfululizo, series, 
language, lugha, language, 
response, jibu, answer, jibu, 
animal, mnyama, animal, 
factor, sababu, reason, sababu, 
decade, miaka kumi, ten years, miaka kumi, 
article, makala, articles, makala, 
east, mashariki, east, 
artist, msanii, artist, 
scene, eneo, location, eneo, 
stock, hisa, stock, 
career, kazi, work, kazi, 
treatment, matibabu, treatment, 
approach, mbinu, techniques, mbinu, 
size, ukubwa, size, 
dog, mbwa, dog, 
fund, mfuko, bag, mfuko, 
media, vyombo vya habari, media, 
sign, ishara, sign, 
thought, mawazo, ideas, mawazo, 
list, orodha, list, 
individual, mtu binafsi, individual, 
quality, ubora, quality, 
pressure, shinikizo, pressure, 
answer, jibu, answer, 
resource, rasilimali, resources, rasilimali, 
meeting, mkutano, meeting, 
disease, ugonjwa, disease, 
success, mafanikio, success, 
cup, kikombe, cup, 
amount, kiasi, volume, kiasi, 
ability, uwezo, capacity, uwezo, 
staff, wafanyakazi, staff, 
character, tabia, behavior, tabia, 
growth, ukuaji, growth, 
loss, kupoteza, lose, kupoteza, 
degree, shahada, degree, 
attack, kushambulia, to attack, kushambulia, 
region, kanda, region, 
television, televisheni, television, 
box, sanduku, box, 
tv, tv, 
training, mafunzo, training, 
trade, biashara, business, biashara, 
deal, toa, give, kutoa, give, 
election, uchaguzi, election, 
feeling, hisia, emotions, hisia, 
standard, kiwango, standard, 
bill, muswada, bill, 
message, ujumbe, message, 
analysis, uchambuzi, analysis, 
benefit, faida, benefits, faida, 
sex, ngono, sex, 
lawyer, mwanasheria, attorney, mwanasheria, 
section, sehemu, part, sehemu, 
glass, kioo, glass, 
skill, ujuzi, skills, ujuzi, 
sister, dada, sister, 
professor, profesa, professor, 
operation, operesheni, operation, 
crime, uhalifu, crime, 
stage, hatua, step, hatua, 
authority, mamlaka, authority, 
design, kubuni, design, 
sort, fanya, do it, fanya, 
one, moja, one, 
knowledge, ujuzi, skills, ujuzi, 
gun, bunduki, guns, bunduki, 
station, kituo, station, 
strategy, mkakati, strategy, 
truth, ukweli, the truth, ukweli, 
song, wimbo, song, 
example, mfano, model, mfano, 
environment, mazingira, environment, 
leg, mguu, foot, mguu, 
public, umma, public, 
executive, mtendaji, executive, 
set, kuweka, set, 
rock, mwamba, rock, 
note, kumbuka, remember, kumbuka, 
manager, meneja, manager, 
help, msaada, help, 
network, mtandao, network, 
science, sayansi, science, 
memory, kumbukumbu, memory, 
card, kadi, card, 
seat, kiti, chair, mwenyekiti, chairman, mwenyekiti, 
cell, kiini, cell, 
trial, jaribio, test, mtihani, test, 
expert, mtaalam, expert, 
