time, वेळ, time, 
year, वर्ष, year, 
people, लोक, people, 
way, मार्ग, route, मार्ग, 
day, दिवस, day, 
man, माणूस, man, 
thing, गोष्ट, the thing, गोष्ट, 
woman, स्त्री, woman, 
life, जीवन, life, 
child, मूल, original, मूळ, original, 
world, जग, the world, जग, 
school, शाळा, school, 
state, राज्य, state, 
family, कुटुंब, family, 
student, विद्यार्थी, students, विद्यार्थी, 
group, गट, group, 
country, देश, country, 
problem, समस्या, problem, 
hand, हात, hand, 
part, भाग, part, 
place, स्थान, location, स्थान, 
case, केस, case, 
week, आठवडा, week, 
company, कंपनी, company, 
system, प्रणाली, system, 
program, प्रोग्राम, programs, प्रोग्राम, 
question, प्रश्न, the question, प्रश्न, 
work, काम, work, 
government, सरकार, government, 
number, संख्या, number, 
night, रात्र, night, 
mr, श्री, mr., श्री., mr., 
point, बिंदू, point, 
home, घर, home, 
water, पाणी, water, 
room, खोली, room, 
mother, आई, come, ये, this, हे, hey, अहो, hey, 
area, क्षेत्र, area, 
money, पैसे, money, 
story, कथा, story, 
fact, खरं, in fact, खरं तर, in fact, 
month, महिना, month, 
lot, भरपूर, plenty of, भरपूर, 
right, उजवीकडे, right, 
study, अभ्यास, practice, सराव, practice, 
book, पुस्तक, book, 
eye, डोळा, eye, 
job, नोकरी, job, 
word, शब्द, the word, शब्द, 
business, व्यवसाय, business, 
issue, समस्या, problem, समस्या, 
side, बाजू, the sides, बाजू, 
kind, दयाळू, compassionate, दयाळू, 
head, डोके, head, 
house, घर, home, घर, 
service, सेवा, service, 
friend, मित्र, friends, मित्र, 
father, वडील, father, 
power, सामर्थ्य, power, 
hour, तास, hour, 
game, खेळ, the game, खेळ, 
line, ओळ, line, 
end, शेवट, the end, शेवटी, finally, शेवटी, 
member, सदस्य, member, 
law, कायदा, law, 
car, कार, car, 
city, शहर, city, 
community, समुदाय, community, 
name, नाव, name, 
president, अध्यक्ष, president, 
team, संघ, union, युनियन, union, 
minute, मिनिट, minute, 
idea, कल्पना, imagine, कल्पना करा, imagine it, कल्पना करा, 
kid, करडू, the kid, करडू, 
body, शरीर, body, 
information, माहिती, information, 
back, परत, layer, स्तर, level, स्तर, 
parent, पालक, spinach, पालक, 
face, चेहरा, face, 
others, इतर, others, 
level, स्तर, level, 
office, कार्यालय, office, 
door, दरवाजा, door, 
health, आरोग्य, health, 
person, व्यक्ती, person, 
art, कला, art, 
war, युद्ध, war, 
history, इतिहास, history, 
party, पक्ष, party, 
result, परिणाम, the result, निकाल, result, 
change, बदल करा, make changes, बदल करा, 
morning, सकाळ, morning, 
reason, कारण, reason, 
research, संशोधन, revision, पुनरावृत्ती, repeat, पुनरावृत्ती करा, repeat, 
girl, मुलगी, the girl, मुलगी, 
guy, माणूस, man, मनुष्य, man, 
food, अन्न, food, 
moment, क्षण, the moment, क्षण, 
air, हवा, air, 
teacher, शिक्षक, teacher, 
force, सक्तीने, forcefully, जबरदस्तीने, forcibly, जबरदस्तीने, 
education, शिक्षण, teaching, शिक्षण, 
foot, पाय, feet, पाय, 
boy, मुलगा, boy, 
age, वय, age, 
policy, धोरण, policy, 
process, प्रक्रिया, process, 
music, संगीत, music, 
market, बाजार, market, 
sense, अर्थ, meaning, अर्थ, 
nation, राष्ट्र, nation, 
plan, योजना, the plan, योजना, 
college, कॉलेज, college, 
interest, व्याज, interest, 
death, मृत्यू, death, 
experience, अनुभव, experience, 
effect, परिणाम, the result, निकाल, result, परिणाम, 
use, वापरा, use, 
class, वर्ग, square, चौरस, square, 
control, नियंत्रण, control, 
care, काळजी, care about, काळजी घ्या, be careful, काळजी घ्या, 
field, फील्ड, field, 
development, विकास, development, 
role, भूमिका, role, 
effort, प्रयत्न, try, प्रयत्न, 
rate, दर, rate, 
heart, हृदय, heart, 
drug, औषध, medicine, औषध, 
show, शो, show, 
leader, नेता, leader, 
light, प्रकाश, light, 
voice, आवाज, voice, 
wife, पत्नी, wife, 
police, पोलीस, police, 
mind, मन, mind, 
price, किंमत, price, 
report, अहवाल, report, 
decision, निर्णय, decision, 
son, मुलगा, boy, बॉय, boy, 
view, दृश्य, view, 
relationship, नाते, relationships, संबंध, relationship, 
town, शहर, city, शहर, 
road, रस्ता, the road, रास्ता, way, वे, they, ते, they, 
arm, हात, hand, हात, 
difference, फरक, the difference, फरक, 
value, मूल्य, value, 
building, इमारत, building, 
action, क्रिया, verb, क्रियापद, verb, 
model, मॉडेल, model, 
season, हंगाम, season, 
society, समाज, society, 
tax, कर, do, करा, do it, करू, do it, 
director, दिग्दर्शक, director, 
position, स्थान, location, स्थान, 
player, खेळाडू, players, खेळाडू, 
record, विक्रम, vikram, विक्रम, 
paper, कागद, paper, 
space, जागा, place, ठिकाण, place, 
ground, ग्राउंड, ground, 
form, फॉर्म, form, 
event, कार्यक्रम, program, कार्यक्रम, 
official, अधिकृत, authorized, अधिकृत, 
matter, बाब, matter, 
center, केंद्र, center, 
couple, जोडी, pair, जोडी करा, pair up, जोड्या लावा, put a pair, एक जोडी ठेवा, put a pair, 
site, जागा, place, ठिकाण, place, 
project, प्रकल्प, project, 
activity, क्रियाकलाप, activity, 
star, तारा, star, 
table, सारणी, table, 
need, गरज, need, 
court, कोर्ट, court, 
american, अमेरिकन, american, 
oil, तेल, oil, 
situation, परिस्थिती, the situation, परिस्थिती, 
cost, खर्च, expense, खर्च, 
industry, उद्योग, industry, 
figure, आकृती, figure, 
street, रस्ता, the road, रास्ता, way, वे, they, ते, they, 
image, प्रतिमा, image, 
phone, फोन, phone, 
data, डेटा, data, 
picture, चित्र, picture, 
practice, सराव, practice, 
piece, तुकडा, piece, 
land, जमीन, land, 
product, उत्पादन, production, उत्पादन, 
doctor, डॉक्टर, doctor, 
wall, भिंत, wall, 
patient, रुग्णाला, the patient, रोगी, the patient, 
worker, कार्यकर्ता, worker, 
news, बातम्या, news, 
test, चाचणी, trial, चाचणी, 
movie, मूव्ही, movie, 
north, उत्तर, answer:, उत्तर:, answer:, 
love, प्रेम, love, 
support, समर्थन, support, 
technology, तंत्रज्ञान, technology, 
step, पाऊल, foot, पाय, feet, पाय, 
baby, बाळ, baby, 
computer, संगणक, computer, 
type, प्रकार, type, 
attention, लक्ष, attention, 
film, चित्रपट, movies, चित्रपट, 
republican, रिपब्लिकन, republicans, रिपब्लिकन, 
tree, झाड, tree, 
source, स्त्रोत, source, 
organization, संघटन, composition, रचना, composition, 
hair, केस, case, केस, 
look, दिसत, look like, ते पहा, see it, ते बघ, look at it, ते पहा, 
century, शतक, century, 
evidence, पुरावा, proof, पुरावा, 
window, खिडकी, window, 
culture, संस्कृती, culture, 
chance, संधी, opportunity, संधी, 
brother, भाऊ, brother, 
energy, ऊर्जा, energy, 
period, कालावधी, period, 
course, अभ्यासक्रम, courses, अभ्यासक्रम, 
summer, उन्हाळा, summer, 
plant, वनस्पती, plant, 
opportunity, संधी, opportunity, 
term, संज्ञा, nouns, nouns, 
letter, पत्र, letter, 
condition, अट, condition, 
choice, निवड, choice, 
rule, नियम, rules, नियम, 
daughter, मुलगी, the girl, मुलगी, 
administration, प्रशासन, administration, 
south, दक्षिण, south, 
husband, नवरा, husband, 
congress, काँग्रेस, congress, 
floor, मजला, floor, 
campaign, मोहीम, campaign, 
material, सामग्री, content, सामग्री, 
population, लोकसंख्या, population, 
call, कॉल करा, call, 
economy, अर्थव्यवस्था, economy, 
hospital, रूग्णालय, hospital, 
church, चर्च, church, 
risk, धोका, risk, 
fire, आग, fire, 
future, भविष्य, future, 
defense, संरक्षण, protection, संरक्षण, 
security, सुरक्षा, security, 
bank, बँक, bank, 
west, पश्चिम, west, 
sport, खेळात, in the sport, खेळात, 
board, बोर्ड, board, 
subject, विषय, subject, 
officer, अधिकारी, officer, 
rest, उर्वरित, remaining, उर्वरित, 
behavior, वर्तन, behavior, 
performance, कामगिरी, performance, 
top, शीर्षस्थानी, at the top, सर्वात वरील, the most up, सर्वाधिक अप, most up, बर्याच वर, lots of up, अप बरेच, lots of ups, अप ऑफ अनेक, up-many, वर-अनेक, up-many, 
goal, ध्येय, goal, 
second, सेकंद, seconds, सेकंद, 
bed, बेड, beds, बेड, 
order, ऑर्डर, order, 
author, लेखक, author, 
blood, रक्त, blood, 
agency, एजन्सी, agency, 
nature, निसर्ग, nature, 
color, रंग, color, 
store, स्टोअर, store, 
sound, ध्वनी, sound, 
movement, चळवळ, movement, 
page, पृष्ठ, page, 
race, वंश, offspring, संतती, offspring, 
concern, चिंता, anxiety, चिंता, 
series, मालिका, series, 
language, भाषा, language, 
response, प्रतिसाद, response, 
animal, प्राणी, creature, प्राणी, 
factor, घटक, component, घटक, 
decade, दशक, decade, 
article, लेख, articles, लेख, 
east, पूर्व, east, 
artist, कलाकार, artist, 
scene, देखावा, appearance, स्वरूप, format, स्वरूप, 
stock, स्टॉक, stock, 
career, कारकीर्द, career, 
treatment, उपचार, treatment, 
approach, दृष्टीकोन, perspective, दृष्टिकोनाचे, viewpoint, दृष्टिकोन, approach, 
size, आकार, size, 
dog, कुत्रा, dog, 
fund, निधी, funds, निधी, 
media, मीडिया, media, 
sign, चिन्ह, icon, चिन्ह, 
thought, विचार, the idea, कल्पना, imagine, कल्पना करा, imagine it, कल्पना करा, 
list, सूची, list, 
individual, वैयक्तिक, individual, 
quality, गुणवत्ता, quality, 
pressure, दबाव, pressure, 
answer, उत्तर, answer:, उत्तर:, answer:, 
resource, संसाधन, resources, संसाधने, resources, 
meeting, संमेलन, meeting, 
disease, आजार, illness, आजार, 
success, यश, achievement, यश, 
cup, कप, cup, 
amount, रक्कम, amount, 
ability, क्षमता, capacity, क्षमता, 
staff, कर्मचारी, employees, कर्मचारी, 
character, वर्ण, character, 
growth, वाढ, growth, 
loss, तोटा, loss, 
degree, पदवी, degree, 
attack, हल्ला, attack, 
region, प्रदेश, region, 
television, टेलिव्हिजन, television, 
box, बॉक्स, box, 
tv, टीव्ही, tv, 
training, प्रशिक्षण, training, 
trade, व्यापार, business, व्यवसाय, business, 
deal, करार, agreement, करार, 
election, निवडणूक, election, 
feeling, भावना, feeling, 
standard, मानक, standard, 
bill, बिल, bill, 
message, संदेश, message, 
analysis, विश्लेषण, analysis, 
benefit, फायदा, advantage, फायदा, 
sex, लिंग, gender, लिंग, 
lawyer, वकील, lawyer, 
section, विभाग, department, विभाग, 
glass, काच, glass, 
skill, कौशल्य, skill, 
sister, बहीण, sister, 
professor, प्राध्यापक, professor, 
operation, ऑपरेशन, operation, 
crime, गुन्हा, crime, 
stage, स्टेज, stage, 
authority, अधिकार, rights, अधिकार, 
design, डिझाइन, design, 
sort, क्रमवारी लावा, sort order, क्रमवारी लावा, 
one, एक, one, 
knowledge, ज्ञान, knowledge, 
gun, तोफा, gun, 
station, स्टेशन, station, 
strategy, धोरण, policy, धोरण, 
truth, सत्य, truth, 
song, गाणे, sing, गाणे, 
example, उदाहरण, example, 
environment, पर्यावरण, environment, 
leg, पाय, feet, पाय, 
public, सार्वजनिक, public, 
executive, कार्यकारी, executive, 
set, सेट करा, set up, सेट अप, set up, 
rock, रॉक, rock, 
note, टीप, note, 
manager, व्यवस्थापक, administrator, प्रशासक, administrator, 
help, मदत, help, 
network, नेटवर्क, network, 
science, विज्ञान, science, 
memory, मेमरी, memory, 
card, कार्ड, card, 
seat, आसन, seat, 
cell, सेल, cell, 
trial, चाचणी, trial, 
expert, तज्ज्ञ, expert, 
spring, वसंत ऋतु, spring, 
firm, टणक, firm, 
democrat, लोकसत्ताक राज्याचा पुरस्कर्ता, democrat, 
radio, रेडिओ, radio, 
management, व्यवस्थापन, management, 
ball, बॉल, ball, 
talk, बोलणे, speaking, बोलणे, 
theory, सिद्धांत, theory, 
