-	bs	ht	ka	mi	hmn	mg	sd	ne	be	eu	tl	es	my	gl	mn	te	af	fy	ja	no	st	az	it	pa	el	zh-CN	ig	lo	si	cs	fr	bn	tg	hy	sk	bg	is	ny	ca	nl	so	de	ms	sr	haw	jw	hu	eo	ml	lb	iw	ga	ps	tr	am	sq	mk	ko	sw	ur	la	uk	uz	lt	th	pl	ro	hi	ta	mt	ha	xh	ar	yi	mr	ku	kn	pt	yo	sv	fa	da	zu	vi	sm	sn	gd	co	cy	fi	ru	gu	zh-TW	id	km	ceb	et	sl	lv	su	ky	hr	kk	
bs	0	32	20	24	21	21	15	21	25	21	19	31	14	34	38	13	20	21	12	14	24	27	22	16	24	16	22	26	15	29	20	23	29	26	16	34	16	17	26	14	27	25	26	76	22	22	23	27	13	27	17	19	26	23	29	23	51	16	21	21	8	32	25	34	18	25	18	15	16	18	19	23	15	20	25	9	28	20	14	25	17	19	24	17	22	13	22	17	16	24	26	14	16	28	27	23	28	69	25	20	9	43	32	
ht	32	0	26	35	30	57	25	30	22	32	34	29	16	39	45	14	22	25	18	14	30	21	24	35	22	25	28	55	22	26	34	36	39	25	14	25	27	37	34	17	32	30	49	22	17	40	25	26	15	46	20	18	32	25	27	29	34	16	36	29	15	26	27	30	32	16	33	20	22	33	27	29	21	26	30	16	18	27	21	28	22	16	24	28	40	21	26	29	29	19	15	20	25	53	58	32	22	34	24	29	8	24	30	
ka	20	26	0	17	30	30	46	39	38	25	21	18	16	22	32	28	26	20	22	11	24	28	16	34	19	18	21	18	26	25	14	35	34	54	33	30	25	29	19	19	31	23	24	36	24	15	21	24	43	25	14	21	41	24	26	25	32	15	31	41	19	36	39	59	12	15	37	25	21	21	21	30	22	12	29	25	42	19	15	17	22	23	40	20	23	21	24	18	18	22	25	25	18	31	26	18	58	25	56	20	19	27	37	
mi	24	35	17	0	47	39	31	35	32	21	35	11	14	15	43	20	24	18	16	13	53	20	15	39	24	21	63	37	25	24	10	34	35	21	16	22	23	56	17	15	51	18	37	23	78	33	18	19	21	31	17	28	42	23	41	21	22	18	58	30	16	25	31	19	22	11	22	32	26	24	51	50	13	29	24	23	18	10	54	16	24	17	44	23	71	36	37	24	23	19	16	25	21	31	47	34	21	24	22	29	8	20	36	
hmn	21	30	30	47	0	44	32	38	24	21	23	20	19	18	48	16	15	20	17	9	39	27	15	31	15	19	45	42	22	19	14	32	45	30	14	23	21	49	16	11	63	15	35	21	38	31	14	18	32	21	19	23	47	32	37	17	21	19	44	30	17	19	27	40	24	14	21	33	22	23	42	41	19	29	25	26	33	18	29	16	20	17	32	30	54	28	47	21	20	22	18	23	19	26	38	27	39	20	28	23	12	21	27	
mg	21	57	30	39	44	0	32	36	32	29	39	26	19	26	46	19	22	21	20	17	51	26	20	45	26	23	48	64	30	20	20	44	45	28	17	22	32	48	28	16	56	20	59	18	31	49	22	22	28	34	20	17	44	27	38	24	32	17	51	34	17	26	38	34	26	14	23	27	22	23	41	46	17	25	43	23	37	22	46	24	29	15	45	33	53	38	36	32	23	20	16	25	23	51	79	43	21	29	26	25	12	22	33	
sd	15	25	46	31	32	32	0	64	25	19	22	17	18	17	33	31	18	17	20	13	30	26	16	49	17	22	35	29	30	16	14	37	31	27	25	18	26	33	18	21	43	16	29	25	27	19	17	17	47	22	15	14	88	27	31	17	19	13	28	83	9	18	35	49	19	7	23	44	24	17	21	44	23	15	39	46	40	12	21	14	26	18	41	25	35	39	18	19	15	19	14	37	22	28	27	20	48	21	38	23	27	26	36	
ne	21	30	39	35	38	36	64	0	26	25	32	21	19	22	44	33	22	20	20	16	40	43	20	72	19	29	36	42	33	21	20	65	48	40	22	24	31	36	23	15	44	29	48	25	25	29	24	25	38	26	16	22	80	34	41	25	24	22	48	61	15	26	45	50	25	14	20	64	42	22	34	42	26	19	62	39	48	19	23	20	40	27	38	29	36	36	28	18	23	26	24	54	29	38	48	24	43	29	36	26	21	27	37	
be	25	22	38	32	24	32	25	26	0	17	18	23	20	24	41	18	31	31	16	24	28	32	24	22	31	17	27	19	22	32	21	29	35	42	27	34	30	29	24	22	28	25	26	24	22	17	22	24	15	21	20	12	33	25	27	35	29	22	36	26	16	52	44	36	19	27	24	31	30	38	25	20	22	19	17	14	22	20	14	26	19	22	28	19	27	18	27	24	13	32	60	20	17	24	26	29	23	19	29	31	16	34	40	
eu	21	32	25	21	21	29	19	25	17	0	14	30	14	32	33	14	15	13	15	6	18	26	25	20	18	17	20	24	18	14	20	19	28	21	12	16	20	22	32	13	29	15	28	16	14	20	15	28	13	27	15	13	24	25	15	19	16	15	22	19	13	18	28	34	17	11	19	20	18	17	20	25	8	14	16	16	22	22	13	12	15	15	22	13	26	19	23	34	12	13	13	14	17	22	34	21	28	20	20	14	13	18	27	
tl	19	34	21	35	23	39	22	32	18	14	0	16	13	25	41	18	20	13	15	11	28	11	11	31	16	21	32	37	28	16	12	34	22	18	10	21	21	30	16	14	38	14	42	13	26	23	11	18	16	22	14	15	30	18	29	16	19	13	34	22	15	16	23	24	21	13	16	23	20	19	30	30	13	19	21	12	26	8	21	15	13	16	33	18	39	24	32	17	21	22	16	20	21	33	48	46	12	21	18	16	8	21	27	
es	31	29	18	11	20	26	17	21	23	30	16	0	13	61	28	8	15	19	17	13	20	21	40	12	30	18	14	17	13	20	27	13	28	23	12	27	14	16	60	20	26	27	15	23	12	14	17	37	12	30	23	12	28	28	30	28	29	12	17	20	12	23	30	32	20	21	37	13	20	23	16	22	18	14	16	10	17	49	10	16	15	18	24	17	19	15	19	29	15	22	22	11	18	19	20	22	18	25	21	18	10	29	22	
my	14	16	16	14	19	19	18	19	20	14	13	13	0	15	27	16	16	13	10	14	21	19	9	22	16	18	13	24	13	12	12	23	22	21	19	12	21	21	17	7	25	10	21	16	12	14	8	14	14	16	11	14	23	15	22	18	15	9	22	25	5	13	30	17	16	10	12	16	19	13	23	18	10	13	21	12	22	11	13	7	18	9	17	11	17	16	18	11	9	13	12	15	18	15	28	16	21	18	19	18	15	14	23	
gl	34	39	22	15	18	26	17	22	24	32	25	61	15	0	33	13	20	19	16	17	25	23	37	20	30	17	24	23	16	26	33	17	28	21	13	23	19	21	82	23	30	25	23	27	18	15	23	47	12	40	24	17	28	26	25	31	27	18	22	24	13	25	28	35	24	21	38	16	18	26	24	25	16	17	18	10	22	49	17	16	24	20	22	23	32	13	25	37	19	25	19	13	17	27	29	23	25	33	27	18	10	25	24	
mn	38	45	32	43	48	46	33	44	41	33	41	28	27	33	0	19	22	33	27	19	45	40	23	33	23	26	43	64	38	30	19	42	59	41	19	37	28	44	28	16	50	26	69	24	25	51	23	32	31	43	28	26	48	26	54	36	38	26	50	37	17	39	58	41	36	20	25	28	31	29	32	49	27	31	34	24	25	19	31	25	35	25	38	31	55	34	42	26	28	33	28	29	26	46	67	42	31	39	38	31	19	28	57	
