time, χρόνος, year, έτος, year, 
year, έτος, year, 
people, ανθρωποι, people, 
way, τρόπος, way, 
day, ημέρα, day, 
man, άνδρας, man, 
thing, πράγμα, thing, 
woman, γυναίκα, woman, 
life, ζωη, zoe, zoe, 
child, παιδί, child, 
world, κόσμος, world, 
school, σχολείο, school, 
state, κατάσταση, condition, κατάσταση, 
family, οικογένεια, family, 
student, μαθητης σχολειου, school student, μαθητης σχολειου, 
group, ομάδα, club, λέσχη, club, 
country, χώρα, country, 
problem, πρόβλημα, problem, 
hand, χέρι, hand, 
part, μέρος, part, 
place, θέση, position, θέση, 
case, υπόθεση, case, 
week, εβδομάδα, week, 
company, εταιρία, company, 
system, σύστημα, system, 
program, πρόγραμμα, program, 
question, ερώτηση, question, 
work, δουλειά, work, 
government, κυβέρνηση, government, 
number, αριθμός, number, 
night, νύχτα, night, 
mr, κύριος, mr, 
point, σημείο, point, 
home, σπίτι, home, 
water, νερό, water, 
room, δωμάτιο, room, 
mother, μητέρα, mother, 
area, περιοχή, area, 
money, χρήματα, money, 
story, ιστορία, history, ιστορία, 
fact, γεγονός, fact, 
month, μήνας, month, 
lot, παρτίδα, lot, 
right, σωστά, correctly, σωστά, 
study, μελέτη, study, 
book, βιβλίο, book, 
eye, μάτι, eye, 
job, δουλειά, work, δουλειά, 
word, λέξη, word, 
business, επιχείρηση, business, 
issue, θέμα, theme, θέμα, 
side, πλευρά, side, 
kind, είδος, kind, 
head, κεφάλι, head, 
house, σπίτι, home, σπίτι, 
service, υπηρεσία, service, 
friend, φίλος, friend, 
father, πατέρας, father, 
power, εξουσία, power, 
hour, ώρα, time, χρόνος, year, έτος, year, 
game, παιχνίδι, game, 
line, γραμμή, line, 
end, τέλος, end, 
member, μέλος, member, 
law, νόμος, law, 
car, αυτοκίνητο, car, 
city, πόλη, city, 
community, κοινότητα, community, 
name, όνομα, name, 
president, πρόεδρος, chairman, πρόεδρος, 
team, ομάδα, club, λέσχη, club, 
minute, λεπτό, minute, thin, λεπτό, λεπτό, minute, minute, λεπτό, λεπτό, 
idea, ιδέα, idea, 
kid, παιδί, child, παιδί, 
body, σώμα, body, 
information, πληροφορίες, information, 
back, πίσω, back, 
parent, μητρική εταιρεία, parent company, οικογενειακή επιχείρηση, family business, οικογενειακή επιχείρηση, 
face, πρόσωπο, face, 
others, οι υπολοιποι, others, 
level, επίπεδο, level, 
office, γραφείο, office, 
door, θύρα, door, 
health, υγεία, health, 
person, πρόσωπο, face, πρόσωπο, 
art, τέχνη, art, 
war, πόλεμος, war, 
history, ιστορία, history, 
party, κόμμα, party, 
result, αποτέλεσμα, result, 
change, αλλαγή, change, 
morning, πρωί, morning, 
reason, λόγος, reason, 
research, έρευνα, research, 
girl, κορίτσι, girl, 
guy, ο τύπος, guy, 
food, τροφή, food, 
moment, στιγμή, dot, τελεία, perfect, τέλειος, perfect, 
air, αέρας, air, 
teacher, δάσκαλος, teacher, 
force, δύναμη, power, εξουσία, power, 
education, εκπαίδευση, education, 
foot, πόδι, foot, 
