time, време, time, 
year, године, years, године, 
people, људи, people, 
way, начин, the way, начин, 
day, дан, day, 
man, човек, man, 
thing, ствар, thing, 
woman, жена, woman, 
life, живот, life, 
child, дете, a child, дете, 
world, свет, the world, свет, 
school, школа, school, 
state, држава, country, земљу, land, земљиште, land, 
family, породица, the family, породица, 
student, ученик, student, 
group, група, a group, група, 
country, земљу, land, земљиште, land, 
problem, проблем, issue, питање, question, питање, 
hand, руку, hand, 
part, део, a part of, део, 
place, место, place, 
case, случај, the case, случај, 
week, недеља, sunday, недеља, 
company, компанија, company, 
system, систем, the system, систем, 
program, програм, the program, програм, 
question, питање, question, 
work, радити, to do, урадити, to do, 
government, влада, government, 
number, број, number, 
night, ноћ, night, 
mr, господин, mister, господине, sir, господине, 
point, тачка, point, 
home, кућа, a house, кућа, 
water, вода, water, 
room, соба, a room, соба, 
mother, мајка, mother, 
area, подручје, area, 
money, новац, money, 
story, прича, story, 
fact, чињеница, fact, 
month, месец дана, month, 
lot, лот, lot, 
right, јел тако, right, 
study, студија, study, 
book, књига, a book, књига, 
eye, око, eye, 
job, посао, a job, посао, 
word, реч, word, 
business, бизнис, the business, бизнис, 
issue, питање, question, питање, 
side, страна, page, страна, 
kind, врста, species, врсте, kinds of, врсте, 
head, глава, head, 
house, кућа, a house, кућа, 
service, услуга, a favor, услуга, 
friend, пријатељ, a friend, пријатељ, 
father, отац, father, 
power, моћ, power, 
hour, сат, a clock, сат, 
game, игра, a game, игра, 
line, лине, line, 
end, крај, the end, крај, 
member, члан, member, 
law, закон, the law, закон, 
car, ауто, car, 
city, град, city, 
community, заједница, community, 
name, име, name, 
president, председник, president, 
team, тим, the team, тим, 
minute, минута, minutes, минута, 
idea, идеја, idea, 
kid, клинац, kid, 
body, тело, body, 
information, информације, information, 
back, назад, back, 
parent, родитељ, parent, 
face, лице, the face, лице, 
others, други, the second, друга, the other one, онај други, the other one, 
level, ниво, level, 
office, канцеларија, office, 
door, врата, the door, врата, 
health, здравље, health, 
person, особа, a person, особа, 
art, уметност, art, 
war, рат, war, 
history, историја, history, 
party, журка, party, 
result, резултат, the result, резултат, 
change, промена, change, 
morning, јутро, morning, 
reason, разлог, reason, 
research, истраживање, research, 
girl, девојка, girl, 
guy, момак, guy, 
food, храна, food, 
moment, тренутак, a moment, тренутак, 
air, ваздух, air, 
teacher, наставник, a teacher, наставник, 
force, сила, force, 
education, образовање, education, 
foot, стопала, feet, стопала, 
boy, дечко, boyfriend, дечко, 
age, старост, age, 
policy, политика, politics, политика, 
process, процес, process, 
music, музика, music, 
market, тржиште, market, 
sense, смисао, meaning, значење, meaning, 
nation, нација, nation, 
plan, план, plan, 
college, колеџ, college, 
interest, интерес, interest, 
death, смрт, death, 
experience, искуство, experience, 
effect, ефекат, effect, 
use, користите, you use, користите, 
class, класа, the class, класа, 
control, контрола, control, 
care, нега, care, 
field, поље, field, 
development, развој, development, 
role, улога, the role, улога, 
effort, напор, effort, 
rate, стопа, rate, 
heart, срце, heart, 
drug, дрога, drug, 
show, схов, shov, схов, 
leader, лидер, the leader, лидер, 
light, светло, light, 
voice, глас, the voice, глас, 
wife, жена, woman, жена, 
police, полиција, police, 
mind, ум, the mind, ум, 
price, цена, the price, цена, 
report, извештај, the report, извештај, 
decision, одлука, decision, 
son, син, son, 
view, поглед, the view, поглед, 
relationship, однос, relationship, 
town, град, city, град, 
road, пут, the road, пут, 
arm, рука, hand, руку, hand, 
difference, разлика, difference, 
value, вредност, value, 
building, зграде, building, 
action, поступак, procedure, процедуре, procedure, 
model, модел, model, 
season, годишње доба, season, 
society, друштво, society, 
tax, порез, tax, 
director, директор, director, 
position, позиција, position, 
player, плаиер, plaier, плаиер, 
record, запис, record, 
paper, папир, paper, 
space, простор, space, 
ground, земља, country, земљу, land, земљиште, land, 
form, образац, the form, образац, 
event, догађај, an event, догађај, 
official, званичник, official, 
matter, материја, matter, 
center, центар, center, 
couple, пар, couple, 
site, сите, site, 
project, пројекат, project, 
activity, активност, activity, 
star, звезда, star, 
table, сто, a table, сто, 
need, потреба, need, 
court, суд, the court, суд, 
american, американац, american, 
oil, уље, oil, 
situation, ситуација, situation, 
cost, трошак, cost, 
industry, индустрија, industry, 
figure, фигура, figure, 
street, улица, street, 
image, слика, the painting, слика, 
phone, телефон, phone, 
data, подаци, the data, подаци, 
picture, слика, the painting, слика, 
practice, пракса, practice, 
piece, комад, piece, 
land, земљиште, land, 
product, производ, product, 
doctor, доктор, doctor, 
wall, зид, wall, 
patient, пацијент, patient, 
worker, радник, worker, 
news, вести, news, 
test, тест, test, 
movie, филм, movie, 
north, север, north, 
love, љубав, love, 
support, подршка, support, 
technology, технологија, technology, 
step, корак, step, 
baby, беба, baby, 
computer, рачунар, computer, 
type, тип, type, 
attention, пажњу, attention, 
film, филм, movie, филм, 
republican, републиканска, republican, 
tree, дрво, wood, дрво, 
source, извор, source, 
organization, организација, organization, 
hair, коса, hair, 
look, погледај, take a look at, баци поглед на, cast a glance at, погледајте, look, 
century, век, century, 
evidence, доказ, proof, доказ, 
window, прозор, the window, прозор, 
culture, култура, culture, 
chance, шанса, a chance, шанса, 
brother, брате, brother, 
energy, енергија, energy, 
period, раздобље, period, 
course, курс, a course, курс, 
summer, лето, summer, 
plant, биљка, plant, 
