time, tempu, time, 
year, annu, year, 
people, persone, people, 
way, modu, way, 
day, ghjornu, day, 
man, omu, man, 
thing, cosa, thing, 
woman, donna, woman, 
life, vita, life, 
child, zitellu, boy, picciottu, boy, 
world, mondu, world, 
school, scola, school, 
state, statu, been, statu, 
family, famiglia, family, 
student, studiente, student, 
group, gruppu, group, 
country, paese, country, 
problem, prublema, problem, 
hand, manu, hand, 
part, parte, part, 
place, locu, place, 
case, casu, case, 
week, settimana, week, 
company, cumpagnia, company, 
system, sistema, system, 
program, prugramma, program, 
question, quistione, query, quistione, 
work, travagliu, work, 
government, guvernu, government, 
number, numaru, number, 
night, notte, night, 
mr, mr, 
point, puntu, point, 
home, casa, home, 
water, acqua, water, 
room, stanza, room, 
mother, mamma, mother, 
area, zona, zone, zona, 
money, soldi, money, 
story, storia, story, 
fact, fattu, done, fattu, 
month, mese, month, 
lot, assai, very much, assai, 
right, diritta, right, 
study, studiu, study, 
book, libru, book, 
eye, occhiu, eye, 
job, travagliu, work, travagliu, 
word, parolla, word, 
business, affari, business, 
issue, prublema, problem, prublema, 
side, latu, side, 
kind, bona, good, bene, good, 
head, testa, head, 
house, casa, home, casa, 
service, serviziu, service, 
friend, amicu, friend, 
father, babbu, father, 
power, putenza, power, 
hour, ora, hour, 
game, jocu, game, 
line, linia, line, 
end, fini, end up, finì, end up, 
member, membru, member, 
law, liggi, laws, liggi, 
car, car, 
city, cità, city, 
community, comunità, community, 
name, nome, first name, nome, 
president, prisidenti, president, 
team, squadra, squadron, squadron, 
minute, minutu, minute, 
idea, idea, 
kid, caprettu, kid, 
body, corpu, body, 
information, infurmazione, information, 
back, turnà, return, ritornu, come back, ritornu, 
parent, parent, 
face, facci, face, 
others, altri, others, 
level, livellu, level, 
office, ufficio, office, 
door, porta, door, 
health, salute, hi, salute, 
person, persona, person, 
art, arti, art, 
war, guerra, war, 
history, storia, story, storia, 
party, partitu, party, 
result, risultatu, result, 
change, cambià, change, 
morning, mane, morning, 
reason, mutivu, reason, 
research, ricerca, search, ricerca, 
girl, ragazza, girl, 
guy, omu, man, omu, 
food, alimentariu, food, 
moment, momentu, moment, 
air, aria, aria, 
teacher, maestru, master, maestru, 
force, forza, strength, forza, 
education, educazione, education, 
foot, pede, foot, 
boy, picciottu, boy, 
age, età, years old, età, 
policy, pulitica, politics, pulitica, 
process, prucessu, trial, prucessu, 
music, musica, music, 
market, mercatu, market, 
sense, sensu, sense, 
nation, nazione, nation, 
plan, pianu, floor plan, u pianu, the plan, u pianu, 
college, università, university, università, 
interest, interessu, interest, 
death, morte, death, 
experience, sperienza, sperience, sperience, 
effect, effettu, effect, 
use, usu, use, 
class, class, 
control, cuntrollu, control, 
care, cura, healing, guariscenza, healing, 
field, campu, field, 
development, sviluppu, development, 
role, rolu, role, 
effort, sforzu, effort, 
rate, rate, 
heart, core, core, 
drug, droga, drug, 
show, mostra, shows, mostra, 
leader, capimachja, capimachja, 
light, lume, fire, u focu, the fire, u focu, 
voice, voce, voce, 
wife, moglia, wife, 
police, polizia, police, 
mind, in mente, in mind, in mente, 
price, prezzu, price, 
report, rapportu, report, 
decision, a decisione, to decision, à a decisione, to the decision, à a decisione, 
son, figliolu, son, 
view, vista, view, 
relationship, rilazioni, relationships, rilazioni, 
town, cità, city, cità, 
road, strada, road, 
arm, vrazzu, arm, 
difference, diffarenza, difference, 
value, valore, value, 
building, custruisce, build, custruisce, 
action, action, 
model, mudellu, template, mudellu, 
season, stagione, season, 
society, a sucetà, the company, a cumpagnia, the company, 
tax, impositu, tax, 
director, direttore, director, 
position, pusizione, position, 
player, jocaturi, gamblers, ghjucarii, play games, i ghjoculi, the toys, i joca, and play, è ghjucà, and play, 
record, scurdà, forget, scurdate, forget!, scurdà!, forget!, 
paper, carta, letter, lettera, letter, 
space, u spaziu, space, 
ground, terra, land, terra, 
form, forma, shape, forma, 
event, successu, success, successu, 
official, ufficiale, official, 
matter, a materia, the subject, u sughjettu, the subject, 
center, centru, center, 
couple, coppia, couple, 
site, situ, if you, si tù, if you, 
project, prughjettu, project, 
activity, attività, activity, 
star, stella, star, 
table, tavulinu, table, 
need, bisognu, you need, avete bisognu, you need it, avete bisognu, 
court, curti, cuts, tagli, tagli, 
american, americanu, american, 
oil, oliu, oil, 
situation, situazione, situation, 
cost, costu, cost, 
industry, industria, industry, 
figure, figura, figure, 
street, strada, road, strada, 
image, imagine, imagine, 
phone, telefunu, phone, 
data, dati, dates, dati, 
picture, ritrattu, portrait, ritrattu, 
practice, pratica, practice, 
piece, pezzu, piece, 
land, terra, land, 
product, pruduttu, product, 
doctor, duttore, doctor, 
wall, murale, mural, murale, 
patient, pacienza, patience, pacienza, 
worker, travagliadori, workers, i travagliadori, workers, 
news, nova, new, novu, new, 
test, test, 
movie, filmu, movie, 
north, nordu, north, 
love, amuri, love, 
support, supportu, support, 
technology, tecnulugia, technology, 
step, u passu, the step, u passu, 
baby, picciriddu, little boy, picciriddu, 
computer, computer, 
type, tipu, type, 
attention, attenzioni, attention, 
film, film, 
republican, ripubblicanu, republican, 
tree, arbulu, tree, 
source, fonti, source, 
organization, urganizazione, organization, 
hair, capelli, hairs, capelli, 
look, vede, to see, vede, 
century, sèculu, century, 
evidence, evidenza, evidence, 
window, finestra, window, 
culture, cultura, culture, 
chance, casu, case, casu, 
brother, fratellu, brother, 
energy, energia, energy, 
period, periodu, period, 
course, sicuru, safe, sicura, sure, sicura, 
summer, 'estate, estate, duminiu, domain, duminiu, 
plant, pianta, plant, 
opportunity, oppurtunità, opportunity, 
term, terminu, term, 
letter, lettera, letter, 
condition, cundizione, condition, 
choice, scelta, choice, 
rule, regula, regulates, regulheghja, regulates, 
daughter, figliola, daughter, 
administration, amministrazione, administration, 
south, sudu, south, 
husband, maritu, husband, 
congress, cungressu, congressional, bilatale, bilatale, 
floor, pianu, floor plan, u pianu, the plan, u pianu, 
campaign, campagna, countryside, campagna, 
material, materiale, material, 
population, pupulazione, population, 
call, chjama, he calls, ellu chjama, he calls, 
economy, ecunumia, economy, 
hospital, ospitalu, hospital, 
church, chiesa, church, 
risk, risicu, risk, 
fire, u focu, the fire, u focu, 
future, futuru, future, 
defense, di difesa, of defense, di difesa, 
security, sicurità, safety, a sicura, sure, sicura, sure, 
bank, bancariu, bank, 
west, oeste, west, 
sport, sportu, sport, 
board, bordu, on board, à bordu, on board, 
subject, sughjettu, subject, 
officer, ufficiale, official, ufficiale, 
rest, restu, rest, 
behavior, cumpurtamentu, behavior, 
performance, u sirviziu, serve him, serve, serve, 
top, cima, top, 
goal, mira, look, vede, to see, vede, 
second, sicondu, second, 
bed, lettu, bed, 
order, ordine, order, 
author, autore, author, 
blood, sangue, blood, 
agency, agenzia, agency, 
nature, natura, nature, 
color, culore, color, 
store, tenda, store, 
sound, sonu, sound, 
movement, muvimentu, movement, 
page, pagina, page, 
race, razza, breed, razza, 
concern, preoccupa, he worries, si preoccriviere, if you worry, se vi preoccupa, if you were worried, se tu erate preoccupatu, if you were worried, 
series, serie, series, 
language, lingua, language, 
response, risposta, answer, risposta, 
animal, animali, animals, animali, 
factor, fattore, factor, 
decade, deci anni, ten years, deci anni, 
article, articulu, article, 
east, este, east, 
artist, artista, artist, 
scene, scena, scene, 
stock, stock, 
career, carriera, career, 
treatment, trattamentu, treatment, 
approach, approcciu, approach, 
size, granu, wheat, granu, 
dog, cani, dogs, i cani, the dogs, i ghjacari, the dogs, 
fund, fund, 
media, media, 
sign, signu, sign, 
thought, pinsamenti, thoughts, pinsamenti, 
list, lista, list, 
individual, individuu, individual, 
quality, qualità, quality, 
pressure, prissioni, pressure, 
answer, risposta, answer, 
resource, risorse, resources, risorse, 
meeting, riunione, riunion, riunione, 
disease, malattia, maladies, maladies, 
success, successu, success, 
cup, tazza, cup, 
amount, quantità, quantity, quantità, 
ability, abilità, ability, 
staff, bastone, stick, bastone, 
character, caratteru, character, 
growth, criscenti, growing, crescente, growing, 
loss, perdita, loss, 
degree, diploma, diploma, 
attack, attaccu, attack, 
region, rigioni, regions, rigioni, 
television, televisione, television, 
box, scatula, box, 
tv, tv, 
training, furmazione, training, 
trade, scambiu, exchange, scambiu, 
deal, trattà, deal with, trattà, 
election, elizzioni, elections, elizzioni, 
feeling, sintimu, hear, sèntenu, they may feel, puderanu sente, they may hear, puderanu sente, 
standard, standard, 
bill, bill, 
message, missaghju, message, 
analysis, analisi, analysis, 
benefit, benefiziu, benefited, benefica, beneficial, benefica, 
sex, sessu, sex, 
lawyer, avvucatu, lawyer, 
section, rùbbrica, section, 
glass, vetru, glass, 
skill, abilità, ability, abilità, 
sister, surella, sister, 
professor, prufissuri, professors, prufessori, professors, 
operation, funziunamentu, operation, 
crime, crime crime, crime crime, 
stage, stage, 
authority, autorità, authority, 
design, u so designu, its design, u so designu, 
sort, sorte, hang out, sorte, 
one, unu, one, 
knowledge, cunniscenza, knowledge, 
gun, fucili, gun, 
station, stazione, station, 
strategy, strategia, strategy, 
truth, verità, truth, 
song, cantu, song, 
example, esempiu, example, 
environment, ambiente, environment, 
leg, gamma, gamma, 
public, publicu, public, 
executive, executive, 
set, set, 
rock, roccia, rock, 
note, nota, note, 
manager, manager, 
help, aiutà, help, 
network, reta, straight, dritti, straight, 
science, scienza, science, 
memory, memoria, memory, 
card, carta, letter, lettera, letter, 
seat, sediu, seat, 
cell, cell, 
trial, prucessu, trial, 
expert, spetturista, inspector, cuntrollu, control, cuntrollu, 
spring, primavera, spring, 
firm, firmu, signing, firmatu, signed, firmatu, 
democrat, democraticu, democratic, demucraticu, democratic, 
radio, radiu, radio, 
management, gestione, manage, gestione, 
ball, ballu, dance, ballu, 
talk, parlà, talk, 
theory, teoria, theory, 
impact, impact, 
statement, affirmazioni, statements, affirmazioni, 
charge, culpèvule, guilty, culpèvule, 
direction, direzzione, direction, 
weapon, arma, weapon, 
employee, impiigatu, employee, 
peace, a pace, at a pace, à passu, step by step, u passu passu, the step by step, u passu dopu, the step later, u passu dopu, 
base, basa, base, 
pain, u dulore, the pain, u dulore, 
play, ghjucà, play, 
measure, misura, measure, 
interview, entrevista, interview, 
chair, sedia, chair, 
fish, pisci, fish, 
camera, camera, 
structure, struttura, structure, 
politics, pulitica, politics, 
bit, pocu, little, pocu, 
weight, pisu, weight, 
candidate, candidatu, candidate, 
production, pruduzzioni, production, 
trip, viaghju, trip, 
evening, sera, evening, 
conference, cunferenza, conference, 
unit, unità, unit, 
style, stile, style, 
adult, adultu, adult, 
range, rigistru, range, 
past, passatu, past, 
edge, edge, 
writer, scritturi, writers, scrittori, writers, 
trouble, u prublemu, the problem, u prublema, the problem, 
challenge, sfida, challenge, 
fear, scantu, scared, scantatu, scared, 
shoulder, spalla, shoulder, 
institution, istitutu, institution, 
sea, mari, sea, 
dream, sònniu, dream, 
bar, bar, 
property, pruprietà, property, 
stuff, stuff, 
detail, dettagliu, detail, 
method, mètudu, method, 
magazine, rivista, magazine, 
hotel, hotel, 
soldier, suldatu, soldier, 
cause, causa, cause, 
bag, saccu, bag, 
heat, calore, heat, 
fall, cascarà, it will fall, hè cascata, is a waterfall, hè una cascata, is a waterfall, 
marriage, matrimoniu, wedding, matrimoniu, 
surface, superficia, surface, 
purpose, scopu, goal, mira, look, vede, to see, vede, 
pattern, mudellu, template, mudellu, 
skin, peddi, skin, 
agent, agenti, agents, agenti, 
owner, u patrone, the lord, u maestru, the master, u maestru, 
machine, macchina, macchina, 
gas, gasu, gas, 
generation, generazione, generation, 
cancer, cancer, 
item, articulu, article, articulu, 
reality, rialità, reality, 
coach, coach, 
mrs, mrs, 
yard, iarda, yard, 
violence, a viulenza, violence, 
investment, investimentu, investment, 
discussion, discussione, discussion, 
finger, dito, said, dissi, i said, aghju dettu, i said, 
garden, giardinu, garden, 
collection, cullezzione, collections, cullezzione, 
task, averia, breakdown, daveru, very much, assai, very much, 
partner, cumpagnu, companion, cumpagnu, 
kitchen, cucina, cuisine, cucina, 
consumer, consumatore, consumer, 
shot, tarri, land, terra, land, 
budget, u budget, the budget, u budgetu, the budget, 
painting, pittura, painting, 
scientist, scientist, 
agreement, accordu, agree, accunsentiscenu, agree, 
capital, capitale, capital, 
mouth, bocca, mouth, 
victim, vittima, victim, 
newspaper, ghjurnale, newspaper, 
threat, minaccia, threat, 
responsibility, rispunsabilità, responsibility, 
attorney, attorney, 
score, puntu, point, puntu, 
account, contu, count, cuntà, count, 
break, rumpimentu, breakdown, daveru, very much, assai, very much, 
audience, udienza, audience, 
dinner, cena, dinner, 
vote, votu, vote, 
debate, dibattiti, debates, debati, debates, 
citizen, citadinu, citizen, 
majority, majuranza, seniority, anziane, old ones, vechji, old men, vechji, 
wind, ventu, wind, 
mission, mission, 
customer, u clienti, customers, i clienti, customers, 
speech, discursu, speech, 
option, opzione, option, 
participant, participante, participant, 
forest, foresta, forest, 
video, video, 
senate, senatu, senate, 
reform, riforma, reform, 
access, accessu, access, 
restaurant, restaurant, 
judge, ghjudice, judge, 
relation, rilazioni, relationships, rilazioni, 
bird, uccelli, birds, 'acelli, birds, 
opinion, opinione, think, pensate, think, 
credit, crèditu, credit, 
corner, cantu, song, cantu, 
version, versione, version, 
safety, a sicura, sure, sicura, sure, 
neighborhood, vicinanzi, vicinity, vicinanza, vicinity, 
act, attu, act, 
troop , truppe , troops , truppe , 
