time, ಸಮಯ, time, 
year, ವರ್ಷ, year, 
people, ಜನರು, people, 
way, ದಾರಿ, way out, ಹೊರಕ್ಕೆ ದಾರಿ, get out of the way, ದಾರಿ ತಪ್ಪಿಸಿ, avoid the way, ದಾರಿಯನ್ನು ತಪ್ಪಿಸಿ, avoid the way, 
day, ದಿನ, day, 
man, ಮನುಷ್ಯ, man, 
thing, ವಿಷಯ, subject, ವಿಷಯ, 
woman, ಮಹಿಳೆ, woman, 
life, ಜೀವನ, life, 
child, ಮಗು, baby, ಬೇಬಿ, baby, 
world, ಪ್ರಪಂಚ, the world, ಜಗತ್ತು, the world, 
school, ಶಾಲೆ, school, 
state, ರಾಜ್ಯ, state, 
family, ಕುಟುಂಬ, family, 
student, ವಿದ್ಯಾರ್ಥಿ, student, 
group, ಗುಂಪು, group, 
country, ದೇಶ, country, 
problem, ಸಮಸ್ಯೆ, problem, 
hand, ಕೈ, hand, 
part, ಭಾಗ, part, 
place, ಸ್ಥಳ, location, ಸ್ಥಳ, 
case, ಕೇಸ್, case, 
week, ವಾರ, week, 
company, ಕಂಪನಿ, company, 
system, ವ್ಯವಸ್ಥೆ, system, 
program, ಕಾರ್ಯಕ್ರಮ, program, 
question, ಪ್ರಶ್ನೆ, q., ಪ್ರ., q., 
work, ಕೆಲಸ, work, 
government, ಸರ್ಕಾರ, government, 
number, ಸಂಖ್ಯೆ, number, 
night, ರಾತ್ರಿ, night, 
mr, ಮಿ, me, ಮಿ, 
point, ಪಾಯಿಂಟ್, point, 
home, ಮನೆ, home, 
water, ನೀರು, water, 
room, ಕೊಠಡಿ, room, 
mother, ತಾಯಿ, mother, 
area, ಪ್ರದೇಶ, area, 
money, ಹಣ, money, 
story, ಕಥೆ, story, 
fact, ಸತ್ಯ, the truth, ಸತ್ಯ, 
month, ತಿಂಗಳು, month, 
lot, ಬಹಳಷ್ಟು, a lot, ಬಹಳ, very much, ತುಂಬಾ, too much, ತುಂಬಾ, 
right, ಸರಿ, ok, ಸರಿ, 
study, ಅಧ್ಯಯನ, study, 
book, ಪುಸ್ತಕ, book, 
eye, ಕಣ್ಣು, eye, 
job, ಕೆಲಸ, work, ಕೆಲಸ, 
word, ಪದ, the word, ಶಬ್ದ, noise, ಶಬ್ದ, 
business, ವ್ಯಾಪಾರ, business, 
issue, ಸಮಸ್ಯೆ, problem, ಸಮಸ್ಯೆ, 
side, ಅಡ್ಡ, cross, ಕ್ರಾಸ್, cross, 
kind, ರೀತಿಯ, kind of, ರೀತಿಯ, kind of, 
head, ತಲೆ, head, 
house, ಮನೆ, home, ಮುಖಪುಟ, homepage, ಮುಖಪುಟ, 
service, ಸೇವೆ, service, 
friend, ಗೆಳತಿ, girlfriend, ಗೆಳತಿ, 
father, ತಂದೆ, father, 
power, ಶಕ್ತಿ, power, 
hour, ಗಂಟೆ, hour, 
game, ಆಟ, the game, ಆಟ, 
line, ಸಾಲು, line, 
end, ಅಂತ್ಯ, the end, ಅಂತ್ಯ, 
member, ಸದಸ್ಯ, member, 
law, ಕಾನೂನು, the law, ಕಾನೂನು, 
car, ಕಾರು, the car, ಕಾರು, 
city, ನಗರ, city, 
community, ಸಮುದಾಯ, community, 
name, ಹೆಸರು, the name, ಹೆಸರು, 
president, ಅಧ್ಯಕ್ಷರು, president, 
team, ತಂಡ, team, 
minute, ನಿಮಿಷ, minute, 
idea, ಕಲ್ಪನೆ, idea, 
kid, ಮಗು, baby, ಬೇಬಿ, baby, 
body, ದೇಹ, body, 
information, ಮಾಹಿತಿ, information, 
back, ಹಿಂದೆ, in the past, ಹಳೆಗಾಲದಲ್ಲಿ, in the old age, ವೃದ್ಧಾಪ್ಯದಲ್ಲಿ, in old age, ವೃದ್ಧಾಪ್ಯದಲ್ಲಿ, 
parent, ಪೋಷಕರು, parents, ಪೋಷಕರು, parents, 
face, ಮುಖ, face, 
others, ಇತರರು, others, 
level, ಮಟ್ಟ, level, 
office, ಕಚೇರಿ, office, 
door, ಬಾಗಿಲು, door, 
health, ಆರೋಗ್ಯ, health, 
person, ವ್ಯಕ್ತಿ, person, 
art, ಕಲೆ, art, 
war, ಯುದ್ಧ, war, 
history, ಇತಿಹಾಸ, history, 
party, ಪಕ್ಷ, party, 
result, ಫಲಿತಾಂಶ, the result, ಫಲಿತಾಂಶ, 
change, ಬದಲಾವಣೆ, change, 
morning, ಬೆಳಿಗ್ಗೆ, in the morning, ಮುಂಜಾನೆಯಲ್ಲಿ, in the morning, 
reason, ಕಾರಣ, reason, 
research, ಸಂಶೋಧನೆ, research, 
girl, ಹುಡುಗಿ, girl, 
guy, ವ್ಯಕ್ತಿ, person, ವ್ಯಕ್ತಿ, 
food, ಆಹಾರ, food, 
moment, ಕ್ಷಣ, the moment, ಕ್ಷಣ, 
air, ಗಾಳಿ, wind, ವಿಂಡ್, wind, 
teacher, ಶಿಕ್ಷಕ, teacher, 
force, ಬಲ, right, ಬಲ, 
education, ಶಿಕ್ಷಣ, education, 
foot, ಪಾದ, foot, 
boy, ಹುಡುಗ, boy, 
age, ವಯಸ್ಸು, age, 
policy, ನೀತಿ, policy, 
process, ಪ್ರಕ್ರಿಯೆ, process, 
music, ಸಂಗೀತ, music, 
market, ಮಾರುಕಟ್ಟೆ, market, 
sense, ಅರ್ಥ, meaning, ಅರ್ಥ, 
nation, ರಾಷ್ಟ್ರ, country, ದೇಶ, country, 
plan, ಯೋಜನೆ, plan, 
college, ಕಾಲೇಜು, college, 
interest, ಆಸಕ್ತಿ, interested, ಆಸಕ್ತಿ, 
death, ಸಾವು, death, 
experience, ಅನುಭವ, experience, 
effect, ಪರಿಣಾಮ, effect, 
use, ಬಳಕೆ, use, 
class, ವರ್ಗ, category, ವರ್ಗ, 
control, ನಿಯಂತ್ರಣ, control, 
care, ಆರೈಕೆ, care, 
field, ಕ್ಷೇತ್ರ, field, 
development, ಅಭಿವೃದ್ಧಿ, development, 
role, ಪಾತ್ರ, character, ಅಕ್ಷರ, character, 
effort, ಪ್ರಯತ್ನ, effort, 
rate, ದರ, rate, 
heart, ಹೃದಯ, heart, 
drug, ಔಷಧ, medicine, ಮೆಡಿಸಿನ್, medicine, 
show, ತೋರಿಸು, show, 
leader, ನಾಯಕ, leader, 
light, ಬೆಳಕು, light, 
voice, ಧ್ವನಿ, sound, ಸೌಂಡ್, sound, 
wife, ಪತ್ನಿ, wife, 
police, ಪೊಲೀಸರು, police, 
mind, ಮನಸ್ಸು, mind, 
price, ಬೆಲೆ, price, 
report, ವರದಿ, report, 
decision, ನಿರ್ಧಾರ, decision, 
son, ಮಗ, son, 
view, ನೋಟ, look, ನೋಡಿ, see, ನೋಡಿ, 
relationship, ಸಂಬಂಧ, relation, ಸಂಬಂಧ, 
town, ಪಟ್ಟಣ, town, 
road, ರಸ್ತೆ, road, 
arm, ತೋಳು, arm, 
difference, ವ್ಯತ್ಯಾಸ, the difference, ವ್ಯತ್ಯಾಸ, 
value, ಮೌಲ್ಯ, value, 
building, ಕಟ್ಟಡ, building, 
action, ಕ್ರಿಯೆ, action, 
model, ಮಾದರಿ, model, 
season, ಋತುವಿನಲ್ಲಿ, season, 
society, ಸಮಾಜ, society, 
tax, ತೆರಿಗೆ, tax, 
director, ನಿರ್ದೇಶಕ, director, 
position, ಸ್ಥಾನ, place, ಸ್ಥಳ, location, ಸ್ಥಳ, 
player, ಆಟಗಾರ, player, 
record, ದಾಖಲೆ, documentation, ದಾಖಲೆ, 
paper, ಕಾಗದ, paper, 
space, ಸ್ಥಳ, location, ಸ್ಥಳ, 
ground, ನೆಲದ, ground, 
form, ರೂಪ, form, 
