time, 时间, time, 
year, 年, year, 
people, 人, people, 
way, 办法, method, 方法, method, 
day, 天, day, 
man, 人, people, 人, 
thing, 事情, thing, 
woman, 女人, woman, 
life, 生活, life, 
child, 儿童, child, 
world, 世界, world, 
school, 学校, school, 
state, 州, state, 
family, 家庭, family, 
student, 学生, student, 
group, 组, group, 
country, 国家, country, 
problem, 问题, problem, 
hand, 手, hand, 
part, 部分, section, 部分, 
place, 地点, location, 位置, position, 位置, 
case, 案件, case, 
week, 周, week, 
company, 公司, the company, 公司, 
system, 系统, system, 
program, 程序, program, 
question, 题, question, 
work, 工作, jobs, 工作, 
government, 政府, government, 
number, 数, number, 
night, 晚, late, 晚了, late, 
mr, 先生, mr, 
point, 点, point, 
home, 家, family, 家庭, family, 
water, 水, water, 
room, 房间, room, 
mother, 母亲, mother, 
area, 区, area, 
money, 钱, money, 
story, 故事, story, 
fact, 事实, fact, 
month, 月, month, 
lot, 批量, batch, 批量, 
right, 对, correct, 正确, correct, 
study, 研究, the study, 研究, 
book, 书, book, 
eye, 眼, eye, 
job, 工作, jobs, 工作, 
word, 字, word, 
business, 商业, business, 
issue, 问题, problem, 问题, 
side, 侧, side, 
kind, 类, class, 类, 
head, 头, head, 
house, 屋, house, 
service, 服务, service, 
friend, 朋友, friend, 
father, 父亲, father, 
power, 功率, power, 
hour, 小时, hour, 
game, 游戏, game, 
line, 线, line, 
end, 结束, end, 
member, 会员, member, 
law, 法, law, 
car, 汽车, car, 
city, 市, city, 
community, 社区, community, 
name, 名称, name, 
president, 主席, chairman, 主席, 
team, 球队, team, 
minute, 分钟, minute, 
idea, 理念, idea, 
kid, 孩子, child, 儿童, child, 
body, 身体, body, 
information, 信息, information, 
back, 背部, back, 
parent, 亲, dear, 亲, 
face, 面对, face, 
others, 其他, other, 其他, 
level, 水平, level, 
office, 办公室, office, 
door, 门, door, 
health, 健康, health, 
person, 人, people, 人, 
art, 艺术, art, 
war, 战争, war, 
history, 历史, history, 
party, 派对, party, 
result, 结果, result, 
change, 更改, change, 
morning, 早上, morning, 
reason, 原因, the reason, 原因, 
research, 研究, the study, 研究, 
girl, 女孩, girl, 
guy, 家伙, guy, 
food, 餐饮, food, 
moment, 时刻, time, 时间, time, 
air, 空气, air, 
teacher, 老师, teacher, 
force, 力, force, 
education, 教育, education, 
foot, 脚丫子, feet, 脚, foot, 
boy, 男孩, boy, 
age, 年龄, age, 
policy, 政策, policy, 
process, 处理, deal with, 处理, 
music, 音乐, music, 
market, 市场, market, 
sense, 感, sense, 
nation, 国家, country, 国家, 
plan, 计划, plan, 
college, 学院, college, 
interest, 利益, interest, 
death, 死亡, death, 
experience, 经验, experience, 
effect, 影响, influences, 影响, 
use, 使用, use, 
class, 类, class, 
control, 控制, control, 
care, 关心, concern, 关心, 
field, 领域, field, 
development, 发展, development of, 的发展, development of, 
role, 角色, character, 字符, character, 
effort, 功夫, effort, 
rate, 率, rate, 
heart, 心, heart, 
drug, 药物, drug, 
show, 显示, display, 显示, 
leader, 领导, leadership, 领导, 
light, 光, light, 
voice, 语音, voice, 
wife, 妻子, wife, 
police, 警察, policemen, 警察, 
mind, 心神, mind, 
price, 价钱, price, 
report, 报告, report, 
decision, 决定, decide, 决定, 
son, 儿子, son, 
view, 视图, view, 
relationship, 关系, relationship, 
town, 镇, town, 
road, 路, road, 
arm, 臂, arm, 
difference, 区别, the difference, 区别, 
value, 值, value, 
