time, kohë, time, 
year, vit, year, 
people, njerëz, people, 
way, mënyrë, way, 
day, ditë, day, 
man, njeri, man, 
thing, gjë, thing, 
woman, grua, woman, 
life, jetë, life, 
child, fëmijë, children, fëmijë, 
world, botë, world, 
school, shkollë, school, 
state, shtet, state, 
family, familje, family, 
student, student, 
group, grup, group, 
country, vend, country, 
problem, problem, 
hand, dorë, hand, 
part, pjesë, part, 
place, vend, country, vend, 
case, rast, case, 
week, javë, week, 
company, kompani, company, 
system, sistem, system, 
program, program, 
question, pyetje, question, 
work, punë, work, 
government, qeveri, government, 
number, numër, number, 
night, natë, night, 
mr, zoti, mr., zoti., lord., lord., 
point, pikë, point, 
home, shtëpi, house, shtëpi, 
water, ujë, water, 
room, dhomë, room, 
mother, nënë, mother, 
area, zonë, area, 
money, para, before, para, 
story, histori, story, 
fact, fakt, fact, 
month, muaj, month, 
lot, shumë, many, shumë, 
right, e drejtë, right, 
study, studim, survey, studim, 
book, libër, book, 
eye, sy, eye, 
job, punë, work, punë, 
word, fjalë, word, 
business, biznes, business, 
issue, çështje, issue, 
side, anë, side, 
kind, lloj, kind, 
head, kokë, head, 
house, shtëpi, house, 
service, shërbim, service, 
friend, mik, friend, 
father, baba, father, 
power, pushtet, power, 
hour, orë, hour, 
game, lojë, game, 
line, linjë, line, 
end, fund, end, 
member, anëtar, member, 
law, ligj, law, 
car, makinë, car, 
city, qytet, city, 
community, komuniteti, community, 
name, emër, name, 
president, president, 
team, ekip, team, 
minute, minutë, minute, 
idea, ide, idea, 
kid, fëmijë, children, fëmijë, 
body, trup, body, 
information, informacion, information, 
back, prapa, behind, mbrapa, back, 
parent, prind, parent, 
face, fytyrë, face, 
others, të tjerët, others, 
level, nivel, level, 
office, zyrë, office, 
door, derë, door, 
health, shëndetësor, health, 
person, person, 
art, art, 
war, luftë, war, 
history, histori, story, histori, 
party, parti, party, 
result, rezultat, result, 
change, ndryshim, change, 
morning, mëngjes, breakfast, mëngjes, 
reason, arsye, reason, 
research, hulumtim, research, 
girl, vajze, girlish, vajze, 
guy, djalosh, guy, 
food, ushqim, food, 
moment, moment, 
air, ajror, air, 
teacher, mësues, teacher, 
force, forcë, strength, forcë, 
education, arsim, education, 
foot, këmbë, leg, këmbë, 
boy, djalë, boy, 
age, moshë, age, 
policy, politikë, policy, 
process, proces, process, 
music, muzikë, music, 
market, treg, market, 
sense, kuptim, meaning, kuptim, 
nation, komb, nation, 
plan, plan, 
college, kolegj, college, 
interest, interes, interest, 
death, vdekje, death, 
experience, përvojë, experience, 
effect, efekt, effect, 
use, përdorim, use, 
class, klasë, class, 
control, kontroll, control, 
care, kujdes, careful, i kujdesshëm, careful, 
field, fushë, field, 
development, zhvillim, development, 
role, rol, role, 
effort, përpjekje, effort, 
rate, normë, rate, 
heart, zemër, heart, 
drug, drogë, drug, 
show, shfaqje, show, 
leader, udhëheqës, leader, 
light, dritë, light, 
voice, zë, sound, tingull, sound, 
wife, grua, woman, grua, 
police, polici, police, 
mind, mendje, mind, 
price, çmim, price, 
report, raport, report, 
decision, vendim, decision, 
son, bir, son, 
view, pamje, view, 
relationship, marrëdhënie, relationship, 
town, qytet, city, qytet, 
road, rrugë, path, rrugë, 
arm, krah, arm, 
difference, ndryshim, change, ndryshim, 
value, vlerë, worth, vlerë, 
building, ndërtesë, building, 
action, veprim, action, 
model, model, 
season, sezon, season, 
society, shoqëri, friends, miq, friends, 
tax, taksë, tax, 
director, drejtor, director, 
position, pozitë, position, 
player, lojtar, player, 
record, rekord, record, 
paper, letër, paper, 
space, hapësirë, space, 
ground, terren, ground, 
form, formë, shape, formë, 
event, ngjarje, event, 
official, zyrtar, official, 
matter, çështje, issue, çështje, 
center, qendër, center, 
couple, çift, couple, 
site, faqe, page, faqe, 
project, projekt, project, 
activity, aktivitet, activity, 
star, yll, star, 
table, tabelë, table, 
need, duhet, must, duhet, 
court, gjykatë, court, 
american, amerikan, american, 
oil, vaj, oil, 
situation, situatë, situation, 
cost, kosto, cost, 
industry, industri, industry, 
figure, figurë, figure, 
street, rrugë, path, rrugë, 
image, imazh, image, 
phone, telefon, phone, 
data, të dhëna, data, 
picture, foto, picture, 
practice, praktikë, practice, 
piece, copë, piece, 
land, tokë, earth, tokë, 
product, produkt, product, 
doctor, mjek, doctor, 
wall, mur, wall, 
patient, pacient, patient, 
worker, punëtor, worker, 
news, lajme, tidings, lajme, 
test, provë, test, 
movie, film, film, 
north, veri, north, 
love, dashuri, love, 
support, mbështetje, support, 
technology, teknologji, technology, 
step, hap, step, 
baby, bebe, baby, 
computer, kompjuter, computer, 
type, lloj, kind, lloj, 
attention, vëmendje, attention, 
film, film, 
republican, republikan, republican, 
tree, pemë, tree, 
source, burim, source, 
organization, organizatë, organization, 
hair, qime, hair, 
look, shiko, look, 
century, shekull, century, 
evidence, dëshmi, witness, dëshmitar, witness, 
window, dritare, window, 
culture, kulturë, culture, 
chance, mundësi, opportunity, mundësi, 
brother, vëlla, brother, 
energy, energji, power, pushtet, power, 
period, periudhë, period, 
course, kurs, course, 
summer, verë, summer, 
plant, bimë, plant, 
opportunity, mundësi, opportunity, 
term, term, 
letter, letër, paper, letër, 
condition, kusht, condition, 
choice, zgjedhje, election, zgjedhje, 
rule, rregull, order, urdhër, order, 
daughter, bijë, daughter, 
administration, administratë, administration, 
south, jug, south, 
husband, burri, husband, 
congress, kongres, congress, 
floor, kat, floor, 
campaign, fushatë, campaign, 
material, material, 
population, popullatë, population, 
call, thirrje, call, 
economy, ekonomi, economy, 
hospital, spital, hospital, 
church, kishë, church, 
risk, rrezik, risk, 
fire, zjarr, fire, 
future, i ardhshëm, next, tjetër, other, tjetër, 
defense, mbrojtje, protection, mbrojtje, 
security, siguri, security, 
bank, bankë, bank, 
west, perëndim, west, 
sport, sport, 
board, dërrasë, plank, dërrasë, 
subject, subjekt, subject, 
officer, oficer, officer, 
rest, pushim, break, pushim, 
behavior, sjellje, behavior, 
performance, performanca, performances, shfaqje, show, shfaqje, 
top, më i lartë, higher, më i lartë, 
goal, qëllim, view, pamje, view, 
second, i dytë, second, 
