time, thời gian, time, 
year, năm, year, 
people, những người, people, 
way, đường, street, đường phố, street, 
day, ngày, day, 
man, đàn ông, man, 
thing, điều, thing, 
woman, đàn bà, women, đàn bà, 
life, đời sống, life, 
child, đứa trẻ, child, 
world, thế giới, world, 
school, trường học, schools, trường học, 
state, tiểu bang, state, 
family, gia đình, family, 
student, sinh viên, student, 
group, nhóm, the group, nhóm, 
country, quốc gia, nation, quốc gia, 
problem, vấn đề, problem, 
hand, tay, hand, 
part, phần, part, 
place, địa điểm, place, 
case, trường hợp, case, 
week, tuần, week, 
company, công ty, company, 
system, hệ thống, system, 
program, chương trình, program, 
question, câu hỏi, question, 
work, công việc, task, bài tập, exercise, tập thể dục, do exercise, tập thể dục, 
government, chính quyền, government, 
number, con số, numbers, số, number, 
night, đêm, night, 
mr, ông, he, anh ấy, he, 
point, điểm, point, 
home, nhà, home, 
water, nước, country, quốc gia, nation, quốc gia, 
room, phòng, room, 
mother, mẹ, mother, 
area, khu vực, area, 
money, tiền bạc, money, 
story, câu chuyện, story, 
fact, thực tế, reality, thực tế, 
month, tháng, month, 
lot, nhiều, a lot of, rất nhiều, great number of, số lượng lớn, bulk, số lượng lớn, 
right, đúng, it's correct, đúng, 
study, học, learn, học hỏi, study, 
book, sách, book, 
eye, mắt, eye, 
job, việc làm, job, 
word, từ, from, từ, 
business, kinh doanh, business, 
issue, vấn đề, problem, vấn đề, 
side, bên, side, 
kind, loại, species, loài, species, 
head, cái đầu, the head, cái đầu, 
house, nhà ở, house, 
service, dịch vụ, service, 
friend, người bạn, friend, 
father, cha, dad, cha, 
power, quyền lực, powerful, quyền lực, 
hour, giờ, hours, giờ, 
game, trò chơi, game, 
line, hàng, row, hàng, 
end, kết thúc, finish, hoàn thành, finish, 
member, hội viên, member, 
law, pháp luật, law, 
car, xe hơi, car, 
city, thành phố, city, 
community, cộng đồng, community, 
name, tên, name, 
president, chủ tịch, chairman, chủ tịch, 
team, đội, team, 
minute, phút, minute, 
idea, ý kiến, opinion, ý kiến, 
kid, đứa trẻ, child, đứa trẻ, 
body, thân hình, body, 
information, thông tin, information, 
back, trở lại, come back, quay lại, come back, 
parent, cha mẹ, parents, cha mẹ, 
face, đối mặt, face, 
others, khác, other, khác, 
level, cấp độ, level, 
office, văn phòng, office, 
door, cửa, door, 
health, sức khỏe, health, 
person, người, people, những người, people, 
art, nghệ thuật, art, 
war, chiến tranh, war, 
history, lịch sử, history, 
party, buổi tiệc, party, 
result, kết quả, result, 
change, thay đổi, change, 
morning, buổi sáng, morning, 
reason, lý do, reason, 
research, nghiên cứu, research, 
girl, con gái, daughter, con gái, 
guy, chàng, guy, 
food, món ăn, dish, món ăn, 
moment, chốc lát, moment, 
air, không khí, air, 
teacher, giáo viên, teacher, 
force, lực lượng, force, 
education, giáo dục, education, 
foot, chân, foot, 
boy, con trai, boy, 
age, tuổi tác, age, 
policy, chính sách, policy, 
process, quá trình, process, 
music, âm nhạc, music, 
market, thị trường, market, 
sense, giác quan, sense, 
nation, quốc gia, nation, 
plan, kế hoạch, plan, 
college, trường đại học, university, trường đại học, 
interest, quan tâm, care, quan tâm, 
death, tử vong, dead, đã chết, dead, 
experience, kinh nghiệm, experience, 
effect, hiệu ứng, effect, 
use, sử dụng, use, 
class, lớp học, class, 
control, điều khiển, control, 
care, quan tâm, care, 
field, cánh đồng, field, 
development, phát triển, develop, phát triển, xây dựng, development, construction, phát triển, xây dựng, 
role, vai trò, role, 
effort, cố gắng, try, thử, to try on, thử, 
rate, tỷ lệ, ratio, tỉ lệ, ratio, 
heart, tim, heart, 
drug, thuốc uống, drug, 
show, chỉ, just, chỉ, 
leader, người lãnh đạo, leader, 
light, ánh sáng, light, 
voice, tiếng nói, voice, 
wife, người vợ, wife, 
police, cảnh sát, cop, cảnh sát, 
mind, lí trí, reason, lý do, reason, 
price, giá bán, price, 
report, bài báo cáo, report, 
decision, phán quyết, decision, 
son, con trai, boy, con trai, 
view, lượt xem, view, 
relationship, mối quan hệ, relationship, 
town, thị trấn, town, 
road, đường, street, đường phố, street, 
arm, cánh tay, arm, 
difference, sự khác biệt, difference, 
value, giá trị, value, 
building, tòa nhà, building, 
action, hoạt động, work, công việc, task, bài tập, exercise, tập thể dục, do exercise, tập thể dục, 
model, mô hình, model, 
season, mùa, season, 
society, xã hội, society, 
tax, thuế, tax, 
director, giám đốc, manager, giám đốc, 
position, chức vụ, position, 
player, người chơi, player, 
record, ghi lại, record, 
paper, giấy, paper, 
space, không gian, space, 
ground, đất, land, đất đai, land, 
form, hình thức, form, 
event, biến cố, incident, biến cố, 
official, chính thức, official, 
matter, vấn đề, problem, vấn đề, 
center, trung tâm, center, 
couple, cặp đôi, couple, 
site, trang web, webpage, trang web, 
project, dự án, project, 
activity, hoạt động, work, công việc, task, bài tập, exercise, tập thể dục, do exercise, tập thể dục, 
star, ngôi sao, star, 
table, bàn, table, 
need, nhu cầu, need, 
court, tòa án, court, 
american, người mỹ, american, 
oil, dầu, oil, 
situation, tình hình, situation, 
cost, giá cả, price, giá bán, price, 
industry, ngành công nghiệp, industry, 
figure, nhân vật, figure, 
street, đường phố, street, 
image, hình ảnh, image, 
phone, điện thoại, phone, 
data, dữ liệu, data, 
picture, hình ảnh, image, hình ảnh, 
practice, thực hành, practice, 
piece, cái, the, các, the, 
