time, tan, time, 
year, ane, year, 
people, moun, people, 
way, fason, way, 
day, jou, day, 
man, nonm, man, 
thing, bagay, thing, 
woman, fanm, women, fanm yo, women, 
life, lavi, life, 
child, timoun, children, timoun yo, children, 
world, mond, moon, lalin, moon, 
school, lekòl, school, 
state, leta, state, 
family, fanmi, family, 
student, elèv, students, elèv yo, students, 
group, gwoup, group, 
country, peyi, country, 
problem, pwoblèm, problem, 
hand, men, men, 
part, pati, party, pati, 
place, kote, where, kote, 
case, ka, ka, 
week, semèn, week, 
company, konpayi, company, 
system, sistèm, system, 
program, pwogram lan, program, 
question, kesyon, question, 
work, travay, work, 
government, gouvènman an, government, 
number, nimewo, number, 
night, lannwit, night, 
mr, mesye, guys, nèg, guy, nèg, 
point, pwen, point, 
home, lakay, home, 
water, dlo, water, 
room, chanm, room, 
mother, manman, mother, 
area, zòn nan, area, 
money, lajan, money, 
story, istwa, story, 
fact, reyalite, reality, reyalite, 
month, mwa, month, 
lot, anpil, very much, anpil, 
right, dwa, right, 
study, etid, study, 
book, liv, book, 
eye, je, ever, tout tan, all the time, tout tan, 
job, travay, work, travay, 
word, mo, mo, 
business, biznis, business, 
issue, problèm, problem, pwoblèm, problem, 
side, bò, side, 
kind, kalite, kind, 
head, tèt, head, 
house, kay, home, lakay, home, 
service, sèvis, service, 
friend, zanmi, friends, zanmi, 
father, papa, father, 
power, pouvwa, power, 
hour, èdtan, hour, 
game, jwèt, games, jwèt, 
line, liy, line, 
end, fen, end, 
member, manm, membership, manm, 
law, lwa, law, 
car, machin, car, 
city, vil la, city, 
community, kominote a, community, 
name, non, no, pa gen okenn, no, 
president, prezidan, president, 
team, ekip, team, 
minute, minit, minute, 
idea, lide, idea, 
kid, jenn ti kabrit, kid, 
body, kò, body, 
information, enfòmasyon, information, 
back, tounen, back, 
parent, paran, parent, 
face, fè fas a, face, 
others, lòt moun, other people, lòt moun, 
level, nivo, level, 
office, biwo, office, 
door, pòt, door, 
health, sante, health, 
person, moun, people, moun, 
art, atizay, art, 
war, lagè, war, 
history, istwa, story, istwa, 
party, pati, party, 
result, rezilta, results, rezilta yo, results, 
change, chanjman, change, 
morning, maten, morning, 
reason, rezon, reason, 
research, rechèch, research, 
girl, ti fi, girl, 
guy, nèg, guy, 
food, manje, food, 
moment, moman, moment, 
air, lè, time, tan, time, 
teacher, pwofesè, teacher, 
force, fòs, force, 
education, edikasyon, education, 
foot, pye, foot, 
boy, ti gason, little boy, ti gason, 
age, laj, age, 
policy, politik, politics, politik, 
process, pwosesis, process, 
music, mizik, music, 
market, mache, walk, mache, 
sense, sans, sans, 
nation, nasyon, nation, 
plan, plan, 
college, kolèj, college, 
interest, enterè, interest, 
death, lanmò, death, 
experience, eksperyans, experience, 
effect, efè, effect, 
use, itilize, used, itilize, 
class, klas, class, 
control, kontwòl, control, 
care, swen, care, 
field, jaden, field, 
development, devlopman, development, 
role, wòl, role, 
effort, efò, effort, 
rate, pousantaj, rates, pousantaj, 
heart, kè, heart, 
drug, dwòg, drugs, dwòg, 
show, montre, show, 
leader, lidè, leader, 
light, limyè, light, 
voice, vwa, voice, 
wife, madanm, wife, 
police, lapolis, police, 
mind, lide, idea, lide, 
price, pri, price, 
report, rapò, report, 
decision, desizyon, decision, 
son, pitit gason, son, 
view, gade, look, gade, 
relationship, relasyon, relationship, 
town, vil, city, vil la, city, 
road, wout, road, 
arm, bra, bra, 
difference, diferans, difference, 
value, valè, value, 
building, bilding, building, 
action, aksyon, action, 
model, modèl, model, 
season, sezon, season, 
society, sosyete a, society, 
tax, taks, tax, 
director, direktè, director, 
position, pozisyon, position, 
player, jwè, player, 
record, dosye, files, dosye yo, files, 
paper, papye, paper, 
space, espas, space, 
ground, tè, ground, 
form, fòm, form, 
event, evènman, event, 
official, ofisyèl, official, 
matter, pwoblèm, problem, pwoblèm, 
center, sant, center, 
couple, koup, couple, 
site, sit, sit, 
project, pwojè, project, 
activity, aktivite, activity, 
star, zetwal, star, 
table, tab, tab, 
need, bezwen, need, 
court, tribinal, court, 
american, ameriken, americans, ameriken, 
oil, lwil oliv, oil, 
situation, sitiyasyon, situation, 
cost, pri, price, pri, 
industry, endistri, industry, 
figure, figi, face, fè fas a, face, 
street, lari, street, 
image, imaj, image, 
phone, telefòn, phone, 
data, done, done, 
picture, foto, photo, foto, 
practice, pratik, practice, 
piece, moso, piece, 
land, peyi, country, peyi, 
product, pwodwi, product, 
doctor, doktè, doctor, 
wall, miray, miray, 
patient, pasyan, patient, 
worker, travayè, workers, travayè yo, workers, 
news, nouvèl, news, 
test, tès, test, 
movie, fim, movie, 
north, nò, north, 
love, renmen, love, 
support, sipò, support, 
technology, teknoloji, technology, 
step, etap, steps, etap, 
baby, ti bebe, little baby, ti bebe, 
computer, òdinatè, computer, 
type, kalite, kind, kalite, 
attention, atansyon, attention, 
film, fim, movie, fim, 
republican, repibliken, republicans, repibliken, 
tree, pyebwa, tree, 
source, sous, source, 
organization, òganizasyon, organization, 
hair, cheve, hair, 
look, gade, look, 
century, syèk, century, 
evidence, prèv, evidence, 
