time, ਸਮਾਂ, time, 
year, ਸਾਲ, year, 
people, ਲੋਕ, people, 
way, ਰਾਹ, way, 
day, ਦਿਨ, the day, ਦਿਨ, 
man, ਆਦਮੀ, man, 
thing, ਗੱਲ, talk, ਟਾਕ, talk, 
woman, ਔਰਤ, woman, 
life, ਜੀਵਨ, life, 
child, ਬੱਚਾ, the child, ਬੱਚਾ, 
world, ਸੰਸਾਰ, world, 
school, ਸਕੂਲ, school, 
state, ਰਾਜ, state, 
family, ਪਰਿਵਾਰ, family, 
student, ਵਿਦਿਆਰਥੀ, students, ਵਿਦਿਆਰਥੀ, 
group, ਸਮੂਹ, group, 
country, ਦੇਸ਼, country, 
problem, ਸਮੱਸਿਆ, problems, ਸਮੱਸਿਆਵਾਂ, problems, 
hand, ਹੱਥ, hands, ਹੱਥ, 
part, ਭਾਗ, section, ਅਨੁਭਾਗ, section, 
place, ਸਥਾਨ, place, 
case, ਕੇਸ, case, 
week, ਹਫ਼ਤੇ, weeks, ਹਫ਼ਤੇ, 
company, ਕੰਪਨੀ, company, 
system, ਸਿਸਟਮ, system, 
program, ਪ੍ਰੋਗਰਾਮ, programs, ਪ੍ਰੋਗਰਾਮ, 
question, ਸਵਾਲ, question, 
work, ਕੰਮ, work, 
government, ਸਰਕਾਰ, government, 
number, ਗਿਣਤੀ, number, 
night, ਰਾਤ, the night, ਰਾਤ, 
mr, ਮਿ, m, ਐਮ, m., ਐੱਮ., m., 
point, ਬਿੰਦੂ, point, 
home, ਘਰ, home, 
water, ਪਾਣੀ, water, 
room, ਕਮਰੇ, room, 
mother, ਮਾਂ, mother, 
area, ਖੇਤਰ, field, ਫੀਲਡ, field, 
money, ਪੈਸਾ, money, 
story, ਕਹਾਣੀ, story, 
fact, ਤੱਥ, facts, ਤੱਥ, 
month, ਮਹੀਨੇ, month, 
lot, ਬਹੁਤ, very much, ਬਹੁਤ, 
right, ਸੱਜੇ, right, 
study, ਅਧਿਐਨ, the study, ਅਧਿਐਨ, 
book, ਕਿਤਾਬ, book, 
eye, ਅੱਖ, eye, 
job, ਨੌਕਰੀ, job, 
word, ਸ਼ਬਦ, the word, ਇਹ ਸ਼ਬਦ, these words, ਇਹ ਸ਼ਬਦ, 
business, ਕਾਰੋਬਾਰ, business, 
issue, ਮੁੱਦੇ, issues, ਮੁੱਦੇ, 
side, ਪਾਸੇ, side, 
kind, ਕਿਸਮ ਦੀ, kind of, ਤਰ੍ਹਾਂ ਦਾ, kind of, 
head, ਸਿਰ, head, 
house, ਘਰ, home, ਘਰ, 
service, ਸੇਵਾ, service, 
friend, ਦੋਸਤ, friends, ਦੋਸਤੋ, friends, 
father, ਪਿਤਾ ਜੀ, father, 
power, ਤਾਕਤ, strength, ਤਾਕਤ, 
hour, ਘੰਟੇ, hours, ਘੰਟੇ, 
game, ਗੇਮ, game, 
line, ਲਾਈਨ, line, 
end, ਅੰਤ, the end, ਖ਼ਤਮ, finish, ਮੁਕੰਮਲ, finish, 
member, ਸਦੱਸ, member, 
law, ਕਾਨੂੰਨ, law, 
car, ਕਾਰ, car, 
city, ਸ਼ਹਿਰ, city, 
community, ਭਾਈਚਾਰੇ, community, 
name, ਨਾਮ, name, 
president, ਰਾਸ਼ਟਰਪਤੀ, president, 
team, ਟੀਮ, team, 
minute, ਮਿੰਟ, minute, 
idea, ਵਿਚਾਰ, ideas, ਵਿਚਾਰ, 
kid, ਬੱਚਾ, the child, ਬੱਚਾ, 
body, ਸਰੀਰ, body, 
information, ਜਾਣਕਾਰੀ, information, 
back, ਵਾਪਸ, back, 
parent, ਮਾਪੇ, parents, ਮਾਪੇ, 
face, ਚਿਹਰਾ, face, 
others, ਹੋਰ, other, ਹੋਰ, 
level, ਪੱਧਰ, level, 
office, ਦਫ਼ਤਰ, office, 
door, ਦਰਵਾਜ਼ੇ, doors, ਦਰਵਾਜ਼ੇ, 
health, ਸਿਹਤ, health, 
person, ਵਿਅਕਤੀ, person, 
art, ਕਲਾ, art, 
war, ਜੰਗ, war, 
history, ਇਤਿਹਾਸ, history, 
party, ਪਾਰਟੀ, party, 
result, ਨਤੀਜਾ, the result, ਨਤੀਜਾ, 
change, ਤਬਦੀਲੀ, conversion, ਪਰਿਵਰਤਨ, change, 
morning, ਸਵੇਰੇ, in the morning, ਸਵੇਰੇ ਵਿੱਚ, in the morning, 
reason, ਕਾਰਨ, the reason, ਕਾਰਨ, 
research, ਖੋਜ, search, ਖੋਜ, 
girl, ਕੁੜੀ, the girl, ਕੁੜੀ, 
guy, guy, 
food, ਭੋਜਨ, food, 
moment, ਪਲ, the moment, ਪਲ, 
air, ਹਵਾ, wind, ਹਵਾ, 
teacher, ਅਧਿਆਪਕ, teacher, 
force, ਤਾਕਤ, strength, ਤਾਕਤ, 
education, ਸਿੱਖਿਆ, education, 
foot, ਪੈਰ, foot, 
boy, ਮੁੰਡੇ, boys, ਮੁੰਡੇ, 
age, ਉਮਰ, age, 
policy, ਨੀਤੀ ਨੂੰ, policy, 
process, ਪ੍ਰਕਿਰਿਆ, process, 
music, ਸੰਗੀਤ, music, 
