time, време, time, 
year, година, year, 
people, луѓе, people, 
way, начин, way, 
day, ден, day, 
man, човек, man, 
thing, нешто, something, нешто, 
woman, жена, wife, жена, 
life, живот, life, 
child, дете, kid, дете, 
world, светот, the world, светот, 
school, училиште, school, 
state, држава, state, 
family, семејство, family, 
student, студент, student, 
group, група, group, 
country, земја, ground, земјата, earth, земјата, 
problem, проблем, problems, проблеми, problems, 
hand, рака, hand, 
part, дел, part, 
place, место, place, 
case, случај, case, 
week, недела, week, 
company, компанија, company, 
system, систем, system, 
program, програма, program, 
question, прашање, question, 
work, работа, work, 
government, влада, government, 
number, број, number, 
night, ноќ, night, 
mr, г-дин, mr, 
point, точка, point, 
home, дома, at home, дома, 
water, вода, water, 
room, соба, room, 
mother, мајка, mother, 
area, област, area, 
money, пари, money, 
story, приказна, story, 
fact, факт, fact, 
month, месец, month, 
lot, многу, a lot, многу, 
right, право, right, 
study, студија, study, 
book, книга, book, 
eye, око, eye, 
job, работа, work, работа, 
word, збор, word, 
business, бизнис, business, 
issue, проблем, problems, проблеми, problems, 
side, страна, side, 
kind, вид, kind, 
head, главата, head, 
house, куќа, house, 
service, сервис, service, 
friend, пријател, friend, 
father, татко, father, 
power, моќ, power, 
hour, час, hour, 
game, игра, game, 
line, линија, line, 
end, крајот, end, 
member, член, member, 
law, закон, law, 
car, автомобил, car, 
city, град, city, 
community, заедница, community, 
name, име, name, 
president, претседател, president, 
team, тим, team, 
minute, минута, minute, 
idea, идеја, idea, 
kid, дете, kid, 
body, тело, body, 
information, информации, information, 
back, назад, back, 
parent, родител, parent, 
face, лице, face, 
others, други, others, 
level, ниво, level, 
office, канцеларија, office, 
door, врата, door, 
health, здравје, health, 
person, лице, face, лице, 
art, art, 
war, војна, war, 
history, историја, history, 
party, забава, fun, забава, 
result, резултат, result, 
change, промена, change, 
morning, утро, morning, 
reason, причина, cause, причина, 
research, истражување, research, 
girl, девојче, girl, 
guy, момче, boy, момче, 
food, храна, food, 
moment, момент, moment, 
air, воздух, air, 
teacher, наставник, teacher, 
force, сила, power, моќ, power, 
education, образование, education, 
foot, нога, leg, нога, 
boy, момче, boy, 
age, возраст, age, 
policy, политика, politics, политика, 
process, процес, process, 
music, музика, music, 
market, пазарот, market, 
sense, смисла, sense, 
nation, нација, nation, 
plan, план, plan, 
college, колеџ, college, 
interest, интерес, interest, 
death, смрт, death, 
experience, искуство, experience, 
effect, ефект, effect, 
use, употреба, use, 
class, класа, class, 
control, контрола, control, 
care, грижа, care, 
field, поле, field, 
development, развој, development, 
role, улога, role, 
effort, напор, effort, 
rate, стапка, rate, 
heart, срце, heart, 
drug, дрога, drugs, лекови, drugs, 
show, шоу, show, 
leader, лидер, leader, 
light, светлина, light, 
voice, глас, voice, 
wife, жена, wife, 
police, полицијата, police, 
mind, ум, mind, 
price, цена, price, 
report, извештај, report, 
decision, одлука, decision, 
son, син, son, 
view, поглед, look, изгледа, seems, се чини, it seems, изгледа, 
relationship, врска, connection, врска, 
town, град, city, град, 
road, патот, the road, патот, 
arm, рака, hand, рака, 
difference, разлика, difference, 
value, вредност, value, 
building, зграда, building, 
action, акција, action, 
model, модел, model, 
season, сезона, season, 
society, општество, society, 
tax, данок, tax, 
director, режисер, director, 
position, позиција, position, 
player, играч, player, 
record, рекорд, record, 
paper, хартија, paper, 
space, простор, space, 
ground, земјата, earth, земјата, 
form, форма, form, 
event, настан, event, 
official, официјален, official, 
matter, прашање, question, прашање, 
center, центар, center, 
couple, двојка, couple, 
site, сајт, site, 
project, проект, project, 
activity, активност, activity, 
star, ѕвезда, star, 
table, маса, mass, маса, 
need, потреба, need, 
court, суд, court, 
american, американец, american, 
oil, нафта, oil, 
situation, ситуација, situation, 
cost, цена, price, цена, 
industry, индустрија, industry, 
figure, фигура, figure, 
street, улица, street, 
image, слика, picture, слика, 
phone, телефон, phone, 
data, податоци, data, 
picture, слика, picture, 
practice, пракса, practice, 
piece, парче, piece, 
land, земјиште, land, 
product, производ, product, 
doctor, лекар, doctor, 
wall, ѕид, wall, 
patient, трпелив, patient, 
worker, работник, worker, 
news, вести, news, 
test, тест, test, 
movie, филм, movie, 
north, север, north, 
love, љубов, love, 
support, поддршка, support, 
technology, технологија, technology, 
step, чекор, step, 
baby, бебе, baby, 
computer, компјутер, computer, 
type, тип, type, 
attention, внимание, attention, 
film, филм, movie, филм, 
republican, републикански, republican, 
tree, дрво, wood, дрво, 
source, извор, source, 
organization, организација, organization, 
hair, коса, hair, 
look, изгледа, seems, се чини, it seems, изгледа, 
century, век, century, 
evidence, доказ, proof, доказ, 
window, прозорец, window, 
culture, култура, culture, 
chance, шанса, chance, 
brother, брат, brother, 
energy, енергија, energy, 
period, период, period, 
course, курс, course, 
summer, лето, summer, 
plant, растение, plant, 
opportunity, можност, opportunity, 
term, термин, term, 
letter, писмо, letter, 
condition, состојба, condition, 
choice, избор, choice, 
rule, правило, rule, 
daughter, ќерка, daughter, 
administration, администрација, administration, 
south, југ, south, 
husband, сопруг, husband, 
congress, конгрес, congress, 
floor, кат, cat, мачка, cat, 
campaign, кампања, campaign, 
material, материјал, material, 
population, популација, population, 
call, повик, call, 
economy, економија, economy, 
hospital, болница, hospital, 
church, црква, church, 
risk, ризик, risk, 
fire, оган, fire, 
future, иднина, future, 
defense, одбрана, defense, 
security, безбедност, security, 
bank, банка, bank, 
west, запад, west, 
sport, спорт, sports, спорт, 
board, табла, board, 
subject, предмет, subject, 
officer, офицер, officer, 
rest, одмор, rest, 
behavior, однесување, behavior, 
performance, перформанси, performance, 
top, врв, peak, врв, 
goal, цел, goal, 
second, второ, secondly, второ, 
bed, кревет, bed, 
order, со цел, with target, со цел, 
author, автор, author, 
blood, крв, blood, 
agency, агенција, agency, 
nature, природата, nature, 
color, боја, color, 
store, продавница, shop, продавница, 
sound, звук, sound, 
movement, движење, movement, 
page, страница, page, 
race, трка, race, 
concern, загриженост, concern, 
series, серија, series, 
language, јазик, language, 
response, одговор, answer, одговор, 
animal, животно, animal, 
factor, фактор, factor, 
decade, декада, decade, 
article, статија, article, 
east, исток, east, 
artist, уметник, artist, 
scene, сцена, scene, 
stock, акции, actions, акции, 
career, кариера, career, 
treatment, третман, treatment, 
approach, приод, approach, 
size, големина, size, 
dog, куче, dog, 
fund, фонд, fund, 
media, медиуми, media, 
sign, знак, sign, 
thought, мисла, thought, 
list, листа, list, 
individual, индивидуално, individually, поединечно, individually, 
quality, квалитет, quality, 
pressure, притисок, pressure, 
answer, одговор, answer, 
resource, ресурс, resource, 
meeting, средба, meeting, 
disease, болест, disease, 
success, успех, success, 
cup, чаша, cup, 
amount, износ, amount, 
ability, способност, ability, 
staff, персонал, staff, 
character, карактер, character, 
growth, раст, growth, 
loss, загуба, loss, 
degree, степен, degree, 
attack, напад, attack, 
region, регион, region, 
television, телевизија, television, 
box, кутија, box, 
tv, телевизија, television, телевизија, 
training, обука, training, 
trade, трговија, trade, 
deal, договор, contract, договор, 
election, избори, elections, избори, 
feeling, чувство, feeling, 
standard, стандард, standard, 
bill, сметка, account, сметка, 
message, порака, message, 
analysis, анализа, analysis, 
benefit, корист, benefit, 
sex, секс, sex, 
lawyer, адвокат, a lawyer, адвокат, 
section, секција, section, 
glass, стакло, glass, 
skill, вештина, skill, 
sister, сестра, sister, 
professor, професор, professor, 
operation, операција, surgery, хирургија, surgery, 
crime, криминал, crime, 
stage, фаза, phase, фаза, 
authority, авторитет, authority, 
design, дизајн, design, 
sort, сортирај, sort it out, сортирајте го, sort it, сортирајте го, 
one, еден, one, 
knowledge, знаење, knowledge, 
gun, пиштол, gun, 
station, станица, station, 
strategy, стратегија, strategy, 
