time, ժամը, the time, ժամանակն է, it is time, ժամանակն է, 
year, տարի, years, տարի, 
people, ժողովուրդ, people?, ժողովուրդ?, people?, 
way, ճանապարհին, on the way, ճանապարհին, 
day, օրվա ընթացքում, during the day, օրվա ընթացքում, 
man, մարդ, man, 
thing, բան, something, ինչ - որ բան, something, 
woman, կին, woman, 
life, կյանքը, the life, կյանքը, 
child, երեխա, child, 
world, աշխարհը, the world, աշխարհը, 
school, դպրոց, school, 
state, պետություն, state, 
family, ընտանիք, family, 
student, ուսանող, student, 
group, խումբը, band, խումբը, 
country, երկիրը, country, 
problem, խնդիրը, the problem, խնդիրը, 
hand, ձեռքը, hand, 
part, մաս, part, 
place, տեղը, place, 
case, գործը, case, 
week, շաբաթ, weekly, շաբաթական, weekly, 
company, ընկերությունը, company, 
system, համակարգը, system, 
program, ծրագիրը, program, 
question, հարց, question, 
work, աշխատանքը, work, 
government, կառավարությունը, government, 
number, թիվ, number, 
night, գիշերը, at night, գիշերը, 
mr, mr, 
point, կետը, point, 
home, տուն, house, տուն, 
water, ջուր, water, 
room, սենյակ, room, 
mother, մայրը, mother, 
area, տարածք, space, տարածություն, space, 
money, դրամ, amd, դրամ, 
story, պատմություն, history:, պատմություն., history:, 
fact, փաստը, the fact, փաստը, 
month, ամիս, month, 
lot, շատ, too, նույնպես, too, 
right, ճիշտ, right, 
study, ուսումնասիրություն, study, 
book, գիրք, book, 
eye, աչք, eye, 
job, աշխատանք, work, աշխատանքը, work, 
word, բառը, word, 
business, բիզնեսը, business, 
issue, թողարկում, issue, 
side, կողմը, side, 
kind, բարի, good, լավ, good, 
head, գլուխ, chapter, գլխում, in the head, գլխին, on his head, նրա գլխին, on his head, 
house, տունը, home, տուն, house, 
service, ծառայություն, service, 
friend, ընկեր, friend, 
father, հայրը, father, 
power, ուժ, power, 
hour, ժամ, hours, ժամեր, hours, 
game, խաղ, game, 
line, գիծը, line, 
end, վերջ, end, 
member, անդամ, member, 
law, օրենքը, the law, օրենքը, 
car, մեքենան, car, 
city, քաղաքը, the city, քաղաքը, 
community, համայնք, community:, համայնք:, community:, 
name, անուն, name:, անուն:, first name:, անուն:, 
president, նախագահ, president:, նախագահ., president:, 
team, թիմը, team, 
minute, րոպե, minute, 
idea, գաղափարը, the idea, գաղափարը, 
