time, цаг хугацаа, time, 
year, жил, year, 
people, хүмүүс, people, 
way, арга зам, the way, арга, method, арга, 
day, өдөр, day, 
man, хүн, man, 
thing, зүйл, item, зүйл, 
woman, эмэгтэй хүн, woman, 
life, амьдрал, life, 
child, хүүхэд, children, хүүхдүүд, children, 
world, ертөнц, world, 
school, сургууль, school, 
state, төлөв, mood, сэтгэл хөдлөл, emotions, сэтгэл хөдлөл, 
family, гэр бүл, family, 
student, сурагч, student, 
group, бүлэг, group, 
country, улс орон, country, 
problem, асуудал, issue, асуудал, 
hand, гар, hands, гар, 
part, хэсэг, part, 
place, газар, land, газар, 
case, хэрэг, case, 
week, долоо хоног, week, 
company, компани, company, 
system, систем, system, 
program, хөтөлбөр, program, 
question, асуулт, question, 
work, ажил, work, 
government, засгийн газар, government, 
number, тоо, number, 
night, шөнө, night, 
mr, mr, 
point, цэг, point, 
home, гэр, home, 
water, ус, water, 
room, өрөө, room, 
mother, ээж, mother, 
area, талбай, square, квадрат, squared, квадрат, 
money, мөнгө, money, 
story, түүх, history, түүх, 
fact, баримт, facts, баримтууд, facts, 
month, сар, month, 
lot, маш их, so much, маш их, 
right, баруун, right, 
study, судлах, to study, сурах, learning, сурах, 
book, ном, books, номууд, books, 
eye, нүд, eyes, нүднүүд, the tide, урсгал, flow, урсгал, 
job, ажлын байр, workplace, ажлын байр, 
word, үг, word, 
business, бизнес эрхэлдэг, business, 
issue, асуудал, issue, 
side, тал, side, 
kind, эелдэг, kindly, эелдэг, 
head, толгой, head, 
house, байшин, house, 
service, үйлчилгээ, service, 
friend, найз, friend, 
father, аав, father, 
power, эрх мэдэл, authority, эрх мэдэл, 
hour, цаг, time, цаг хугацаа, time, 
game, тоглоом, game, 
line, шугам, ruler, шугам, 
end, төгсгөл, ending, төгсгөл, 
member, гишүүн, member, 
law, хууль, law, 
car, машин, machine, машин, 
city, хот, city, 
community, нийгэмлэг, society, нийгэм, society, 
name, нэр, name, 
president, ерөнхийлөгч, president, 
team, баг, team, 
minute, минут, minutes, минут, 
idea, санаа, idea, 
kid, хүүхэд, children, хүүхдүүд, children, 
body, бие махбодь, body, 
information, мэдээлэл, information, 
back, буцах, go back, буцах, 
parent, эцэг эх, parents, эцэг эхчүүд, parents, 
face, нүүр царай, face, 
others, бусад, others, 
level, түвшин, level, 
office, оффис, office, 
door, хаалга, door, 
health, эрүүл мэнд, health, 
person, хүн, man, хүн, 
art, урлаг, art, 
war, дайн, war, 
history, түүх, history, 
party, нам, party, 
result, үр дүн, results, үр дүн, 
change, өөрчлөлт, change, 
morning, өглөө, morning, 
reason, шалтгаан, reason, 
research, судалгаа, research, 
girl, охин, daughter, охин, 
guy, залуу, young, залуу, 
food, хоол хүнс, food, 
moment, мөч, moment, 
air, агаар, air, 
teacher, багш, teacher, 
force, хүч, power, эрх мэдэл, authority, эрх мэдэл, 
education, боловсрол, education, 
foot, хөл, legs, хөл, 
boy, хүү, son, хүү, 
age, нас, age, 
policy, бодлого, policy, 
process, үйл явц, process, 
music, хөгжим, music, 
market, зах зээл, market, 
sense, мэдрэмж, feeling, мэдрэмж, 
nation, улс орон, country, улс орон, 
plan, төлөвлөгөө, plan, 
college, коллеж, college, 
interest, сонирхол, interest, 
death, үхэл, death, 
experience, туршлага, experience, 
effect, үр нөлөө, effect, 
use, ашиглах, to use, хэрэглэх, to use, 
class, анги, class, 
control, хяналт, control, 
care, тусламж үйлчилгээ, care, 
field, талбар, field, 
development, хөгжүүлэлт, development, 
role, үүрэг хариуцлага, responsibility, хариуцлага, accountability, хариуцлагатай байдал, responsibility, 
effort, хүчин чармайлт, effort, 
rate, хувь хэмжээ, percentage, хувь, percent, хувь, 
heart, зүрх сэтгэл, heart, 
drug, эм, medicine, эм, 
show, шоу, show, 
leader, удирдагч, leader, 
light, гэрэл, light, 
voice, дуу хоолой, voice, 
wife, эхнэр, wife, 
police, цагдаа, police, 
mind, оюун ухаан, mind, 
price, үнэ, price, 
report, тайлан, report, 
decision, шийдвэр гаргах, make a decision, шийдвэр гаргах, 
son, хүү, son, 
view, харах, see, харна уу, please see, харна уу, 
relationship, харилцаа холбоо, communication, харилцаа холбоо, 
town, хот, city, хот, 
road, зам, path, зам, 
arm, гар, hands, гар, 
difference, ялгаа, difference, 
value, утга, meaning, утга, 
building, барилга барих, building, constructing, барилга барих, барих, construction and construction, барилга, барилгын ажил, construction and construction, 
action, үйлдэл, action, 
model, загвар, model, 
season, улирал, season, 
society, нийгэм, society, 
tax, татвар, tax, 
director, захирал, director, 
position, байрлал, position, 
player, тоглогч, player, 
record, бүртгэл, registration, бүртгэл, 
paper, цаас, paper, 
space, орон зай, space, 
ground, газар, land, газар, 
form, хэлбэр, shape, хэлбэр, 
event, үйл явдал, event, 
official, албан тушаалтан, officials, албан тушаалтнууд, officials, 
matter, асуудал, issue, асуудал, 
center, төв, center, 
couple, хосууд, couples, хосууд, 
site, сайт, site, 
project, төсөл, project, 
activity, үйл ажиллагаа, activity, 
star, од, star, 
table, хүснэгт, table, 
need, хэрэгцээ, needs, хэрэгцээ, 
court, шүүх, court, 
american, америк, america, америк, 
oil, газрын тос, oil, 
situation, нөхцөл байдал, situation, 
cost, зардал, cost, 
industry, аж үйлдвэр, industry, 
figure, зураг, picture, зураг, 
street, гудамж, street, 
image, зураг, picture, зураг, 
phone, утас, phone, 
data, өгөгдөл, data, 
picture, зураг, picture, 
practice, практик, practical, практик, 
piece, хэсэг, part, хэсэг, 
land, газар, land, 
product, бүтээгдэхүүн, product, 
doctor, эмч, doctor, 
wall, хана, wall, 
patient, өвчтөн, patient, 
worker, ажилчин, worker, 
news, мэдээ, news, 
test, туршилт, experiment, туршилт, 
movie, кино, film, кино, 
north, хойд хэсэг, north side, хойд тал, north side, 
love, хайр, love, 
support, дэмжлэг, support, 
technology, технологи, technology, 
step, алхам, step, 
baby, хүүхэд, children, хүүхдүүд, children, 
computer, компьютер, computer, 
type, төрөл, type, 
attention, анхаарал, attention, 
film, кино, film, 
republican, republican, 
tree, мод, wood, мод, 
source, эх сурвалж, source, 
organization, байгууллага, organization, 
hair, үс, hair, 
look, харж байна, see you, баяртай, goodbye, баяртай, 
century, зуунд, century, 
evidence, нотлох баримт, evidence, 
window, цонх, window, 
culture, соёл, culture, 
chance, боломж, opportunity, боломж, 
brother, ах минь, my brother, миний ах, my brother, 
energy, эрчим хүч, energy, 
period, хугацаа, time, цаг хугацаа, time, 
course, курс, course, 
summer, зун, summer, 
plant, ургамал, plant, 
opportunity, боломж, opportunity, 
term, хугацаа, time, цаг хугацаа, time, 
letter, захидал, letter, 
condition, нөхцөл байдал, situation, нөхцөл байдал, 
choice, сонголт, choice, 
rule, дүрэм, rules, дүрмүүд, rules, 
daughter, охин, daughter, 
administration, захиргаа, administration, 
south, өмнө зүг, south, 
husband, нөхөр, husband, 
congress, конгресс, congress, 
floor, шал, floor, 
campaign, кампанит ажил, campaign, 
material, материал, material, 
population, хүн ам, population, 
call, дуудлага, call, 
economy, эдийн засаг, economy, 
hospital, эмнэлэг, hospital, 
church, сүм, church, 
risk, эрсдэл, risk, 
fire, гал, fire, 
future, ирээдүйд, in the future, ирээдүйд, 
defense, батлан ​​хамгаалах, defense, 
security, аюулгүй байдал, security, 
bank, банк, bank, 
west, баруун талд, right side, баруун тал, right side, 
sport, спорт, sports, спорт, 
board, самбар, panel, самбар, 
subject, субьект, subject, 
officer, офицер, officer, 
rest, амрах, to rest, амрах, 
behavior, зан байдал, behavior, 
performance, гүйцэтгэл, performance, 
top, дээд, top, 
goal, зорилго, purpose, зорилго, 
second, хоёр дахь, second, 
bed, ор, bed, 
order, захиалга, order, 
author, зохиогч, author, 
blood, цус, blood, 
agency, агентлаг, agency, 
nature, байгаль, nature, 
color, өнгө, color, 
store, дэлгүүр, shop, дэлгүүр, 
sound, дуу, song, дуу, 
movement, хөдөлгөөн, movement, 
page, хуудас, page, 
race, уралдаан, contest, уралдаан, 
concern, санаа зовж байна, are worried, санаа зовж байна, 
series, цуврал, series, 
language, хэл, tongue, хэл, 
response, хариулт, answer, хариулт, 
animal, амьтан, animals, амьтад, animals, 
factor, хүчин зүйл, factor, 
decade, арван жил, decade, 
article, нийтлэл, articles, нийтлэл, 
east, зүүн, left, үлдсэн, remaining, үлдсэн, 
artist, уран бүтээлч, artist, 
scene, дүр зураг, scene, 
stock, хувьцаа, stock, 
career, карьер, career, 
treatment, эмчилгээ, treatment, 
approach, арга барил, method, арга, method, 
size, хэмжээ, size, 
dog, нохой, dog, 
fund, сан, fund, 
media, мэдээллийн хэрэгсэл, media, 
