time, vreme, time, 
year, godina, years, godine, years, 
people, ljudi, people, 
way, način, way, 
day, dan, day, 
man, čovječe, man, 
thing, stvar, thing, 
woman, žena, woman, 
life, život, life, 
child, dete, child, 
world, svet, world, 
school, škola, school, 
state, stanje, condition, stanje, 
family, porodica, family, 
student, student, 
group, grupa, group, 
country, zemlju, earth, zemlja, earth, 
problem, problem, 
hand, ruka, hand, 
part, deo, part, 
place, mesto, place, 
case, slučaj, case, 
week, sedmicu, week, 
company, kompanija, company, 
system, sistem, system, 
program, program, 
question, pitanje, question, 
work, raditi, work, 
government, vlada, government, 
number, broj, number, 
night, noć, night, 
mr, gospodin, mr, 
point, tačka, point, 
home, dom, dom, 
water, voda, water, 
room, soba, room, 
mother, majka, mother, 
area, područje, area, 
money, novac, money, 
story, priča, the story, priča, 
fact, činjenica, fact, 
month, mesec, month, 
lot, lot, 
right, desno, right, 
study, studija, study, 
book, knjiga, book, 
eye, oko, eye, 
job, posao, work, raditi, work, 
word, riječ, word, 
business, poslovanje, business, 
issue, problem, problem, 
side, strana, page, stranica, page, 
kind, kind, 
head, glava, head, 
house, kuća, house, 
service, usluga, service, 
friend, prijatelju, friend, 
father, otac, father, 
power, moć, power, 
hour, sat, hour, 
game, igra, game, 
line, line, 
end, kraj, end, 
member, član, member, 
law, zakon, law, 
car, auto, car, 
city, grad, city, 
community, zajednica, community, 
name, ime, name, 
president, predsjednik, president, 
team, tim, team, 
minute, minut, minutes, minuta, minutes, 
idea, ideja, idea, 
kid, klinac, kid, 
body, telo, body, 
information, informacije, information, 
back, nazad, back, 
parent, roditelj, parent, 
face, lice, face, 
others, drugi, others, 
level, nivo, level, 
office, ured, office, 
door, vrata, door, 
health, zdravlje, health, 
person, osoba, person, 
art, art, 
war, rat, war, 
history, istorija, history, 
party, party, 
result, rezultat, result, 
change, promjena, change, 
morning, jutro, morning, 
reason, razlog, reason, 
research, istraživanje, research, 
girl, devojka, girl, 
guy, momak, boy, dečko, boy, 
food, hrana, food, 
moment, momenat, moment, 
air, zrak, air, 
teacher, nastavnik, teacher, 
force, sila, force, 
education, obrazovanje, education, 
foot, stopalo, foot, 
boy, dečko, boy, 
age, starost, age, 
policy, politika, politics, politika, 
process, proces, process, 
music, muzika, music, 
market, tržište, market, 
sense, smisao, meaning, značenje, meaning, 
nation, nacija, nation, 
plan, plan, 
college, koledž, college, 
interest, interesovanje, interest, 
death, smrt, death, 
experience, iskustvo, experience, 
effect, efekat, effect, 
use, koristite, use, 
class, klasa, class, 
control, kontrola, control, 
care, negu, care, 
field, polje, field, 
development, razvoj, development, 
role, uloga, role, 
effort, napor, effort, 
rate, stopa, rate, 
heart, srce, heart, 
drug, lijek, medicine, medicine, 
show, show, 
leader, lider, leader, 
light, svetlo, light, 
voice, glas, voice, 
wife, supruga, wife, 
police, policija, police, 
mind, um, um, 
price, cijena, price, 
report, izveštaj, report, 
decision, odluka, decisions, odluke, decisions, 
son, sin, son, 
view, pogled, look, pogledaj, look, 
relationship, veza, connection, veza, 
town, grad, city, grad, 
road, cesta, road, 
arm, ruka, hand, ruka, 
