time, waktu, time, 
year, tahun, year, 
people, orang-orang, people, 
way, cara, way, 
day, hari, day, 
man, manusia, human, manusia, 
thing, benda, object, obyek, object, 
woman, wanita, woman, 
life, kehidupan, life, 
child, anak, child, 
world, dunia, world, 
school, sekolah, school, 
state, negara, country, negara, 
family, keluarga, family, 
student, mahasiswa, college student, mahasiswa, 
group, kelompok, group, 
country, negara, country, 
problem, masalah, problem, 
hand, tangan, hand, 
part, bagian, part, 
place, tempat, the place, tempat, 
case, kasus, case, 
week, minggu, sunday, minggu, 
company, perusahaan, company, 
system, sistem, system, 
program, program, 
question, pertanyaan, question, 
work, kerja, work, 
government, pemerintah, government, 
number, jumlah, amount, jumlah, 
night, malam, night, 
mr, bapak, father, ayah, father, 
point, titik, point, 
home, rumah, home, 
water, air, water, 
room, kamar, room, 
mother, ibu, mother, 
area, daerah, area, 
money, uang, money, 
story, cerita, story, 
fact, fakta, fact, 
month, bulan, month, 
lot, banyak, many, banyak, 
right, kanan, right, 
study, belajar, learn, belajar, 
book, book, 
eye, mata, eye, 
job, pekerjaan, work, kerja, work, 
word, kata, words, kata-kata, words, 
business, bisnis, business, 
issue, isu, issue, 
side, sisi, side, 
kind, jenis, type, mengetik, type, 
head, kepala, head, 
house, rumah, home, rumah, 
service, layanan, service, 
friend, teman, friend, 
father, ayah, father, 
power, kekuasaan, power, 
hour, jam, hour, 
game, permainan, game, 
line, garis, line, 
end, akhir, end, 
member, anggota, member, 
law, hukum, law, 
car, mobil, car, 
city, kota, city, 
community, masyarakat, community, 
name, nama, name, 
president, presiden, president, 
team, tim, team, 
minute, menit, minute, 
idea, ide, idea, 
kid, anak, child, anak, 
body, tubuh, body, 
information, informasi, information, 
back, kembali, back, 
parent, induk, parent, 
face, menghadapi, face up, menghadapi, 
others, yang lain, another, lain, other, lain, 
level, tingkat, level, 
office, kantor, office, 
door, pintu, door, 
health, kesehatan, health, 
person, orang, person, 
art, seni, art, 
war, perang, war, 
history, sejarah, history, 
party, pesta, party, 
result, hasil, results, hasil, 
change, perubahan, change, 
morning, pagi, morning, 
reason, alasan, reason, 
research, penelitian, research, 
girl, gadis, girl, 
guy, orang, person, orang, 
food, makanan, food, 
moment, saat, moment, 
air, udara, air, 
teacher, guru, teacher, 
force, memaksa, compel, memaksa, 
education, pendidikan, education, 
foot, kaki, feet, kaki, 
boy, nak, son, putra, son, 
age, usia, age, 
policy, kebijakan, policy, 
process, proses, process, 
music, musik, music, 
market, pasar, market, 
sense, merasakan, feel, merasa, feel, 
nation, bangsa, nation, 
plan, rencana, plan, 
college, perguruan tinggi, college, 
interest, bunga, flower, bunga, 
death, kematian, dead, mati, die, mati, 
experience, pengalaman, experience, 
effect, efek, effect, 
use, menggunakan, use, 
class, kelas, class, 
control, kontrol, control, 
care, peduli, care, 
field, bidang, field, 
development, pengembangan, development, 
role, peran, role, 
effort, upaya, effort, 
rate, menilai, rate, 
heart, jantung, heart, 
drug, obat, drug, 
show, menunjukkan, show, 
leader, pemimpin, leader, 
light, cahaya, light, 
voice, suara, sound, suara, 
wife, istri, wife, 
police, polisi, police, 
mind, pikiran, mind, 
price, harga, price, 
report, melaporkan, report, 
decision, keputusan, decision, 
son, putra, son, 
view, melihat, look, melihat, 
relationship, hubungan, relationship, 
town, kota, city, kota, 
road, jalan, street, jalan, 
arm, lengan, arm, 
difference, perbedaan, difference, 
value, nilai, value, 
building, bangunan, building, 
action, tindakan, action, 
model, model, 
season, musim, season, 
society, masyarakat, community, masyarakat, 
tax, pajak, tax, 
director, direktur, director, 
position, posisi, position, 
player, pemain, player, 
record, merekam, record, 
paper, kertas, paper, 
space, ruang, room, kamar, room, 
ground, tanah, soil, tanah, 
form, bentuk, form, 
event, peristiwa, event, 
official, resmi, official, 
matter, masalah, problem, masalah, 
center, pusat, center, 
couple, pasangan, couple, 
site, situs, site, 
project, proyek, project, 
activity, aktivitas, activity, 
star, bintang, star, 
table, meja, table, 
need, perlu, need, 
court, pengadilan, court, 
american, amerika, america, amerika, 
oil, minyak, oil, 
situation, situasi, situation, 
cost, biaya, cost, 
industry, industri, industry, 
figure, angka, numbers, angka, 
street, jalan, street, 
image, gambar, picture, gambar, 
phone, telepon, telephone, telepon, 
data, data, 
picture, gambar, picture, 
practice, praktek, practice, 
piece, bagian, part, bagian, 
land, tanah, soil, tanah, 
product, produk, product, 
doctor, dokter, doctor, 
wall, dinding, wall, 
patient, sabar, patient, 
worker, pekerja, workers, pekerja, 
news, berita, news, 
test, uji, test, 
movie, film, film, 
north, utara, north, 
love, cinta, love, 
support, mendukung, support, 
technology, teknologi, technology, 
step, langkah, step, 
baby, bayi, baby, 
computer, komputer, computer, 
type, mengetik, type, 
attention, perhatian, attention, 
film, film, 
republican, republik, republic, republik, 
tree, pohon, tree, 
source, sumber, source, 
organization, organisasi, organization, 
hair, rambut, hair, 
look, melihat, look, 
century, abad, century, 
evidence, bukti, evidence, 
window, jendela, window, 
culture, budaya, culture, 
chance, kesempatan, chance, 
brother, saudara, you, kamu, you, 
energy, energi, energy, 
period, periode, period, 
course, tentu saja, of course, tentu saja, 
summer, musim panas, summer, 
plant, menanam, plant, 
opportunity, kesempatan, chance, kesempatan, 
term, istilah, term, 
letter, surat, letter, 
condition, kondisi, condition, 
