time, idő, time, 
year, év, year, 
people, emberek, people, 
way, út, beat, üt, beat, 
day, nap, day, 
man, férfi, man, 
thing, dolog, thing, 
woman, nő, woman, 
life, élet, life, 
child, gyermek, child, 
world, világ, world, 
school, iskola, school, 
state, állapot, condition, feltétel, condition, 
family, család, family, 
student, diák, student, 
group, csoport, group, 
country, ország, country, 
problem, probléma, problem, 
hand, kéz, hand, 
part, rész, part, 
place, hely, place, 
case, ügy, business, üzleti, business, 
week, hét, seven, hét, 
company, vállalat, company, 
system, rendszer, system, 
program, program, 
question, kérdés, question, 
work, munka, work, 
government, kormány, government, 
number, szám, number, 
night, éjszaka, night, 
mr, úr, mr., úr., mr., 
point, pont, point, 
home, itthon, home, 
water, víz, water, 
room, szoba, room, 
mother, anya, maternal, anyai, maternal, 
area, terület, area, 
money, pénz, money, 
story, sztori, story, 
fact, tény, fact, 
month, hónap, month, 
lot, sok, many, sok, 
right, jobb, right, 
study, tanulmány, study, 
book, könyv, book, 
eye, szem, eye, 
job, munka, work, munka, 
word, szó, weave, szövés, weave, 
business, üzleti, business, 
issue, probléma, problem, probléma, 
side, oldal, side, 
kind, kedves, nice, szép, beautiful, szép, 
head, fej, head, 
house, ház, house, 
service, szolgáltatás, service, 
friend, barát, friend, 
father, apa, father, 
power, erő, force, erő, 
hour, óra, hour, 
game, játszma, meccs, game, match, játék, meccs, game, match, 
line, vonal, line, 
end, vég, end, 
member, tag, broad, széles, windy, szeles, windy, 
law, törvény, law, 
car, autó, car, 
city, város, city, 
community, közösség, community, 
name, név, name, 
president, elnök, chairman, elnök, 
team, csapat, team, 
minute, perc, minute, 
idea, ötlet, idea, 
kid, kölyök, kid, 
body, test, body, 
information, információ, information, 
back, hát, back, 
parent, szülő, parent, 
face, arc, face, 
others, mások, others, 
level, szint, level, 
office, hivatal, office, 
door, ajtó, door, 
health, egészség, health, 
person, személy, person, 
art, művészet, art, 
war, háború, war, 
history, történelem, history, 
party, party, 
result, eredmény, result, 
change, változás, change, 
morning, reggel, morning, 
reason, ok, they, ők, they, 
research, kutatás, research, 
girl, lány, girl, 
guy, fickó, guy, 
food, élelmiszer, food, 
moment, pillanat, moment, 
air, levegő, air, 
teacher, tanár, teacher, 
force, erő, force, 
education, oktatás, education, 
foot, láb, foot, 
boy, fiú, boy, 
age, kor, disease, betegség, disease, 
policy, irányelv, directive, irányelv, 
process, folyamat, process, 
music, zene, music, 
market, piac, market, 
sense, érzék, sense, 
nation, nemzet, nation, 
plan, terv, plan, 
college, főiskola, college, 
interest, érdeklődés, interest, 
death, halál, death, 
experience, tapasztalat, experience, 
effect, hatás, effect, 
use, használat, use, 
class, osztály, class, 
control, ellenőrzés, control, 
care, gondoskodás, care, 
field, mező, field, 
development, fejlődés, development, 
role, szerep, role, 
effort, erőfeszítés, effort, 
rate, arány, gold, arany, gold, 
heart, szív, heart, 
drug, drog, drug, 
show, előadás, lecture, előadás, 
leader, vezető, conductor, karmester, conductor, 
light, fény, light, 
voice, hang, voice, 
wife, feleség, wife, 
police, rendőrség, police, 
mind, elme, mind, 
price, ár, price, 
report, jelentés, report, 
decision, döntés, decision, 
son, fiú, boy, fiú, 
view, kilátás, view, 
relationship, kapcsolat, relationship, 
town, város, city, város, 
road, út, beat, üt, beat, 
arm, kar, damage, kár, damage, 
difference, különbség, difference, 
value, érték, value, 
building, épület, building, 
action, akció, action, 
model, modell, model, 
season, évad, season, 
society, társadalom, society, 
tax, adó, tax, 
director, rendező, director, 
position, pozíció, position, 
player, játékos, player, 
record, rekord, record, 
paper, papír, paper, 
space, hely, place, hely, 
ground, talaj, soil, talaj, 
form, forma, form, 
event, esemény, event, 
official, hivatalos, official, 
matter, ügy, business, üzleti, business, 
center, központ, center, 
couple, párosít, couple, 
site, webhely, website, weboldal, website, 
project, program, program, 
activity, tevékenység, activity, 
star, csillag, star, 
table, asztal, table, 
need, szükség, need, 
court, bíróság, court, 
american, amerikai, american, 
oil, olaj, oil, 
situation, helyzet, state, állapot, condition, feltétel, condition, 
cost, költség, cost, 
industry, ipar, industry, 
figure, ábra, figure, 
street, utca, street, 
image, kép, picture, kép, 
phone, telefon, phone, 
data, adat, data, 
picture, kép, picture, 
practice, gyakorlat, exercise, gyakorlat, 
piece, darab, piece, 
land, föld, earth, föld, 
product, termék, product, 
doctor, orvos, doctor, 
wall, fal, wall, 
patient, beteg, patient, 
worker, munkás, worker, 
news, hírek, news, 
test, teszt, test, 
movie, film, movie, 
north, északi, north, 
love, szerelem, love, 
support, támogatás, aid, támogatás, 
technology, technológia, technology, 
step, lépés, step, 
baby, baba, midwife, bába, midwife, 
computer, számítógép, computer, 
type, típus, type, 
attention, figyelem, attention, 
film, film, 
republican, köztársasági, republican, 
tree, fa, wood, faipari, wood, 
source, forrás, source, 
organization, szervezet, organization, 
hair, haj, hair, 
look, néz, look, 
century, század, century, 
evidence, bizonyíték, evidence, 
window, ablak, window, 
culture, kultúra, culture, 
chance, véletlen, random, véletlen, 
brother, fiú testvér, brother, 
energy, energia, energy, 
period, időszak, period, 
course, tanfolyam, course, 
summer, nyár, summer, 
plant, növény, plant, 
opportunity, lehetőség, possibility, lehetőség, 
term, kifejezés, expression, kifejezés, 
letter, levél, letter, 
condition, feltétel, condition, 
choice, választás, choice, 
rule, szabály, rule, 
daughter, lánya, her daughter, lánya, 
administration, adminisztráció, administration, 
south, déli, south, 
husband, férj, husband, 
congress, kongresszus, congress, 
floor, padló, floor, 
campaign, kampány, campaign, 
material, anyag, material, 
population, népesség, population, 
call, hívás, call, 
economy, gazdaság, economy, 
hospital, kórház, hospital, 
church, templom, temple, templom, 
risk, kockázat, risk, 
fire, tűz, fire, 
future, jövő, future, 
defense, védelem, protection, védelem, 
security, biztonság, safety, biztonság, 
bank, bank, 
west, nyugati, western, nyugati, 
sport, sport, 
board, tábla, table, asztal, table, 
subject, tantárgy, subject, 
officer, tiszt, officer, 
rest, pihenés, rest, 
behavior, viselkedés, behavior, 
performance, teljesítmény, performance, 
top, felső, upper, felső, 
goal, cél, target, cél, 
second, második, second, 
bed, ágy, brain, agy, brain, 
order, sorrend, sequence, sorrend, 
author, szerző, author, 
blood, vér, blood, 
agency, ügynökség, agency, 
nature, természet, nature, 
color, szín, color, 
store, bolt, store, 
sound, hang, voice, hang, 
movement, mozgalom, movement, 
page, oldal, side, oldal, 
race, verseny, race, 
concern, vonatkozik, concern, 
series, sorozat, series, 
language, nyelv, language, 
response, válasz, answer, válasz, 
animal, állat, animal, 
factor, tényező, factor, 
decade, évtized, decade, 
article, cikk, article, 
east, keleti, east, 
artist, művész, artist, 
scene, színhely, scene, 
stock, készlet, stock, 
career, karrier, career, 
treatment, kezelés, treatment, 
approach, megközelítés, approach, 
size, méret, size, 
dog, kutya, dog, 
fund, alap, basis, bázis, base, bázis, 
media, média, media, 
sign, jel, mark, mark, 
thought, gondolat, thought, 
list, lista, list, 
individual, egyedi, unique, egyedi, 
quality, minőség, quality, 
pressure, nyomás, pressure, 
answer, válasz, answer, 
resource, forrás, source, forrás, 
meeting, találkozó, meeting, 
disease, betegség, disease, 
success, siker, gluten, glutén, gluten, 
cup, csésze, cup, 
amount, összeg, amount, 
ability, képesség, ability, 
staff, személyzet, staff, 
character, karakter, characters, karakterek, characters, 
growth, növekedés, growth, 
loss, veszteség, loss, 
degree, fokozat, degree, 
attack, támadás, attack, 
region, vidék, country, ország, country, 
television, televízió, television, 
box, doboz, box, 
tv, tévé, camel, teve, camel, 
training, kiképzés, training, 
trade, kereskedelmi, trade, 
deal, üzlet, business, üzleti, business, 
election, választás, choice, választás, 
feeling, érzés, feeling, 
standard, alapértelmezett, default, alapértelmezett, 
bill, számla, invoice, számla, 
message, üzenet, message, 
analysis, elemzés, analysis, 
benefit, haszon, profit, nyereség, profit, 
sex, szex, sex, 
lawyer, jogász, lawyer, 
section, szakasz, platoon, szakasz, 
glass, üveg, glass, 
skill, jártasság, proficiency, jártasság, 
sister, lánytestvér, sister, 
professor, egyetemi tanár, professor, 
operation, művelet, operation, 
crime, bűn, sin, bűn, 
stage, színpad, stage, 
authority, hatóság, authorities, hatóság, 
design, tervezés, planning, tervezés, 
sort, fajta, species, faj, species, 
one, egy, one, 
knowledge, tudás, knowledge, 
gun, pisztoly, gun, 
station, állomás, station, 
strategy, stratégia, strategy, 
truth, igazság, truth, 
song, dal, song, 
example, példa, example, 
environment, környezet, environment, 
leg, láb, foot, láb, 
public, nyilvános, public, 
executive, végrehajtó, bailiff, végrehajtó, 
set, készlet, stock, készlet, 
rock, szikla, rock, 
note, jegyzet, note, 
manager, menedzser, manager, 
help, segítség, help, 
network, hálózat, network, 
science, tudomány, science, 
memory, memória, memory, 
card, kártya, card, 
seat, ülés, seat, 
cell, sejt, cell, 
trial, próba, test, teszt, test, 
expert, szakértő, expert, 
