time, დრო, time, 
year, წელიწადი, year, 
people, ხალხი, people, 
way, გზა, way, 
day, დღეს, today, დღეს, 
man, კაცი, man, 
thing, რამე, something, რაღაც, something, 
woman, ქალი, woman, 
life, ცხოვრება, life, 
child, ბავშვი, child, 
world, მსოფლიოში, in the world, მსოფლიოში, 
school, სკოლა, school, 
state, სახელმწიფო, state, 
family, ოჯახი, family, 
student, სტუდენტი, student, 
group, ჯგუფი, group, 
country, ქვეყანა, country, 
problem, პრობლემა, problem, 
hand, ხელით, by hand, ხელით, 
part, ნაწილი, part, 
place, ადგილი, place, 
case, საქმე, the case, იმ შემთხვევაში, in case, შემთხვევაში, in case, 
week, კვირაში, in a week, ერთ კვირაში, in a week, 
company, კომპანია, company, 
system, სისტემა, system, 
program, პროგრამა, program, 
question, კითხვა, question, 
work, მუშაობა, working, მუშაობს, works, სამუშაოები, works, 
government, მთავრობა, government, 
number, ნომერი, number, 
night, ღამე, night, 
mr, ბატონი, mr., ბატონი., mr., 
point, წერტილი, point, 
home, სახლში, at home, სახლში, 
water, წყალი, water, 
room, ოთახი, room, 
mother, დედა, mother, 
area, ტერიტორია, territory, ტერიტორია, 
money, ფული, money, 
story, ამბავი, story, 
fact, ფაქტია, the fact is, ფაქტია, 
month, თვეში, monthly, ყოველთვიურად, every month, ყოველ თვე, every month, 
lot, ბევრი, many, ბევრი, 
right, უფლება, right, 
study, სწავლა, learning, სწავლა, 
book, წიგნი, book, 
eye, თვალი, the eye, თვალი, 
job, სამუშაო, job, 
word, სიტყვა, the word, სიტყვა, 
business, ბიზნესი, business, 
issue, პრობლემა, problem, პრობლემა, 
side, მხარეს, side, 
kind, კეთილი, kindness, სიკეთე, kindness, 
head, ხელმძღვანელი, head, 
house, სახლი, house, 
service, მომსახურება, service, 
friend, მეგობარი, friend, 
father, მამა, father, 
power, ძალა, power, 
hour, საათი, the clock, საათი, 
game, თამაში, the game, თამაში, 
line, ხაზი, line, 
end, დასასრული, the end, დასასრული, 
member, წევრი, member, 
law, კანონი, law, 
car, მანქანა, the car, მანქანა, 
city, ქალაქი, city, 
community, საზოგადოება, society, საზოგადოება, 
name, სახელი, name, 
president, პრეზიდენტი, president, 
team, გუნდი, team, 
minute, წუთი, minute, 
idea, იდეა, the idea, იდეა, 
kid, ბავშვი, child, ბავშვი, 
body, სხეული, the body, სხეული, 
information, ინფორმაცია, information, 
back, უკან, back, 
parent, მშობელი, the parent, მშობელი, 
face, სახე, face, 
others, სხვები, others, 
level, დონე, level, 
office, ოფისი, office, 
door, კარი, door, 
health, ჯანმრთელობა, health, 
person, პირი, the person, პირი, 
art, ხელოვნება, art, 
war, ომი, war, 
history, ისტორია, history, 
party, პარტია, party, 
result, შედეგი, result, 
change, ცვლილება, change, 
morning, დილით, in the morning, დილით, 
reason, მიზეზი, reason, 
research, კვლევა, research, 
girl, გოგონა, girl, 
guy, ბიჭი, the boy, ბიჭი, 
food, საკვები, food, 
moment, მომენტი, moment, 
air, საჰაერო, aerial, საჰაერო, 
teacher, მასწავლებელი, teacher, 
force, ძალა, power, ძალა, 
education, განათლება, education, 
foot, ფეხით, on foot, ფეხზე, recover, აღდგენა, restore, აღდგენა, 
boy, ბიჭი, the boy, ბიჭი, 
age, ასაკი, age, 
policy, პოლიტიკა, politics, პოლიტიკა, 
process, პროცესი, process, 
music, მუსიკა, music, 
market, ბაზარი, market, 
sense, აზრი, makes sense, მისცე მნიშვნელობა, give the meaning, მიეცით მნიშვნელობა, give importance, მიეცით მნიშვნელობა, 
nation, ერი, nation, 
plan, გეგმა, plan, 
college, კოლეჯი, college, 
interest, ინტერესი, interest, 
death, სიკვდილი, death, 
experience, გამოცდილება, experience, 
effect, ეფექტი, effect, 
use, გამოყენება, use, 
class, კლასი, class, 
control, კონტროლი, control, 
care, ზრუნვა, care, 
field, სფეროში, field, 
development, განვითარება, development, 
role, როლი, the role, როლი, 
effort, ძალისხმევა, effort, 
rate, განაკვეთი, rate, 
heart, გული, heart, 
drug, ნარკოტიკი, drug, 
show, შოუ, show, 
leader, ლიდერი, leader, 
light, მსუბუქი, light, 
voice, ხმა, the voice, ხმა, 
wife, ცოლი, wife, 
police, პოლიცია, police, 
mind, გონება, mind, 
price, ფასი, price, 
report, ანგარიში, account, ანგარიში, 
decision, გადაწყვეტილება, decision, 
son, შვილი, son, 
view, ხედი, view, 
relationship, ურთიერთობა, communication, კომუნიკაცია, to communicate, კომუნიკაცია, 
town, ქალაქი, city, ქალაქი, 
road, გზა, way, გზა, 
arm, მკლავი, arm, 
difference, განსხვავება, the difference, განსხვავება, 
value, ღირებულება, cost, ღირებულება, 
building, შენობა, building, 
action, აქცია, action, 
model, მოდელი, model, 
season, სეზონი, season, 
society, საზოგადოება, society, 
tax, საგადასახადო, tax, 
director, რეჟისორი, director, 
position, პოზიცია, position, 
player, მოთამაშე, player, 
record, ჩანაწერი, record, 
paper, ქაღალდი, paper, 
space, სივრცე, space, 
ground, ადგილზე, on the place, ადგილზე, 
form, ფორმა, form, 
event, ღონისძიება, event, 
official, ოფიციალური, official, 
matter, მნიშვნელობა, value, ღირებულება, cost, ღირებულება, 
center, ცენტრი, center, 
couple, წყვილი, pair, წყვილი, 
