time, masa, time, 
year, tahun, year, 
people, orang, people, 
way, cara, way, 
day, hari, day, 
man, lelaki, man, 
thing, benda, thing, 
woman, wanita, women, wanita, 
life, kehidupan, life, 
child, kanak-kanak, children, kanak-kanak, 
world, dunia, world, 
school, sekolah, school, 
state, negeri, state, 
family, keluarga, family, 
student, pelajar, students, pelajar, 
group, kumpulan, group, 
country, negara, country, 
problem, masalah, problem, 
hand, tangan, hands, tangan, 
part, bahagian, section, seksyen, section, 
place, tempat, place, 
case, kes, case, 
week, minggu, week, 
company, syarikat, company, 
system, sistem, system, 
program, program, 
question, soalan, questions, soalan, 
work, kerja, work, 
government, kerajaan, government, 
number, nombor, number, 
night, malam, night, 
mr, encik, mr, 
point, titik, point, 
home, rumah, home, 
water, air, water, 
room, bilik, room, 
mother, ibu, mother, 
area, kawasan, area, 
money, wang, money, 
story, cerita, story, 
fact, fakta, fact, 
month, bulan, moon, bulan, 
lot, banyak, many, ramai, crowded, sesak, crowded, 
right, betul, right, 
study, belajar, learning, pembelajaran, learning, 
book, buku, books, buku, 
eye, mata, eyes, mata, 
job, kerja, work, kerja, 
word, perkataan, word, 
business, perniagaan, business, 
issue, isu, issues, isu, 
side, sebelah, next door, sebelah, 
kind, jenis, type, jenis, 
head, kepala, head, 
house, rumah, home, rumah, 
service, perkhidmatan, service, 
friend, kawan, friend, 
father, bapa, father, 
power, kuasa, power, 
hour, jam, hour, 
game, permainan, game, 
line, talian, online, dalam talian, online, 
end, akhir, end, 
member, ahli, member, 
law, undang-undang, the law, undang-undang itu, the law, 
car, kereta, car, 
city, bandar, city, 
community, komuniti, community, 
name, nama, name, 
president, presiden, president, 
team, pasukan, troops, tentera, army, tentera, 
minute, minit, minutes, minit, 
idea, idea, 
kid, kanak-kanak, children, kanak-kanak, 
body, badan, body, 
information, maklumat, information, 
back, belakang, back, 
parent, ibu bapa, parents, ibu bapa, 
face, muka, face, 
others, lain-lain, others, 
level, tahap, stage, pentas, stage, 
office, pejabat, office, 
door, pintu, door, 
health, kesihatan, health, 
person, orang, people, orang, 
art, seni, art, 
war, perang, war, 
history, sejarah, history, 
party, parti, party, 
result, hasilnya, the result, keputusan, decision, keputusan, 
change, ubah, change, 
morning, pagi, morning, 
reason, sebab, cause, sebab, 
research, penyelidikan, research, 
girl, gadis, girl, 
guy, lelaki, man, lelaki, 
food, makanan, food, 
moment, momen, moment, 
air, udara, air, 
teacher, guru, teacher, 
force, memaksa, force, 
education, pendidikan, education, 
foot, kaki, legs, kaki, 
boy, budak lelaki, boy, 
age, umur, age, 
policy, dasar, basic, asas, basic, 
process, proses, process, 
music, muzik, music, 
market, pasaran, market, 
sense, rasa, feel, rasa, 
nation, bangsa, nation, 
plan, pelan, slowly, perlahan-lahan, slowly, 
college, kolej, college, 
interest, minat, interest, 
death, kematian, death, 
experience, pengalaman, experience, 
effect, kesan, effect, 
use, gunakan, using, menggunakan, using, 
class, kelas, class, 
control, kawalan, control, 
care, penjagaan, care, 
field, bidang, area, kawasan, area, 
development, pembangunan, development, 
role, peranan, role, 
effort, usaha, effort, 
rate, kadar, rate, 
heart, hati, heart, 
drug, dadah, drugs, dadah, 
show, tunjukkan, show it, tunjukkan, 
leader, ketua, chairman, pengerusi, chairman, 
light, cahaya, light, 
voice, suara, sound, bunyi, sound, 
wife, isteri, wife, 
police, polis, police, 
mind, fikiran, mind, 
price, harga, price, 
report, laporan, report, 
decision, keputusan, decision, 
son, anak lelaki, son, 
view, pandangan, view, 
relationship, hubungan, relationship, 
town, bandar, city, bandar, 
road, jalan raya, road, 
arm, lengan, arm, 
difference, beza, difference, 
value, nilai, value, 
building, bangunan, building, 
action, tindakan, action, 
model, model, 
season, musim, season, 
society, masyarakat, community, komuniti, community, 
tax, cukai, tax, 
director, pengarah, director, 
position, kedudukan, position, 
player, pemain, players, pemain, 
record, rekod, record, 
paper, kertas, paper, 
space, ruang, space, 
ground, tanah, land, tanah, 
form, borang, form, 
event, acara, event, 
official, rasmi, official, 
matter, perkara, things, perkara-perkara, things, 
center, pusat, center, 
couple, pasangan, pair, pasangan, 
site, tapak, site, 
project, projek, project, 
activity, aktiviti, activity, 
star, bintang, stars, bintang, 
table, jadual, schedule, jadual, 
need, keperluan, requirement, keperluan, 
court, mahkamah, court, 
american, american, 
oil, minyak, oil, 
situation, keadaan, situation, 
cost, kos, cost, 
industry, industri, industry, 
figure, angka, numbers, nombor, number, nombor, 
street, jalan, the road, jalan itu, that road, jalan itu, 
image, gambar, picture, gambar, 
phone, telefon, phone, 
data, data, 
picture, gambar, picture, 
practice, amalan, practice, 
piece, sekeping, piece, 
land, tanah, land, 
product, produk, product, 
doctor, doktor, doctor, 
wall, dinding, wall, 
patient, pesakit, patient, 
worker, pekerja, employee, pekerja, 
news, berita, news, 
test, ujian, test, 
movie, filem, movies, wayang, puppets, boneka, dolls, anak patung, doll, anak patung, 
north, utara, north, 
love, cinta, love, 
support, sokongan, support, 
technology, teknologi, technology, 
step, langkah, steps, langkah-langkah, steps, 
baby, bayi, baby, 
computer, komputer, computer, 
type, jenis, type, 
attention, perhatian, attention, 
film, filem, movies, wayang, puppets, boneka, dolls, anak patung, doll, anak patung, 
republican, republik, republic, republik, 
tree, pokok, tree, 
source, sumber, source, 
organization, organisasi, organization, 
hair, rambut, hair, 
look, lihat, see, lihat, 
century, abad, century, 
evidence, bukti, evidence, 
window, tingkap, windows, tingkap, 
culture, budaya, culture, 
chance, peluang, opportunities, peluang, 
brother, saudara lelaki, brother, 
energy, tenaga, energy, 
period, tempoh, duration, tempoh, 
course, kursus, courses, kursus, 
summer, musim panas, summer, 
plant, tumbuhan, plants, tumbuhan, 
opportunity, peluang, opportunities, peluang, 
term, terma, terms, terma, 
letter, surat, letter, 
condition, keadaan, situation, keadaan, 
choice, pilihan, choice, 
rule, peraturan, rules, peraturan, 
daughter, anak perempuan, daughter, 
administration, pentadbiran, administration, 
south, selatan, south, 
husband, suami, husband, 
congress, kongres, congress, 
floor, lantai, floor, 
campaign, kempen, campaign, 
material, bahan, material, 
population, penduduk, population, 
call, panggilan, call, 
economy, ekonomi, economy, 
hospital, hospital, 
church, gereja, church, 
risk, risiko, risk, 
fire, api, fire, 
future, masa depan, future, 
defense, pertahanan, defense, 
security, keselamatan, safety, keselamatan, 
bank, bank, 
west, barat, west, 
sport, sukan, sports, sukan, 
board, papan, board, 
subject, subjek, subject, 
officer, pegawai, officer, 
rest, berehat, relax, berehat, 
behavior, tingkah laku, behavior, 
performance, prestasi, performance, 
top, atas, above, atas, 
goal, matlamat, goal, 
second, kedua, second, 
bed, katil, bed, 
order, perintah, command, perintah, 
author, pengarang, author, 
blood, darah, blood, 
agency, agensi, agency, 
nature, sifat, nature, 
color, warna, color, 
store, kedai, shop, kedai, 
sound, bunyi, sound, 
movement, pergerakan, movement, 
page, halaman, page, 
race, bangsa, nation, bangsa, 
concern, kebimbangan, anxiety, kebimbangan, 
series, siri, series, 
language, bahasa, language, 
response, tindak balas, respond, membalas, reply, jawapannya, the answer, jawapan, answer, jawapannya, 
animal, haiwan, animals, haiwan, 
factor, faktor, factor, 
decade, dekad, decade, 
article, artikel, articles, artikel, 
east, timur, east, 
artist, artis, artist, 
scene, tempat kejadian, the place where it happened, tempat di mana ia berlaku, where it goes, di mana ia pergi, where it goes, 
stock, stok, stock, 
career, kerjaya, career, 
treatment, rawatan, treatment, 
approach, pendekatan, approach, 
size, saiz, size, 
dog, anjing, dog, 
fund, dana, fund, 
media, media, 
sign, tanda, sign, 
thought, berfikir, think, berfikir, 
list, senarai, list, 
individual, individu, individual, 
quality, kualiti, quality, 
pressure, tekanan, pressure, 
answer, jawapannya, the answer, jawapan, answer, 
resource, sumber, source, sumber, 
meeting, mesyuarat, meeting, 
disease, penyakit, disease, 
success, kejayaan, success, 
cup, cawan, cup, 
amount, jumlah, amount, 
ability, kebolehan, ability, 
staff, kakitangan, staff, 
character, watak, character, 
growth, pertumbuhan, growth, 
loss, kehilangan, loss, 
degree, ijazah, degree, 
attack, serang, attack, 
region, rantau, region, 
television, televisyen, television, 
box, kotak, box, 
tv, tv, 
training, latihan, exercise, senaman, exercise, 
trade, perdagangan, trade, 
deal, berurusan, deal with, berurusan dengan, dealing with, berurusan dengan, 
election, pilihan raya, election, 
feeling, perasaan, feeling, 
standard, standard, 
bill, bil, bill, 
message, mesej, messages, mesej, 
analysis, analisis, analysis, 
benefit, manfaat, benefits, faedah, interest, minat, interest, 
sex, seks, sex, 
lawyer, peguam, lawyer, 
section, seksyen, section, 
glass, kaca, glass, 
skill, kemahiran, skills, kemahiran, 
sister, kakak, sister, 
professor, profesor, professor, 
operation, operasi, operation, 
crime, jenayah, crime, 
stage, pentas, stage, 
authority, kuasa, power, kuasa, 
design, reka bentuk, shape, bentuk, shape, 
sort, semak, check, semak, 
one, satu, one, 
knowledge, pengetahuan, knowledge, 
gun, senjata api, firearm, senjata api, 
station, stesen, station, 
strategy, strategi, strategy, 
truth, kebenaran, truth, 
song, lagu, song, 
example, contohnya, for example, sebagai contoh, for example, 
environment, persekitaran, environment, 
leg, kaki, legs, kaki, 
public, awam, public, 
executive, eksekutif, executive, 
set, ditetapkan, set, 
rock, batu, stone, batu, 
note, nota, note, 
manager, pengurus, manager, 
help, membantu, help, 
network, rangkaian, network, 
science, sains, science, 
memory, ingatan, memory, 
card, kad, card, 
seat, tempat duduk, seating, tempat duduk, 
cell, sel, cell, 
trial, percubaan, trial, 
expert, pakar, expert, 
spring, musim bunga, spring, 
firm, tegas, firmly, tegas, 
democrat, demokrat, democrats, demokrat, 
radio, radio, 
management, pengurusan, management, 
ball, bola, ball, 
talk, bercakap, talking, bercakap, 
theory, teori, theory, 
impact, kesannya, its effect, kesannya, 
statement, pernyataan, statement, 
charge, caj, charge, 
direction, arah, directions, arah, 
weapon, senjata, weapons, senjata, 
employee, pekerja, employee, 
peace, keamanan, peace, 
base, asas, basic, asas, 
pain, kesakitan, pain, 
play, bermain, playing, bermain, 
measure, mengukur, measure, 
interview, temuduga, interview, 
chair, kerusi, chair, 
fish, ikan, fish, 
camera, kamera, camera, 
structure, struktur, structure, 
politics, politik, politics, 
bit, sedikit, little, sedikit, 
weight, berat badan, body weight, berat badan, 
candidate, calon, candidate, 
production, pengeluaran, production, 
trip, perjalanan, travel, perjalanan, 
evening, petang, afternoon, petang, 
conference, persidangan, conference, 
unit, unit, 
style, gaya, style, 
adult, dewasa, adult, 
range, pelbagai, various, pelbagai, 
past, masa lalu, past, 
edge, hujung, tip, tip, 
writer, penulis, author, pengarang, author, 
trouble, masalah, problem, masalah, 
